timeMillis,timeNanos,x,y,z
1552443820632,302727545535715,-0.0021001545,-0.04860655,0.024311827
1552443820648,302727565535715,0.041882142,-0.047995683,0.07318105
1552443820667,302727585535715,-0.00271102,-0.059602123,0.08417662
1552443820689,302727605535715,-0.085177824,-0.055936933,0.066461526
1552443820707,302727625535715,-0.0961734,-0.0082894415,0.037139997
1552443820727,302727645535715,-0.046082452,0.019199496,0.010261926
1552443820758,302727665535715,-0.010652268,-0.032724053,0.012094521
1552443820769,302727685535715,0.027221376,-0.08831279,0.05852028
1552443820789,302727705536965,0.06570589,-0.0968649,0.0756245
1552443820812,302727725536965,0.045547333,-0.043719627,0.010261926
1552443820829,302727745536965,-0.026534766,-0.0015699236,-0.055100653
1552443820851,302727765536965,-0.060132354,0.029584203,-0.08258959
1552443820873,302727785536965,-0.027756495,0.039358046,-0.075870074
1552443820890,302727805536965,0.019890996,0.03263853,-0.02761172
1552443820906,302727825536965,0.04737993,0.015534303,0.00842933
1552443820929,302727845537565,0.047990795,-0.011954633,0.013316251
1552443820948,302727865537565,0.016225804,-0.046163086,-0.0019553795
1552443820967,302727885536917,-0.021647843,-0.0687651,-0.00317711
1552443820991,302727905537417,-0.040584665,-0.052882604,-0.005009706
1552443821010,302727925537785,-0.0680736,-0.006456846,-0.024557395
1552443821031,302727945538085,-0.07845832,0.014312573,-0.022724798
1552443821051,302727965538323,-0.0399738,-0.024782803,0.007207599
1552443821069,302727985538550,-0.0069870767,-0.08770192,0.047524706
1552443821090,302728005538593,-2.67559E-4,-0.10602788,0.0756245
1552443821112,302728025538551,-0.021647843,-0.04860655,0.047524706
1552443821129,302728045538471,-0.055856295,0.050353624,0.0017098119
1552443821150,302728065538317,-0.0540237,0.09128159,-0.01600528
1552443821172,302728085538168,-0.021036977,0.03630372,0.012094521
1552443821192,302728105537953,-0.008819672,-0.050439145,0.06218547
1552443821212,302728125537677,-0.022258706,-0.080371544,0.06768326
1552443821233,302728145537277,-0.038141206,-0.059602123,0.015148847
1552443821249,302728165536110,-0.06318668,-0.03394578,-0.034331236
1552443821273,302728185535276,-0.09250821,-0.011343767,-0.014172684
1552443821288,302728205533909,-0.087621294,0.0014844026,0.031031344
1552443821309,302728225532475,-0.057078026,-0.017452419,0.041416053
1552443821329,302728245531675,-0.038752068,-0.04310876,0.037139997
1552443821359,302728265530808,-0.015539191,-0.049828276,0.033474803
1552443821368,302728285529808,-0.0039327503,0.005149594,0.023090096
1552443821388,302728305528408,-0.024091303,0.03630372,0.013316251
1552443821412,302728325527274,-0.02714563,0.00942565,-0.0043988405
1552443821427,302728345525640,-0.0039327503,-0.009511172,-0.021503067
1552443821447,302728365523606,0.023556184,-0.007067711,-0.014172684
1552443821469,302728385522206,0.021723589,-0.010122037,-0.020281337
1552443821488,302728405520739,-0.008819672,-0.018063286,-0.05021373
1552443821508,302728425519139,-0.044249855,-0.03455665,-0.058765847
1552443821644,302728445517172,-0.05158024,-0.032724053,-0.009285763
1552443821644,302728465515438,-0.01431746,-0.051050007,0.029198747
1552443821645,302728485513604,0.013782342,-0.056547794,0.027977016
1552443821645,302728505510704,0.018669264,-0.024171937,0.010872791
1552443821645,302728525507804,0.018669264,0.014312573,0.0029315425
1552443821645,302728545505570,0.0027867672,0.021642955,0.0059858686
1552443821670,302728565502503,0.0033976326,-9.5905847E-4,0.017592307
1552443821671,302728585500103,0.01133888,-0.04310876,0.014537982
1552443821729,302728605497069,0.0033976326,-0.07243029,0.010872791
1552443821755,302728625494302,0.0033976326,-0.07243029,0.010872791
1552443821755,302728645491168,0.0033976326,-0.07243029,0.010872791
1552443821756,302728665488034,0.024167052,-0.02783713,0.021868365
1552443821768,302728685485534,0.030275704,-0.07059769,-0.02394653
1552443821789,302728705482967,-0.005765346,-0.051660873,-0.06853969
1552443821808,302728725480400,-0.065630145,-0.036389243,-0.06120931
1552443821831,302728745477900,-0.09250821,-0.04310876,-0.020281337
1552443821850,302728765476100,-0.11877541,0.020421224,0.017592307
1552443821871,302728785473833,-0.13954483,0.0069821896,0.06462893
1552443821892,302728805472033,-0.113888495,-0.08831279,0.035918266
1552443821911,302728825503566,-0.109612435,-0.1304625,0.017592307
1552443821931,302728845534332,-0.13465792,-0.10602788,0.03408567
1552443821953,302728865565098,-0.13099273,-0.025393669,0.059742007
1552443821971,302728885595964,-0.13465792,0.052797087,0.06218547
1552443821991,302728905626830,-0.1438209,0.03508199,0.08906355
1552443822014,302728925657630,-0.10533638,-0.064489044,0.10800037
1552443822030,302728945688863,-0.06685187,-0.12924075,0.08173316
1552443822052,302728965753763,-0.044249855,-0.080371544,0.05363336
1552443822077,302728985851229,-0.008819672,0.07478823,0.027366152
1552443822094,302729005982029,-0.01431746,0.13770735,0.034696534
1552443822115,302729026146229,-0.008208807,0.09739024,0.06279634
1552443822139,302729046343695,0.056542907,0.023475552,0.12510459
1552443822159,302729072592436,0.14145318,0.019199496,0.18252592
1552443822176,302729092790302,0.18054855,0.10899669,0.15931305
1552443822198,302729112988502,0.12557068,0.06745785,0.098226525
1552443822216,302729133186768,0.054099448,-0.03455665,0.0634072
1552443822237,302729153384334,0.06509502,-0.052882604,0.082344025
1552443822259,302729173582700,0.10480126,0.07784256,0.14159794
1552443822279,302729193780266,0.10480126,0.20612425,0.23628207
1552443822307,302729213978532,0.067538485,0.27881724,0.28698388
1552443822321,302729234176532,0.032719165,0.2580478,0.28576213
1552443822335,302729254374865,0.024167052,0.24216531,0.2393364
1552443822355,302729274573131,0.023556184,0.20429166,0.17519554
1552443822377,302729294770697,0.0046193628,0.0735665,0.20146276
1552443822394,302729314968330,-0.047304183,-0.028447995,0.2656036
1552443822415,302729335165896,-0.10228206,-0.07059769,0.2656036
1552443822438,302729355363462,-0.13404705,-0.08159327,0.15686959
1552443822455,302729375561028,-0.14565349,-0.029669726,-7.336491E-4
1552443822477,302729395758661,-0.16703376,0.0613492,-0.044715945
1552443822498,302729415956227,-0.1963553,0.082118616,0.08173316
1552443822664,302729436120460,-0.1981879,0.013701708,0.17763901
1552443822665,302729456284760,-0.16825551,-0.055326067,0.1196068
1552443822665,302729476449860,-0.13221444,-0.076095484,-0.020892203
1552443822665,302729496614060,-0.11266676,-0.08525846,-0.12779361
1552443822665,302729516778293,-0.1120559,-0.08159327,-0.096028626
1552443822665,302729536942593,-0.09861687,0.019199496,0.020646635
1552443822665,302729557106826,-0.09861687,0.18107878,0.09761565
1552443822665,302729577237726,-0.11877541,0.25926954,0.095783055
1552443822676,302729597335359,-0.12671667,0.16641802,0.029198747
1552443822694,302729617399592,-0.08823215,0.02897334,-0.038607296
1552443822715,302729637430492,-0.05952149,-0.026004534,-0.025779122
1552443822735,302729657428125,-0.07418225,-0.056547794,0.03164221
1552443822752,302729677425758,-0.057078026,-0.02111761,0.073791906
1552443822774,302729697423324,0.019890996,0.037525453,0.059131145
1552443822798,302729717420890,0.06570589,0.0314168,-0.0068423017
1552443822816,302729737418390,0.033940896,-0.080371544,-0.08686565
1552443822836,302729757415890,0.022334455,-0.112136535,-0.12229583
1552443822858,302729777413323,0.038216952,-0.10175183,-0.11618718
1552443822881,302729797410823,0.08586444,-0.11457999,-0.08930911
1552443822897,302729817408323,0.15916827,-0.03700011,-0.10396988
1552443822918,302729837405756,0.20559402,0.06257093,-0.1229067
1552443822936,302729857403189,0.1707747,0.06562525,-0.106413335
1552443822955,302729877400689,0.14145318,0.0033169982,-0.05632239
1552443822976,302729897398189,0.14878355,-0.11152566,-0.009285763
1552443822993,302729917395655,0.20864835,-0.20193373,0.0212575
1552443823016,302729937393188,0.28073046,-0.15672968,0.009040195
1552443823038,302729957390721,0.31738237,-0.01867415,-0.077702664
1552443823056,302729977388187,0.33143228,0.15847677,-0.20476264
1552443823075,302729997385653,0.22941777,0.17130494,-0.33609867
1552443823097,302730017383186,0.055932045,0.021642955,-0.37152883
1552443823116,302730037380719,-0.055856295,-0.0968649,-0.26279482
1552443823139,302730057378185,-0.08639956,-0.11030394,-0.14428699
1552443823159,302730077374851,-0.06685187,-0.09442144,-0.08258959
1552443823176,302730097372384,0.01133888,-0.024782803,-0.039829027
1552443823197,302730117369817,0.03577349,0.016145168,-0.09786122
1552443823218,302730137367250,0.06570589,0.024086416,-0.16383468
1552443823245,302730157364783,0.12068376,-0.0388327,-0.18704754
1552443823256,302730177362416,0.13717712,-0.15245365,-0.16016948
1552443823277,302730197360082,0.11090991,-0.16467094,-0.1088568
1552443823296,302730217357848,3.4330628E-4,-0.15795143,-0.10824593
1552443823316,302730237355681,-0.12182974,-0.1548971,-0.19010186
1552443823338,302730257353514,-0.19330098,-0.16772527,-0.2475232
1552443823356,302730277351280,-0.1926901,-0.14573412,-0.20293003
1552443823377,302730297349113,-0.16397944,-0.13718201,-0.07281575
1552443823402,302730317380279,-0.1383231,-0.16222748,0.04324865
1552443823415,302730337411379,-0.10533638,-0.14451239,0.07806797
1552443823438,302730357442479,-0.068684466,-0.14695586,0.0017098119
1552443823457,302730377473645,-0.047304183,-0.14878845,-0.07648094
1552443823476,302730397504811,-0.024091303,-0.05838039,-0.080757
1552443823497,302730417535911,-0.019204382,-0.032113187,-0.038607296
1552443823621,302730437567077,-0.010652268,-0.051050007,-0.020281337
1552443823621,302730457598243,-0.0033218851,-0.016841555,-0.06609623
1552443823622,302730477628643,-0.01431746,0.076620825,-0.10274815
1552443823622,302730497659743,-0.00271102,0.14992465,-0.10274815
1552443823622,302730517690876,0.021112725,0.15236811,-0.043494217
1552443823622,302730537722009,0.07181454,0.1175488,0.12388286
1552443823636,302730557753075,0.12495982,0.09128159,0.24177985
1552443823655,302730577784208,0.15428135,0.0717339,0.23872553
1552443823677,302730597815341,0.17688335,0.06257093,0.19535409
1552443823696,302730617846407,0.18543547,0.07906429,0.15198267
1552443823716,302730637877507,0.15367049,0.09005986,0.08784181
1552443823735,302730657908673,0.12862502,0.095557645,0.029198747
1552443823756,302730677939139,0.115796834,0.15236811,0.047524706
1552443823775,302730697970239,0.0883079,0.29897577,0.14526314
1552443823796,302730718001405,0.045547333,0.3759448,0.21917784
1552443823819,302730738032571,-0.036919475,0.25255,0.2020736
1552443823836,302730758063637,-0.17741849,0.024697283,0.054855086
1552443823856,302730778094603,-0.25560924,-0.17322305,0.0010989466
1552443823880,302730798125536,-0.15848166,-0.08098241,0.14709574
1552443823896,302730818156436,0.0052302284,0.22017416,0.36639637
1552443823916,302730838187202,0.015614938,0.39060557,0.56553847
1552443823938,302730858217968,-0.13282531,0.3215778,0.6553356
1552443823957,302730878248801,-0.2666048,0.13892908,0.5203344
1552443823977,302730898279634,-0.2647722,-0.13779287,0.24239072
1552443823997,302730918277067,-0.15359475,-0.300283,-0.09786122
1552443824017,302730938307900,-0.16031426,-0.3204416,-0.19376706
1552443824037,302730958338733,-0.26416135,-0.1970468,-0.058765847
1552443824059,302730978369499,-0.2580527,0.12671177,0.15015008
1552443824077,302730998400265,-0.18291625,0.3411255,0.15137179
1552443824097,302731018431098,-0.12854925,0.35761884,0.04691384
1552443824119,302731038461898,-0.10594724,0.24155444,-0.06792883
1552443824137,302731058492698,-0.09739514,0.05524054,-0.16872159
1552443824157,302731078524264,-0.10839071,-0.20559892,-0.17360853
1552443824181,302731098555130,-0.100449465,-0.3796955,-0.037385564
1552443824200,302731118585930,-0.06379754,-0.40351924,0.12754805
1552443824220,302731138616730,0.007062824,-0.24713776,0.15076092
1552443824240,302731158647596,0.09747088,-0.05349347,0.047524706
1552443824258,302731178678462,0.13106847,0.005149594,-0.049602866
1552443824279,302731198709262,0.10663386,-0.10175183,-0.077702664
1552443824299,302731218740128,0.031497434,-0.19093816,-0.10152641
1552443824318,302731238804294,-0.06196495,-0.16100575,-0.10091555
1552443824339,302731258901794,-0.08701042,-0.08586933,-0.14001092
1552443824362,302731279000060,-0.065630145,-0.051050007,-0.19254534
1552443824380,302731299131026,0.007673689,-0.11152566,-0.17299765
1552443824403,302731319295259,0.11152078,-0.17139046,-0.106413335
1552443824425,302731339492825,0.1939876,-0.20620978,-0.04288335
1552443824444,302731359723791,0.22269826,-0.107860476,-0.018448742
1552443824466,302731379988024,0.18482462,0.0020952679,-0.092974305
1552443824486,302731400252257,0.0040084976,-0.017452419,-0.25546446
