timeMillis,timeNanos,x,y,z
1552444046462,302953378559862,-0.061354086,-0.25813332,-0.052657194
1552444046480,302953398557862,-0.019815248,-0.24408342,-0.08503305
1552444046497,302953418555862,-0.012484864,-0.23614219,-0.04166162
1552444046517,302953438553862,-0.017371787,-0.22025968,0.034696534
1552444046540,302953458551612,0.045547333,-0.20743152,0.10800037
1552444046557,302953478549412,0.10174694,-0.24591601,0.15259352
1552444046580,302953498547245,0.12801415,-0.21842708,0.17336294
1552444046601,302953518544816,0.18238115,-0.20376633,0.17091948
1552444046619,302953538542441,0.20376143,-0.2495812,0.14404142
1552444046637,302953558537774,0.16100086,-0.25935507,0.13060237
1552444046695,302953578534374,0.13473366,-0.2654637,0.11410902
1552444046723,302953598531919,0.13473366,-0.2654637,0.11410902
1552444046724,302953618529502,0.13473366,-0.2654637,0.11410902
1552444046724,302953638527117,-0.1120559,-0.03822184,-0.031887777
1552444046741,302953658524759,-0.14504261,-0.076095484,-0.016616147
1552444046761,302953678522292,-0.14321002,-0.011343767,-0.042272486
1552444046783,302953698519854,-0.12916012,-0.018063286,-0.0648745
1552444046799,302953718517442,-0.058299758,0.002706133,-0.043494217
1552444046820,302953738514942,-0.027756495,-0.065710776,-0.0080640325
1552444046843,302953758512468,-0.054634567,-0.09197798,-0.015394415
1552444046861,302953778510018,-0.06929533,-0.08709106,-0.02883345
1552444046881,302953798507589,-0.040584665,-0.03700011,-0.016616147
1552444046903,302953818505089,-0.028978225,0.016756034,-0.010507493
1552444046927,302953838502610,-0.045471586,0.09494679,-0.020281337
1552444046943,302953858499693,-0.046082452,0.111440144,-0.045326814
1552444046962,302953878497213,-0.033254284,0.026529877,-0.05998758
1552444046981,302953898533213,-0.035697743,-0.099308364,-0.062431037
1552444047002,302953918604842,-0.01798265,-0.13168421,-0.08808738
1552444047025,302953938709484,-0.019204382,-0.09442144,-0.10396988
1552444047044,302953958844932,-0.048525915,-0.08525846,-0.09236343
1552444047065,302953979009132,-0.09739514,-0.09258884,-0.08381133
1552444047089,302953999206598,-0.05280197,2.6267205E-4,-0.052657194
1552444047108,302954019437398,0.013171476,0.039968915,-0.029444315
1552444047129,302954039701531,0.041882142,0.039968915,-0.015394415
1552444047153,302954059998964,0.044325605,-0.008900307,-0.02638999
1552444047180,302954080329764,0.04737993,-0.07243029,-0.019059606
1552444047192,302954100693930,0.061429832,-0.10847134,-0.01478355
1552444047215,302954121058163,0.06692762,-0.096254036,-0.010507493
1552444047233,302954141455729,0.030275704,-0.03394578,-0.009285763
1552444047254,302954161887329,-0.016150055,-0.01623069,-0.030055182
1552444047277,302954182351862,-0.035697743,-0.03394578,-0.036163833
1552444047296,302954202849428,-0.005765346,-0.027226264,-0.049602866
1552444047317,302954223380328,0.034551762,-3.481932E-4,-0.055711523
1552444047340,302954243944494,0.042493008,-0.00462425,-0.020281337
1552444047360,302954264541994,0.032719165,-0.033334915,-7.336491E-4
1552444047420,302954285172894,0.015004072,-0.0082894415,-0.052657194
1552444047421,302954305837060,-0.021036977,-0.01867415,-0.075870074
1552444047435,302954326534560,-0.011263133,-0.05227174,-0.04654854
1552444047441,302954347265460,0.027832244,-0.04921741,-0.005009706
1552444047464,302954368029626,0.04737993,-0.04433049,0.016370578
1552444047483,302954388827126,0.05898637,-0.007067711,0.021868365
1552444047510,302954409624626,0.0461582,-0.009511172,0.018814038
1552444047529,302954430455459,0.022334455,-0.007067711,0.020646635
1552444047546,302954451319625,-0.008819672,-0.08953451,-0.020281337
1552444047568,302954472217491,-0.03508688,-0.096254036,-0.009896628
1552444047591,302954493148324,-0.021647843,-0.07243029,0.0010989466
1552444047613,302954514080190,-0.038752068,-0.118245184,-0.01600528
1552444047627,302954534976990,-0.04913678,-0.082815,-0.0080640325
1552444047650,302954555841156,-0.007597942,-0.13107336,0.0035424074
1552444047667,302954576671289,0.056542907,-0.14145806,-0.015394415
1552444047688,302954597468789,0.07792319,-0.032724053,-0.0019553795
1552444047710,302954618233022,0.04066041,-0.018063286,0.013927116
1552444047743,302954638963855,0.006451959,-0.037610974,0.027366152
1552444047748,302954659661355,-0.005154481,-0.037610974,0.015148847
1552444047770,302954680325588,-0.0063762115,-0.016841555,0.0010989466
1552444047790,302954700956021,-0.012484864,0.028362472,-0.016616147
1552444047808,302954721553454,-0.03508688,0.044244967,-0.02761172
1552444047829,302954742150887,-0.016150055,0.06196006,0.0041532726
1552444047848,302954762714987,0.011949746,0.005149594,0.0212575
1552444047871,302954787159198,0.018669264,-0.0687651,0.007818464
1552444047889,302954807656531,-0.004543616,-0.058991257,-0.025168259
1552444047908,302954828120631,-0.043638993,-0.050439145,-0.022724798
1552444047929,302954848551331,-0.057078026,-0.026004534,-0.006231436
1552444047951,302954868948764,-0.07601485,-0.03028059,0.0017098119
1552444047968,302954889312864,-0.1120559,-0.0388327,0.012705387
1552444047988,302954909643664,-0.13710138,-0.06509991,0.04019432
1552444048010,302954929941130,-0.10900157,-0.08586933,0.054244224
1552444048029,302954950205263,-0.04913678,-0.058991257,0.018814038
1552444048048,302954970436063,-0.019815248,-0.06754337,-0.006231436
1552444048071,302954990633529,-0.028367361,-0.07976067,-0.042272486
1552444048088,302955010797662,-0.027756495,-0.07120857,-0.055711523
1552444048109,302955030961795,-0.013706595,-0.04433049,-0.06915056
