timeMillis,timeNanos,x,y,z
1552444046359,302953278573862,-61.44,-74.939995,-45.78
1552444046377,302953298571862,-61.26,-74.939995,-45.239998
1552444046398,302953318568862,-61.079998,-74.88,-44.82
1552444046419,302953338566195,-61.079998,-74.4,-44.34
1552444046437,302953358563695,-61.26,-74.4,-43.739998
1552444046462,302953378560895,-61.379997,-74.46,-43.62
1552444046480,302953398558228,-61.199997,-74.4,-43.379997
1552444046497,302953418555656,-61.8,-75.24,-43.079998
1552444046517,302953438553156,-62.1,-75.299995,-42.78
1552444046540,302953458550600,-62.1,-75.479996,-42.66
1552444046557,302953478548100,-62.399998,-75.6,-42.3
1552444046580,302953498545645,-62.46,-75.299995,-41.94
1552444046600,302953518543061,-62.64,-75.78,-41.7
1552444046619,302953538540522,-63.78,-76.02,-40.86
1552444046637,302953558536522,-64.02,-76.2,-40.739998
1552444046723,302953578533322,-64.02,-76.2,-40.739998
1552444046724,302953598530759,-64.26,-76.259995,-40.32
1552444046724,302953618528229,-64.38,-75.54,-39.54
1552444046724,302953638525729,-65.4,-75.42,-39.239998
1552444046741,302953658523255,-65.58,-75.84,-39.059998
1552444046761,302953678520705,-65.04,-75.9,-39.0
1552444046783,302953698518181,-65.04,-75.72,-39.0
1552444046799,302953718515681,-65.34,-75.54,-39.0
1552444046820,302953738513115,-65.159996,-74.82,-39.3
1552444046843,302953758510573,-64.86,-74.7,-39.899998
1552444046861,302953778508053,-65.64,-75.72,-39.78
1552444046881,302953798505553,-65.28,-76.14,-39.18
1552444046903,302953818502997,-64.92,-75.9,-39.059998
1552444046927,302953838500461,-65.58,-76.259995,-38.879997
1552444046942,302953858497564,-64.74,-75.659996,-39.6
1552444046962,302953878495030,-65.28,-76.14,-40.26
1552444046981,302953898525830,-65.82,-76.619995,-39.899998
1552444047001,302953918590030,-65.159996,-76.02,-39.96
1552444047025,302953938687496,-65.28,-76.68,-39.719997
1552444047044,302953958818296,-65.7,-77.28,-39.239998
1552444047065,302953978982496,-66.06,-77.64,-39.059998
1552444047089,302953999179962,-65.58,-77.52,-38.7
1552444047108,302954019410762,-65.46,-77.4,-39.0
1552444047129,302954039674895,-65.22,-77.28,-39.36
1552444047153,302954059972328,-65.04,-77.28,-39.3
1552444047180,302954080303128,-65.58,-77.58,-39.899998
1552444047192,302954100667294,-65.82,-77.58,-39.78
1552444047215,302954121031527,-65.46,-77.46,-38.64
1552444047233,302954141429093,-65.159996,-78.0,-38.52
1552444047254,302954161860693,-64.979996,-78.24,-38.7
1552444047277,302954182325226,-65.34,-77.88,-38.879997
1552444047296,302954202822792,-65.7,-78.119995,-38.399998
1552444047317,302954223353692,-65.58,-78.659996,-38.28
1552444047340,302954243917858,-65.7,-78.54,-38.64
1552444047360,302954264515358,-64.979996,-78.18,-38.16
1552444047420,302954285146258,-65.04,-78.6,-38.219997
1552444047420,302954305810424,-65.82,-79.14,-38.219997
1552444047435,302954326507924,-66.24,-78.96,-38.46
1552444047441,302954347238824,-65.52,-78.78,-38.76
