timeMillis,timeNanos,value
1552444046211,302953110683799,1012.5178
1552444046217,302953130694799,1012.5239
1552444046317,302953230577862,1012.5232
1552444046419,302953303906195,1012.5283
1552444046517,302953383899445,1012.5198
1552444046619,302953467891445,1012.522
1552444046724,302953554549445,1012.5161
1552444046820,302953643111445,1012.51294
1552444046927,302953733101695,1012.51807
1552444047025,302953824536028,1012.5166
1552444047129,302953917325728,1012.5149
1552444047233,302954011133637,1012.5156
1552444047340,302954105873053,1012.5183
1552444047441,302954201400822,1012.52
1552444047546,302954297532750,1012.52515
1552444047650,302954394121683,1012.5237
1552444047748,302954490923058,1012.521
1552444047848,302954587911881,1012.5205
1552444047951,302954859149198,1012.51636
1552444048048,302954956453671,1012.51514
1552444048150,302955053892221,1012.51074
1552444048252,302955151452459,1012.5071
1552444048350,302955249123231,1012.5044
1552444048450,302955346894665,1012.5139
1552444048552,302955444800123,1012.51416
1552444048654,302955542868803,1012.51416
1552444048754,302955641088264,1012.5176
1552444048860,302955739373152,1012.5171
1552444048954,302955837718866,1012.5171
1552444049054,302955936121141,1012.50586
1552444049159,302956034576307,1012.51904
1552444049263,302956135863973,1012.51904
1552444049369,302956237318506,1012.52515
1552444049475,302956338939639,1012.52
1552444049574,302956440727372,1012.52
1552444049674,302956542548472,1012.51514
1552444049779,302956644369538,1012.51587
1552444049883,302956746324004,1012.51855
1552444049982,302956848345070,1012.5193
1552444050084,302956950266170,1012.5193
1552444050184,302957052020570,1012.5239
1552444050282,302957153674903,1012.5349
1552444050436,302957255162769,1012.5249
1552444050482,302957356484135,1012.5327
1552444050584,302957457672235,1012.5244
1552444050684,302957558793635,1012.5405
1552444050787,302957659915035,1012.542
1552444050884,302957761069735,1012.53735
1552444050990,302957862324501,1012.5293
1552444051093,302957963745834,1012.53394
1552444051198,302958065333867,1012.52734
1552444051304,302958167088367,1012.5364
1552444051410,302958269009333,1012.53784
1552444051512,302958371063899,1012.53296
1552444051614,302958473151865,1012.5381
1552444051713,302958575173165,1012.5381
1552444051819,302958677161098,1012.52783
1552444051917,302958779149064,1012.5227
1552444052014,302958881137030,1012.5227
1552444052115,302958983125063,1012.52026
1552444052219,302959085112996,1012.5154
1552444052323,302959187100996,1012.5154
1552444052454,302959288988829,1012.51196
1552444052523,302959390710062,1012.51904
1552444052620,302959492298095,1012.51904
1552444052721,302959593852795,1012.5183
1552444052826,302959695440795,1012.50854
1552444052923,302959796928795,1012.50854
1552444053029,302959898383495,1012.51587
1552444053132,302959999971528,1012.5259
1552444053235,302960101726194,1012.5259
1552444053341,302960203614127,1012.5305
1552444053451,302960305668627,1012.5178
1552444053548,302960407856227,1012.5249
1552444053648,302960510044027,1012.51685
1552444053753,302960612231960,1012.5298
1552444053849,302960714419893,1012.52734
1552444053950,302960816574459,1012.5359
1552444054054,302960918695692,1012.5349
1552444054157,302961020816958,1012.53345
1552444054261,302961122904858,1012.5327
1552444054367,302961224992758,1012.5342
1552444054467,302961327013991,1012.52856
1552444054571,302961429034991,1012.5327
1552444054673,302961531022591,1012.5342
1552444054776,302961633110324,1012.5342
1552444054875,302961735164724,1012.5249
1552444054975,302961837219090,1012.52686
1552444055078,302961939340123,1012.52686
1552444055178,302962041461189,1012.5376
1552444055280,302962143582255,1012.53906
1552444055379,302962245536655,1012.53906
1552444055484,302962347491021,1012.5427
1552444055586,302962449578754,1012.53955
1552444055682,302962551665654,1012.53955
1552444055790,302962653920120,1012.5393
1552444055895,302962756174753,1012.5471
1552444055992,302962858396053,1012.5471
1552444056091,302962960583986,1012.53955
1552444056194,302963062638619,1012.5425
1552444056292,302963164559919,1012.54443
1552444056395,302963266314619,1012.5376
1552444056493,302963367902552,1012.53735
1552444056593,302963469357252,1012.5364
1552444056690,302963570811752,1012.5442
1552444056794,302963672232785,1012.54736
1552444056893,302963773654085,1012.5425
1552444056992,302963875075451,1012.53735
1552444057095,302963976430151,1012.54004
1552444057190,302964077618217,1012.5376
1552444057296,302964178672983,1012.541
1552444057431,302964279561083,1012.55225
1552444057491,302964380349183,1012.55005
1552444057593,302964481037316,1012.53906
1552444057694,302964581758049,1012.5532
1552444057797,302964682379415,1012.5464
1552444057895,302964783000781,1012.5469
1552444057998,302964883622281,1012.5564
1552444058096,302964984177114,1012.5552
1552444058197,302965084765180,1012.541
1552444058303,302965185519980,1012.54175
1552444058452,302965286441413,1012.5398
1552444058509,302965387429513,1012.5469
1552444058615,302965488450213,1012.54956
1552444058715,302965589472313,1012.5542
1552444058815,302965690326879,1012.52856
1552444058918,302965791147945,1012.53613
1552444059016,302965891969245,1012.52344
1552444059116,302965992790711,1012.521
1552444059219,302966093612077,1012.52734
1552444059317,302966194433510,1012.52734
1552444059461,302966295254876,1012.5242
1552444059517,302966396076342,1012.5266
1552444059616,302966496897075,1012.5266
1552444059715,302966597718441,1012.53345
1552444059820,302966698573207,1012.5305
1552444059920,302966799461007,1012.5305
1552444060020,302966900382140,1012.53564
1552444060126,302967001470006,1012.5354
1552444060231,302967102691139,1012.5354
1552444060329,302967203912305,1012.5442
1552444060435,302967305133471,1012.54443
1552444060529,302967406354671,1012.54443
1552444060628,302967507542537,1012.53345
1552444060735,302967608697737,1012.5259
1552444060831,302967709852237,1012.5259
1552444060935,302967811173370,1012.5442
1552444061039,302967912594436,1012.542
1552444061140,302968014082302,1012.54126
1552444061244,302968115703668,1012.5471
1552444061352,302968217325034,1012.55615
1552444061489,302968318879700,1012.55054
1552444061559,302968420301133,1012.551
1552444061657,302968521556533,1012.5459
1552444061753,302968622811299,1012.5408
1552444061856,302968724132632,1012.5459
1552444061960,302968825520732,1012.54663
1552444062059,302968926908532,1012.53955
1552444062161,302969028429565,1012.5398
1552444062266,302969130017531,1012.5427
