timeMillis,timeNanos,value
1552443932469,302839372107555,1012.5513
1552443932559,302839472096555,1012.541
1552443932664,302839572085055,1012.5381
1552443932764,302839672072721,1012.5381
1552443932863,302839772060471,1012.5415
1552443932964,302839872048071,1012.5408
1552443933061,302839972035737,1012.5408
1552443933162,302840072023451,1012.5386
1552443933264,302840172011951,1012.54443
1552443933360,302840271998284,1012.54443
1552443933462,302840371986684,1012.54663
1552443933565,302840472065956,1012.55054
1552443933679,302840572137539,1012.55054
1552443933799,302840673039048,1012.5491
1552443933863,302840773098690,1012.552
1552443933963,302840873152623,1012.552
1552443934061,302840973201873,1012.5525
1552443934171,302841073542814,1012.5432
1552443934273,302841174086369,1012.5432
1552443934380,302841274863947,1012.54175
1552443934482,302841375801947,1012.5437
1552443934583,302841476742327,1012.53784
1552443934706,302841577639327,1012.5342
1552443934785,302841678496848,1012.54224
1552443934881,302841779318056,1012.5493
1552443934981,302841880105936,1012.5508
1552443935085,302841980863051,1012.54663
1552443935185,302842081628680,1012.54785
1552443935285,302842182402251,1012.5383
1552443935386,302842283148906,1012.54785
1552443935485,302842393790124,1012.5488
1552443935590,302842494644824,1012.53735
1552443935699,302842595532857,1012.5476
1552443935788,302842696420890,1012.5476
1552443935889,302842797342290,1012.5486
1552443935991,302842898263723,1012.5442
1552443936091,302842999185089,1012.5432
1552443936193,302843100139789,1012.54297
1552443936299,302843201194255,1012.5498
1552443936400,302843302415955,1012.5432
1552443936504,302843403770488,1012.54834
1552443936609,302843505191621,1012.5471
1552443936706,302843606612087,1012.5471
1552443936806,302843708033887,1012.5508
1552443936907,302843809455020,1012.5513
1552443937007,302843910909953,1012.5513
1552443937111,302844012531786,1012.5547
1552443937219,302844114152886,1012.53564
1552443937322,302844215807286,1012.53564
1552443937430,302844317461619,1012.5381
1552443937533,302844419116185,1012.5437
1552443937633,302844520770885,1012.55347
1552443937733,302844622425585,1012.5554
1552443937834,302844724146918,1012.5488
1552443937934,302844825868284,1012.55054
1552443938034,302844927589650,1012.53955
1552443938136,302845029310950,1012.5508
1552443938235,302845131032283,1012.5459
1552443938335,302845232720316,1012.53564
1552443938438,302845334408116,1012.52344
1552443938536,302845436129149,1012.5342
1552443938637,302845537783782,1012.53687
1552443938741,302845639404448,1012.54004
1552443938837,302845741025814,1012.54736
1552443938937,302845842613814,1012.5498
1552443939039,302845944201814,1012.5427
1552443939138,302846045789847,1012.5486
1552443939238,302846147344547,1012.5486
1552443939341,302846248799213,1012.5552
1552443939444,302846350253946,1012.56274
1552443939548,302846451741846,1012.5503
1552443939685,302846553196412,1012.53955
1552443939751,302846654718478,1012.5432
1552443939851,302846756239844,1012.54297
1552443939954,302846857761177,1012.5454
1552443940054,302846959249177,1012.54443
1552443940152,302847060570543,1012.54736
1552443940255,302847161725309,1012.5354
1552443940353,302847262713375,1012.54224
1552443940451,302847363534775,1012.5415
1552443940559,302847464355975,1012.54565
1552443940712,302847565143708,1012.54565
1552443940756,302847665965041,1012.5432
1552443940857,302847766719774,1012.5469
1552443940957,302847867474540,1012.5469
1552443941059,302847968229240,1012.541
1552443941157,302848068984006,1012.55493
1552443941259,302848169772072,1012.55493
1552443941360,302848270593438,1012.5388
1552443941466,302848371514804,1012.5325
1552443941566,302848472469504,1012.5325
1552443941687,302848573423970,1012.5315
1552443941768,302848674379070,1012.5471
1552443941865,302848775333670,1012.5471
1552443941966,302848876288203,1012.53076
1552443942069,302848977242736,1012.53735
1552443942167,302849078197236,1012.53735
1552443942267,302849179185102,1012.5476
1552443942372,302849280239635,1012.5427
1552443942474,302849381294168,1012.5464
1552443942583,302849482348668,1012.53687
1552443942699,302849583369868,1012.541
1552443942780,302849684324268,1012.5381
1552443942879,302849785278868,1012.54956
1552443942980,302849886233634,1012.5547
1552443943084,302849987221734,1012.55786
1552443943182,302850088209800,1012.55005
1552443943284,302850189197866,1012.5498
1552443943382,302850290219299,1012.55493
1552443943487,302850391407399,1012.551
1552443943593,302850492528799,1012.55005
1552443943709,302850593683532,1012.55664
1552443943790,302850694804698,1012.5503
1552443943891,302850795925798,1012.5493
1552443943991,302850897080431,1012.54736
1552443944096,302850998401864,1012.5574
1552443944203,302851099889897,1012.55493
1552443944308,302851201477897,1012.5586
1552443944412,302851303199230,1012.5625
1552443944518,302851404953930,1012.55615
1552443944619,302851506775230,1012.55615
1552443944733,302851608529896,1012.55396
1552443944821,302851710284562,1012.56006
1552443944919,302851812039062,1012.56006
1552443945020,302851913793628,1012.5532
1552443945122,302852015548261,1012.5547
1552443945222,302852117436294,1012.5547
1552443945328,302852219424227,1012.55396
1552443945434,302852321478827,1012.5459
1552443945536,302852423533460,1012.5647
1552443945640,302852525554760,1012.5537
1552443945745,302852627609360,1012.5498
1552443945840,302852729663960,1012.5508
1552443945942,302852831718460,1012.5503
1552443946046,302852933839393,1012.53955
1552443946148,302853036060526,1012.54736
1552443946254,302853138448459,1012.5437
1552443946360,302853240969659,1012.5408
1552443946460,302853343590825,1012.54443
1552443946564,302853446145325,1012.55176
1552443946707,302853548633191,1012.5393
1552443946763,302853651087724,1012.54224
1552443946863,302853753542290,1012.5403
1552443946967,302853856096790,1012.53516
1552443947072,302853958784390,1012.5405
1552443947175,302854061371923,1012.54297
1552443947280,302854163892923,1012.5342
1552443947384,302854266413989,1012.5342
1552443947485,302854368934989,1012.5408
1552443947593,302854471455955,1012.54224
1552443947692,302854573877021,1012.54224
1552443947790,302854676298021,1012.5354
1552443947894,302854778719021,1012.53174
1552443947995,302854881206654,1012.53174
1552443948099,302854983860987,1012.53467
1552443948208,302855086681853,1012.5383
1552443948307,302855189536286,1012.5371
1552443948411,302855292357519,1012.54004
1552443948515,302855395112085,1012.54004
1552443948619,302855497833218,1012.542
1552443948720,302855600421118,1012.5503
1552443948817,302855702942418,1012.54126
1552443948916,302855805463651,1012.5408
1552443949015,302855907984851,1012.5405
1552443949119,302856010439417,1012.53955
1552443949217,302856112760450,1012.5459
1552443949318,302856214914750,1012.5508
1552443949419,302856316936050,1012.5447
1552443949519,302856418857416,1012.5283
1552443949619,302856520678282,1012.53394
1552443949723,302856622499615,1012.531
1552443949819,302856724320981,1012.53296
1552443949918,302856826142281,1012.5437
1552443950022,302856927863647,1012.5427
1552443950123,302857029551647,1012.5266
1552443950228,302857131339613,1012.53076
1552443950335,302857233160846,1012.5271
1552443950436,302857334982079,1012.5271
1552443950542,302857436803379,1012.5393
1552443950647,302857538591412,1012.53467
1552443950745,302857640379345,1012.53467
1552443950850,302857742300711,1012.5332
1552443950958,302857844355344,1012.5437
1552443951056,302857946476644,1012.5491
1552443951161,302858048531244,1012.55176
1552443951268,302858150585877,1012.5491
1552443951371,302858252640210,1012.5425
1552443951476,302858354761176,1012.53296
1552443951581,302858456949109,1012.54736
1552443951688,302858559137042,1012.54785
1552443951787,302858661458275,1012.5564
1552443951895,302858763912775,1012.54736
1552443951997,302858866533975,1012.54224
1552443952096,302858969155175,1012.54175
1552443952197,302859071776341,1012.5464
1552443952297,302859174397507,1012.5398
1552443952397,302859277018707,1012.55054
1552443952501,302859379706240,1012.5488
1552443952599,302859482360573,1012.5488
1552443952707,302859585015339,1012.5493
1552443952799,302859687669672,1012.54736
1552443952896,302859790323905,1012.54736
1552443952998,302859892978238,1012.5388
1552443953101,302859995632571,1012.5437
1552443953204,302860098153571,1012.5437
1552443953299,302860200541271,1012.55444
1552443953407,302860302895604,1012.553
1552443953508,302860405249937,1012.553
1552443953612,302860507570903,1012.542
1552443953715,302860609792136,1012.53613
1552443953815,302860711980102,1012.53613
1552443953913,302860814068035,1012.5344
1552443954018,302860916189301,1012.54004
1552443954118,302861018277267,1012.53955
1552443954226,302861120398567,1012.5532
1552443954331,302861222519833,1012.5383
1552443954435,302861324641099,1012.5349
1552443954539,302861426729032,1012.54834
1552443954642,302861528783332,1012.5469
1552443954740,302861630704565,1012.5405
1552443954842,302861732559198,1012.54224
1552443954948,302861834447164,1012.54517
1552443955053,302861936335164,1012.5569
1552443955157,302862038389764,1012.5603
1552443955265,302862140611064,1012.5542
1552443955369,302862242998964,1012.5542
1552443955472,302862345520164,1012.55786
1552443955577,302862448041397,1012.55615
1552443955718,302862550595830,1012.55615
1552443955775,302862653183596,1012.56274
1552443955882,302862755904829,1012.5491
1552443955984,302862858759395,1012.5491
1552443956089,302862961780528,1012.54126
1552443956195,302863064934994,1012.54004
1552443956297,302863168256160,1012.54565
1552443956401,302863271643926,1012.54297
1552443956507,302863374998392,1012.551
1552443956607,302863478352125,1012.54517
1552443956711,302863581573258,1012.5503
1552443956812,302863684894058,1012.5525
1552443956913,302863788348458,1012.5525
1552443957015,302863891769524,1012.54297
1552443957117,302863995023990,1012.5493
1552443957219,302864098178423,1012.5493
1552443957316,302864201232856,1012.5503
1552443957424,302864304287322,1012.5532
1552443957526,302864407341788,1012.55396
1552443957627,302864510296221,1012.55054
1552443957730,302864613250687,1012.552
1552443957834,302864716204953,1012.552
1552443957928,302864819092453,1012.5569
1552443958032,302864921813453,1012.55786
1552443958131,302865024367786,1012.55786
1552443958230,302865126755452,1012.5449
1552443958333,302865228976485,1012.54517
1552443958435,302865331064218,1012.54517
1552443958536,302865433151951,1012.5398
1552443958638,302865535172984,1012.53687
1552443958735,302865637160684,1012.53687
1552443958835,302865739148417,1012.5398
1552443958936,302865841002683,1012.5371
1552443959037,302865942790583,1012.5371
1552443959141,302866044545283,1012.5488
1552443959248,302866146299916,1012.5552
1552443959347,302866247921249,1012.5383
1552443959448,302866349442615,1012.5459
1552443959549,302866450897315,1012.53906
1552443959649,302866552218715,1012.54736
1552443959749,302866653540048,1012.55054
1552443959851,302866754761481,1012.54956
1552443959947,302866855849247,1012.5405
1552443960050,302866956970347,1012.54736
1552443960155,302867058258380,1012.5459
1552443960261,302867159713080,1012.541
1552443960361,302867261301113,1012.5471
1552443960470,302867362855779,1012.5393
1552443960569,302867464377145,1012.5386
1552443960690,302867565898511,1012.54224
1552443960775,302867667319911,1012.5342
1552443960875,302867768807911,1012.53687
1552443960978,302867870295977,1012.5427
1552443961077,302867971783877,1012.53394
1552443961174,302868073271810,1012.54175
1552443961273,302868174793176,1012.5383
1552443961378,302868276314542,1012.5383
1552443961479,302868377869208,1012.5498
1552443961579,302868479423908,1012.56055
1552443961719,302868580978608,1012.5498
1552443961783,302868682599974,1012.5498
1552443961889,302868784221307,1012.54834
1552443961988,302868885942673,1012.5366
1552443962092,302868987763739,1012.5366
1552443962194,302869089551339,1012.5498
1552443962302,302869191372672,1012.5398
1552443962407,302869293327272,1012.5398
1552443962509,302869395415172,1012.54785
1552443962614,302869497636405,1012.5481
1552443962714,302869599891638,1012.56006
1552443962816,302869702146238,1012.5469
1552443962916,302869804400738,1012.53296
1552443963018,302869906655304,1012.5408
1552443963116,302870008876570,1012.5388
1552443963221,302870111030836,1012.55273
1552443963321,302870213151836,1012.5613
1552443963421,302870315106236,1012.56665
1552443963522,302870416927369,1012.551
1552443963620,302870518615135,1012.5491
1552443963720,302870620269568,1012.5427
1552443963823,302870721923968,1012.5513
1552443963925,302870823678434,1012.5681
1552443964031,302870925599467,1012.5647
1552443964138,302871027687200,1012.5686
1552443964241,302871129941500,1012.5659
1552443964345,302871232295766,1012.5664
1552443964451,302871334816999,1012.5679
1552443964559,302871437404899,1012.5679
1552443964657,302871539959432,1012.55396
1552443964760,302871642513965,1012.5547
1552443964860,302871745135198,1012.5547
1552443964961,302871847723098,1012.5559
1552443965065,302871950210964,1012.5515
1552443965172,302872052698830,1012.5515
1552443965272,302872155253463,1012.5554
1552443965379,302872257774363,1012.5613
1552443965480,302872360262129,1012.563
1552443965585,302872462783429,1012.56177
1552443965699,302872565271329,1012.56616
1552443965788,302872667692595,1012.5659
1552443965888,302872770147128,1012.56396
1552443965990,302872872601761,1012.5554
1552443966088,302872975056327,1012.5615
1552443966193,302873077644193,1012.5669
1552443966299,302873180298726,1012.5674
1552443966402,302873282953226,1012.5581
1552443966506,302873385740992,1012.5513
1552443966611,302873488695492,1012.55396
1552443966709,302873591649992,1012.55347
1552443966812,302873694604492,1012.5593
1552443966914,302873797692292,1012.5447
1552443967019,302873900746792,1012.5447
1552443967124,302874003801292,1012.55225
1552443967230,302874106789092,1012.55176
1552443967333,302874209776958,1012.55176
1552443967438,302874312798124,1012.54224
1552443967544,302874415785590,1012.53345
1552443967642,302874518673356,1012.54297
1552443967742,302874621494489,1012.54517
1552443967843,302874724315689,1012.5469
1552443967941,302874827003522,1012.5476
1552443968044,302874929724688,1012.5559
1552443968149,302875032512554,1012.54517
1552443968250,302875135267087,1012.5405
1552443968355,302875238021520,1012.54614
1552443968461,302875340809353,1012.5515
1552443968566,302875443597019,1012.55225
1552443968663,302875546251152,1012.5569
1552443968770,302875648972152,1012.5503
1552443968871,302875751793085,1012.5471
1552443968971,302875854580751,1012.5537
1552443969077,302875957434984,1012.5674
1552443969179,302876060422650,1012.56445
1552443969279,302876163310250,1012.55615
1552443969383,302876266031250,1012.5493
1552443969482,302876368618883,1012.5493
1552443969581,302876471206549,1012.5476
1552443969695,302876573660749,1012.5425
1552443969783,302876676115249,1012.5425
1552443969883,302876778569815,1012.53687
1552443969989,302876881024448,1012.53394
1552443970093,302876983478981,1012.53394
1552443970195,302877085933547,1012.54443
1552443970305,302877188454847,1012.55664
1552443970410,302877290976080,1012.5552
1552443970512,302877393497280,1012.553
1552443970614,302877495917880,1012.5486
1552443970723,302877598338880,1012.55347
1552443970820,302877700726513,1012.5515
1552443970914,302877803114413,1012.5659
1552443971023,302877905502313,1012.5476
1552443971116,302878007956879,1012.54004
1552443971227,302878110511412,1012.541
1552443971326,302878213099312,1012.55005
1552443971429,302878315653878,1012.5442
1552443971538,302878418175111,1012.5459
1552443971639,302878520662977,1012.5447
1552443971738,302878623117610,1012.53955
1552443971838,302878725405376,1012.54443
1552443971938,302878827626609,1012.55054
1552443972040,302878929847842,1012.5386
1552443972141,302879032002475,1012.5442
1552443972240,302879134023741,1012.5442
1552443972343,302879236045041,1012.5432
1552443972445,302879338166341,1012.5552
1552443972542,302879440287641,1012.5552
1552443972643,302879542275141,1012.5513
1552443972745,302879644229774,1012.553
1552443972842,302879746184174,1012.553
1552443972943,302879848205107,1012.54614
1552443973045,302879950093040,1012.5547
1552443973145,302880051847706,1012.5547
1552443973243,302880153435672,1012.5344
1552443973345,302880254856972,1012.5315
1552443973444,302880356111638,1012.5315
1552443973544,302880457199704,1012.52954
1552443973644,302880558254404,1012.5366
1552443973745,302880659275770,1012.5366
1552443973849,302880760363803,1012.5349
1552443973949,302880861451536,1012.5371
1552443974045,302880962539269,1012.5371
1552443974146,302881063527202,1012.5283
1552443974248,302881164348402,1012.53467
1552443974349,302881265069635,1012.53467
1552443974455,302881365790868,1012.5393
1552443974560,302881466545401,1012.52734
1552443974660,302881567300001,1012.5305
1552443974761,302881668121167,1012.53687
1552443974866,302881768975733,1012.5337
1552443974964,302881869830199,1012.5342
1552443975067,302881970751332,1012.53125
1552443975174,302882071839332,1012.53784
1552443975277,302882173094032,1012.5415
1552443975380,302882274482098,1012.54614
1552443975488,302882375903431,1012.5437
1552443975591,302882477491464,1012.5325
1552443975721,302882579113264,1012.5261
1552443975791,302882680734597,1012.5254
1552443975893,302882782389263,1012.5254
1552443975992,302882883977296,1012.53296
1552443976093,302882985564996,1012.5261
1552443976194,302883087152696,1012.5261
1552443976294,302883188774062,1012.5283
1552443976395,302883290395428,1012.5303
1552443976496,302883392116761,1012.5303
1552443976601,302883493971427,1012.5454
1552443976741,302883595926760,1012.5237
