bssid,frequency,legit,rss,ssid,timestamp,wifiNo
00:24:6c:7d:f5:00,2412,true,-46,Welcome_KAIST,1233163155336,1
00:24:6c:7d:f5:01,2412,true,-48,eduroam,1233163155339,1
00:24:6c:7d:f5:02,2412,true,-48,Welcome_1st_KAIST,1233163155348,1
90:9f:33:ac:99:10,2417,true,-49,NMSL_N1_706,1233163155342,1
00:24:6c:7d:f5:11,5745,true,-49,eduroam,1233163155428,1
00:24:6c:7d:f5:10,5745,true,-50,Welcome_KAIST,1233163155425,1
00:24:6c:7d:f5:12,5745,true,-50,Welcome_1st_KAIST,1233163155434,1
00:24:6c:78:f5:a1,2412,true,-55,eduroam,1233163155358,1
ea:9e:b4:2d:85:15,2437,true,-56,DIRECT-15-HP M377 LaserJet,1233163155462,1
00:24:6c:7d:f3:f1,5765,true,-57,eduroam,1233163155473,1
00:24:6c:7d:f3:f2,5765,true,-57,Welcome_1st_KAIST,1233163155477,1
00:24:6c:7d:f8:61,2412,true,-58,eduroam,1233163155369,1
00:24:6c:7d:f3:f0,5765,true,-58,Welcome_KAIST,1233163155469,1
00:24:6c:78:f5:a2,2412,true,-59,Welcome_1st_KAIST,1233163155364,1
00:24:6c:78:f5:a0,2412,true,-59,Welcome_KAIST,1233163155345,1
56:13:79:77:bf:42,2422,true,-59,DIRECT-42-HP visoft,1233163155393,1
00:26:66:18:15:7c,2422,true,-59,DoDo,1233163155384,1
00:24:6c:7d:f8:60,2412,true,-60,Welcome_KAIST,1233163155351,1
00:24:6c:7d:f5:82,2432,true,-60,Welcome_1st_KAIST,1233163155419,1
00:24:6c:7d:f5:81,2432,true,-60,eduroam,1233163155416,1
00:24:6c:7d:f3:e0,2452,true,-60,Welcome_KAIST,1233163155572,1
00:24:6c:7d:f3:e1,2452,true,-60,eduroam,1233163155584,1
00:24:6c:7d:f3:e2,2452,true,-60,Welcome_1st_KAIST,1233163155588,1
88:36:6c:9f:75:c8,2447,true,-60,,1233163155544,1
00:24:6c:7d:f5:80,2432,true,-61,Welcome_KAIST,1233163155421,1
fa:8f:ca:78:be:1f,2437,true,-61,8F Lounge speaker.k,1233163155500,1
ec:08:6b:6a:48:3d,2437,true,-62,NMSL_N1_721_TP-LINK_483D,1233163155451,1
00:26:66:9b:07:cc,2412,true,-62,g,1233163155372,1
