timeMillis,timeNanos,x,y,z
1575866999955,610343057995616,-0.38300213,-0.05255396,-0.2056655
1575866999967,610343077995616,-0.24739005,-0.1942747,-0.30157134
1575866999990,610343097996249,0.14967236,0.14475551,-0.4359617
1575867000008,610343117996249,0.47404182,0.24677001,-0.7236792
1575867000028,610343137954399,0.949295,0.24738087,-1.1744978
1575867000049,610343157954399,1.6047534,0.59068716,-1.4304503
1575867000067,610343177954399,1.039703,0.28830883,-0.88189334
1575867000087,610343197954399,0.13012467,-0.7984204,-0.10304014
1575867000110,610343217954399,0.18815687,-0.2504743,-0.024849389
1575867000128,610343237954399,0.030553646,-0.025675887,-0.16657013
1575867000151,610343257954399,0.043381818,-0.0036847391,-0.23071097
1575867000172,610343277954399,0.13195728,-0.11608395,-0.13785945
1575867000188,610343297954399,0.1789939,-0.06049521,0.24698564
1575867000208,610343317954399,-0.021980764,0.15086417,0.5139338
1575867000230,610343337954399,-0.15026246,0.31640866,0.4235257
1575867000248,610343357954265,0.042160086,0.075727746,0.19384038
1575867000268,610343377954265,0.43983337,-0.4545033,0.08205203
1575867000290,610343397954565,0.6188169,-0.72939265,0.016078584
1575867000308,610343417954565,0.41173354,-0.74710774,-0.08532505
1575867000328,610343437954565,0.16738747,-0.78620315,-0.17695484
1575867000351,610343457954565,0.07209248,-0.7672663,-0.22276972
1575867000368,610343477954565,-0.032976337,-0.5265854,-0.21116328
1575867000388,610343497954265,-0.18386006,-0.2523069,-0.15252022
1575867000412,610343517954265,-0.28343108,-0.11364048,-0.12686388
1575867000429,610343537954565,-0.28282022,-0.0641604,-0.13602686
1575867000450,610343557954565,-0.29076147,-0.025675887,-0.094488025
1575867000473,610343577954565,-0.3219156,-0.049499635,0.007526471
1575867000491,610343597954565,-0.24494658,-0.015902044,0.11198443
1575867000510,610343617954898,-0.053745758,-0.053775687,0.18345566
1575867000528,610343637954298,0.1069118,0.062899575,0.17368183
1575867000547,610343657954598,0.13012467,0.29136315,0.02951762
1575867000568,610343677954831,0.11851824,0.28708714,-0.049894862
1575867000589,610343697954297,0.16433313,0.13925771,0.0032504138
1575867000608,610343717954330,0.24924341,0.14719898,0.05211963
1575867000628,610343737954296,0.27856493,0.30235875,0.076554246
1575867000650,610343757954196,0.16433313,0.25287867,0.042345792
1575867000668,610343777954062,-0.07268258,0.17896397,-0.0034691037
1575867000689,610343797953928,-0.41782144,0.33595634,-0.00652343
1575867000710,610343817953728,-0.75013214,0.5491483,0.020965505
1575867000728,610343837953394,-0.91262233,0.62428474,0.060671747
1575867000748,610343857952994,-0.82343596,0.6193978,0.19078603
1575867000770,610343877952527,-0.5436597,0.4550751,0.263479
1575867000788,610343897951927,-0.2742681,0.20217685,0.20972288
1575867000808,610343917951693,-0.24189226,0.09283197,0.108930096
1575867000828,610343937950226,-0.3555132,0.081836395,0.116260484
1575867000848,610343957950192,-0.39155424,0.19667906,0.18223393
1575867000866,610343977948558,-0.31763956,0.3298477,0.20483594
1575867000890,610343997947258,-0.17652968,0.3805495,0.18895344
1575867000908,610344017946191,-0.050080568,0.21744849,0.17551441
1575867000928,610344037944991,0.10263574,-0.0073499307,0.16818404
1575867000949,610344057943291,0.21198063,-0.109975286,0.15352327
1575867000967,610344077941257,0.20770457,-0.13746424,0.1388625
1575867000988,610344097939857,0.0910293,-0.09042761,0.09060414
1575867001011,610344117938323,-0.061687004,0.037243232,0.021576373
1575867001028,610344137936423,-0.18080573,0.16002715,-0.013242948
1575867001049,610344157934756,-0.23089668,0.24982435,0.0044721444
1575867001071,610344177933022,-0.18630351,0.20400944,0.040513195
1575867001087,610344197930488,-0.07512604,-6.3041295E-4,0.05211963
1575867001148,610344217927554,-0.06840652,-0.124636054,0.03196108
1575867001148,610344237925987,-0.23944879,-1.9547688E-5,-0.008356025
1575867001148,610344257923587,-0.43431482,0.19851166,-0.018740734
1575867001167,610344277920487,-0.50150996,0.29014146,0.0111916615
1575867001217,610344297917453,-0.50150996,0.29014146,0.0111916615
1575867001243,610344317948453,-0.50150996,0.29014146,0.0111916615
1575867001243,610344337978686,-0.6224613,0.12642956,-0.1213661
1575867001250,610344358009619,-0.6670544,0.0958863,-0.045618806
1575867001268,610344378040519,-0.5748138,0.15330763,-0.027903713
1575867001288,610344398070585,-0.45141903,0.17041185,-0.034012366
1575867001311,610344418101351,-0.29320493,0.20278773,-0.06822082
1575867001329,610344438132184,-0.116054006,0.036021505,-0.06638822
1575867001349,610344458163017,0.01222769,-0.25169602,-0.056003515
1575867001371,610344478193783,-0.02625682,-0.3311085,-0.014464678
1575867001389,610344498224616,-0.0024330763,-0.27063283,0.046621844
1575867001411,610344518255016,0.13440074,-0.14296202,0.0789977
1575867001431,610344538286516,0.24802166,-0.15395759,0.04845444
1575867001449,610344558316649,0.29933435,-0.30667388,0.0063047404
1575867001469,610344578348182,0.31704944,-0.3543214,0.03196108
1575867001491,610344598379048,0.3494253,-0.27368715,0.09915626
1575867001509,610344618409848,0.33415368,-0.099590585,0.11198443
1575867001529,610344638440714,0.21503496,0.10138409,0.10282145
1575867001551,610344658472014,0.05865345,0.20767464,0.09610193
1575867001572,610344678503514,-0.12399526,0.13131648,0.034404542
1575867001591,610344698534314,-0.2425031,0.019528141,-0.015075543
1575867001611,610344718565180,-0.24433571,0.017084679,-0.026681984
1575867001630,610344738596046,-0.21990111,0.1343708,0.005693875
1575867001653,610344758626146,-0.1936339,0.24127221,0.054563094
1575867001672,610344778656946,-0.119108334,0.20400944,0.12053654
1575867001692,610344798688479,0.0018429805,0.014641218,0.14680374
1575867001715,610344818751585,0.16922006,-0.05683002,0.16940576
1575867001735,610344838782485,0.29933435,-0.051332228,0.1388625
1575867001753,610344858813451,0.28467357,-0.06721472,0.054563094
1575867001774,610344878845117,0.14722891,-0.055608284,0.020965505
1575867001791,610344898876717,0.094694495,-0.015902044,0.10648664
1575867001811,610344918907617,0.18326996,0.025025927,0.20178162
1575867001832,610344938972617,0.19304381,-0.0018521434,0.19261864
1575867001855,610344959070183,0.16066794,-0.058662612,0.18406653
1575867001875,610344979201083,0.08553152,-0.09653626,0.2249945
1575867001895,610344999366083,-0.030532878,-0.08981674,0.28363758
1575867001918,610345019563649,-0.1441538,-0.07271251,0.28547016
1575867001937,610345039794549,-0.25288785,-0.08309722,0.26042467
1575867001957,610345060058782,-0.2993136,-0.09653626,0.21705325
1575867001982,610345080356348,-0.16309063,0.009754296,0.18101221
1575867002000,610345100687248,0.103246614,0.12154263,0.23721181
1575867002020,610345121051481,0.30788648,0.049460538,0.25798124
1575867002044,610345141449047,0.3103299,-0.08492982,0.2249945
1575867002066,610345161879947,0.081255466,-0.08920587,0.17917961
1575867002082,610345182310147,-0.070849985,0.026858522,0.13825163
1575867002143,610345202740980,-0.1093345,0.10749274,0.08754982
1575867002143,610345223171880,-0.07879123,0.087945044,0.026463293
1575867002143,610345243602780,-0.070849985,0.009754296,-0.04806227
1575867002164,610345264033680,-0.06840652,-0.033006273,-0.11525745
1575867002182,610345284464580,-0.057410948,0.040297557,-0.14091378
1575867002200,610345304894780,-0.042750183,0.15208589,-0.13052906
1575867002224,610345325325680,-0.009152594,0.1905704,-0.09937495
1575867002242,610345345756513,0.010395094,0.13864687,-0.08715764
1575867002261,610345366188113,-0.0354198,0.028691119,-0.08165986
1575867002284,610345386619013,-0.1215518,-0.06965819,-0.04134275
1575867002303,610345407083246,-0.16125804,-0.051943094,0.031350218
1575867002324,610345427580712,-0.13315824,-0.027508484,0.07594337
1575867002348,610345448111478,-0.09589546,-0.09592539,0.04845444
1575867002367,610345468675511,-0.06718479,-0.19488555,0.0063047404
1575867002390,610345489272877,-0.041528452,-0.21321152,-0.010799487
1575867002410,610345509903643,0.0110059595,-0.19855075,-0.031568903
1575867002429,610345530534343,0.06903815,-0.22481796,-0.03095804
1575867002450,610345551165043,0.098970555,-0.26391333,-0.05172746
1575867002473,610345571795809,0.11240959,-0.2822393,-0.07066429
1575867002492,610345592426509,0.16555487,-0.27735236,0.027685024
1575867002514,610345613057242,0.16250053,-0.3555431,0.11076269
1575867002538,610345633688042,0.017725477,-0.5559069,0.14924721
1575867002555,610345654318775,-0.2626617,-0.5778981,0.12725605
1575867002575,610345674916175,-0.43064964,-0.25536123,0.077165104
1575867002597,610345695480308,-0.4556951,-0.033006273,0.07777597
1575867002617,610345716011108,-0.44408867,-0.08126462,0.02951762
1575867002635,610345736508508,-0.16981015,-0.059884343,-0.036455825
1575867002657,610345756972641,0.22236533,0.073284276,-0.026681984
1575867002676,610345777403441,0.5461239,0.138036,-0.04134275
1575867002697,610345797834874,0.65669054,0.06656477,-0.15496369
1575867002720,610345818265640,0.5589521,-0.054386556,-0.28141278
1575867002736,610345838696406,0.35858828,-0.07149079,-0.33333632
1575867002756,610345859127206,0.17655045,0.0781712,-0.35960355
1575867002779,610345879558106,0.07209248,0.19545734,-0.41397056
1575867002797,610345899989106,0.068427294,0.19667906,-0.43657258
1575867002818,610345920420839,0.13928767,0.12704042,-0.39992064
1575867002840,610345940851872,0.17288525,0.01586295,-0.3406667
1575867002858,610345961282972,0.12707035,-0.080653764,-0.29240835
1575867002879,610345981714072,0.039105758,-0.06538212,-0.24353914
1575867002903,610346002145172,-0.037863262,0.041519288,-0.20077857
1575867002918,610346022542872,-0.100171514,0.13986859,-0.17512223
1575867002939,610346042907305,-0.11055622,0.18079656,-0.14274639
1575867002959,610346063238405,-0.076958634,0.18262917,-0.11342485
1575867002985,610346083536171,-0.0354198,0.15208589,-0.06883169
1575867002997,610346103800604,-0.03175461,0.13070561,-0.001636508
1575867003019,610346124031704,-0.0354198,0.15880542,0.049676172
1575867003039,610346144229537,-0.013428651,0.1820183,0.055784825
1575867003058,610346164393970,-0.022591628,0.1820183,0.06006088
1575867003080,610346184524770,-0.053745758,0.21928108,0.09060414
1575867003094,610346204621903,-0.047637105,0.28647625,0.10770837
1575867003183,610346224686369,-0.04397191,0.2614308,0.12175827
1575867003183,610346244717435,-0.07390431,0.17041185,0.09610193
1575867003183,610346264715235,-0.09223027,0.12887302,0.104654044
1575867003183,610346284713035,-0.024424225,0.13375993,0.17490354
1575867003196,610346304710768,0.10141402,0.19118127,0.23965526
1575867003214,610346324708501,0.113631316,0.21133983,0.23354661
1575867003236,610346344706334,-0.11116709,0.04274102,0.1529124
1575867003255,610346364703467,-0.47707537,-0.06538212,0.055784825
1575867003275,610346384701233,-0.73669314,-0.08248636,-0.0059125647
1575867003295,610346404699066,-0.7330279,-0.00490647,0.008748202
1575867003316,610346424696899,-0.35795665,0.14964244,0.057006553
1575867003335,610346444694665,0.23641524,0.29075232,0.12908866
1575867003355,610346464692398,0.6713513,0.22722232,0.17856874
1575867003377,610346484690031,0.72388566,-0.03361714,0.15352327
1575867003395,610346504687631,0.4263943,-0.3488236,0.12908866
1575867003415,610346524685131,-0.0140395155,-0.49359867,0.16757317
1575867003437,610346544682631,-0.28953972,-0.33416283,0.27325284
1575867003455,610346564680131,-0.32435906,-0.06843645,0.35755226
1575867003475,610346584677631,-0.14171036,0.045795344,0.38565207
1575867003497,610346604675064,0.10569007,-0.0922602,0.36121744
1575867003516,610346624672564,0.27489975,-0.29018053,0.29768747
1575867003535,610346644670064,0.3921859,-0.38791898,0.240877
1575867003556,610346664667497,0.3860772,-0.31522602,0.24393132
1575867003575,610346684664997,0.29261485,-0.23520267,0.21705325
1575867003595,610346704662497,0.1582245,-0.20282681,0.16207539
1575867003618,610346724659997,0.021390669,-0.18266825,0.10954097
1575867003636,610346744657463,-0.08306729,-0.14112942,0.06494781
1575867003656,610346764655063,-0.14720814,-0.09164934,0.020354642
1575867003678,610346784652896,-0.16981015,-0.06843645,-0.043175347
1575867003698,610346804651062,-0.14842987,-0.024454158,-0.091433704
1575867003717,610346824648528,-0.07146084,0.006089105,-0.13236167
1575867003738,610346844646061,0.029331917,0.017695544,-0.18550694
1575867003757,610346864643594,0.047657873,-0.021399831,-0.21666107
1575867003777,610346884641060,-0.056800082,-0.10753183,-0.2038329
1575867003799,610346904638593,-0.13315824,-0.12830125,-0.18672869
1575867003817,610346924636126,-0.14904074,-0.1362425,-0.1916156
1575867003837,610346944633592,-0.19424477,-0.1484598,-0.18306349
1575867003857,610346964631092,-0.37383914,-0.2804067,-0.18306349
1575867003876,610346984628725,-0.6688871,-0.3103391,-0.22765665
1575867003895,610347004626358,-0.7434126,-0.049499635,-0.23804136
1575867003918,610347024623924,-0.37383914,0.24615915,-0.13113993
1575867003937,610347044621557,0.1350116,0.1905704,-0.10242928
1575867003956,610347064619190,0.47587442,-0.02262156,-0.19039388
1575867003980,610347084616823,0.49786556,-0.22970489,-0.28874317
1575867003998,610347104647723,0.15639189,-0.23642439,-0.30462566
1575867004019,610347124712023,-0.13865602,0.06473217,-0.31501037
1575867004040,610347144776323,-0.20646207,0.36039096,-0.34005585
1575867004059,610347164840556,0.006119037,0.4489664,-0.3608253
1575867004079,610347184904089,0.33598626,0.4110928,-0.32539508
1575867004107,610347204968389,0.5943823,0.31824124,-0.28324538
1575867004199,610347225032622,0.70739233,0.1869052,-0.25697818
1575867004199,610347245096855,0.6255364,0.05129313,-0.26614118
1575867004199,610347265161155,0.368973,-0.054386556,-0.31623212
1575867004199,610347285225455,0.100192286,-0.0763777,-0.3815947
1575867004200,610347305289688,-0.08245642,-0.015291179,-0.44573554
1575867004219,610347325353921,-0.22295544,0.08122553,-0.44329208
1575867004237,610347345418187,-0.351848,0.20523117,-0.3339472
1575867004257,610347365482353,-0.39644116,0.2852545,-0.189783
1575867004278,610347385546586,-0.27487898,0.29502836,-0.023627657
1575867004297,610347405644219,-0.14232121,0.22844405,0.089993276
1575867004317,610347425741852,-0.10994536,0.169801,0.17123836
1575867004340,610347445839418,-0.11422141,0.17529878,0.20239249
1575867004358,610347465936984,-0.097117186,0.20156598,0.209112
1575867004377,610347486034617,-0.01220692,0.16919012,0.21583152
1575867004400,610347506132183,0.12707035,0.074506015,0.22377276
1575867004419,610347526229749,0.31277338,0.16857925,0.31234825
1575867004438,610347546327349,0.22541966,0.192403,0.38931727
1575867004460,610347566425615,-0.21257073,-0.040336654,0.33922628
1575867004478,610347586523048,-0.5424379,-0.18144652,0.18651
1575867004500,610347606620481,-0.48746008,-0.06843645,0.06555867
1575867004521,610347626717981,-0.12521699,0.11360139,0.0789977
1575867004538,610347646815414,0.16555487,0.031745445,0.1669623
1575867004558,610347666912847,0.08797498,-0.23398094,0.25737035
1575867004581,610347687010280,-0.18813612,-0.34149322,0.3618283
1575867004598,610347707074446,-0.28831804,-0.14784893,0.4534581
1575867004618,610347727105212,-0.12033007,0.032967176,0.46995145
1575867004639,610347747135978,0.16860919,0.037243232,0.4235257
1575867004658,610347767166844,0.33476454,-0.006739065,0.37526733
1575867004677,610347787198410,0.4954221,0.026858522,0.36854783
1575867004701,610347807262543,0.6145408,0.07145169,0.39298245
1575867004719,610347827360076,0.61515164,0.06167784,0.3795434
1575867004740,610347847490876,0.46610054,-0.006739065,0.30501786
1575867004766,610347867655009,0.15944621,-0.13502076,0.15169068
1575867004786,610347887852475,-0.029922012,-0.18144652,0.047232714
1575867004806,610347908083275,-0.07390431,-0.13013385,0.01668945
1575867004829,610347928347408,-0.022591628,-0.08920587,-0.0010256427
1575867004848,610347948644874,0.047657873,-0.062327806,-0.07005341
1575867004869,610347968975640,0.010395094,-0.06782559,-0.14885503
1575867004892,610347989339773,-0.0494697,-0.028730216,-0.20261118
1575867004910,610348009704006,-0.09894978,-0.023232428,-0.22032626
1575867004933,610348030101606,-0.1392669,-0.15090325,-0.15862888
1575867004955,610348050532639,-0.1178866,-0.15640105,-0.109148785
1575867004972,610348070997039,-0.043361045,-0.11730567,-0.109148785
1575867004993,610348091494772,-0.004265672,-0.1289121,-0.18062003
1575867005017,610348112025905,-0.25105524,-0.34760186,-0.3321146
1575867005035,610348132590371,-0.4746319,-0.35187793,-0.362047
1575867005058,610348153188104,-0.36711964,-0.08737328,-0.3406667
1575867005077,610348173818470,0.027499322,0.20828551,-0.29424098
1575867005097,610348194449603,0.2907822,0.14170119,-0.33333632
1575867005143,610348215080669,0.23275004,-0.11058616,-0.37304258
1575867005143,610348235711735,-0.03175461,-0.21932018,-0.35105142
1575867005156,610348256342868,-0.12888218,-0.030562809,-0.2478152
1575867005176,610348276974001,-0.05191316,0.13681427,-0.2020003
1575867005198,610348297605067,0.113631316,0.19851166,-0.20505464
1575867005218,610348318236133,0.31216255,0.27609155,-0.19955686
1575867005236,610348338867266,0.48870257,0.32129556,-0.18489608
