timeMillis,timeNanos,value
1575868783275,612126368498433,1015.09375
1575868783368,612126468525310,1015.11743
1575868783466,612126568525310,1015.1233
1575868783567,612126668525310,1015.11304
1575868783671,612126768525310,1015.1062
1575868783769,612126868525310,1015.1089
1575868783866,612126968526976,1015.10205
1575868783968,612127068526833,1015.0896
1575868784069,612127168525833,1015.09204
1575868784166,612127268521055,1015.09595
1575868784269,612127368517655,1015.10034
1575868784370,612127468513382,1015.11084
1575868784530,612127568506632,1015.1079
1575868784583,612127668499555,1015.11035
1575868784665,612127768493483,1015.1089
1575868784769,612127868487016,1015.11426
1575868784870,612127968480141,1015.10205
1575868784972,612128069314307,1015.10034
1575868785071,612128169362751,1015.09717
1575868785173,612128269408119,1015.0857
1575868785269,612128369450619,1015.0857
1575868785378,612128469680904,1015.0884
1575868785576,612128570036449,1015.1013
1575868785577,612128670376057,1015.1013
1575868785675,612128770701015,1015.1089
1575868785779,612128871012415,1015.0957
1575868785875,612128971311376,1015.0957
1575868785976,612129071598783,1015.09863
1575868786077,612129171875497,1015.09985
1575868786174,612129272142393,1015.09985
1575868786275,612129372399926,1015.10156
1575868786377,612129472657059,1015.10693
1575868786546,612129572913792,1015.10693
1575868786574,612129673170092,1015.095
1575868786679,612129773425992,1015.0813
1575868786777,612129873714758,1015.0813
1575868786878,612129974002791,1015.1062
1575868786979,612130074290757,1015.1111
1575868787078,612130174611890,1015.1111
1575868787178,612130274933823,1015.09985
1575868787280,612130375255289,1015.10596
1575868787378,612130475576789,1015.09717
1575868787496,612130575965622,1015.1023
1575868787583,612130676354422,1015.1128
1575868787680,612130776742555,1015.10156
1575868787780,612130877130688,1015.0913
1575868787882,612130977518854,1015.084
1575868787980,612131077873620,1015.0928
1575868788080,612131178228220,1015.09937
1575868788182,612131278582686,1015.09326
1575868788280,612131378937219,1015.0842
1575868788386,612131479291819,1015.062
1575868788499,612131579613152,1015.07007
1575868788584,612131679934385,1015.08594
1575868788686,612131780255651,1015.0869
1575868788788,612131880576984,1015.0769
1575868788887,612131980898250,1015.0696
1575868788986,612132081219550,1015.084
1575868789088,612132181540816,1015.09424
