timeMillis,timeNanos,x,y,z
1575869060448,612403545383805,0.56744313,0.035914123,9.957788
1575869060459,612403565383805,0.5243462,-0.071828246,9.687236
1575869060478,612403585383805,0.44294083,-0.11492519,10.084685
1575869060497,612403606504262,0.39505535,-0.09577099,10.108628
1575869060516,612403626504262,0.37590113,-0.062251143,10.161303
1575869060538,612403646504262,0.42139238,0.019154198,9.785401
1575869060555,612403666504262,0.48843205,0.105348095,9.60583
1575869060575,612403686504262,0.70870537,0.5458947,8.60263
1575869060597,612403706504262,0.117319465,0.53871185,9.313729
1575869060619,612403726504262,-0.34956414,0.49800915,9.438231
1575869060637,612403746504262,-0.5147691,0.41420954,9.502876
1575869060659,612403766504262,-0.4740664,0.27294734,9.778218
1575869060676,612403786504262,-0.26337022,0.35914123,9.972155
1575869060696,612403806504262,-0.07901107,0.47167215,9.6896305
1575869060718,612403826504262,-0.04070267,0.4932206,9.332883
1575869060736,612403846504262,0.098165266,0.4070267,9.510059
1575869060757,612403866504395,0.22745611,0.30886146,9.783007
1575869060779,612403886504395,0.32562137,0.22985038,10.041589
1575869060797,612403906504395,0.30886146,0.102953814,9.960183
1575869060817,612403926504395,0.3974496,0.090982445,9.897932
1575869060838,612403946504395,0.6608198,-0.014365649,10.07032
1575869060858,612403966504261,0.85954463,0.021548472,10.166091
1575869060877,612403986504261,0.7398309,0.021548472,9.991309
1575869060900,612404006504594,0.25379312,-0.22985038,9.553157
1575869060919,612404026504594,-0.071828246,-0.41420954,9.186832
1575869060939,612404046504594,-0.21309046,-0.5219519,9.220352
1575869060960,612404066504594,0.22506183,-0.23463893,9.648928
1575869060979,612404086504594,0.8044763,0.29210153,9.821315
1575869060998,612404106504294,1.158829,0.749408,9.687236
1575869061018,612404126503927,1.0008069,0.91461295,9.016839
1575869061036,612404146504227,0.94573855,0.9241901,9.256267
1575869061056,612404166504460,0.8284191,0.9026416,8.89952
1575869061078,612404186504660,0.6464542,0.8236305,9.110215
1575869061096,612404206504460,0.49082634,0.69194543,9.26345
1575869061116,612404226504526,0.4189981,0.55307746,9.454991
1575869061138,612404246504526,0.409421,0.45491222,9.44302
1575869061157,612404266504492,0.4189981,0.38068968,9.557945
1575869061179,612404286504458,0.77574503,0.08858817,9.016839
1575869061201,612404306504391,1.0798179,0.14605077,9.950606
1575869061222,612404326504257,1.3288225,0.28252444,9.818921
1575869061237,612404346504057,1.3575538,0.45730647,9.435837
1575869061260,612404366503723,1.0798179,0.22266756,9.531608
1575869061277,612404386503323,0.8356019,-0.083799616,9.945818
1575869061296,612404406502423,0.70631105,-0.22985038,10.235525
