timeMillis,timeNanos,value
1575869060448,612403537384149,1015.06616
1575869060538,612403638492262,1015.06934
1575869060637,612403738492262,1015.06934
1575869060736,612403838492262,1015.08545
1575869060838,612403938492262,1015.0813
1575869060939,612404038492262,1015.08057
1575869061036,612404138493762,1015.0757
1575869061138,612404238493762,1015.07837
1575869061237,612404338493012,1015.0737
1575869061337,612404438488456,1015.0713
1575869061454,612404538485256,1015.0725
1575869061537,612404638481256,1015.07715
1575869061651,612404738474756,1015.0762
1575869061780,612404838467832,1015.0867
1575869061836,612404938461903,1015.0842
1575869061936,612405038455569,1015.0906
1575869062040,612405138511319,1015.08374
1575869062140,612405240310606,1015.07324
1575869062253,612405340414606,1015.07495
1575869062343,612405440512711,1015.08594
1575869062441,612405540605311,1015.08203
1575869062540,612405640692834,1015.0757
1575869062724,612405740774879,1015.0845
1575869062738,612405840853792,1015.0842
1575869062841,612405941053833,1015.0818
1575869062948,612406041445313,1015.0803
1575869063051,612406142013582,1015.08545
1575869063157,612406242745507,1015.0925
1575869063263,612406343593649,1015.0935
1575869063367,612406444584614,1015.09375
1575869063473,612406545708814,1015.08984
1575869063574,612406646832547,1015.0762
1575869063690,612406747955447,1015.0762
1575869063772,612406849078413,1015.09204
1575869063872,612406950200913,1015.0913
1575869063972,612407051323013,1015.0913
1575869064073,612407152477679,1015.0869
1575869064177,612407253698945,1015.0852
1575869064281,612407355053278,1015.0852
1575869064383,612407456541844,1015.0957
1575869064486,612407558029877,1015.0935
1575869064583,612407659517543,1015.093
1575869064686,612407761072209,1015.1023
1575869064790,612407862627109,1015.10596
1575869064886,612407964181809,1015.10156
1575869064984,612408065736509,1015.0957
1575869065087,612408167257909,1015.08765
1575869065188,612408268779242,1015.0913
1575869065285,612408370300475,1015.09326
1575869065390,612408471821508,1015.0989
1575869065488,612408573376074,1015.0908
1575869065585,612408674930774,1015.08984
1575869065687,612408776486174,1015.0928
1575869065787,612408878040840,1015.1008
1575869065885,612408979495506,1015.1013
1575869065987,612409080783606,1015.09595
1575869066085,612409181904972,1015.09204
1575869066188,612409282893038,1015.09106
1575869066289,612409383747838,1015.0974
1575869066389,612409484435871,1015.1008
1575869066492,612409585023904,1015.1052
1575869066589,612409685612070,1015.1045
1575869066689,612409786267336,1015.1001
1575869066790,612409886922069,1015.103
1575869066892,612409987576869,1015.1052
1575869066990,612410088231702,1015.09546
1575869067091,612410188853202,1015.09326
1575869067192,612410289408002,1015.0869
1575869067290,612410389829468,1015.0945
1575869067392,612410490117501,1015.09644
1575869067492,612410590405367,1015.09766
1575869067592,612410690693567,1015.094
1575869067711,612410790915800,1015.08276
1575869067794,612410891137733,1015.09204
1575869067892,612410991392566,1015.09814
1575869067995,612411091713999,1015.0906
1575869068102,612411192202132,1015.07275
1575869068204,612411292790265,1015.07275
1575869068308,612411393544965,1015.08105
1575869068415,612411494399731,1015.0913
1575869068514,612411595220931,1015.0913
1575869068615,612411696075397,1015.0791
1575869068712,612411796929930,1015.08765
1575869068812,612411897784463,1015.08765
1575869068912,612411998639063,1015.095
1575869069012,612412099493563,1015.09326
1575869069111,612412200348163,1015.09326
1575869069212,612412301202696,1015.0879
1575869069319,612412402223896,1015.0952
1575869069424,612412503411729,1015.0825
1575869069525,612412604532862,1015.0891
1575869069717,612412705653928,1015.0779
1575869069723,612412806741661,1015.07837
1575869069823,612412907829761,1015.08887
1575869069930,612413008984527,1015.0947
1575869070028,612413110139193,1015.0935
1575869070126,612413211293926,1015.09155
1575869070231,612413312515292,1015.09106
1575869070328,612413413770058,1015.09204
1575869070429,612413515024724,1015.08887
1575869070531,612413616279390,1015.0737
1575869070667,612413717534123,1015.0625
1575869070729,612413818821823,1015.07764
1575869070836,612413920176289,1015.09326
1575869070932,612414021497655,1015.09204
1575869071033,612414122752421,1015.08765
1575869071140,612414223840487,1015.083
1575869071239,612414324828553,1015.08496
1575869071333,612414425650053,1015.094
1575869071435,612414526371486,1015.0979
1575869071535,612414627092952,1015.10156
1575869071691,612414727781018,1015.09814
1575869071734,612414828469051,1015.0947
1575869071832,612414929157084,1015.0957
1575869071934,612415029878450,1015.094
1575869072041,612415130766550,1015.0891
1575869072145,612415231821283,1015.0891
1575869072246,612415332976016,1015.0918
1575869072353,612415434130716,1015.1045
1575869072459,612415535285482,1015.1045
1575869072558,612415636506882,1015.1116
1575869072660,612415737728282,1015.10376
1575869072760,612415838916315,1015.10376
1575869072858,612415940104048,1015.10864
1575869072961,612416041225114,1015.11743
1575869073061,612416142346514,1015.11304
1575869073161,612416243467914,1015.1052
1575869073265,612416344555947,1015.09546
1575869073365,612416445677313,1015.09766
1575869073471,612416546965379,1015.0918
1575869073576,612416648420045,1015.08887
1575869073672,612416749908011,1015.0813
1575869073776,612416851495977,1015.0757
