timeMillis,timeNanos,x,y,z
1579076758217,5867628798038550,-0.08464393,-0.100968085,-0.2314208
1579076758243,5867628818047550,-0.06570711,-0.09852462,-0.19476889
1579076758243,5867628838047550,0.044248633,-0.12234837,-0.1996558
1579076758287,5867628858047550,0.08945266,-0.14495037,-0.21492745
1579076758287,5867628878047550,0.043637767,-0.11807231,-0.20209928
1579076758335,5867628898047550,-0.010118372,-0.061261844,-0.17277774
1579076758335,5867628918047550,0.017370563,-0.02949685,-0.17216687
1579076758379,5867628938047550,0.09311785,-0.02949685,-0.1678908
1579076758379,5867628958047550,0.10166997,-0.017279545,-0.12818457
1579076758379,5867628978047550,0.04241604,0.029757079,-0.060989395
1579076758424,5867628998047550,-0.0040097195,0.09817399,-0.0011246029
1579076758424,5867629018047550,-0.005842315,0.13971283,0.015368759
1579076758472,5867629038047550,-0.019892216,0.15315185,0.018423084
1579076758472,5867629058047550,-0.059598457,0.11466735,0.031251255
1579076758515,5867629078046692,-0.11763065,0.08290235,0.03797077
1579076758515,5867629098047225,-0.1732194,0.14093456,0.061794516
1579076758554,5867629118047600,-0.14511959,0.30464646,0.09661384
1579076758554,5867629138047835,-0.031498656,0.41093698,0.120437585
1579076758586,5867629158047946,0.033863924,0.37611768,0.11005287
1579076758586,5867629178047893,0.016148834,0.28509876,0.10822028
1579076758615,5867629198047843,-0.01683789,0.23256435,0.16503075
1579076758633,5867629218047795,-0.03210952,0.20996232,0.19313054
1579076758655,5867629238047658,-0.024168272,0.2368404,0.14609392
1579076758679,5867629258047353,-0.011340102,0.29426172,0.08500739
1579076758679,5867629278046978,0.0051532593,0.37550682,0.06790317
1579076758716,5867629298086538,0.04241604,0.4353716,0.09783556
1579076758755,5867629318124422,-0.21048218,0.29181826,0.14365047
1579076758755,5867629338160347,-0.41634375,0.093897924,0.14181787
1579076758786,5867629358194632,-0.5690601,-0.08447473,0.09050518
1579076758786,5867629378228528,-0.54645807,-0.08691818,0.0080383755
1579076758839,5867629398261028,-0.3186053,0.021204965,-0.03594392
1579076758839,5867629418292461,0.027755274,0.15803877,-0.09214352
1579076758839,5867629438324427,0.3228032,0.2209579,-0.14223447
1579076758880,5867629458356660,0.4523066,0.17575388,-0.12146506
1579076758881,5867629478388826,0.46024787,0.056635153,-0.027391808
1579076758923,5867629498420926,0.39732873,-0.08936164,0.11982671
1579076758923,5867629518452826,0.31791627,-0.21947594,0.29697764
1579076758966,5867629538484026,0.17680639,-0.287282,0.45458087
1579076758966,5867629558515859,0.011261911,-0.2866711,0.5370477
1579076759006,5867629578547625,-0.029666059,-0.2799516,0.5376586
1579076759006,5867629598579325,0.05768767,-0.2677343,0.47412857
1579076759064,5867629618610925,0.11449814,-0.25490612,0.4032682
1579076759064,5867629638642458,0.09678304,-0.24329968,0.35500982
1579076759129,5867629658673191,0.07540277,-0.22863892,0.3067515
1579076759129,5867629678704224,0.11816333,-0.2097021,0.2707104
1579076759129,5867629698735224,0.19757581,-0.19565219,0.2639909
1579076759129,5867629718766224,0.22323215,-0.16633067,0.2609366
1579076759162,5867629738796524,0.14748487,-0.14372866,0.2731539
1579076759196,5867629758826757,0.06562892,-0.119904906,0.2780408
1579076759221,5867629778857023,0.06562892,-0.119904906,0.2780408
1579076759221,5867629798887923,0.06562892,-0.119904906,0.2780408
1579076759221,5867629818917989,-0.072426625,-0.14372866,0.1870219
1579076759243,5867629838948055,-0.057154994,-0.21764334,0.123491906
1579076759264,5867629858978188,-0.04005077,-0.24879748,0.123491906
1579076759285,5867629879009021,-0.11091114,-0.23902364,0.1515917
1579076759302,5867629899006454,-0.18116064,-0.19687393,0.14487219
1579076759320,5867629919003954,-0.14634132,-0.19992825,0.07034663
1579076759338,5867629939001887,-0.06876144,-0.20420432,-0.046328634
1579076759363,5867629959000020,-3.44528E-4,-0.25612786,-0.13429323
1579076759390,5867629978997320,0.07784622,-0.37646833,-0.19049282
1579076759424,5867629998994820,0.1291589,-0.48825666,-0.23019907
1579076759424,5867630018993020,0.022257486,-0.4399983,-0.15994957
1579076759464,5867630038990886,-0.19398881,-0.45343733,-0.048161227
1579076759464,5867630058988419,-0.25629705,-0.48703492,-0.082369685
1579076759506,5867630078985952,-0.14756306,-0.32943168,-0.18010813
1579076759506,5867630098983485,0.09372872,-0.025220793,-0.35359386
1579076759539,5867630119014418,0.30692068,0.122608595,-0.49226025
1579076759580,5867630140956722,0.34296173,0.1665909,-0.57167274
1579076759580,5867630160987588,0.15298265,0.19163637,-0.57045096
1579076759618,5867630181018388,-0.13962181,0.22034703,-0.46354958
1579076759618,5867630201049188,-0.28500772,0.1873603,-0.31877452
1579076759662,5867630221079321,-0.252021,0.065798126,-0.30044857
1579076759662,5867630241110121,-0.24469063,-0.11440712,-0.34137654
1579076759662,5867630261141687,-0.2856186,-0.1779371,-0.38719144
1579076759703,5867630281173353,-0.30944234,-0.056985788,-0.40063047
1579076759703,5867630301204319,-0.19398881,0.12627378,-0.4018522
1579076759736,5867630321235219,0.026533542,0.2545555,-0.40063047
1579076759773,5867630341266819,0.16581082,0.27104884,-0.3774176
1579076759773,5867630361298485,0.10594602,0.28937483,-0.3071681
1579076759817,5867630381330151,-3.44528E-4,0.28143355,-0.16483648
1579076759817,5867630401361051,-0.10358076,0.21851443,-0.0170071
1579076759860,5867630421392717,-0.1555043,0.10978042,0.0831748
1579076759860,5867630441424383,-0.10663508,0.01937237,0.1308223
1579076759861,5867630461455983,-0.015005294,-0.044157617,0.18213497
1579076759922,5867630481486883,-0.06265278,-0.03621637,0.22306295
1579076759922,5867630501517849,-0.14878479,0.026091887,0.21023478
1579076759922,5867630521548815,-0.2135365,0.15498444,0.1674742
1579076759987,5867630541579715,-0.22636467,0.26066417,0.17419372
1579076759987,5867630561610681,-0.16100208,0.26432934,0.16258729
1579076759987,5867630581641647,-0.17505199,0.25027943,0.12715709
1579076760044,5867630601672547,-0.41817635,0.3345788,0.16503075
1579076760044,5867630621703447,-0.7486545,0.48851687,0.28903636
1579076760044,5867630641734380,-0.88976437,0.47141266,0.3623402
1579076760101,5867630661765346,-0.6686311,0.2350078,0.31163839
1579076760101,5867630681796246,-0.09319604,-0.009949163,0.09417037
1579076760101,5867630701827146,0.6722181,-0.02827512,-0.2051536
1579076760120,5867630721824079,1.0485111,0.22706656,-0.1593387
1579076760160,5867630741821645,0.61846197,0.43903682,0.5749213
1579076760160,5867630761819211,-0.1994866,0.2912074,1.0947677
1579076760200,5867630781816844,-0.58005565,-0.22436287,1.1289761
1579076760200,5867630801814477,-0.40290472,-0.7387114,0.9060103
1579076760241,5867630821812743,0.026533542,-0.8401151,0.7661221
1579076760242,5867630841810343,0.2586623,-0.513913,0.71542037
1579076760272,5867630861807909,0.2733231,-0.09485943,0.6140167
1579076760306,5867630881805409,0.23422772,-0.023999063,0.44602874
1579076760306,5867630901802842,0.16825427,-0.014225218,0.31957966
1579076760350,5867630921800342,0.11938506,0.10733697,0.29331243
1579076760350,5867630941797842,0.033863924,0.2313426,0.32935348
1579076760398,5867630961795275,-0.077924415,0.17086694,0.48084807
1579076760398,5867630981792708,-0.1469522,-0.004451375,0.50772613
1579076760451,5867631001790208,-0.25629705,-0.08875078,0.3012537
1579076760451,5867631021787708,-0.27767733,-0.051487997,0.104555085
1579076760451,5867631041785141,-0.11763065,-0.011170893,-0.03960911
1579076760539,5867631061782674,0.088841796,-0.13456568,-0.16300389
1579076760539,5867631081780207,0.201241,-0.20298257,-0.24669243
1579076760539,5867631101777673,0.16825427,-0.13700914,-0.28334436
