timestamp,ssid,bssid,frequency,rss,wifiNo,legit
5867577575207,eduroam,00:24:6c:7d:f6:21,2412,-54,0,false
5867577575724,siit_02,90:9f:33:66:8b:5e,2452,-54,0,false
5867577575199,Welcome_KAIST,00:24:6c:7d:f6:20,2412,-55,0,false
5867577575455,siit_02_5g,90:9f:33:65:8b:5e,5745,-58,0,false
5867577575527,openwork,88:36:6c:82:32:98,2427,-59,0,false
5867577575509,Welcome_KAIST,00:24:6c:7d:ee:00,2432,-61,0,false
5867577575518,eduroam,00:24:6c:7d:ee:01,2432,-61,0,false
5867577575733,camelab_2.4,70:5d:cc:06:5a:96,2447,-61,0,false
5867577575554,Welcome_KAIST,00:24:6c:7d:f0:c0,2432,-62,0,false
5867577575312,Welcome_KAIST,00:24:6c:7d:f8:90,5200,-63,0,false
5867577575322,eduroam,00:24:6c:7d:f8:91,5200,-63,0,false
5867577575489,eduroam,00:24:6c:7d:f0:c1,2432,-63,0,false
5867577575229,eduroam,00:24:6c:7d:f8:81,2412,-64,0,false
5867577575593,Welcome_KAIST,00:24:6c:7d:f6:30,5785,-64,0,false
5867577575602,eduroam,00:24:6c:7d:f6:31,5785,-64,0,false
5867577575190,Welcome_KAIST,00:24:6c:7d:f8:80,2412,-65,0,false
5867577575162,Welcome_KAIST,00:24:6c:7d:f0:70,5220,-66,0,false
5867577575778,Welcome_KAIST,00:24:6c:7d:ff:e0,2472,-66,0,false
5867577575348,eduroam,00:24:6c:7d:f0:71,5220,-67,0,false
5867577575407,eduroam,00:24:6c:7d:f0:d1,5240,-67,0,false
5867577575373,Welcome_KAIST,00:24:6c:7d:f0:d0,5240,-67,0,false
5867577575741,RCV-AC68U_28_2G,70:8b:cd:2f:83:28,2452,-67,0,false
5867577575769,WebEng,88:36:6c:70:de:22,2457,-67,0,false
5867577575435,eduroam,00:24:6c:7d:ff:11,5745,-69,0,false
5867577575787,eduroam,00:24:6c:7d:ff:e1,2472,-69,0,false
5867577575706,DIRECT-a2-HP M254 LaserJet,fe:01:7c:57:53:a2,2437,-70,0,false
5867577575760,CISS304,64:e5:99:62:ac:a4,2462,-70,0,false
5867577575501,Welcome_KAIST,00:24:6c:7d:ff:10,5745,-71,0,false
5867577575632,Welcome_KAIST,00:24:6c:7d:ee:10,5805,-71,0,false
5867577575805,eduroam,00:24:6c:7d:f7:81,2472,-71,0,false
5867577575446,RCV-AC68U_28_5G,70:8b:cd:2f:83:2c,5745,-71,0,false
5867577575535,camelab-2019,f4:f2:6d:fb:f0:ee,2437,-71,0,false
5867577575583,eduroam,00:24:6c:7d:fe:31,5785,-72,0,false
5867577575645,eduroam,00:24:6c:7d:ee:11,5805,-72,0,false
5867577575355,eduroam,00:24:6c:7d:ff:f1,5220,-73,0,false
5867577575574,Welcome_KAIST,00:24:6c:7d:fe:30,5785,-73,0,false
5867577575797,Welcome_KAIST,00:24:6c:7d:f7:80,2472,-73,0,false
5867577575302,eduroam,00:24:6c:7d:f2:91,5180,-74,0,false
5867577575339,csrc_iot,70:5d:cc:44:01:ce,2412,-74,0,false
5867577575840,CISS304_5G,64:e5:99:62:ac:a0,5520,-74,0,false
5867577575293,Welcome_KAIST,00:24:6c:7d:f2:90,5180,-75,0,false
5867577575425,,90:9f:33:66:85:d4,2422,-76,0,false
5867577575399,[air purifier] Samsung,70:2c:1f:74:9a:3b,2412,-77,0,false
5867577575219,camelab-2019-5G,f4:f2:6d:fb:f0:ed,5180,-78,0,false
5867577575477,NDSL_5G,90:9f:33:59:19:46,5745,-79,0,false
5867577575363,WCSL 5GHz,64:e5:99:da:03:6c,5240,-79,0,false
5867577575545,NDSL,90:9f:33:5a:19:46,2427,-79,0,false
5867577575715,Attic speaker.k,fa:8f:ca:78:be:1f,2437,-79,0,false
5867577575817,eduroam,00:24:6c:78:f5:a1,2472,-79,0,false
5867577575381,Welcome_KAIST,00:24:6c:7d:f5:d0,5240,-80,0,false
5867577575415,eduroam,00:24:6c:7d:fe:91,5240,-81,0,false
5867577575276,Welcome_KAIST,00:24:6c:7e:00:90,5180,-81,0,false
5867577575392,eduroam,00:24:6c:7d:f5:d1,5240,-81,0,false
5867577575267,SmartIoT2,b0:c7:45:75:c9:1e,2412,-81,0,false
5867577575654,Welcome_KAIST,00:24:6c:7a:26:30,5805,-82,0,false
5867577575664,eduroam,00:24:6c:7a:26:31,5805,-82,0,false
5867577575285,eduroam,00:24:6c:7e:00:91,5180,-82,0,false
5867577575677,eduroam,00:24:6c:7d:f4:31,5805,-82,0,false
5867577575687,Welcome_KAIST,00:24:6c:7a:8b:30,5805,-82,0,false
5867577575613,CoCoA_5G,b0:4e:26:02:10:56,5785,-83,0,false
5867577575697,eduroam,00:24:6c:7a:8b:31,5805,-84,0,false
5867577575331,RCV AirPort Time Capsule,88:1f:a1:38:b0:aa,2412,-86,0,false
5867577575465,BREIL_5G,88:36:6c:86:15:f6,5745,-86,0,false
5867577575750,hkKAIST,88:36:6c:bf:6b:7e,2452,-86,0,false
5867577575828,Welcome_KAIST,24:de:c6:ec:67:20,2472,-86,0,false
5867577575241,DIRECT-2d-HP M280 LaserJet,4a:5f:99:ae:12:2d,5180,-87,0,false
5867577575564,eduroam,00:24:6c:78:f5:b1,5785,-87,0,false
5867577575251,,90:9f:33:27:0e:1a,5180,-88,0,false
5867577575623,eduroam,00:24:6c:7e:02:51,5805,-89,0,false
5867722696889,siit_02_5g,90:9f:33:65:8b:5e,5745,-51,1,true
5867722696549,Welcome_KAIST,00:24:6c:7d:f8:90,5200,-56,1,true
5867722696562,eduroam,00:24:6c:7d:f8:91,5200,-56,1,true
5867722697061,siit_02,90:9f:33:66:8b:5e,2452,-57,1,true
5867722696469,Welcome_KAIST,00:24:6c:7d:f8:80,2412,-58,1,true
5867722696479,eduroam,00:24:6c:7d:f8:81,2412,-58,1,true
5867722696656,Welcome_KAIST,00:24:6c:7d:f0:70,5220,-62,1,true
5867722696796,Welcome_KAIST,00:24:6c:7d:ee:00,2432,-63,1,true
5867722696668,eduroam,00:24:6c:7d:f0:71,5220,-63,1,true
5867722696516,Welcome_KAIST,00:24:6c:7d:f6:20,2412,-64,1,true
5867722696527,eduroam,00:24:6c:7d:f6:21,2412,-64,1,true
5867722696819,eduroam,00:24:6c:7d:ee:01,2432,-64,1,true
5867722696572,openwork,88:36:6c:82:32:98,2427,-64,1,true
5867722696726,eduroam,00:24:6c:7d:f0:c1,2432,-67,1,true
5867722696605,Welcome_KAIST,00:24:6c:7d:f0:c0,2432,-68,1,true
5867722697037,Welcome_KAIST,00:24:6c:7d:f6:30,5785,-68,1,true
5867722697049,eduroam,00:24:6c:7d:f6:31,5785,-68,1,true
5867722696504,csrc_iot,70:5d:cc:44:01:ce,2412,-69,1,true
5867722696944,camelab,70:5d:cc:06:5a:94,5745,-70,1,true
5867722697111,WebEng,88:36:6c:70:de:22,2457,-70,1,true
5867722696711,eduroam,00:24:6c:7d:f0:d1,5240,-73,1,true
5867722697126,Welcome_KAIST,00:24:6c:7a:26:30,5805,-74,1,true
5867722697138,eduroam,00:24:6c:7a:26:31,5805,-74,1,true
5867722697271,Welcome_KAIST,00:24:6c:7d:f7:80,2472,-74,1,true
5867722696866,Welcome_KAIST,00:24:6c:7d:ff:10,5745,-75,1,true
5867722696877,eduroam,00:24:6c:7d:ff:11,5745,-75,1,true
5867722697283,eduroam,00:24:6c:7d:f7:81,2472,-75,1,true
5867722697298,eduroam,00:24:6c:7d:f7:41,2472,-75,1,true
5867722696420,Welcome_KAIST,00:24:6c:7e:00:90,5180,-76,1,true
5867722696435,eduroam,00:24:6c:7e:00:91,5180,-76,1,true
5867722696691,Welcome_KAIST,00:24:6c:7d:f7:90,5240,-76,1,true
5867722696700,eduroam,00:24:6c:7d:f7:91,5240,-76,1,true
5867722696842,Welcome_KAIST,00:24:6c:7d:f5:d0,5240,-76,1,true
5867722697010,Welcome_KAIST,00:24:6c:7d:fe:30,5785,-76,1,true
5867722696853,eduroam,00:24:6c:7d:f5:d1,5240,-77,1,true
5867722697026,eduroam,00:24:6c:7d:fe:31,5785,-77,1,true
5867722697311,Welcome_KAIST,00:24:6c:78:f5:a0,2472,-77,1,true
5867722696493,PM_AJIKA_181906,84:72:07:18:19:06,2412,-78,1,true
5867722697151,Welcome_KAIST,00:24:6c:7d:ee:10,5805,-79,1,true
5867722697163,eduroam,00:24:6c:7d:ee:11,5805,-79,1,true
5867722696771,WCSL 5GHz,64:e5:99:da:03:6c,5240,-79,1,true
5867722696398,camelab-2019-5G,f4:f2:6d:fb:f0:ed,5180,-80,1,true
5867722696930,NDSL_5G,90:9f:33:59:19:46,5745,-80,1,true
5867722697201,Welcome_KAIST,00:24:6c:7d:f4:30,5805,-80,1,true
5867722697215,eduroam,00:24:6c:7d:f4:31,5805,-80,1,true
5867722696646,eduroam,00:24:6c:7d:ff:f1,5220,-81,1,true
5867722696615,Welcome_KAIST,00:24:6c:7e:01:70,5220,-82,1,true
5867722696626,eduroam,00:24:6c:7e:01:71,5220,-82,1,true
5867722696916,BREIL_5G,88:36:6c:86:15:f6,5745,-82,1,true
5867722696736,Welcome_KAIST,00:24:6c:7d:f1:70,5240,-83,1,true
5867722696748,eduroam,00:24:6c:7d:f1:71,5240,-83,1,true
5867722696635,Welcome_KAIST,00:24:6c:7d:ff:f0,5220,-83,1,true
5867722696679,NDSL,90:9f:33:5a:19:46,2427,-83,1,true
5867722697072,CoCoA_5G,b0:4e:26:02:10:56,5785,-83,1,true
5867722697323,CISS304_5G,64:e5:99:62:ac:a0,5520,-83,1,true
5867722696758,eduroam,00:24:6c:7d:fe:f1,5240,-84,1,true
5867722696957,iids5G,88:36:6c:e1:44:1e,5745,-85,1,true
5867722696969,CAMEL-MJ,88:36:6c:c2:2d:d8,5745,-85,1,true
5867722696981,Welcome_KAIST,00:24:6c:7d:f5:70,5745,-85,1,true
5867722696996,SmartIoT2-5Ghz,b0:c7:45:75:c9:1f,5765,-85,1,true
5867722697253,eduroam,00:24:6c:7a:8b:31,5805,-85,1,true
5867722696458,IPx_KAIST,00:26:66:c6:3c:ee,2412,-86,1,true
5867722696446,DIRECT-2d-HP M280 LaserJet,4a:5f:99:ae:12:2d,5180,-87,1,true
5867722696592,eduroam,00:24:6c:7d:f5:11,5200,-87,1,true
5867722696806,eduroam,00:24:6c:7d:f7:51,5240,-87,1,true
5867722696539,,90:9f:33:27:0e:1a,5180,-88,1,true
