timeMillis,timeNanos,x,y,z
1579076912405,5867782994866980,-26.82,3.84,-36.84
1579076912432,5867783014866980,-26.34,3.72,-36.899998
1579076912432,5867783034866980,-26.22,3.6599998,-37.14
1579076912462,5867783054866980,-25.92,3.6599998,-37.26
1579076912494,5867783074866980,-25.32,3.6599998,-36.78
1579076912494,5867783094866980,-24.96,3.3,-36.78
1579076912529,5867783114867980,-24.84,2.8799999,-36.96
1579076912563,5867783134867980,-24.6,2.8799999,-36.66
1579076912563,5867783154867980,-24.539999,3.1799998,-36.78
1579076912600,5867783174867980,-24.84,3.36,-36.42
1579076912600,5867783194867980,-24.66,3.84,-36.48
1579076912630,5867783214867980,-25.019999,3.0,-36.78
1579076912663,5867783234867980,-25.08,2.52,-36.66
1579076912663,5867783254867980,-25.26,1.86,-37.02
1579076912703,5867783274867980,-25.14,1.8,-37.14
1579076912703,5867783294867980,-24.96,2.1599998,-37.02
1579076912742,5867783314867980,-24.42,2.3999999,-37.079998
1579076912742,5867783334867980,-23.58,2.9399998,-37.079998
1579076912781,5867783354867980,-23.34,3.06,-36.78
1579076912781,5867783374866874,-22.56,3.36,-36.42
1579076912823,5867783394867224,-22.439999,3.72,-36.48
1579076912823,5867783414867462,-22.74,3.6599998,-36.84
1579076912864,5867783434867643,-22.98,3.4199998,-36.96
1579076912864,5867783454867816,-23.519999,3.0,-37.32
1579076912907,5867783474867816,-23.22,3.24,-37.079998
1579076912907,5867783494907776,-22.92,3.78,-36.899998
1579076912951,5867783514946199,-22.38,4.08,-37.02
1579076912951,5867783534983161,-22.26,4.68,-37.44
1579076913000,5867783555018732,-22.74,4.2599998,-37.739998
1579076913002,5867783575053007,-22.68,3.8999999,-37.62
1579076913002,5867783595085373,-22.859999,4.08,-37.68
1579076913058,5867783615118306,-22.8,3.48,-37.38
1579076913058,5867783635151172,-22.32,3.36,-37.8
1579076913058,5867783655183972,-22.8,3.4199998,-37.86
1579076913115,5867783675217172,-22.619999,3.1799998,-37.92
1579076913115,5867783695249072,-22.26,3.78,-38.16
1579076913115,5867783715280705,-22.56,4.02,-37.38
1579076913214,5867783735312471,-21.96,4.14,-37.86
1579076913214,5867783755344804,-22.26,4.14,-37.68
1579076913214,5867783775377070,-22.74,4.08,-37.079998
1579076913214,5867783795442603,-22.98,3.9599998,-37.62
1579076913214,5867783815507369,-22.98,3.8999999,-37.079998
1579076913259,5867783835572735,-23.16,4.3199997,-36.84
1579076913260,5867783855638001,-22.92,4.56,-37.079998
1579076913314,5867783875703201,-22.98,4.7999997,-36.96
1579076913314,5867783895768267,-23.519999,4.8599997,-36.899998
1579076913430,5867783915833300,-23.64,4.68,-37.14
1579076913430,5867783935898266,-23.88,4.56,-37.2
1579076913430,5867783955962732,-24.06,4.8599997,-37.2
1579076913430,5867783976027498,-23.64,5.4,-37.14
1579076913430,5867783996091231,-23.64,5.4,-37.2
1579076913430,5867784016155697,-23.58,5.58,-37.38
1579076913487,5867784036220063,-23.82,5.04,-37.14
1579076913487,5867784056284363,-24.0,4.7999997,-37.5
1579076913487,5867784076348729,-24.24,5.04,-37.68
1579076913494,5867784096379029,-24.3,5.1,-37.44
1579076913584,5867784116409195,-23.699999,5.7599998,-37.62
1579076913584,5867784136439328,-24.0,5.58,-37.02
1579076913584,5867784156469461,-24.6,5.58,-36.54
1579076913584,5867784176499594,-24.3,5.52,-36.3
1579076913613,5867784196531427,-24.539999,4.92,-36.78
1579076913638,5867784216562260,-25.38,5.04,-36.66
1579076913638,5867784236593093,-25.619999,5.1,-36.18
1579076913661,5867784256623859,-25.92,4.8599997,-36.66
1579076913691,5867784276654159,-26.699999,4.62,-36.6
1579076913719,5867784296685692,-27.119999,4.2599998,-36.239998
1579076913719,5867784316717225,-26.939999,3.9599998,-36.42
1579076913748,5867784336748725,-26.82,4.08,-37.2
1579076913775,5867784356779591,-26.82,3.72,-38.1
1579076913775,5867784376809757,-26.279999,3.72,-38.16
1579076913813,5867784396807223,-25.68,3.8999999,-37.559998
1579076913840,5867784416838723,-25.38,3.48,-37.559998
1579076913840,5867784436869556,-25.56,3.12,-37.62
1579076913863,5867784456933689,-25.38,2.52,-37.8
1579076913894,5867784476997822,-25.199999,1.74,-38.04
1579076913927,5867784497062022,-25.14,1.56,-38.52
1579076913928,5867784518356305,-25.26,1.3199999,-39.0
1579076913966,5867784538420405,-24.84,0.96,-38.16
1579076913966,5867784558484971,-24.119999,0.12,-37.68
1579076914012,5867784578549971,-23.64,-0.24,-37.68
1579076914012,5867784598615071,-22.98,-0.35999998,-37.559998
1579076914053,5867784618679437,-22.92,-1.26,-37.38
1579076914053,5867784638743937,-23.4,-1.62,-37.92
1579076914108,5867784658808437,-23.16,-2.46,-38.52
1579076914108,5867784678872870,-22.619999,-2.3999999,-38.1
1579076914110,5867784698938003,-22.859999,-1.9799999,-36.78
1579076914161,5867784719003203,-23.16,-1.56,-36.84
1579076914162,5867784739068403,-23.039999,-1.14,-37.68
