bssid,frequency,legit,rss,ssid,timestamp,wifiNo
00:24:6c:7d:f4:81,2472,true,-51,eduroam,2762757228856,1
00:24:6c:7d:f4:80,2472,true,-52,Welcome_KAIST,2762757228850,1
00:24:6c:7d:f5:91,5745,true,-53,eduroam,2762757228693,1
00:24:6c:7d:f5:90,5745,true,-54,Welcome_KAIST,2762757228686,1
5e:ea:1d:bf:dc:44,2437,true,-59,DIRECT-44-HP M477 LaserJet,2762757228726,1
2c:56:dc:84:dd:88,2462,true,-59,ISILAB_2,2762757228842,1
88:36:6c:41:85:5c,2412,true,-62,iptime,2762757228576,1
00:24:6c:7d:f6:71,5745,true,-62,eduroam,2762757228705,1
96:53:30:29:0e:90,2437,true,-62,DIRECT-90-HP M477 LaserJet,2762757228712,1
26:6a:6f:79:74:a0,2462,true,-62,Lee의 방문자 네트워크,2762757228829,1
24:a0:74:79:6f:6a,2462,true,-62,dleehub,2762757228835,1
00:24:6c:7d:f6:70,5745,true,-64,Welcome_KAIST,2762757228699,1
28:6d:97:58:d4:3e,2412,true,-65,[air purifier] Samsung,2762757228589,1
90:9f:33:ac:99:10,2417,true,-67,NMSL_N1_706,2762757228637,1
00:24:6c:7d:f4:90,5200,true,-70,Welcome_KAIST,2762757228611,1
00:24:6c:7d:f4:91,5200,true,-70,eduroam,2762757228618,1
00:26:66:18:15:7c,2422,true,-71,DoDo,2762757228656,1
00:24:6c:7d:f5:10,5805,true,-71,Welcome_KAIST,2762757228765,1
00:24:6c:7d:f5:11,5805,true,-71,eduroam,2762757228773,1
ea:9e:b4:2c:56:7b,2412,true,-72,DIRECT-7b-HP M477 LaserJet,2762757228604,1
00:22:6b:81:b8:a9,2462,true,-73,winslab1,2762757228869,1
00:24:6c:78:f5:a0,2472,true,-73,Welcome_KAIST,2762757228900,1
00:24:6c:78:f5:a1,2472,true,-74,eduroam,2762757228888,1
90:9f:33:5a:0f:56,2417,true,-74,WebEng2,2762757228628,1
72:5d:cc:4b:ae:a4,2467,true,-74,hcil-2.4ghz,2762757228881,1
ec:08:6b:6a:48:3d,2437,true,-75,NMSL_N1_721_TP-LINK_483D,2762757228779,1
2c:56:dc:84:dd:8c,5745,true,-76,ISILAB_5,2762757228681,1
6e:7e:92:e0:9f:70,2432,true,-76,HCIL guest,2762757228731,1
d8:5d:e2:1b:48:06,2437,true,-76,HP-Print-06-LaserJet Pro M201dw,2762757228796,1
9c:30:5b:e7:70:3a,2462,true,-76,HP-Print-3a-LaserJet 500,2762757228862,1
00:08:9f:41:e3:94,2447,true,-77,whitebear,2762757228810,1
60:38:e0:bb:ee:01,2462,true,-77,Lapras2.4G,2762757228875,1
70:5d:cc:35:a7:30,2432,true,-78,iptime,2762757228785,1
88:36:6c:41:85:5e,5745,true,-79,iptime5G,2762757228719,1
9c:d6:43:c8:11:80,2457,true,-79,,2762757228824,1
88:36:6c:bf:6b:7e,2452,true,-79,hkKAIST,2762757228818,1
7e:49:eb:5f:ab:4f,2472,true,-80,zhimi-fan-za1_mibtab4f,2762757228894,1
6c:70:9f:e0:92:7e,2432,true,-81,HCIL,2762757228760,1
00:24:6c:7d:f3:f1,5240,true,-81,eduroam,2762757228667,1
00:24:6c:7d:f3:f0,5240,true,-82,Welcome_KAIST,2762757228661,1
70:5d:cc:1b:ae:a4,5765,true,-83,hcil-5ghz,2762757228738,1
6e:7f:92:e0:9f:70,5785,true,-83,HCIL guest,2762757228746,1
6c:70:9f:e0:92:7f,5785,true,-83,HCIL,2762757228753,1
02:28:28:59:b5:57,2437,true,-83,HPE710n.5ED055,2762757228804,1
62:38:e0:bb:ee:02,5180,true,-84,Lapras5G-guest,2762757228582,1
00:24:6c:7d:f6:91,5220,true,-84,eduroam,2762757228649,1
60:38:e0:bb:ee:02,5180,true,-85,Lapras5G,2762757228556,1
32:cd:a7:a8:46:58,2412,true,-87,DIRECT-QBC43x Series,2762757228598,1
90:9f:33:59:0f:56,5805,true,-87,WebEng2-5G,2762757228791,1
00:24:6c:7d:f6:90,5220,true,-88,Welcome_KAIST,2762757228642,1
64:e5:99:da:03:6c,5240,true,-88,WCSL 5GHz,2762757228674,1
