timeMillis,timeNanos,x,y,z
1579580174341,3107140738650902,0.32801566,1.0702409,9.933846
1579580174357,3107140771317568,0.32801566,1.0702409,9.933846
1579580174378,3107140803984234,0.32801566,1.0702409,9.933846
1579580174399,3107140836650900,-1.1708003,-0.12210801,9.404712
1579580174418,3107140869317566,-1.0822122,-0.09337672,9.641745
1579580174439,3107140901984232,-0.7996878,-0.009577099,10.2642565
1579580174461,3107140934650898,-0.600963,0.30886146,10.422278
1579580174479,3107140967317564,-0.679974,0.27055305,9.79019
1579580174498,3107140999984230,-1.0343267,-0.076616794,9.486116
1579580174517,3107141032650196,-0.9960183,-0.083799616,9.7135725
1579580174535,3107141065316429,-0.9337672,-0.062251143,9.953
1579580174556,3107141097983329,-0.86193895,-0.045491222,9.948212
1579580174580,3107141130650162,-0.82123625,-0.047885496,9.9889145
1579580174597,3107141163316662,-0.82123625,-0.045491222,9.783007
1579580174617,3107141195983295,-0.7996878,-0.0071828244,9.603436
1579580174639,3107141228649895,-0.82123625,0.009577099,9.711179
1579580174656,3107141261316461,-1.1875603,0.07901107,9.4932995
1579580174677,3107141293982994,-1.3791022,0.16041641,9.0838785
1579580174699,3107141326649460,-1.1348863,0.29928434,9.569917
1579580174718,3107141359315860,-0.7637737,0.24421602,10.099051
1579580174737,3107141391981893,-0.8978531,0.038308397,9.675264
1579580174759,3107141424648093,-1.0223553,-0.12210801,9.330489
1579580174777,3107141457314226,-0.9792584,0.11971374,9.677659
1579580174797,3107141489979592,-0.82602483,0.27294734,9.881172
1579580174820,3107141522645258,-0.9984126,0.3040729,9.60583
1579580174842,3107141555344824,-1.0415095,0.22985038,9.457385
1579580174858,3107141588043957,-0.9984126,0.2657645,9.816526
1579580174882,3107141620742323,-1.228263,0.22266756,9.759064
1579580174897,3107141653440556,-1.0941836,0.33759275,9.838076
1579580174918,3107141686139122,-1.1612233,0.3232271,9.730332
1579580174941,3107141706171255,-1.1492519,0.22266756,9.859624
1579580174959,3107141726203321,-1.0774237,0.34716985,9.964972
1579580174977,3107141746234554,-1.3120626,0.33759275,9.687236
1579580174999,3107141766265720,-1.5036045,0.3304099,9.270632
1579580175019,3107141786297520,-1.4078336,0.31125572,9.411894
1579580175039,3107141806329253,-1.2953026,0.27294734,9.6585045
1579580175062,3107141826360853,-1.2665714,0.2753416,9.90272
1579580175078,3107141846392419,-1.3264283,0.27294734,10.029617
1579580175097,3107141866423919,-1.4198049,0.339987,9.747093
1579580175180,3107141886880014,-1.5371244,0.39266106,9.210775
1579580175180,3107141906911047,-1.5299416,0.24421602,9.308941
1579580175181,3107141926942047,-1.2091088,0.083799616,9.8548355
1579580175181,3107141946973047,-0.9864412,0.031125572,10.082292
1579580175217,3107141967003447,-1.0055954,0.24182175,9.976943
1579580175269,3107141987033747,-1.1013664,0.41420954,9.787795
1579580175269,3107142007063947,-1.403045,0.3232271,9.320911
1579580175269,3107142027094380,-1.5514901,0.28731298,9.0838785
1579580175276,3107142047124513,-1.3862851,0.2753416,9.39274
1579580175300,3107142067155346,-1.3096683,-0.04070267,9.227535
1579580175318,3107142087186179,-1.525153,-0.105348095,9.507666
1579580175338,3107142107216945,-1.5538844,-0.031125572,9.2419
1579580175360,3107142127247778,-1.7645805,0.038308397,9.452597
1579580175378,3107142147278611,-2.011191,-0.07422252,8.988108
1579580175397,3107142167310077,-2.2123098,-0.15323359,9.160496
1579580175430,3107142187341177,-1.8651401,-0.19633053,9.840469
1579580175437,3107142207338310,-1.8076775,-0.3232271,10.292988
1579580175460,3107142227335810,-2.0758362,-0.42139238,10.211582
1579580175481,3107142247333276,-2.4900458,-0.5243462,9.869201
1579580175499,3107142267331509,-2.901861,-0.7996878,9.967366
1579580175519,3107142287329042,-2.5810282,-0.5363176,10.324113
1579580175538,3107142307325875,-0.9194015,0.05985687,11.281823
1579580175559,3107142327356675,0.87630457,0.31604427,12.28263
1579580175579,3107142347388241,1.5275474,-0.17717634,12.632194
1579580175602,3107142367419807,0.50998056,-0.5147691,11.712792
1579580175623,3107142387450607,-0.038308397,-0.6440599,10.874796
1579580175640,3107142407481407,-0.2083019,-0.74701375,10.553964
1579580175662,3107142427512273,-0.43815228,-1.0175668,10.941835
1579580175682,3107142447543039,-0.12210801,-1.2953026,10.68086
1579580175699,3107142467573839,0.44294083,-1.3288225,10.328901
1579580175722,3107142487605472,0.14844504,-1.1875603,10.436644
1579580175738,3107142507637138,0.105348095,-1.0319325,9.505271
1579580175760,3107142527668038,0.14126222,-0.8930645,9.038387
1579580175782,3107142547698938,0.026337024,-0.8236305,8.820508
1579580175800,3107142567730438,-0.21548474,-0.7901107,8.22194
1579580175821,3107142587762104,-0.79250497,-0.84039044,7.6449194
1579580175842,3107142607793770,-1.1971374,-0.7541966,7.190007
1579580175860,3107142627825170,-1.5610672,-0.66321415,6.9936767
1579580175880,3107142647856836,-1.9992194,-0.66321415,6.65369
1579580175901,3107142667887736,-1.7741576,-0.723071,7.3384523
1579580175923,3107142687918636,-1.1971374,-0.6344828,8.686429
1579580175941,3107142707949602,-1.3144568,-0.5698374,9.148524
1579580175962,3107142727980568,-1.7095122,-0.5698374,8.827691
1579580175981,3107142748011468,-1.7813405,-0.6488485,8.875577
1579580176000,3107142768042434,-1.5826156,-0.50998056,9.452597
1579580176023,3107142788073400,-1.6592325,-0.5027977,10.060742
1579580176041,3107142808104300,-1.6879637,-0.57462597,10.3743925
1579580176060,3107142828135200,-1.5874043,-0.5506832,10.769448
1579580176080,3107142848166833,-1.7909175,-0.45970076,10.448615
1579580176099,3107142868197099,-2.2027328,-0.5770202,10.10384
1579580176229,3107142888227999,-1.9106313,-0.9313729,11.066339
1579580176229,3107142908259599,-1.2306572,-0.9337672,12.902747
1579580176229,3107142928257232,-1.2713599,-1.0510867,12.589097
1579580176229,3107142948254098,-1.3216397,-0.34956414,12.1054535
1579580176229,3107142968284998,0.2657645,0.6751855,12.608252
1579580176229,3107142988349298,0.69673395,0.4740664,12.373612
1579580176242,3107143008446864,-0.11971374,-0.07901107,10.587483
1579580176265,3107143028577764,-0.5961744,-0.05506832,9.256267
1579580176285,3107143048742064,-0.53392327,0.2561874,9.42626
1579580176304,3107143068906264,-0.29928434,0.6895511,9.428655
1579580176325,3107143089070430,-0.27055305,1.0151725,8.667274
1579580176343,3107143109234530,-0.20111908,1.0870007,8.4230585
1579580176364,3107143129398696,0.39505535,0.82123625,8.559532
1579580176387,3107143149562796,0.5123748,0.30886146,8.935433
1579580176405,3107143169760229,0.10774237,-0.17717634,8.403905
1579580176432,3107143189990995,-0.68715686,-0.25139886,7.3145094
1579580176450,3107143210255095,-1.4341706,-0.21069619,6.7015753
1579580176472,3107143230552528,-1.7813405,-0.019154198,6.91706
1579580176489,3107143250883294,-1.5131817,0.5243462,7.719142
1579580176512,3107143271247427,-1.1516461,0.81165916,8.317711
1579580176533,3107143291644893,-0.9912298,0.9816527,8.983319
1579580176552,3107143312042359,-1.5036045,0.37111259,8.882759
1579580176574,3107143332439759,-2.423006,-0.13168511,8.25546
1579580176594,3107143352837225,-2.7558103,-0.028731298,8.267431
1579580176613,3107143373234691,-2.343995,0.2370332,9.237112
1579580176635,3107143393632157,-1.6352897,0.28731298,10.97775
1579580176653,3107143414029623,-1.201926,0.08619389,11.758284
1579580176673,3107143434427089,-1.1899546,-0.06943397,12.395161
1579580176696,3107143454824555,-1.297697,-0.052674048,12.715994
1579580176711,3107143475222621,-1.7789462,-0.090982445,12.383189
1579580176731,3107143495620054,-2.1883671,-0.17957062,11.229149
1579580176754,3107143516017520,-1.1133378,-0.026337024,12.277842
1579580176771,3107143536415086,0.6560313,0.0,13.731166
1579580176791,3107143556813452,1.0295382,-0.7446195,12.464595
1579580176813,3107143577177818,-0.076616794,-1.673598,10.166091
1579580176831,3107143597508918,-0.14126222,-1.8411974,9.675264
1579580176853,3107143619704244,0.8044763,-1.2522057,10.642551
1579580176873,3107143639968677,2.3990633,-0.31843856,11.9713745
1579580176891,3107143660233110,2.5379312,-0.14365649,11.980951
1579580176912,3107143680530943,1.3360053,-0.29210153,9.996098
1579580176938,3107143700862043,0.409421,-0.047885496,8.150111
1579580176954,3107143721226476,0.0670397,-0.035914123,7.4366174
1579580176976,3107143741624176,-0.2681588,-0.17238778,6.976917
1579580176999,3107143762055276,-0.65842557,-0.36871833,6.794952
1579580177019,3107143782486376,-0.9984126,-0.47885495,6.567496
1579580177040,3107143802884142,-1.2234744,-0.48124924,6.308914
1579580177060,3107143823248575,-1.333611,-0.45730647,6.3544054
1579580177078,3107143843579675,-1.2546,-0.5602603,6.9003
1579580177108,3107143863877441,-1.1133378,-0.7015225,8.047157
1579580177228,3107143884141841,-0.90982443,-0.4932206,8.92825
1579580177228,3107143904406241,-0.8571504,-0.15562786,9.61062
1579580177228,3107143924670641,-1.0654523,0.11492519,10.182851
1579580177228,3107143944968374,-1.1636176,0.4644893,10.527626
1579580177229,3107143965265407,-1.0965779,0.5219519,11.090281
1579580177229,3107143985563173,-1.0391153,0.071828246,11.95222
1579580177242,3107144005860939,-1.2330515,-0.7134939,13.1206255
1579580177259,3107144026158705,-1.350371,-0.82123625,13.309773
1579580177281,3107144046456471,-0.65363705,0.21069619,13.087106
1579580177301,3107144066753537,0.8284191,0.92658436,13.577932
1579580177320,3107144087051303,1.0079896,0.6105401,13.0655575
