timeMillis,timeNanos,x,y,z
1579759738262,3286704496230870,-0.37350687,2.2530127,8.854029
1579759738281,3286704528926936,-0.37350687,2.2530127,8.854029
1579759738303,3286704561622936,-0.37350687,2.2530127,8.854029
1579759738321,3286704594318936,-0.6560313,2.0494993,10.204399
1579759738343,3286704627014936,-0.6847626,2.0758362,10.218765
1579759738365,3286704659711002,-0.4668836,2.1189332,10.106234
1579759738385,3286704692406968,-0.50040346,2.1979442,9.761458
1579759738404,3286704725102901,-0.5363176,2.2961094,9.63935
1579759738423,3286704757798834,-0.4836435,2.3487835,9.498088
1579759738440,3286704790494034,-0.28252444,2.5139885,9.490906
1579759738461,3286704823190034,-0.22745611,2.5810282,9.522031
1579759738483,3286704855886100,-0.26337022,2.6360965,9.217958
1579759738501,3286704888582266,-0.2849187,2.657645,8.976136
1579759738521,3286704921278432,-0.29210153,2.6887705,8.988108
1579759738543,3286704953974665,-0.2561874,2.691165,9.012051
1579759738561,3286704986670965,-0.23224466,2.6959534,9.347249
1579759738581,3286705019367198,-0.20351335,2.7462332,9.615408
1579759738618,3286705052063431,-0.20590763,2.8108785,9.25866
1579759738621,3286705084759664,-0.16520496,3.1700199,8.662486
1579759738641,3286705117455964,-0.4956149,3.1149516,9.153313
1579759738664,3286705150152197,-0.51716334,3.0119977,9.431048
1579759738681,3286705182848430,-0.41181526,3.0742488,9.632168
1579759738700,3286705215543963,-0.32562137,2.9641123,9.914692
1579759738721,3286705248239496,-0.3304099,2.6815877,10.369604
1579759738741,3286705280935462,-0.28731298,2.4684973,10.788602
1579759738763,3286705313630995,-0.18196489,2.6360965,10.654523
1579759738787,3286705346327295,0.0023942748,2.988055,10.187639
1579759738804,3286705379023061,0.23224466,3.0910087,9.96976
1579759738824,3286705411719261,0.5147691,2.6360965,10.403124
1579759738844,3286705444415461,0.56265455,2.0087965,11.27464
1579759738862,3286705464413294,0.6488485,1.6544439,11.669696
1579759738881,3286705484410394,0.6656084,1.2737542,11.777438
1579759738903,3286705504409927,0.6201172,1.0774237,11.763072
1579759738922,3286705524407793,0.8044763,1.1229149,11.260275
1579759738942,3286705544405593,0.9792584,1.0271438,10.240314
1579759738965,3286705564403393,1.0606637,0.9074302,9.440625
1579759738984,3286705584401259,0.81165916,0.98404694,8.940222
1579759739003,3286705604399125,0.3423813,1.0678465,8.672064
1579759739027,3286705624396225,0.014365649,1.1731946,8.667274
1579759739043,3286705644394058,-0.05985687,1.1636176,8.559532
1579759739111,3286705664391791,-0.047885496,1.0965779,8.636149
1579759739111,3286705684389191,-0.047885496,1.0582695,8.1549
1579759739149,3286705704386757,-0.17238778,1.472479,7.9154725
1579759739152,3286705724384323,0.011971374,2.0183737,7.393521
1579759739152,3286705744381123,0.083799616,2.4158232,7.1780357
1579759739178,3286705764379089,-0.13647367,2.5379312,7.204373
1579759739179,3286705784375889,-0.31604427,2.7462332,7.352818
1579759739204,3286705804373522,-0.18196489,3.2873392,7.7311134
1579759739222,3286705824370955,-0.3040729,3.6632404,7.953781
1579759739243,3286705844368388,-0.5243462,3.45015,8.229122
1579759739263,3286705864365888,-0.82123625,2.8635526,9.603436
1579759739281,3286705884363388,-0.6943397,2.432583,10.194822
1579759739301,3286705904361554,-0.5411061,2.360755,11.57153
1579759739323,3286705924359787,-0.21548474,2.3870919,12.004894
1579759739341,3286705944357587,0.12929083,2.6935592,12.699234
1579759739363,3286705964355820,0.21309046,2.9090438,13.034432
1579759739384,3286705984353286,-0.51955765,3.5339496,12.220379
1579759739403,3286706004351019,-1.1348863,3.9601305,10.807756
1579759739423,3286706024348552,-0.40463245,2.8994668,10.690437
1579759739446,3286706044346018,0.20351335,0.47885495,11.777438
1579759739462,3286706064343484,-0.27294734,-0.057462595,11.57153
1579759739482,3286706084341684,-1.4820561,1.2091088,9.466963
1579759739504,3286706104337517,-2.0542877,2.5834224,6.859597
1579759739523,3286706124334950,-1.4198049,3.1388943,6.550736
1579759739546,3286706144332483,-0.0047885496,1.4557191,8.597841
1579759739566,3286706164330116,0.18196489,-0.4285752,10.922682
1579759739586,3286706165330116,-0.20111908,-0.69673395,11.3105545
1579759739606,3286706185327816,-0.51716334,-0.11492519,9.993703
1579759739625,3286706205326349,-0.44294083,0.60335726,8.628966
1579759739642,3286706225324882,-0.4956149,0.42618093,9.024022
1579759739663,3286706245322648,-0.37350687,0.40223816,8.245882
1579759739685,3286706265320681,-0.13168511,1.4485363,8.22194
1579759739703,3286706285318514,-0.14605077,2.2099156,7.474926
1579759739723,3286706305316280,-0.3998439,2.865947,6.160469
1579759739747,3286706325314746,-0.36632404,3.2250881,6.5028505
1579759739764,3286706345345379,0.019154198,2.432583,7.9394155
1579759739785,3286706365410579,0.56265455,1.7502149,9.742304
1579759739809,3286706385508212,0.71828246,1.838803,10.668888
1579759739825,3286706405639378,-0.03351985,2.3846977,9.814133
1579759739845,3286706425770544,-0.6344828,3.2777622,9.234718
1579759739868,3286706445901644,-0.54350036,3.337619,10.127783
1579759739889,3286706466032744,-0.090982445,2.5906053,12.093482
1579759739906,3286706486163877,-0.26337022,2.5211713,12.972181
1579759739929,3286706506294943,0.4764607,2.7558103,12.172493
1579759739948,3286706526426009,1.776552,1.4916332,12.625011
1579759739968,3286706546557075,2.1021733,-0.105348095,13.501316
1579759739989,3286706566688208,1.5802214,0.339987,11.976163
1579759740008,3286706586819541,1.211503,1.333611,9.2490835
1579759740033,3286706606950641,0.818842,1.5658557,7.738296
1579759740049,3286706627081807,0.27294734,1.2785428,7.350424
1579759740115,3286706647212907,0.21309046,0.65363705,7.8125186
1579759740115,3286706667344007,0.7781393,0.102953814,9.09585
1579759740115,3286706687474407,0.6368771,-0.27294734,10.063137
1579759740137,3286706707642307,-0.03351985,-0.32083282,9.502876
