timeMillis,timeNanos,x,y,z
1579759738145,3286704376245870,0.029964773,-0.18443976,0.02500027
1579759738161,3286704396241870,0.020801794,-0.28095648,-0.028755872
1579759738182,3286704416238870,0.038516887,-0.34692994,-0.113055274
1579759738200,3286704436236203,0.2474328,-0.4544422,-0.3451841
1579759738220,3286704456233453,0.3036324,-0.47337902,-0.41176838
1579759738243,3286704476230853,0.13381186,-0.40374038,-0.2847084
1579759738262,3286704496228353,-0.10442558,-0.23575245,-0.078235954
1579759738281,3286704516225924,-0.2785222,-0.056768928,0.031108923
1579759738303,3286704536223299,-0.37137368,-0.009732305,0.04393709
1579759738321,3286704556220743,-0.35976723,-0.075094886,0.01889162
1579759738343,3286704576218243,-0.2766896,-0.14412266,-0.012262509
1579759738365,3286704596215788,-0.18750325,-0.13923573,-0.01470597
1579759738385,3286704616213204,-0.14535354,-0.078149214,0.020724215
1579759738404,3286704636210665,-0.15085134,-0.027447397,0.06959344
1579759738424,3286704656208165,-0.16978817,0.0043175956,0.13923207
1579759738441,3286704676204231,-0.17772941,0.026919609,0.20337293
1579759738461,3286704696201918,-0.16612297,0.009815383,0.22353148
1579759738483,3286704716199741,-0.10686904,-0.042108163,0.15633631
1579759738501,3286704736197629,-0.037230402,-0.05799066,0.098914966
1579759738521,3286704756195523,-0.022569638,-0.03599951,0.12884736
1579759738543,3286704776193523,-0.070828,0.0104262475,0.16611014
1579759738561,3286704796191523,-0.113588564,0.019589227,0.1844361
1579759738581,3286704816189432,-0.09404087,-0.010954035,0.17649485
1579759738618,3286704836187345,0.0030867022,-0.042108163,0.1367886
1579759738621,3286704856185261,0.089218706,-0.051882006,0.08914112
1579759738641,3286704876183181,0.06478409,-0.0146192275,0.04393709
1579759738664,3286704896181027,-0.039673865,0.049521625,0.03966104
1579759738681,3286704916178878,-0.12580587,0.11244074,0.100747555
1579759738700,3286704936175985,-0.13741231,0.10205604,0.117851794
1579759738721,3286704956173053,-0.0793801,0.024476148,0.03966104
1579759738742,3286704976170586,0.014693142,-0.045773353,-0.05319048
1579759738763,3286704996167752,0.108155526,-0.062266715,-0.07640336
1579759738787,3286705016165618,0.19734184,-0.04882768,-0.042194903
1579759738804,3286705036162984,0.24071328,-0.08609046,-0.03303193
1579759738824,3286705056160817,0.18451369,-0.18505062,-0.106946625
1579759738844,3286705076158650,0.040349483,-0.28950858,-0.21445891
1579759738862,3286705096156483,-0.086099625,-0.33104742,-0.24744563
1579759738881,3286705116153583,-0.10564731,-0.2840108,-0.21384804
1579759738903,3286705136153116,-0.064108476,-0.18505062,-0.18147218
1579759738922,3286705156150982,0.025688717,-0.08792306,-0.1619245
1579759738942,3286705176148782,0.1631334,-0.031112589,-0.17475267
1579759738965,3286705196146582,0.26575875,-0.019506149,-0.24927823
1579759738984,3286705216144448,0.26026097,0.003095865,-0.32441464
1579759739003,3286705236142314,0.1368662,0.05501941,-0.35007098
1579759739027,3286705256139414,-0.04822598,0.113662474,-0.30547783
1579759739043,3286705276137247,-0.19666623,0.15275784,-0.23706092
1579759739111,3286705296134980,-0.24003766,0.14054054,-0.19796555
1579759739111,3286705316132380,-0.19849883,0.10877555,-0.20651765
1579759739149,3286705336129946,-0.08243443,0.08800613,-0.20712852
1579759739152,3286705356127512,0.08311005,0.12893412,-0.16070276
1579759739152,3286705376124312,0.21322435,0.16619688,-0.11672047
1579759739178,3286705396122278,0.21322435,0.16619688,-0.11672047
1579759739179,3286705416119078,0.21322435,0.16619688,-0.11672047
1579759739204,3286705436116711,0.21322435,0.16619688,-0.11672047
1579759739222,3286705456114144,0.01102795,0.19796188,-0.028755872
1579759739243,3286705476111577,-0.15879259,0.15520132,-0.06540778
1579759739263,3286705496109077,-0.33105657,0.13809709,-0.045249235
1579759739281,3286705516106577,-0.39519745,0.13198844,0.041493632
1579759739301,3286705536104743,-0.3322783,0.1044995,0.11724092
1579759739323,3286705556102976,-0.15879259,0.05257595,0.17954917
1579759739341,3286705576100776,0.04584727,0.020200092,0.19420995
1579759739363,3286705596099009,0.23643723,0.045245565,0.15694717
1579759739384,3286705616096475,0.39404047,0.18391198,0.17771658
1579759739403,3286705636094208,0.35861027,0.28775907,0.24918783
1579759739423,3286705656091741,0.067838416,0.16253169,0.20887071
1579759739447,3286705676089207,-0.09587347,-0.031723455,0.034774117
1579759739462,3286705696086673,0.25293058,-0.06471018,-0.004932126
1579759739482,3286705716084873,0.7379576,0.19490755,0.07692382
1579759739504,3286705736080706,0.74650973,0.1729164,0.15389284
1579759739523,3286705756078139,0.21139175,-0.12885103,0.080589004
1579759739546,3286705776075672,-0.53264207,-0.45322046,-0.18269391
1579759739566,3286705796073305,-1.0445472,-0.61876494,-0.37450558
1579759739586,3286705815948634,-0.86861795,-0.37441885,-0.15459412
