timeMillis,timeNanos,x,y,z
1579759738039,3286704276257870,-21.359999,0.96,-33.0
1579759738062,3286704296255870,-21.06,1.02,-33.42
1579759738080,3286704316252870,-21.119999,0.84,-33.42
1579759738101,3286704336250203,-20.4,1.4399999,-33.48
1579759738122,3286704356247703,-20.34,1.1999999,-33.48
1579759738144,3286704376245303,-19.8,1.0799999,-32.94
1579759738161,3286704396242636,-19.68,0.78,-33.18
1579759738182,3286704416240064,-20.22,0.24,-32.579998
1579759738200,3286704436237564,-19.92,0.12,-32.399998
1579759738220,3286704456235008,-20.1,-0.06,-32.1
1579759738243,3286704476232508,-20.1,-0.17999999,-31.14
1579759738262,3286704496230053,-20.64,-0.35999998,-31.439999
1579759738281,3286704516227636,-20.88,-0.78,-31.08
1579759738303,3286704536225097,-21.0,-0.71999997,-31.019999
1579759738321,3286704556222597,-21.18,-0.65999997,-31.26
1579759738343,3286704576220130,-20.76,-0.42,-30.9
1579759738365,3286704596217692,-21.0,-0.17999999,-31.08
1579759738385,3286704616215162,-21.119999,-0.24,-31.019999
1579759738404,3286704636212662,-21.24,0.0,-30.779999
1579759738424,3286704656210188,-21.539999,0.17999999,-30.539999
1579759738441,3286704676206638,-21.72,0.65999997,-30.599998
1579759738461,3286704696204304,-21.72,1.14,-30.66
1579759738483,3286704716202076,-21.42,1.14,-30.66
1579759738501,3286704736199902,-21.119999,1.8,-30.84
1579759738521,3286704756197735,-20.88,1.86,-30.84
1579759738543,3286704776195655,-21.24,1.92,-31.26
1579759738561,3286704796193578,-21.96,2.1599998,-31.74
1579759738581,3286704816191429,-22.68,1.86,-32.28
1579759738618,3286704836189286,-22.98,1.92,-32.46
1579759738621,3286704856187148,-23.039999,1.68,-31.98
1579759738641,3286704876185014,-22.38,1.68,-32.1
1579759738664,3286704896182814,-22.26,1.4399999,-31.8
1579759738681,3286704916180680,-22.32,1.3199999,-31.92
1579759738700,3286704936177846,-22.32,1.26,-32.04
1579759738721,3286704956174946,-22.74,1.0799999,-31.619999
1579759738741,3286704976172479,-22.439999,1.0799999,-31.5
1579759738763,3286704996169645,-22.38,1.1999999,-30.96
1579759738787,3286705016167511,-22.439999,1.26,-30.779999
1579759738804,3286705036164877,-22.5,1.02,-30.72
1579759738824,3286705056162710,-22.98,0.9,-31.26
1579759738844,3286705076160543,-23.34,-0.06,-31.14
1579759738862,3286705096158376,-23.64,-0.65999997,-31.08
1579759738881,3286705116155476,-24.359999,-1.1999999,-31.439999
1579759738903,3286705136155009,-24.66,-2.04,-30.72
1579759738922,3286705156152875,-24.96,-2.3999999,-30.9
1579759738942,3286705176150675,-25.019999,-2.8799999,-30.66
1579759738965,3286705196148475,-24.9,-3.6,-30.42
1579759738984,3286705216146341,-24.84,-4.02,-30.66
1579759739003,3286705236144207,-24.84,-4.74,-30.72
1579759739027,3286705256141307,-24.96,-5.16,-31.14
1579759739043,3286705276139140,-25.08,-5.58,-30.9
1579759739111,3286705296136873,-24.9,-6.2999997,-30.84
1579759739111,3286705316134273,-24.6,-6.8399997,-30.96
1579759739149,3286705336131839,-23.939999,-7.62,-30.72
1579759739152,3286705356129405,-23.64,-7.7999997,-30.9
1579759739152,3286705376126205,-23.46,-8.099999,-31.26
1579759739178,3286705396124171,-23.519999,-8.58,-31.199999
1579759739179,3286705416120971,-23.4,-9.78,-32.04
1579759739204,3286705436118604,-22.92,-10.38,-31.98
1579759739222,3286705456116037,-22.98,-10.74,-32.1
1579759739243,3286705476113470,-23.46,-11.16,-31.92
1579759739263,3286705496110970,-23.4,-11.5199995,-31.439999
1579759739281,3286705516108470,-22.68,-11.639999,-31.679998
1579759739301,3286705536106636,-22.199999,-11.099999,-32.16
1579759739323,3286705556104869,-22.68,-11.4,-32.1
1579759739341,3286705576102669,-22.5,-11.88,-31.98
1579759739363,3286705596100902,-22.02,-11.94,-32.219997
1579759739384,3286705616098368,-22.02,-12.78,-32.219997
1579759739403,3286705636096101,-21.359999,-13.5,-32.34
1579759739423,3286705656093634,-21.539999,-13.62,-32.1
1579759739447,3286705676091100,-21.119999,-13.62,-31.439999
1579759739462,3286705696088566,-19.74,-13.92,-31.38
1579759739482,3286705716086766,-19.32,-14.219999,-31.619999
1579759739504,3286705736082599,-19.32,-15.179999,-31.199999
1579759739523,3286705756080032,-18.6,-15.96,-30.9
1579759739546,3286705776077565,-18.18,-15.78,-31.32
1579759739566,3286705796075198,-18.66,-15.54,-30.84
1579759739586,3286705815948634,-18.6,-15.299999,-30.359999
1579759739606,3286705835946334,-18.0,-14.639999,-30.66
1579759739625,3286705855944867,-18.06,-14.58,-30.539999
1579759739643,3286705875943400,-18.539999,-14.639999,-30.3
1579759739664,3286705895941166,-17.88,-14.4,-30.42
1579759739686,3286705915939199,-17.22,-14.28,-30.539999
1579759739703,3286705935937032,-17.279999,-14.639999,-30.48
1579759739723,3286705955934798,-16.38,-14.94,-29.82
1579759739747,3286705975933264,-16.38,-15.299999,-29.699999
1579759739764,3286705995963897,-17.039999,-15.599999,-29.88
