timeMillis,timeNanos,x,y,z
1594796715128,1908158043019404,-0.5363176,0.72546524,8.22194
1594796715145,1908158075686070,-0.5363176,0.72546524,8.22194
1594796715166,1908158108352736,-0.5363176,0.72546524,8.22194
1594796715184,1908158141019402,-0.8834874,1.9728824,9.431048
1594796715204,1908158173686068,-0.45491222,2.2889266,9.565128
1594796715228,1908158206352734,-0.45251793,2.545114,9.153313
1594796715245,1908158239019400,-0.7206767,2.47568,9.349643
1594796715265,1908158271686066,-0.9960183,2.0949905,9.771035
1594796715288,1908158304352732,-0.7829279,2.0183737,9.763853
1594796715304,1908158337019398,-0.69912827,2.063865,9.502876
1594796715325,1908158369686064,-0.5865973,2.1380875,9.356826
1594796715346,1908158402352730,-0.4956149,2.1572416,9.656111
1594796715363,1908158435019396,-0.4644893,2.142876,9.747093
1594796715382,1908158467685362,-0.45970076,2.116539,9.893144
1594796715404,1908158500351728,-0.38308397,2.0925963,9.665688
1594796715423,1908158533018094,-0.21787901,2.030345,9.7135725
1594796715445,1908158565684960,-0.06943397,2.0183737,9.627379
1594796715466,1908158598351760,0.38547826,2.2458298,9.845258
1594796715484,1908158631018426,0.40463245,2.3823035,9.450203
1594796715507,1908158663685059,0.49082634,2.370332,9.450203
1594796715526,1908158696351392,0.75180227,2.2434354,9.718362
1594796715544,1908158729017958,0.845179,2.2745612,9.522031
1594796715564,1908158761684458,0.723071,2.4254005,8.992896
1594796715586,1908158794350891,0.5985687,2.4086404,8.952193
1594796715605,1908158827017257,0.53871185,2.291321,9.296969
1594796715624,1908158859683490,0.54828894,2.135693,9.378374
1594796715646,1908158892349656,0.7398309,2.2003386,9.024022
1594796715665,1908158925015756,0.7877164,2.2410412,8.947405
1594796715684,1908158957681789,0.60335726,2.0854135,9.4142885
1594796715705,1908158990347322,0.56265455,2.0925963,9.545974
1594796715724,1908159010346355,0.49800915,2.1189332,9.371192
1594796715744,1908159030345421,0.47167215,2.063865,9.244295
1594796715766,1908159050343687,0.51716334,2.1093562,9.352037
1594796715784,1908159070342587,0.7015225,2.2889266,9.668081
1594796715804,1908159090341420,0.69912827,2.3416007,9.737515
1594796715827,1908159110340186,0.3519584,2.3248408,9.6585045
1594796715845,1908159130338819,0.13886794,2.3870919,9.692024
1594796715863,1908159150336685,0.19393626,2.4804688,10.046377
1594796715886,1908159170335185,0.5961744,2.6241252,10.285805
1594796715904,1908159190333551,0.83081335,2.7318676,10.146936
1594796715958,1908159210331851,0.82602483,2.5762396,9.996098
1594796715958,1908159230330117,0.5123748,2.4062462,10.43425
1594796715964,1908159250328317,0.39266106,2.5618742,10.474953
1594796715986,1908159270326417,0.32083282,3.0335462,10.077502
1594796716004,1908159290324017,0.11492519,2.832427,9.747093
1594796716023,1908159310321550,-0.05985687,2.2769554,9.545974
1594796716045,1908159330319150,0.08858817,1.5778271,10.00328
1594796716066,1908159350316050,0.11971374,1.0271438,10.56354
1594796716093,1908159370313016,-0.27294734,0.7972935,10.89395
1594796716245,1908159390309716,-0.5363176,0.6273,10.822123
1594796716246,1908159410306316,-0.4189981,0.70870537,10.558752
1594796716246,1908159430302916,-0.46927786,0.91700727,10.621003
1594796716246,1908159450299516,-0.85954463,0.9984126,10.218765
1594796716246,1908159470296116,-1.1516461,1.2258687,9.160496
1594796716246,1908159490292649,-1.1899546,1.1827718,8.413482
1594796716246,1908159510289249,-1.3719195,0.9984126,8.561927
1594796716246,1908159530285849,-1.1468576,0.81165916,9.122187
1594796716262,1908159550282382,-0.43336374,0.9194015,9.344854
1594796716283,1908159570278915,-0.16281068,1.0223553,9.196409
1594796716314,1908159590275881,-0.29689008,0.967287,9.004868
1594796716327,1908159610272647,-0.3304099,1.201926,8.973742
1594796716347,1908159630269247,-0.19154198,1.6161355,8.942616
1594796716365,1908159650266580,-0.19633053,1.9034485,8.660092
1594796716384,1908159670263213,-0.2777359,2.17879,8.217151
1594796716413,1908159690259779,-0.26337022,2.3128695,7.944204
1594796716426,1908159344018442,-0.31604427,2.2362528,8.43503
1594796716444,1908159364015075,-0.37590113,1.9561225,8.844451
1594796716464,1908159384012408,-0.27294734,1.8747171,8.940222
1594796716484,1908159404008974,-0.2083019,1.924997,9.299363
1594796716503,1908159424005607,-0.05985687,1.9441512,9.680053
1594796716524,1908159444002240,0.0047885496,1.8938714,9.862018
1594796716545,1908159463998773,-0.18914771,1.8483802,9.835681
1594796716563,1908159483995339,-0.06464542,1.7957062,9.742304
1594796716584,1908159503992372,0.34956414,1.8555629,10.08708
1594796716604,1908159523989805,0.3040729,1.8268317,10.472558
1594796716623,1908159543987171,0.0071828244,1.7262721,10.774237
1594796716644,1908159563983904,0.090982445,2.0614705,10.965778
1594796716665,1908159583981337,0.531529,1.1348863,11.018453
1594796716684,1908159603978770,0.7685622,0.08140534,11.0352125
1594796716704,1908159623976370,0.95531565,-0.5458947,11.894757
1594796716725,1908159643974036,1.5874043,-0.4166038,12.773457
1594796716743,1908159663971669,2.0542877,0.37111259,12.263475
1594796716765,1908159683969235,1.4245936,1.0678465,10.204399
1594796716786,1908159703966801,0.52674043,1.3982565,8.557138
1594796716804,1908159723964434,0.65363705,1.3910737,8.595447
1594796716824,1908159743962067,1.3096683,0.9816527,8.992896
1594796716845,1908159763959633,0.8379962,0.24421602,9.545974
1594796716864,1908159783957266,0.28731298,-0.29210153,9.905115
1594796716885,1908159803954899,0.4740664,0.09577099,9.660899
1594796716906,1908159823952499,0.6249057,0.9960183,9.019233
1594796717016,1908159843950032,0.42139238,1.6520497,8.286585
1594796717016,1908159863947632,0.052674048,2.0518935,7.702382
1594796717016,1908159883945232,-0.026337024,2.3224466,7.2762012
1594796717016,1908159903942798,0.15802214,2.3990633,7.046351
1594796717016,1908159923940431,0.24900457,2.2266755,7.355212
1594796717031,1908159943938064,0.016759925,1.9465454,7.972935
1594796717054,1908159963935697,-0.28252444,1.8244374,8.430242
1594796717065,1908159983933230,-0.43336374,1.5993756,8.22194
1594796717085,1908160003930863,-0.6560313,1.3264283,8.226728
1594796717104,1908160023928496,-0.6656084,1.132492,8.894731
1594796717124,1908160043926062,-0.43096948,1.1444633,9.909904
1594796717143,1908160063923695,-0.1340794,1.1277034,10.525232
1594796717162,1908160083921295,0.26097596,1.158829,10.714379
1594796717183,1908160103918861,0.4668836,1.1181264,10.992116
1594796717204,1908160123916294,0.24900457,0.9289786,12.019259
1594796717224,1908160143913794,-0.16041641,1.4174107,13.010489
1594796717244,1908160163911294,-0.38308397,3.0383348,12.143762
1594796717266,1908160183908760,0.35435268,2.7821474,10.151725
1594796717284,1908160203906193,0.25379312,0.9481328,10.711986
1594796717305,1908160223903693,0.0,-1.0774237,12.651348
1594796717326,1908160243901159,-0.68236834,-2.5570855,14.509305
1594796717345,1908160263898625,-1.472479,-2.3128695,13.853274
1594796717365,1908160283896125,-1.2641771,-1.3288225,10.826911
1594796717385,1908160303893658,-0.31365,-1.0391153,9.440625
1594796717404,1908160323891124,0.7398309,-1.0774237,10.168485
1594796717425,1908160343888590,1.036721,-1.1372806,11.293795
1594796717445,1908160363886123,0.7781393,-0.69912827,10.834093
1594796717464,1908160383883656,0.8475733,-0.30886146,9.495694
1594796717485,1908160403881122,0.7589851,-0.038308397,8.178843
1594796717506,1908160423878622,0.26097596,0.098165266,7.656891
1594796717524,1908160443876155,0.0670397,0.3304099,7.407886
1594796717545,1908160463873688,0.25858167,0.8667275,6.91706
1594796717565,1908160483871154,0.23463893,1.5179702,6.0886407
1594796717585,1908160503868654,0.26337022,1.8268317,5.7534423
1594796717605,1908160523866154,0.30167863,1.7909175,6.304126
1594796717626,1908160543863720,0.117319465,1.6616267,7.2762012
1594796717645,1908160563861353,-0.023942748,1.5179702,8.169266
1594796717671,1908160583859119,0.0670397,1.6328955,8.827691
1594796717686,1908160603856919,0.31843856,1.620924,9.225141
1594796717705,1908160623854685,0.32083282,1.5634614,9.340066
1594796717725,1908160643852518,0.17957062,1.403045,9.512454
1594796717746,1908160663850351,-0.038308397,1.3048798,10.168485
1594796717769,1908160683848117,-0.08858817,1.1085492,10.635368
1594796717785,1908160703845883,-0.3040729,1.0486923,10.97775
1594796717808,1908160723843716,-0.21787901,0.42139238,10.999298
1594796717824,1908160743841549,0.38068968,-0.56744313,11.332103
1594796717844,1908160763839315,1.1300977,-1.4485363,12.431075
1594796717866,1908160783837115,1.9106313,-1.8076775,13.563567
1594796717885,1908160803834948,2.2338583,-1.297697,13.556384
1594796717904,1908160823832748,2.4254005,-0.7709565,12.359246
1594796718027,1908160843830514,2.7079248,-0.46209505,10.992116
1594796718027,1908160863828314,2.3320236,-0.4740664,10.410307
