timeMillis,timeNanos,x,y,z
1594796715026,1908157943019404,0.2967614,-0.12352612,-0.20957687
1594796715046,1908157963028404,0.30470264,-0.04961142,-0.24683964
1594796715064,1908157983028404,0.19413604,0.015140295,-0.29937404
1594796715086,1908158003028404,-0.009892963,-0.052665748,-0.4026103
1594796715108,1908158023028404,-0.10396621,-0.020900754,-0.44231653
1594796715128,1908158043028404,-0.11496179,-0.0728243,-0.42948836
1594796715145,1908158063028404,-0.08564025,-0.319003,-0.390393
1594796715166,1908158083028404,-0.045934014,-0.5780099,-0.3164783
1594796715184,1908158103028404,-0.01661248,-0.6934634,-0.20530081
1594796715204,1908158123028404,-0.022110268,-0.6824678,-0.12222314
1594796715228,1908158143028404,-0.066092566,-0.5706795,-0.13749477
1594796715245,1908158163028404,-0.17849177,-0.35687664,-0.1985813
1594796715265,1908158183028404,-0.3519775,-0.13940862,-0.25172657
1594796715288,1908158203028404,-0.41550747,-0.022733351,-0.240731
1594796715304,1908158223028404,-0.3061626,-0.11863919,-0.17475756
1594796715325,1908158243028404,-0.17299399,-0.2945684,-0.14360343
1594796715346,1908158263028404,-0.099690154,-0.38680902,-0.16925977
1594796715363,1908158283028404,-0.025775459,-0.3697048,-0.20163561
1594796715382,1908158303027737,0.0035460726,-0.3122835,-0.18636398
1594796715405,1908158323027263,-0.10640967,-0.23959051,-0.11367103
1594796715423,1908158343026813,-0.28966925,-0.18766697,-0.032425947
1594796715445,1908158363027098,-0.35869703,-0.14429553,0.025606249
1594796715466,1908158383027279,-0.28111714,-0.07038084,0.05004086
1594796715484,1908158403027279,-0.1833787,-0.07648949,0.076308064
1594796715507,1908158423027237,-0.13634208,-0.19866253,0.09646662
1594796715526,1908158443027197,-0.09846842,-0.33916157,0.10135354
1594796715544,1908158463027081,-0.04471228,-0.40574586,0.09891008
1594796715565,1908158483026895,-0.0013408492,-0.32999855,0.1019644
1594796715589,1908158503026645,-0.06181651,-0.13513255,0.11662517
1594796715605,1908158523026334,-0.19498514,0.0041447207,0.12945333
1594796715624,1908158543025900,-0.24324349,0.02613587,0.1300642
1594796715646,1908158563025100,-0.1619984,-0.042281035,0.14533582
1594796715665,1908158583024533,-0.07830987,-0.11558487,0.15572055
1594796715684,1908158603023899,-0.1302334,-0.06121786,0.13922718
1594796715705,1908158623022765,-0.22125234,0.048127018,0.11540344
1594796715724,1908158643021798,-0.19131994,0.10860267,0.11662517
1594796715744,1908158663020864,-0.13817467,0.13486989,0.1178469
1594796715766,1908158683019130,-0.1357312,0.15319584,0.11662517
1594796715784,1908158703018030,-0.15100284,0.14830892,0.12517728
1594796715804,1908158723016863,-0.13634208,0.14891979,0.13739459
1594796715827,1908158743015629,-0.1479485,0.27048197,0.13861632
1594796715845,1908158763014262,-0.19742858,0.44091335,0.13861632
1594796715863,1908158783012128,-0.20231552,0.48489565,0.17893343
1594796715886,1908158803010628,-0.13328773,0.3682204,0.23146783
1594796715904,1908158823008994,0.016374243,0.16541314,0.2565133
1594796715958,1908158843007294,0.14526682,0.051792208,0.2357439
