timeMillis,timeNanos,x,y,z
1594963723569,2075166485463002,-0.052674048,2.4206119,9.325701
1594963723590,2075166518129668,-0.052674048,2.4206119,9.325701
1594963723608,2075166550796334,-0.052674048,2.4206119,9.325701
1594963723628,2075166583463000,-0.052674048,2.5642684,8.526012
1594963723652,2075166616129666,-0.30646718,2.2889266,8.662486
1594963723669,2075166648796332,-0.5602603,1.7238779,9.210775
1594963723689,2075166681462998,-0.8930645,1.1995317,10.158908
1594963723711,2075166714129664,-0.9241901,0.9217958,10.767054
1594963723730,2075166746795530,-0.5363176,0.9864412,10.56354
1594963723746,2075166779461763,-0.44054657,1.0199611,10.688043
1594963723767,2075166812128096,-0.31843856,1.0678465,10.3193245
1594963723786,2075166844794396,-0.22027329,1.1396748,9.885961
1594963723808,2075166877461129,-0.17717634,1.2881198,9.809344
1594963723830,2075166910127762,-0.09337672,1.4198049,9.620196
1594963723850,2075166942794395,-0.0071828244,1.5059988,9.569917
1594963723871,2075166975460761,0.045491222,1.5538844,9.471751
1594963723892,2075167008127261,0.10055954,1.6041641,9.696813
1594963723910,2075167040793694,0.3902668,1.9896424,9.615408
1594963723928,2075167073460060,0.5865973,2.17879,9.103033
1594963723950,2075167106126360,0.62251145,2.2410412,8.818114
1594963723969,2075167138792526,0.6177229,2.3344178,9.110215
1594963723989,2075167171458626,0.6249057,2.403852,9.201198
1594963724011,2075167204124659,0.44054657,2.3631492,8.889942
1594963724030,2075167236790625,0.21309046,2.2506182,9.019233
1594963724049,2075167269456191,0.22985038,2.2697725,9.294575
1594963724070,2075167302121957,0.16759923,2.3368123,9.3831625
1594963724088,2075167334820257,0.25379312,2.2889266,9.3831625
1594963724108,2075167367518957,0.37350687,2.3631492,9.6896305
1594963724130,2075167400217090,0.43096948,2.4206119,9.91948
1594963724154,2075167432916523,0.35435268,2.4972286,9.79019
1594963724169,2075167452947789,0.37350687,2.604971,9.399923
1594963724189,2075167472979255,0.42139238,2.6839821,9.306546
1594963724209,2075167493011088,0.57462597,2.6959534,9.471751
1594963724230,2075167513042854,0.6488485,2.648068,9.466963
1594963724252,2075167533073720,0.5985687,2.6097596,9.47654
1594963724270,2075167553104620,0.52913475,2.5522969,9.672871
1594963724290,2075167573136153,0.45730647,2.4876516,9.809344
1594963724313,2075167593167619,0.35435268,2.4684973,9.797373
1594963724330,2075167613199652,0.2777359,2.4182177,9.586677
1594963724424,2075167633231352,0.23224466,2.4613144,9.636956
1594963724425,2075167653262885,0.090982445,2.3487835,9.780613
1594963724425,2075167673293618,-0.047885496,2.1117504,9.960183
1594963724425,2075167693323851,-0.11253092,1.9417568,10.276228
1594963724437,2075167713354817,-0.42618093,1.89866,10.740717
1594963724448,2075167733385017,-1.0127783,2.221887,10.73114
1594963724478,2075167753415083,-1.5059988,2.6121538,10.111023
1594963724706,2075167773445216,-1.5514901,2.8252442,8.779806
1594963724706,2075167793475116,-1.2833313,2.9473522,8.889942
1594963724706,2075167813504982,-0.56265455,2.3727264,10.0439825
1594963724706,2075167833534848,-0.15323359,1.6305012,11.377594
1594963724706,2075167853564781,0.06464542,0.99362403,12.450229
1594963724706,2075167873594714,0.021548472,0.8236305,12.871621
1594963724706,2075167893624580,-0.12450229,0.9505271,12.110242
1594963724706,2075167913654446,-0.14844504,1.1923488,10.762265
1594963724707,2075167933684646,-0.17957062,1.7238779,9.577099
1594963724707,2075167953714546,-0.409421,2.2961094,8.576292
1594963724707,2075167973711846,-0.7350424,2.5307484,7.6544967
1594963724707,2075167993708679,-0.8236305,2.3823035,7.187613
1594963724727,2075168013706012,-0.70870537,1.9058428,7.9753294
1594963724746,2075168033701912,-0.43575802,1.525153,8.605023
1594963724766,2075168053699245,-0.50040346,1.2569942,9.009656
1594963724787,2075168073696311,-0.80687064,1.0702409,9.227535
1594963724808,2075168093692944,-1.0774237,1.2905141,9.007262
1594963724829,2075168113689510,-1.1516461,1.7071179,8.284191
1594963724850,2075168133686910,-1.0319325,2.116539,7.735902
1594963724869,2075168153684210,-1.0462981,2.343995,7.4821086
1594963724888,2075167807513192,-0.90982443,2.432583,7.685622
1594963724912,2075167827509792,-0.7805336,2.4613144,8.25546
1594963724931,2075167847506525,-0.5794145,2.3631492,8.880365
1594963724950,2075167867503258,-0.56265455,2.4182177,9.167678
1594963724976,2075167887499924,-0.63208854,2.4613144,9.287392
1594963724992,2075167907497357,-0.61293435,2.5522969,9.191621
1594963725006,2075167927494790,-0.45491222,2.5522969,9.352037
1594963725028,2075167947491456,-0.30886146,2.5187771,9.754275
1594963725047,2075167967488822,-0.2657645,2.6001825,10.010463
1594963725067,2075167987486255,-0.27294734,2.6528566,9.73991
1594963725087,2075168007483688,-0.023942748,2.6696165,9.498088
1594963725107,2075168027481288,0.12929083,2.760599,9.569917
1594963725132,2075168047478921,0.052674048,2.7582045,9.715967
1594963725149,2075168067476554,-0.0047885496,2.7653873,10.194822
1594963725168,2075168087474187,0.0,2.971295,10.702409
1594963725188,2075168107471753,-0.07422252,3.0742488,11.298583
1594963725210,2075168127469386,0.10774237,2.2745612,11.384777
1594963725228,2075168147467052,0.25139886,1.1971374,10.999298
1594963725247,2075168167464618,0.9337672,0.6656084,11.411114
1594963725269,2075168187462218,1.9297855,0.105348095,13.278648
1594963725287,2075168207459818,2.2099156,0.10055954,14.257907
1594963725306,2075168227457451,1.8914771,0.53871185,12.921901
1594963725328,2075168247455017,1.6328955,1.201926,10.336084
1594963725469,2075168267452650,1.6137413,1.9417568,8.650515
1594963725469,2075168287450283,1.7238779,2.47568,7.379155
1594963725469,2075168307447849,1.5754328,2.264984,7.185219
1594963725469,2075168327445415,0.90982443,1.7262721,7.743085
1594963725470,2075168347443048,0.18914771,1.3072741,7.9609637
1594963725470,2075168367440681,-0.5458947,1.1947432,7.901107
1594963725470,2075168387438247,-1.0846065,1.2522057,7.7574506
1594963725497,2075168407435813,-1.6807809,1.3000913,7.8197017
1594963725507,2075168427433379,-1.951334,1.462902,7.7742105
1594963725526,2075168447430812,-1.4916332,2.0854135,7.7526617
1594963725546,2075168467428245,-0.6895511,2.7510219,7.7670274
1594963725566,2075168487425745,-0.22027329,3.0048149,7.901107
1594963725585,2075168507423245,-0.21069619,2.7989073,8.346442
1594963725605,2075168527420711,-0.32562137,2.3846977,9.086273
1594963725626,2075168547418211,-0.24900457,2.1572416,9.617802
1594963725646,2075168567415711,-0.11971374,2.2625897,9.866806
1594963725665,2075168587413244,-0.105348095,2.3248408,9.909904
1594963725687,2075168607410677,-0.26097596,2.2889266,10.2091875
1594963725706,2075168627408210,-0.22985038,2.2027328,10.479741
1594963725728,2075168647405743,-0.36871833,2.0087965,10.94423
1594963725750,2075168667403209,-1.175589,2.4349775,11.514068
1594963725768,2075168687400675,-1.3527653,3.0239692,10.726351
1594963725786,2075168707398208,-0.4070267,3.3400133,10.106234
1594963725807,2075168727395741,0.5411061,2.2841382,11.169292
1594963725826,2075168747393174,0.5363176,1.3551595,13.410334
1594963725846,2075168767390707,-0.43575802,0.9984126,14.090307
1594963725871,2075168787388240,-1.4174107,1.1803775,11.545193
1594963725888,2075168807385706,-1.1229149,1.5059988,9.033599
1594963725908,2075168827383139,-0.44054657,1.3431882,8.126168
1594963725930,2075168847380639,0.047885496,0.505192,9.804555
1594963725948,2075168867378172,0.043096945,0.21548474,11.221966
1594963725968,2075168887375805,-0.026337024,0.15802214,10.879584
1594963725989,2075168907373538,0.22985038,0.7134939,9.191621
1594963726008,2075168927371304,0.38308397,0.98404694,7.881953
1594963726028,2075168947369070,0.18196489,1.089395,7.4964743
1594963726049,2075168967366836,0.09577099,1.2306572,7.4007034
1594963726068,2075168987364669,0.14605077,1.7214836,6.9074826
1594963726088,2075169007362535,0.026337024,2.0351336,6.3137026
1594963726112,2075169027360301,0.06943397,2.2003386,6.193989
1594963726127,2075169047358134,-0.038308397,2.3966691,6.632141
1594963726148,2075169067355967,-0.23224466,2.2673783,7.501263
1594963726169,2075169087353800,-0.2777359,1.9273912,8.628966
1594963726188,2075169107351566,-0.17478207,1.6712039,9.950606
1594963726216,2075169127349366,0.0071828244,1.7382435,10.805362
1594963726229,2075169147347199,-0.038308397,1.7837347,10.855642
1594963726248,2075169167344965,-0.1987248,1.7119064,10.958596
1594963726268,2075169187342698,-0.28013015,1.6089526,11.312948
1594963726290,2075169207340531,-0.5363176,1.4221992,11.959403
1594963726308,2075169227338331,-0.2753416,0.9816527,12.273052
1594963726328,2075169247336064,0.26097596,0.55307746,12.301784
1594963726352,2075169267333864,0.8092649,-0.3519584,12.342486
1594963726429,2075169287331664,1.0678465,-0.9864412,13.52047
1594963726429,2075169307329397,1.0846065,-0.9074302,14.037633
1594963726429,2075169327327130,1.1253091,-0.1340794,12.275447
1594963726429,2075169347324963,1.3000913,0.57462597,10.446221
1594963726447,2075169367322796,1.2833313,0.9768641,8.849239
1594963726468,2075169387320562,0.888276,0.93616146,8.123775
1594963726487,2075169407318395,0.60335726,0.85236186,8.178843
1594963726506,2075169427316228,0.45251793,0.8092649,8.047157
1594963726527,2075169447313994,0.31843856,0.95531565,7.474926
1594963726547,2075169467311727,-0.16520496,1.2162915,7.185219
1594963726569,2075169487309360,-0.6440599,1.3886794,6.567496
1594963726587,2075169507306960,-0.6177229,1.7023294,6.0527267
1594963726606,2075169527304460,-0.31125572,1.9010541,6.366377
1594963726626,2075169547301960,-0.15083931,2.004008,7.3312693
1594963726648,2075169567299460,-0.10774237,2.0710478,8.107015
1594963726669,2075169587296993,-0.11971374,2.1093562,8.526012
1594963726688,2075169607294426,0.06943397,2.176396,8.676852
1594963726708,2075169627291926,0.17957062,2.2554069,9.1940155
1594963726727,2075169647289426,0.038308397,2.056682,9.883567
1594963726748,2075169667286859,-0.11253092,1.6328955,10.925076
1594963726769,2075169687284292,0.13886794,1.3455825,11.741524
1594963726788,2075169707281792,0.2466103,1.2162915,12.524451
1594963726808,2075169727279292,-0.20351335,1.7813405,13.304985
1594963726829,2075169747276758,0.33519846,2.360755,12.452623
1594963726848,2075169767274291,0.7015225,2.4182177,12.138973
1594963726868,2075169787271824,0.27055305,1.7406378,12.914719
1594963726888,2075169807269290,-0.9529214,1.297697,12.768667
1594963726908,2075169827266756,-1.5059988,1.1947432,10.889162
1594963726927,2075169847264289,-1.2617828,0.7110996,9.304152
1594963726949,2075169867261822,-0.9289786,-0.19633053,9.785401
1594963726966,2075169887259288,-0.8140534,-0.5363176,11.796592
1594963726987,2075169907256821,-0.66321415,-0.59378016,12.6298
1594963727009,2075169927254354,-0.15083931,0.031125572,11.30816
1594963727028,2075169947251820,0.2466103,0.38547826,9.584282
1594963727048,2075169967249320,0.36871833,0.54828894,7.8891354
1594963727069,2075169987246986,0.035914123,0.89545876,7.233104
1594963727088,2075170007244619,-0.06464542,1.2617828,7.4605603
1594963727108,2075170027242185,-0.11492519,1.7310607,7.101419
1594963727131,2075170047239818,-0.20111908,2.1500587,5.968927
1594963727148,2075170067237484,-0.7326481,2.3751206,5.4565525
1594963727168,2075170087235117,-1.0606637,2.135693,6.117372
1594963727189,2075170107232683,-0.99362403,2.1213274,7.1564875
1594963727208,2075170127230316,-0.73743665,1.89866,7.910684
1594963727228,2075170147227949,-0.36392978,1.8747171,9.093455
1594963727248,2075170167225515,0.031125572,1.7621863,9.871595
1594963727268,2075170187223048,-0.2083019,1.2881198,10.079897
1594963727288,2075170207220681,-0.5913859,1.0295382,10.482135
1594963727309,2075170227218314,-0.90982443,1.7310607,10.867614
1594963727328,2075170247215880,-0.4764607,1.8819,9.996098
1594963727459,2075170267213513,0.26097596,1.3791022,10.40073
1594963727459,2075170287211146,0.62251145,0.7996878,11.873209
1594963727459,2075170307208712,0.7015225,0.11013664,12.996123
1594963727459,2075170327206278,1.3360053,0.021548472,13.175694
1594963727460,2075170347203878,1.812466,0.16759923,12.119819
1594963727460,2075170367201478,1.4700848,0.12450229,11.798986
1594963727493,2075170387199044,1.2162915,0.24900457,10.956202
1594963727493,2075170407196677,1.3144568,0.70870537,9.545974
1594963727510,2075170427194310,1.1492519,0.9194015,8.461368
1594963727527,2075170447191876,0.49800915,0.94095,8.284191
1594963727549,2075170467189442,-0.13168511,1.0822122,8.164477
1594963727565,2075170487187075,-0.6081458,1.3192455,7.369578
1594963727586,2075170507184708,-0.7134939,1.5514901,6.737489
1594963727607,2075170527182274,-0.4836435,1.9633054,6.596227
1594963727626,2075170547179874,-0.2944958,1.8795058,7.1157846
1594963727646,2075170567177440,-0.2849187,1.8842943,7.9920893
1594963727668,2075170587174940,-0.27055305,1.9800652,8.20518
1594963727688,2075170607172373,-0.026337024,1.9369683,8.336864
1594963727708,2075170627169873,0.05027977,1.8771114,9.136553
1594963727731,2075170647167373,-0.071828246,1.7166951,10.046377
1594963727750,2075170667164773,-0.031125572,1.3838909,10.43425
1594963727766,2075170687162206,0.37111259,1.1444633,11.090281
1594963727789,2075170707159706,0.43336374,1.0726352,12.045596
1594963727808,2075170727157206,-0.15562786,1.6257126,12.92669
1594963727832,2075170747154639,-0.05027977,2.3056867,12.1054535
1594963727849,2075170767152139,0.0670397,2.2338583,11.538011
1594963727870,2075170787149672,-0.12929083,2.0087965,12.036019
1594963727888,2075170807147138,-0.89067024,1.2665714,12.44544
1594963727909,2075170827144604,-1.7526091,1.1061549,11.090281
1594963727927,2075170847142137,-1.5754328,-0.071828246,9.763853
1594963727947,2075170867139670,-0.92658436,-1.4317763,9.929058
1594963727971,2075170887137136,-0.31843856,-1.4054393,12.150945
1594963727989,2075170907134669,0.29689008,-1.0032011,12.692051
1594963728028,2075170927132202,0.6296943,-0.36871833,10.750294
1594963728029,2075170947129668,0.93616146,0.098165266,8.705584
1594963728047,2075170967127134,0.818842,0.3519584,7.491686
1594963728066,2075170987124634,0.48124924,0.53871185,7.161276
1594963728088,2075171007122167,0.35435268,0.9792584,7.106208
1594963728106,2075171027119800,0.37350687,1.4245936,6.2514515
1594963728127,2075171047117533,0.37111259,1.8531687,5.6409116
1594963728149,2075171067115299,0.09577099,1.7286664,6.079064
1594963728169,2075171087113099,-0.31604427,1.2498114,7.0559278
1594963728187,2075171107110899,-0.45251793,0.9912298,8.284191
1594963728209,2075171127108765,-0.14126222,0.818842,9.253872
1594963728227,2075171147106631,0.48843205,1.0774237,9.608225
1594963728251,2075171167104431,0.9122187,1.2737542,9.945818
1594963728271,2075171187102197,0.6249057,0.9385557,10.793391
1594963728288,2075171207100063,0.06464542,0.68715686,11.55477
1594963728309,2075171227097929,-0.3040729,0.3998439,11.619415
1594963728344,2075171247095729,-0.45251793,0.63208854,11.056761
1594963728391,2075171267093595,0.28013015,0.016759925,10.788602
1594963728391,2075171287091461,0.7996878,-0.098165266,12.213196
1594963728391,2075171307089261,0.6464542,-0.3304099,13.242734
1594963728416,2075171327087061,0.7134939,-0.31604427,13.13978
1594963728425,2075171347084927,1.5059988,-0.14605077,11.353651
1594963728446,2075171367082793,2.5858169,-0.4836435,10.28341
1594963728465,2075171387080559,1.9992194,-0.8284191,11.880392
1594963728485,2075171407078392,1.2330515,-0.8739103,12.756696
1594963728506,2075171427076225,0.94095,-0.17957062,11.162109
1594963728535,2075171447074025,0.9696813,0.5506832,9.342461
1594963728545,2075171467071825,0.74701375,1.1516461,7.6353426
1594963728567,2075171487069725,-0.11253092,1.3814965,6.759038
1594963728586,2075171507067591,-0.62251145,1.4748733,5.995264
1594963728608,2075171527065391,-0.6105401,1.7406378,5.4900723
1594963728628,2075171547063257,-0.42139238,1.776552,5.7175283
1594963728648,2075171567061123,-0.1987248,1.5993756,6.7231236
1594963728667,2075171587058989,-0.2561874,1.403045,7.692805
1594963728689,2075171607056755,-0.31125572,1.228263,8.420665
1594963728709,2075171627054421,-0.26097596,1.5012103,9.059936
1594963728728,2075171647052054,-0.16520496,1.6305012,9.055147
1594963728749,2075171667049587,-0.06464542,1.2641771,9.158101
1594963728768,2075171687047087,0.071828246,0.9385557,10.079897
1594963728788,2075171707044587,-0.0071828244,0.38787252,11.710398
1594963728810,2075171727042087,-0.76616794,1.0391153,13.137386
1594963728828,2075171747039520,-0.4070267,1.5371244,12.80937
1594963728848,2075171767037020,0.12689656,1.3910737,12.2706585
1594963728869,2075171787034520,0.17238778,0.81644773,13.051192
1594963728889,2075171807031953,-0.8571504,0.9313729,13.336111
1594963728908,2075171827029386,-1.6448668,0.69912827,11.58829
1594963728929,2075171847026919,-0.9624985,-0.7134939,9.799767
1594963728947,2075171867024452,-0.6464542,-1.2809371,10.5395975
1594963728967,2075171887021918,-0.27294734,-1.3719195,12.167705
1594963728988,2075171907019451,0.05506832,-1.158829,11.827718
1594963729006,2075171927016984,0.505192,-0.6105401,10.273833
1594963729027,2075171947014484,0.723071,-0.16281068,8.672064
1594963729049,2075171967011950,0.50998056,0.21069619,7.7837873
1594963729068,2075171987009483,0.4070267,0.68236834,7.4270406
1594963729088,2075172007007016,0.49082634,1.175589,6.8428373
1594963729109,2075172027004516,0.5794145,1.7382435,5.8396363
1594963729128,2075172047002016,0.4166038,2.0423164,5.219519
1594963729148,2075172066999516,-0.06943397,1.6783867,5.7127395
1594963729169,2075172086996982,-0.2849187,1.3216397,7.637737
1594963729188,2075172106994548,-0.13647367,1.0606637,8.76544
1594963729207,2075172126992248,0.03351985,0.9816527,9.488511
1594963729229,2075172146989981,0.25858167,1.0032011,9.742304
1594963729248,2075172166987747,0.14844504,0.66321415,10.029617
1594963729268,2075172186985513,-0.25379312,0.5506832,10.9490185
1594963729288,2075172206983346,-0.84278476,0.4764607,11.518856
1594963729308,2075172226981179,-1.1684061,0.7446195,11.624205
1594963729328,2075172246978945,-0.24182175,0.6249057,10.759871
1594963729464,2075172266976778,0.50758624,0.505192,11.5308275
1594963729464,2075172286974611,0.41420954,0.13886794,12.493326
1594963729464,2075172306972377,0.25858167,0.009577099,12.426287
1594963729464,2075172326970143,0.69194543,0.40463245,10.721562
1594963729464,2075172346967976,1.6664152,-0.0047885496,9.1628895
1594963729464,2075172366965809,1.4413534,-0.75659084,10.33369
1594963729474,2075172386963575,0.7015225,-1.3671309,12.093482
1594963729485,2075172406961408,0.11253092,-1.3407938,11.779832
1594963729505,2075172426959241,0.4189981,-0.37829542,10.240314
1594963729527,2075172446956974,0.6656084,0.36871833,8.535589
1594963729545,2075172466954707,0.32562137,0.86193895,7.8723755
1594963729565,2075172486952507,-0.17478207,1.1684061,7.893924
1594963729588,2075172506950307,-0.34956414,1.7143008,7.632948
1594963729607,2075172526948040,0.08858817,2.3032923,6.6153812
1594963729625,2075172546945806,-0.009577099,2.5499027,6.057515
1594963729649,2075172566943672,-0.43096948,2.1835787,7.1588817
1594963729668,2075172586941505,-0.43096948,1.9202085,8.40151
1594963729687,2075172606939271,-0.35674694,1.8268317,9.646533
1594963729709,2075172626937071,-0.30886146,1.4748733,10.0368
1594963729730,2075172646934904,-0.42378664,1.23784,10.338479
1594963729748,2075172666932670,-0.34716985,0.9696813,10.73114
1594963729770,2075172686930436,0.09337672,0.77574503,10.881979
1594963729788,2075172706928136,-0.25139886,0.9505271,11.715187
1594963729808,2075172726925769,-1.5586729,1.5227587,12.220379
1594963729829,2075172746923302,-1.010384,1.3455825,11.875603
1594963729848,2075172766920802,-0.87630457,1.2162915,12.632194
1594963729868,2075172786918302,-1.1779832,0.81165916,13.47019
1594963729890,2075172806915735,-1.9058428,0.7829279,11.633781
