timeMillis,timeNanos,value
1594963723206,2075166117463002,1000.84375
1594963723306,2075166217463002,1000.8484
1594963723413,2075166317463002,1000.8423
1594963723507,2075166417463002,1000.8457
1594963723608,2075166517463002,1000.83984
1594963723712,2075166617463002,1000.8335
1594963723808,2075166717463335,1000.8513
1594963723910,2075166817462335,1000.8513
1594963724012,2075166917459960,1000.84863
1594963724109,2075167017566737,1000.84863
1594963724209,2075167117662237,1000.8467
1594963724313,2075167217748055,1000.8511
1594963724425,2075167317823805,1000.8511
1594963724706,2075167417892266,1000.84985
1594963724706,2075167517954908,1000.85547
1594963724707,2075167618012641,1000.85547
1594963724808,2075167718066016,1000.853
1594963724912,2075167819512192,1000.8545
1594963725006,2075167919558414,1000.8545
1594963725107,2075168019601466,1000.8535
1594963725211,2075168119641766,1000.85815
1594963725306,2075168219679623,1000.85815
1594963725470,2075168319715123,1000.8572
1594963725508,2075168419748557,1000.8535
1594963725605,2075168519780057,1000.8535
1594963725706,2075168619809817,1000.8523
1594963725807,2075168719837970,1000.8501
1594963725909,2075168819864562,1000.8501
1594963726008,2075168919890062,1000.8601
1594963726113,2075169019914268,1000.85254
1594963726216,2075169119937268,1000.85254
1594963726308,2075169219959868,1000.845
1594963726429,2075169319982001,1000.8508
1594963726506,2075169420003767,1000.8508
1594963726606,2075169520025067,1000.8535
1594963726708,2075169620045967,1000.8467
1594963726809,2075169720066400,1000.8518
1594963726908,2075169820086700,1000.85815
1594963727010,2075169920107000,1000.8574
1594963727109,2075170020094300,1000.8601
1594963727208,2075170120081400,1000.84863
1594963727309,2075170220068466,1000.85034
1594963727460,2075170320056232,1000.8484
1594963727510,2075170420044265,1000.85376
1594963727607,2075170520032265,1000.85645
1594963727709,2075170620020231,1000.8491
1594963727808,2075170720008197,1000.8435
1594963727910,2075170819996130,1000.84644
1594963728029,2075170919983996,1000.854
1594963728107,2075171019972062,1000.84985
1594963728209,2075171119960295,1000.853
1594963728310,2075171219948495,1000.85034
1594963728416,2075171319936695,1000.854
1594963728506,2075171419924895,1000.84863
1594963728608,2075171519913095,1000.8506
1594963728709,2075171619901295,1000.85254
1594963728810,2075171719889495,1000.85034
1594963728908,2075171819877695,1000.85425
1594963729006,2075171919865661,1000.8633
1594963729109,2075172019853594,1000.8606
1594963729208,2075172119841694,1000.8606
1594963729308,2075172219829927,1000.853
1594963729464,2075172319818160,1000.8501
1594963729505,2075172419806360,1000.8474
1594963729607,2075172519794560,1000.854
1594963729709,2075172619782793,1000.854
1594963729808,2075172719771026,1000.86255
1594963729907,2075172819759226,1000.864
1594963730009,2075172919747426,1000.86914
1594963730107,2075173019735526,1000.85815
1594963730208,2075173119723626,1000.86206
1594963730308,2075173219711859,1000.8491
1594963730434,2075173319700092,1000.8418
1594963730506,2075173419688292,1000.8457
1594963730606,2075173519676492,1000.8567
1594963730707,2075173619664725,1000.8567
1594963730807,2075173719652958,1000.8535
1594963730908,2075173819641158,1000.86035
1594963731006,2075173919629358,1000.86035
1594963731105,2075174019617424,1000.8618
1594963731207,2075174119605290,1000.8638
1594963731305,2075174219593156,1000.8638
1594963731405,2075174319581356,1000.8616
1594963731507,2075174419569556,1000.86523
1594963731606,2075174519557722,1000.86523
1594963731705,2075174619545888,1000.8628
1594963731807,2075174719534088,1000.86304
1594963731907,2075174819522288,1000.86304
1594963732004,2075174919510454,1000.8606
1594963732107,2075175019498587,1000.8623
1594963732206,2075175119486587,1000.8623
1594963732306,2075175219474453,1000.8511
1594963732406,2075175319462353,1000.8523
1594963732505,2075175419450353,1000.8523
1594963732609,2075175519438353,1000.8557
1594963732705,2075175619426319,1000.8469
1594963732804,2075175719414285,1000.8469
1594963732911,2075175819402285,1000.84766
1594963733005,2075175919390285,1000.85547
1594963733104,2075176019378251,1000.85547
1594963733204,2075176119366217,1000.8452
1594963733306,2075176219354083,1000.84937
1594963733405,2075176319341949,1000.84863
1594963733505,2075176419330049,1000.8562
1594963733606,2075176519318282,1000.85205
1594963733706,2075176619306482,1000.84424
1594963733805,2075176719294682,1000.84863
1594963733907,2075176819282915,1000.8572
1594963734007,2075176919271148,1000.8557
1594963734106,2075177019259314,1000.8479
1594963734207,2075177119247514,1000.8479
1594963734308,2075177219235747,1000.84814
1594963734404,2075177319223647,1000.8528
1594963734506,2075177419211547,1000.86304
1594963734605,2075177519199713,1000.8601
1594963734705,2075177619187946,1000.85767
1594963734807,2075177719176146,1000.854
1594963734906,2075177819164346,1000.8557
1594963735006,2075177919152546,1000.8589
1594963735107,2075178019140779,1000.8557
1594963735206,2075178119128979,1000.8506
1594963735308,2075178219117179,1000.8528
1594963735495,2075178319105345,1000.8633
1594963735505,2075178419093445,1000.86426
1594963735605,2075178519081545,1000.8611
1594963735707,2075178619069778,1000.855
1594963735805,2075178719058011,1000.8533
1594963735905,2075178819046211,1000.8596
1594963736007,2075178919034411,1000.8574
1594963736108,2075179018191493,1000.865
1594963736207,2075179118179726,1000.85815
1594963736310,2075179218167926,1000.84424
1594963736473,2075179318156126,1000.84546
1594963736505,2075179418144126,1000.84766
1594963736606,2075179518131992,1000.86206
1594963736707,2075179618119992,1000.8613
1594963736807,2075179718108192,1000.8462
1594963736909,2075179818096358,1000.8467
1594963737007,2075179918084524,1000.8489
1594963737106,2075180018072690,1000.8467
1594963737208,2075180118060890,1000.844
1594963737305,2075180218049056,1000.834
1594963737405,2075180318037222,1000.8379
1594963737505,2075180418025388,1000.84644
1594963737605,2075180518013321,1000.84644
1594963737707,2075180618001187,1000.8447
1594963737808,2075180717989120,1000.8447
1594963737912,2075180817977120,1000.8447
1594963738007,2075180917965120,1000.84717
1594963738108,2075181017953086,1000.8535
1594963738207,2075181117941086,1000.8535
1594963738305,2075181217929086,1000.8474
1594963738405,2075181317917086,1000.8557
1594963738504,2075181417905052,1000.8557
1594963738604,2075181517893052,1000.8528
1594963738705,2075181617880918,1000.8467
1594963738804,2075181717868784,1000.8467
1594963738904,2075181817856950,1000.84326
1594963739005,2075181917845183,1000.85645
1594963739105,2075182017833383,1000.85645
1594963739211,2075182117821616,1000.85376
1594963739392,2075182217809849,1000.85156
1594963739403,2075182317798082,1000.85156
1594963739536,2075182417786282,1000.8572
1594963739605,2075182517774482,1000.8623
1594963739704,2075182617762582,1000.8623
1594963739805,2075182717750482,1000.855
1594963739915,2075182817738382,1000.8535
1594963740009,2075182917726615,1000.8535
1594963740104,2075183017714848,1000.85156
1594963740208,2075183117703048,1000.85474
1594963740306,2075183217691248,1000.85547
1594963740490,2075183317679481,1000.8562
1594963740505,2075183417667714,1000.8601
1594963740604,2075183517655914,1000.86523
1594963740706,2075183617644114,1000.86255
1594963740807,2075183717632280,1000.854
1594963740932,2075183817620380,1000.8645
1594963741008,2075183917608480,1000.8638
1594963741106,2075184017596713,1000.8672
1594963741206,2075184117584913,1000.85986
1594963741306,2075184217573113,1000.84766
1594963741426,2075184317561313,1000.854
1594963741508,2075184417549546,1000.8613
1594963741606,2075184517537746,1000.85693
1594963741706,2075184617525946,1000.85156
1594963741806,2075184717514146,1000.8491
1594963741907,2075184817502079,1000.84814
1594963742006,2075184917489945,1000.84644
1594963742107,2075185017478045,1000.8508
1594963742250,2075185117466245,1000.8447
1594963742305,2075185217454411,1000.84033
1594963742418,2075185317442577,1000.8435
1594963742505,2075185417430743,1000.8508
1594963742605,2075185517418943,1000.8589
1594963742705,2075185617407109,1000.855
1594963742805,2075185717395275,1000.8491
1594963742908,2075185817383441,1000.85596
1594963743006,2075185917371307,1000.8574
1594963743104,2075186017359173,1000.8513
1594963743208,2075186117347173,1000.85693
1594963743304,2075186217335173,1000.8589
1594963743437,2075186317323139,1000.8623
1594963743506,2075186417311105,1000.8596
1594963743603,2075186517299105,1000.85986
1594963743704,2075186617287105,1000.8672
1594963743805,2075186717275071,1000.86646
1594963743905,2075186817263037,1000.8572
1594963744004,2075186917251037,1000.8535
1594963744105,2075187017238937,1000.86816
1594963744207,2075187117226837,1000.86816
1594963744307,2075187217215070,1000.86475
1594963744432,2075187317203303,1000.8447
1594963744503,2075187417191503,1000.8447
1594963744604,2075187517179703,1000.8484
1594963744705,2075187617167936,1000.8606
1594963744806,2075187717156169,1000.8606
1594963744906,2075187817144369,1000.85474
1594963745007,2075187917132569,1000.85547
1594963745106,2075188017120569,1000.85547
1594963745206,2075188117108435,1000.85596
1594963745307,2075188217096368,1000.853
1594963745473,2075188317084601,1000.853
1594963745504,2075188417072834,1000.8445
1594963745606,2075188517061034,1000.84717
1594963745704,2075188617049234,1000.84717
