timeMillis,timeNanos,x,y,z
1597466403133,339714998637079,-0.6751855,2.0327394,8.609812
1597466403152,339715031304012,-0.6751855,2.0327394,8.609812
1597466403175,339715063970678,-0.6751855,2.0327394,8.609812
1597466403193,339715096637344,-0.55307746,1.733455,9.119793
1597466403218,339715129304010,-0.31365,1.8172545,9.380769
1597466403235,339715161970676,-0.39266106,1.8483802,9.644139
1597466403254,339715194637342,-0.37829542,1.7214836,9.598648
1597466403273,339715227303708,-0.32801566,1.7502149,9.368797
1597466403296,339715259969974,-0.28013015,1.7693691,9.385557
1597466403311,339715292636407,-0.06464542,1.7981004,9.510059
1597466403330,339715325302807,-0.057462595,1.8148603,9.909904
1597466403352,339715357969207,-0.08140534,1.7957062,9.754275
1597466403374,339715390635973,-0.10055954,1.8052832,9.3831625
1597466403394,339715423302673,-0.12929083,1.838803,9.160496
1597466403416,339715455969306,-0.18914771,1.9010541,9.380769
1597466403434,339715488635906,-0.24182175,1.9872481,9.399923
1597466403454,339715521302439,-0.30886146,2.056682,9.505271
1597466403474,339715553968939,-0.72785956,2.3320236,8.640938
1597466403493,339715586635439,-0.8140534,2.2985039,9.009656
1597466403514,339715619301805,-0.76137936,2.3990633,9.150918
1597466403535,339715651968105,-0.8475733,2.2194927,9.337671
1597466403554,339715684634338,-0.888276,2.1620302,9.45978
1597466403575,339715717333771,-0.967287,2.1548474,9.196409
1597466403603,339715750033137,-0.9912298,1.9465454,9.251478
1597466403615,339715782732437,-1.0151725,1.89866,9.510059
1597466403638,339715815431570,-0.9912298,2.0925963,9.29218
1597466403656,339715848130670,-0.90503585,2.2961094,9.009656
1597466403672,339715880829003,-0.8786988,2.3392065,9.12937
1597466403691,339715913527269,-0.81644773,2.2937152,9.1940155
1597466403716,339715946225969,-0.7781393,2.3894863,9.268238
1597466403907,339715966258235,-0.6943397,2.5187771,9.170073
1597466403907,339715986289301,-0.5865973,2.6217308,9.227535
1597466403908,339716006321267,-0.61293435,2.6025767,9.364009
1597466403908,339716026353100,-0.43815228,2.813273,9.340066
1597466403908,339716046384866,-0.39505535,2.9736893,9.534002
1597466403908,339716066415899,-0.41420954,2.9832664,9.680053
1597466403908,339716086447565,-0.46927786,2.935381,9.761458
1597466403908,339716106479098,-0.35435268,2.9329867,9.842864
1597466403908,339716126510964,-0.17238778,2.9952378,10.005674
1597466403925,339716146542597,-0.30886146,2.7582045,10.0439825
1597466403931,339716166574130,-0.37350687,2.5618742,9.72315
1597466403952,339716186605963,-0.22985038,2.5810282,9.735122
1597466403970,339716206636296,-0.32083282,2.5092,10.111023
1597466403991,339716226666596,-0.6177229,2.466103,10.075109
1597466404030,339716246696862,-0.6153286,2.3128695,9.63935
1597466404080,339716266727062,-0.6392714,2.1069617,9.60583
1597466404081,339716286757095,-1.1636176,1.620924,9.864412
1597466404081,339716306787095,-1.1923488,1.2593886,9.98652
1597466404090,339716326816961,-0.34956414,0.71588814,10.091868
1597466404110,339716346846894,0.85954463,0.06943397,10.975356
1597466404131,339716366876827,1.5012103,-0.031125572,12.603462
1597466404150,339716386906693,1.5467016,0.2370332,12.828525
1597466404171,339716406903293,1.4533248,0.6488485,10.779025
1597466404191,339716426899893,1.4317763,0.9792584,8.633755
1597466404212,339716446896493,1.2665714,0.5865973,7.963358
1597466404232,339716466892893,1.3383996,0.16520496,7.8268843
1597466404254,339716486889526,1.2522057,0.2944958,8.458973
1597466404272,339716506886859,1.0654523,0.505192,8.980925
1597466404293,339716526884125,0.67757976,0.845179,8.5882635
1597466404314,339716546881025,0.2561874,1.2210802,8.049552
1597466404334,339716566877491,0.0023942748,1.594587,8.030397
1597466404366,339716586874824,-0.105348095,1.7095122,8.277008
1597466404374,339716606871390,-0.026337024,2.0854135,8.48531
1597466404393,339716626868023,0.2083019,2.5068057,8.262642
1597466404412,339716646864656,0.2753416,2.8443985,7.922655
1597466404435,339716666861889,0.17478207,3.0335462,7.9992723
1597466404453,339716686858422,0.016759925,2.9689007,8.176449
1597466404473,339716706855022,-0.07422252,2.7031362,8.775017
1597466404494,339716726851655,-0.1987248,2.4780743,9.213169
1597466404513,339716727851655,-0.2370332,2.6217308,9.304152
1597466404535,339716747848488,-0.3328042,2.4493432,9.428655
1597466404553,339716767844988,-0.5243462,2.3344178,9.62259
1597466404570,339716787842654,-0.7541966,2.2721667,9.397529
1597466404591,339716807840254,-0.70870537,2.2889266,9.3831625
1597466404614,339716827837887,-0.96489275,1.8747171,9.869201
1597466404632,339716847835553,-1.5778271,1.8220432,11.075915
1597466404653,339716867833319,-2.1141446,2.0590763,11.487731
1597466404674,339716887831085,-1.7238779,2.3799093,10.503684
1597466404692,339716907828918,-1.1612233,2.439766,10.235525
1597466404714,339716927826751,-0.8044763,0.9026416,11.351257
1597466404736,339716947824517,-1.5490957,-0.17238778,12.979363
1597466404752,339716967822350,-1.9178141,0.15323359,12.3257265
1597466404774,339716987820183,-1.2905141,1.5107874,9.330489
1597466404793,339717007817949,-0.84996754,1.8459859,7.7239304
1597466404812,339717027815715,-0.9217958,0.8140534,8.415876
1597466404832,339717047813515,-0.98404694,-0.44294083,9.62259
1597466404853,339717067811315,-0.749408,-1.0415095,10.245102
1597466404873,339717087809048,-0.28013015,-0.50998056,10.24989
1597466404892,339717107806848,0.038308397,0.4932206,9.445415
1597466404978,339717127804648,-0.12210801,1.201926,8.229122
1597466404978,339717147802381,-0.32562137,1.5802214,7.6904106
1597466404978,339717167800114,-0.54828894,1.8555629,7.56112
1597466404978,339717187797947,-0.5985687,2.1907616,7.2953553
1597466404990,339717207795780,-0.21309046,2.4972286,7.0367737
1597466405010,339717227793546,0.23224466,2.6097596,7.778999
1597466405032,339717247791379,0.083799616,2.1476645,8.825297
1597466405050,339717267789212,-0.24421602,1.8148603,9.354432
1597466405071,339717287787045,-0.038308397,2.0016139,9.718362
1597466405092,339717307784778,0.1699935,2.1883671,9.624985
1597466405117,339717327782411,0.10055954,2.2123098,9.615408
1597466405131,339717347780011,0.24182175,2.2745612,9.830893
1597466405153,339717367777511,0.25139886,2.1285102,9.917087
1597466405171,339717387774911,0.339987,1.6831752,10.134965
1597466405192,339717407772411,0.4644893,1.5969813,10.565935
1597466405212,339717427769911,0.22985038,1.5993756,11.085492
1597466405231,339717447767344,0.047885496,2.4445546,11.221966
1597466405256,339717467764844,1.0151725,2.4110348,10.099051
1597466405276,339717487762344,1.2498114,1.8100717,10.30017
1597466405292,339717507759777,1.376708,1.0295382,11.119012
1597466405312,339717527757210,1.4748733,0.35914123,12.127002
1597466405336,339717547754710,1.7382435,0.32801566,12.392766
1597466405353,339717567752210,1.7669748,0.70631105,11.3344965
1597466405373,339717587749676,1.7406378,0.75659084,10.005674
1597466405393,339717607747209,1.2833313,0.48124924,9.780613
1597466405412,339717627744742,0.9984126,0.2944958,9.766247
1597466405432,339717647742208,0.86193895,0.5650489,9.215564
1597466405453,339717667739674,0.6057515,1.1253091,8.236305
1597466405472,339717687737207,0.39266106,1.7789462,7.3743663
1597466405492,339717707734740,0.098165266,2.3392065,6.9721284
1597466405513,339717727732206,-0.31843856,2.5044115,7.0176196
1597466405532,339717747729739,-0.61293435,2.5187771,7.0870533
1597466405553,339717767727272,-0.40223816,2.6791935,6.924243
1597466405574,339717787724772,0.0670397,2.7151077,7.16367
1597466405593,339717807722272,0.12689656,2.6504622,7.929838
1597466405613,339717827719905,-0.045491222,2.482863,8.463761
1597466405632,339717847717538,-0.37111259,2.2841382,8.226728
1597466405652,339717867715104,-0.5243462,2.2793496,8.039975
1597466405672,339717887712670,-0.5243462,2.2554069,8.576292
1597466405702,339717907710303,-0.4932206,2.2003386,9.469357
1597466405712,339717927707936,-0.38787252,2.1069617,9.974549
1597466405731,339717947705502,-0.35914123,2.1237218,10.175668
1597466405753,339717967703135,-0.56744313,1.7310607,10.68086
1597466405773,339717987700768,-1.7310607,1.9656997,11.526039
1597466405791,339718007698334,-1.4748733,2.1021733,11.1453495
1597466405811,339718027695900,-0.37829542,1.9848539,11.6409645
1597466405830,339718047693533,-0.36392978,1.8531687,12.419104
1597466405855,339718067691166,-0.7709565,0.8571504,12.419104
1597466405873,339718087688732,-1.0989721,1.0702409,11.552376
1597466405893,339718107686365,-0.86912173,1.0510867,10.247497
1597466405942,339718127683998,-0.85236186,0.5818088,9.502876
1597466405949,339718147681564,-0.5794145,0.18675344,9.847652
1597466405951,339718167679130,-0.045491222,0.25139886,10.032011
1597466405971,339718187676730,0.25858167,0.19154198,9.783007
1597466405992,339718207674363,-0.011971374,0.06464542,9.601042
1597466406010,339718227671929,-0.23463893,0.20590763,9.105427
1597466406031,339718247669562,-0.2777359,0.69912827,8.126168
1597466406052,339718267667195,-0.18196489,1.2522057,7.326481
1597466406070,339718287664828,-0.13886794,1.7047237,7.020014
1597466406090,339718307662394,-0.2083019,1.9824595,6.9146657
1597466406111,339718327660027,-0.22027329,2.176396,7.3408465
1597466406133,339718347657660,-0.30886146,2.257801,7.7119594
1597466406152,339718367655226,-0.41420954,2.0087965,7.8532214
1597466406173,339718387652792,-0.43336374,1.9800652,8.162083
1597466406192,339718407650358,-0.2657645,2.2123098,8.844451
1597466406211,339718427647858,-0.09577099,2.238647,9.124581
1597466406234,339718447645291,-0.12210801,1.89866,8.959376
1597466406253,339718467642791,0.31365,1.4772675,9.440625
1597466406271,339718487640291,0.45012367,1.5227587,9.912297
1597466406292,339718507637724,0.20590763,1.1947432,10.36721
1597466406310,339718527635157,-0.3328042,1.9489397,10.582695
1597466406331,339718547632657,-0.25858167,3.0527003,9.885961
1597466406351,339718567630157,0.7206767,2.17879,9.732727
1597466406370,339718587627590,1.228263,0.42618093,11.178869
1597466406391,339718607625123,1.2258687,-0.99362403,13.702435
1597466406415,339718627622656,1.8531687,-1.0295382,13.96341
1597466406432,339718647620122,2.5475085,-0.17957062,12.763879
1597466406452,339718667617588,2.1021733,-0.035914123,12.138973
1597466406473,339718687615121,1.2641771,0.06464542,11.336891
1597466406492,339718707612654,0.95531565,0.40463245,9.921875
1597466406513,339718727610120,0.9026416,0.7805336,8.2578535
1597466406533,339718747607653,0.8739103,1.1468576,7.3049326
1597466406552,339718767605186,-0.023942748,1.2498114,7.206767
1597466406572,339718787602719,-0.8786988,1.3120626,7.6018224
1597466406594,339718807600152,-1.0295382,1.5993756,7.1493044
1597466406613,339718827597652,-0.65363705,2.0542877,6.58665
1597466406633,339718847595185,-0.4644893,2.2434354,6.58665
1597466406654,339718867592818,-0.5219519,2.0494993,7.309721
1597466406672,339718887590484,-0.5243462,2.1548474,7.8532214
1597466406694,339718907588250,-0.27294734,2.4684973,8.028004
1597466406715,339718927586083,0.038308397,2.4373717,8.162083
1597466406731,339718947583849,-0.26337022,2.0973847,8.703189
1597466406750,339718967581682,-0.7589851,1.7669748,9.349643
1597466406774,339718987579515,-0.6177229,1.6352897,10.108628
1597466406792,339719007577281,-0.48843205,1.6616267,10.393547
1597466406812,339719027575047,-0.5770202,1.637684,10.829305
1597466406833,339719047572880,-1.3527653,2.4493432,11.93546
1597466406852,339719067570713,-0.19154198,2.3655436,11.770255
1597466406872,339719087568479,0.30886146,1.6400782,11.67209
1597466406893,339719107566312,0.17238778,0.56744313,12.787822
1597466407031,339719127564145,-0.53871185,0.49800915,13.769474
1597466407031,339719147561911,-0.8978531,0.9696813,11.526039
1597466407031,339719167559677,-0.29210153,0.82602483,8.942616
1597466407031,339719187557510,0.45012367,-0.083799616,8.885154
1597466407031,339719207555310,0.69673395,-1.0582695,11.3344965
1597466407031,339719227553043,0.6656084,-1.2426286,12.897959
1597466407031,339719247550843,0.64166564,-0.967287,11.602655
1597466407051,339719267548643,0.70870537,-0.3232271,9.466963
1597466407072,339719287546443,0.7709565,0.3519584,7.3647895
1597466407090,339719307544176,0.4836435,0.9194015,6.7853746
1597466407110,339719327542009,0.5027977,1.4054393,7.0176196
1597466407132,339719347539842,0.28252444,1.6712039,6.7470665
1597466407150,339719367537608,0.021548472,1.6975409,6.229903
1597466407171,339719387535374,-0.31843856,1.7286664,6.141315
1597466407191,339719407533207,-0.6344828,1.3982565,7.285778
1597466407211,339719427531040,-0.679974,1.3910737,8.542772
1597466407233,339719447528773,-0.28731298,1.6017698,8.7822
1597466407252,339719467526406,0.23463893,1.8411974,9.007262
1597466407271,339719487524006,0.45012367,1.924997,9.510059
1597466407291,339719507521506,0.27055305,1.5969813,9.976943
1597466407314,339719527518939,0.3232271,1.2665714,10.40073
1597466407332,339719547516439,-0.15323359,1.4126221,11.581107
1597466407352,339719567513939,-0.28731298,1.6448668,11.748707
1597466407373,339719587511372,0.54828894,1.3072741,10.958596
1597466407392,339719607508872,0.9217958,0.58420306,11.087887
1597466407412,339719627506372,0.9074302,-0.5411061,12.311361
1597466407433,339719647503805,1.4916332,-0.99362403,13.008095
1597466407452,339719667501238,2.6600394,-0.48124924,12.088694
1597466407471,339719687498738,2.5403256,-0.16759923,11.432662
1597466407493,339719707496238,1.786129,-0.30886146,11.097464
1597466407511,339719727493704,1.4413534,-0.03351985,10.13736
1597466407531,339719747491237,1.132492,0.3328042,9.035994
1597466407553,339719767488770,1.1660118,0.67279124,7.7071705
1597466407572,339719787486303,0.9481328,0.89067024,6.8476257
1597466407593,339719807483769,0.07901107,0.95531565,7.467743
1597466407612,339719827481302,-0.5889916,1.2067145,7.6975937
1597466407633,339719847478835,-0.4860378,1.673598,6.9314256
1597466407652,339719867476301,-0.076616794,2.1213274,5.9665327
1597466407674,339719887473767,0.41181526,2.4254005,6.203566
1597466407692,339719907471300,0.57462597,2.264984,7.884347
1597466407712,339719927468800,0.600963,2.004008,9.45978
1597466407736,339719947466300,0.56744313,1.9202085,9.727939
1597466407753,339719967463933,0.28970724,1.8747171,9.505271
1597466407772,339719987461566,0.23224466,1.9321798,9.325701
1597466407793,339720007459132,0.0,1.7693691,9.464568
1597466407812,339720027456698,-0.21069619,1.3575538,10.415095
1597466407832,339720047454331,-0.12450229,0.84039044,11.509279
1597466407854,339720067451964,-1.0750294,1.2450229,12.47896
1597466407870,339720087449530,-1.4054393,2.3966691,11.619415
1597466407895,339720107447163,-0.22266756,2.0351336,10.889162
1597466407953,339720127444796,0.071828246,0.40463245,12.536423
1597466407954,339720147442362,-0.6392714,-0.65842557,14.542825
1597466407954,339720167439928,-1.2330515,-0.5961744,13.185271
1597466407971,339720187437561,-0.505192,0.20351335,9.668081
1597466407989,339720207435194,0.021548472,0.12450229,8.18842
1597466408009,339720227432760,-0.0023942748,-0.37829542,9.483723
1597466408031,339720247430426,-0.15323359,-0.45491222,10.656918
1597466408049,339720267428059,0.12210801,0.07422252,9.416683
1597466408070,339720287425692,0.45730647,0.5219519,8.2027855
1597466408091,339720307423258,0.34477556,0.9505271,7.47732
1597466408110,339720327420858,0.24900457,1.1109436,7.307327
1597466408130,339720347418458,0.28013015,1.3814965,7.2762012
1597466408151,339720367416024,0.18435916,1.5203645,7.4414062
1597466408171,339720387413590,0.06943397,1.4054393,7.5395713
1597466408190,339720407411223,-0.12450229,1.2689656,7.5850625
1597466408212,339720427408856,-0.40223816,1.1516461,7.632948
1597466408231,339720447406422,-0.39266106,1.3551595,7.8460383
1597466408252,339720467404055,-0.0071828244,1.6305012,7.929838
1597466408274,339720487401688,0.34956414,1.7669748,8.186026
1597466408293,339720507399254,0.4285752,1.8100717,8.576292
