timeMillis,timeNanos,value
1597466402757,339714609679785,1002.105
1597466402850,339714710637079,1002.1096
1597466402951,339714810632579,1002.10474
1597466403053,339714910629579,1002.10913
1597466403152,339715010629329,1002.1084
1597466403254,339715110627529,1002.1013
1597466403353,339715210624695,1002.0984
1597466403455,339715310622837,1002.11035
1597466403554,339715410620087,1002.1052
1597466403656,339715510727198,1002.1028
1597466403908,339715610820298,1002.1035
1597466403908,339715710905843,1002.10645
1597466403952,339715810984009,1002.10693
1597466404081,339715911052316,1005.7356
1597466404150,339716011114744,1002.103
1597466404255,339716111172277,1002.1062
1597466404365,339716211225464,1002.10767
1597466404454,339716311274699,1002.1035
1597466404553,339716411554230,1002.093
1597466404653,339716511597440,1002.104
1597466404753,339716611637890,1002.103
1597466404854,339716711675842,1002.1023
1597466404978,339716811711432,1002.10205
1597466405050,339716911744997,1002.1118
1597466405153,339717011776580,1002.11035
1597466405256,339717111806420,1002.1133
1597466405353,339717211834650,1002.1167
1597466405453,339717311861353,1002.11694
1597466405554,339717411886674,1002.11694
1597466405652,339717511910777,1002.1113
1597466405753,339717611933677,1002.1052
1597466405855,339717711956477,1002.1052
1597466405951,339717811978810,1002.11084
1597466406052,339717912000776,1002.103
1597466406152,339718012022009,1002.103
1597466406256,339718112043109,1002.1006
1597466406351,339718212064075,1002.09937
1597466406452,339718312084475,1002.09937
1597466406552,339718412104775,1002.10767
1597466406654,339718512091941,1002.10596
1597466406751,339718612079941,1002.10596
1597466406852,339718712067207,1002.11646
1597466407031,339718812054107,1002.1157
1597466407051,339718912042273,1002.1157
1597466407150,339719012030473,1002.1206
1597466407253,339719112018639,1002.1135
1597466407352,339719212006805,1002.1135
1597466407452,339719311994971,1002.1062
1597466407553,339719411982904,1002.11206
1597466407652,339719511970770,1002.11206
1597466407753,339719611958770,1002.0969
1597466407854,339719711946770,1002.1033
1597466407954,339719811934770,1002.1101
1597466408049,339719911922736,1002.1116
1597466408151,339720011910736,1002.1123
1597466408252,339720111898736,1002.09717
1597466408352,339720211886736,1002.1023
1597466408453,339720311874702,1002.1018
1597466408552,339720411862702,1002.10913
1597466408651,339720511850568,1002.1084
1597466408754,339720611838434,1002.1184
1597466408853,339720711826600,1002.11426
1597466409040,339720811814800,1002.1094
1597466409052,339720911803000,1002.11694
1597466409149,339721011791200,1002.1106
1597466409252,339721111779433,1002.10376
1597466409354,339721211767666,1002.10156
1597466409453,339721311755899,1002.10205
1597466409551,339721411744099,1002.09937
1597466409654,339721511732132,1002.1045
1597466409752,339721611720032,1002.1045
1597466409852,339721711707932,1002.1062
1597466409993,339721811696165,1002.1113
1597466410050,339721911684398,1002.114
1597466410150,339722011672598,1002.11304
1597466410252,339722111660798,1002.1045
1597466410352,339722211649031,1002.1008
1597466410452,339722311637297,1002.095
1597466410552,339722411625497,1002.09644
1597466410651,339722511613697,1002.09717
1597466410752,339722611601797,1002.08594
1597466410853,339722711589897,1002.08813
1597466410966,339722811578030,1002.09033
1597466411057,339722911566263,1002.095
1597466411151,339723011554463,1002.0996
1597466411250,339723111542663,1002.0984
1597466411352,339723211530863,1002.08325
1597466411452,339723311519096,1002.0908
1597466411563,339723411507296,1002.0908
1597466411650,339723511495496,1002.0925
1597466411752,339723611483696,1002.09595
1597466411850,339723711471629,1002.09595
1597466411993,339723811459529,1002.09595
1597466412055,339723911447629,1002.0991
1597466412149,339724011435829,1002.0991
1597466412251,339724111423995,1002.0952
1597466412353,339724211412161,1002.08325
1597466412452,339724311400294,1002.08325
1597466412552,339724411388494,1002.09033
1597466412653,339724511376660,1002.0901
1597466412751,339724611364826,1002.0901
1597466412851,339724711352992,1002.09814
1597466412964,339724811340858,1002.093
1597466413052,339724911328758,1002.093
1597466413150,339725011316758,1002.0969
1597466413251,339725111304758,1002.09766
1597466413353,339725211292724,1002.09766
1597466413452,339725311280657,1002.0989
1597466413552,339725411268657,1002.10034
1597466413651,339725511256657,1002.10034
1597466413751,339725611244623,1002.0884
1597466413852,339725711232589,1002.08765
1597466413951,339725811220555,1002.0891
1597466414049,339725911208421,1002.09033
1597466414150,339726011196421,1002.10156
1597466414254,339726111184654,1002.1023
1597466414349,339726211172887,1002.1089
1597466414453,339726311161087,1002.1028
1597466414551,339726411149287,1002.1018
1597466414651,339726511137520,1002.0952
1597466414753,339726611125753,1002.093
1597466414849,339726711113953,1002.09717
1597466414962,339726811102153,1002.09595
1597466415051,339726911090153,1002.09863
1597466415149,339727011078053,1002.09106
1597466415251,339727111066086,1002.10156
1597466415353,339727211054319,1002.10425
1597466415451,339727311042552,1002.10425
1597466415552,339727411030752,1002.09644
1597466415651,339727511018952,1002.09155
1597466415750,339727611007185,1002.0874
1597466415850,339727710995418,1002.0864
1597466415965,339727810983618,1002.0891
1597466416051,339727910971784,1002.07837
1597466416149,339728010959884,1002.07935
1597466416252,339728110947984,1002.08496
1597466416353,339728210936150,1002.084
1597466416450,339728310924383,1002.08545
1597466416553,339728410912583,1002.08374
1597466416650,339728510900783,1002.08154
1597466416751,339728610889016,1002.084
1597466416853,339728710877249,1002.09546
1597466416974,339728810865449,1002.1033
1597466417049,339728910853649,1002.10254
1597466417151,339729010841749,1002.09937
1597466417251,339729110829615,1002.105
1597466417351,339729210817481,1002.1013
1597466417450,339729310805681,1002.1045
1597466417553,339729410793881,1002.1045
1597466417651,339729510782047,1002.1028
1597466417754,339729610770213,1002.1008
1597466417853,339729710758379,1002.1008
1597466418032,339729810746579,1002.1028
1597466418050,339729910734745,1002.09717
1597466418149,339730010722911,1002.09717
1597466418250,339730110710944,1002.0925
1597466418352,339730210698810,1002.09595
1597466418451,339730310686676,1002.09595
1597466418550,339730410674676,1002.0962
1597466418652,339730510662676,1002.0962
1597466418750,339730610650642,1002.0962
1597466418851,339730710638608,1002.104
1597466419004,339730810626574,1002.10693
1597466419048,339730910614574,1002.10693
1597466419150,339731010602540,1002.1028
1597466419250,339731110590506,1002.09863
1597466419351,339731210578439,1002.09863
1597466419450,339731310566305,1002.1045
1597466419552,339731410554371,1002.1001
1597466419651,339731510542671,1002.1001
1597466419752,339731610530871,1002.09985
1597466419856,339731710519071,1002.09985
1597466420070,339731810507304,1002.10547
1597466420070,339731910495537,1002.10767
1597466420150,339732010483803,1002.09595
1597466420248,339732110472003,1002.0874
1597466420356,339732210460203,1002.09863
1597466420452,339732310448136,1002.09863
1597466420550,339732410436036,1002.0967
1597466420650,339732510424202,1002.0979
1597466420752,339732610412435,1002.0969
1597466420851,339732710400668,1002.094
1597466421024,339732810388868,1002.0928
1597466421050,339732910377068,1002.09033
1597466421150,339733010365368,1002.08496
1597466421249,339733110353601,1002.0842
1597466421355,339733210341801,1002.08887
1597466421452,339733310330001,1002.0969
1597466421551,339733410318101,1002.09326
1597466421651,339733510306267,1002.0884
1597466421751,339733610294500,1002.0891
1597466421851,339733710282733,1002.09546
1597466421991,339733810270966,1002.0913
1597466422051,339733910259166,1002.0957
1597466422150,339734010247466,1002.0857
1597466422250,339734110235699,1002.0869
1597466422351,339734210223899,1002.0947
1597466422450,339734310212132,1002.0945
1597466422552,339734410200165,1002.1001
1597466422652,339734510188031,1002.09644
1597466422751,339734610175931,1002.09204
1597466422850,339734710164131,1002.09033
1597466422961,339734810152297,1002.0967
1597466423049,339734910140463,1002.10205
1597466423149,339735010128663,1002.1067
1597466423249,339735110116863,1002.10767
1597466423350,339735210105063,1002.1008
1597466423451,339735310093196,1002.1001
1597466423551,339735410081362,1002.095
1597466423649,339735510069362,1002.0945
1597466423749,339735610057228,1002.08984
1597466423851,339735710045128,1002.08984
1597466424106,339735810033128,1002.0879
1597466424106,339735910021128,1002.095
1597466424147,339736010009094,1002.095
1597466424250,339736109997060,1002.0969
1597466424352,339736209985060,1002.0901
1597466424452,339736309973060,1002.0901
1597466424550,339736409961026,1002.0908
1597466424651,339736509948992,1002.08325
1597466424750,339736609936858,1002.08325
1597466424850,339736709924724,1002.08716
1597466425000,339736809912857,1002.0901
1597466425056,339736909901057,1002.0901
1597466425147,339737009889257,1002.094
1597466425251,339737109877457,1002.09644
1597466425351,339737209865690,1002.09644
1597466425448,339737309853890,1002.1094
1597466425549,339737409842090,1002.1113
1597466425648,339737509830290,1002.1113
1597466425750,339737609818490,1002.11255
1597466425852,339737709806390,1002.105
1597466426030,339737809794290,1002.105
1597466426054,339737909782456,1002.10693
1597466426149,339738009770656,1002.0979
1597466426248,339738109758856,1002.1001
1597466426350,339738209747056,1002.1006
1597466426451,339738309735289,1002.10425
1597466426550,339738409723522,1002.1006
1597466426650,339738509711722,1002.09863
1597466426754,339738609699922,1002.10034
1597466426850,339738709688088,1002.0989
1597466427046,339738809676221,1002.1001
1597466427051,339738909664321,1002.10376
1597466427148,339739009652554,1002.10596
1597466427248,339739109640787,1002.10645
1597466427350,339739209628987,1002.1028
1597466427458,339739309617187,1002.09937
1597466427550,339739409605420,1002.1067
1597466427650,339739509593653,1002.1062
1597466427750,339739609581853,1002.09937
1597466427849,339739709570053,1002.0974
1597466428012,339739809558053,1002.0984
1597466428051,339739909545953,1002.105
1597466428148,339740009533953,1002.11206
1597466428251,339740109522153,1002.10864
1597466428350,339740209510319,1002.10767
1597466428450,339740309498485,1002.1116
1597466428550,339740409486651,1002.10156
1597466428650,339740509474851,1002.1113
1597466428750,339740609463017,1002.10986
1597466428851,339740709451183,1002.10693
1597466429058,339740809439349,1002.1072
1597466429058,339740909427282,1002.1079
1597466429150,339741009415148,1002.104
1597466429247,339741109403148,1002.1006
1597466429349,339741209391148,1002.1006
1597466429452,339741309379114,1002.1006
1597466429550,339741409367080,1002.1128
1597466429649,339741509355080,1002.1167
1597466429751,339741609343080,1002.1067
1597466429850,339741709331080,1002.1067
1597466430041,339741809319013,1002.1035
1597466430050,339741909307013,1002.11597
1597466430148,339742009294879,1002.11597
1597466430248,339742109282745,1002.1118
1597466430355,339742209270911,1002.1006
1597466430449,339742309259144,1002.1006
1597466430552,339742409247377,1002.104
1597466430648,339742509235577,1002.11206
1597466430746,339742609223810,1002.11206
1597466430847,339742709212043,1002.1162
1597466430978,339742809200209,1002.11206
1597466431047,339742909188409,1002.11206
1597466431146,339743009176509,1002.11597
1597466431248,339743109164409,1002.1057
1597466431352,339743209152309,1002.1057
1597466431447,339743309140542,1002.1023
1597466431549,339743409128775,1002.1096
1597466431647,339743509116975,1002.1096
1597466431747,339743609105175,1002.1113
1597466431849,339743709093408,1002.11035
1597466431968,339743809081641,1002.11035
1597466432047,339743909069841,1002.1118
1597466432148,339744009058074,1002.1138
