bssid,frequency,legit,rss,ssid,timestamp,wifiNo
00:24:6c:7d:f5:81,2462,true,-40,eduroam,339854657270,1
00:24:6c:7d:f5:80,2462,true,-42,Welcome_KAIST,339854657277,1
00:24:6c:7d:f5:91,5180,true,-55,eduroam,339854657031,1
00:24:6c:7d:f5:90,5180,true,-56,Welcome_KAIST,339854657013,1
00:22:6b:81:b8:a9,2437,true,-59,winslab1,339854657203,1
90:9f:33:f5:00:50,2412,true,-62,mli,339854657046,1
00:24:6c:7d:f3:f1,5785,true,-63,eduroam,339854657225,1
00:24:6c:7d:f3:f0,5785,true,-64,Welcome_KAIST,339854657221,1
ea:9e:b4:2c:56:7b,2412,true,-66,DIRECT-7b-HP M477 LaserJet,339854657039,1
00:24:6c:7d:f5:10,5200,true,-66,Welcome_KAIST,339854657055,1
00:24:6c:7d:f5:11,5200,true,-66,eduroam,339854657060,1
24:a0:74:79:6f:6a,2462,true,-66,dleehub,339854657290,1
26:6a:6f:79:74:a0,2462,true,-67,Lee의 방문자 네트워크,339854657286,1
00:24:6c:7d:f3:e1,2412,true,-70,eduroam,339854657068,1
00:24:6c:7d:f4:91,5240,true,-71,eduroam,339854657168,1
00:24:6c:7d:f4:90,5240,true,-71,Welcome_KAIST,339854657178,1
5e:ea:1d:bf:dc:44,2437,true,-72,DIRECT-44-HP M477 LaserJet,339854657247,1
00:24:6c:7d:f6:70,5745,true,-73,Welcome_KAIST,339854657196,1
00:24:6c:7d:f6:71,5745,true,-73,eduroam,339854657199,1
96:53:30:29:0e:90,2437,true,-73,DIRECT-90-HP M477 LaserJet,339854657254,1
2a:3a:4d:7f:f9:b3,2437,true,-73,DIRECT-b3-HP M477 LaserJet,339854657258,1
00:26:66:18:15:7c,2422,true,-74,DoDo,339854657158,1
90:9f:33:ac:99:10,2417,true,-74,NMSL_N1_706,339854657192,1
88:36:6c:c1:79:fe,2467,true,-74,DEAL-Office {'p}:@=p1yr,339854657301,1
7e:49:eb:5f:ab:4f,2472,true,-74,zhimi-fan-za1_mibtab4f,339854657309,1
00:24:6c:7d:f3:10,5240,true,-75,Welcome_KAIST,339854657164,1
00:24:6c:7d:f3:11,5240,true,-75,eduroam,339854657187,1
70:5d:cc:0b:e1:88,2442,true,-76,OpenSE,339854657266,1
9e:30:5b:ad:f4:51,2437,true,-77,DIRECT-51-HP M477 LaserJet,339854657233,1
d8:5d:e2:1b:48:06,2437,true,-78,HP-Print-06-LaserJet Pro M201dw,339854657250,1
