timeMillis,timeNanos,x,y,z
1597737405420,610717268537772,0.38308397,2.176396,9.77343
1597737405421,610717288554182,0.34477556,2.257801,9.5794935
1597737405440,610717308553748,0.31365,2.3224466,9.423865
1597737405463,610717328553481,0.28970724,2.3751206,9.299363
1597737405489,610717348553047,0.339987,2.482863,9.012051
1597737405500,610717368553313,0.44533512,2.6145482,8.966559
1597737405523,610717388553313,0.4764607,2.753416,8.844451
1597737405540,610717408553313,0.5243462,2.8994668,9.136553
1597737405560,610717428553313,0.8643332,2.7510219,9.306546
1597737405583,610717448553313,1.0798179,2.1620302,9.296969
1597737405600,610717468553046,0.27294734,2.0542877,10.163696
1597737405620,610717488553046,-0.17957062,1.6568382,10.259467
1597737405642,610717508553046,-0.19393626,1.9273912,9.895537
1597737405663,610717528553046,0.19393626,2.4373717,9.433443
1597737405681,610717548553046,0.15802214,2.691165,9.665688
1597737405708,610717568553046,-0.10055954,2.4996228,9.265843
1597737405722,610717588553046,0.49082634,3.0694604,9.244295
1597737405741,610717608553046,0.25139886,2.3487835,10.707197
1597737405764,610717628553046,-1.0965779,1.5634614,9.711179
1597737405781,610717648553046,-1.8196489,1.4198049,8.526012
1597737405802,610717668553046,-1.1612233,1.7071179,9.016839
1597737405824,610717688553046,-0.7901107,1.4245936,10.496501
1597737405842,610717708553046,-0.85954463,1.4581133,10.23313
1597737405861,610717728553312,-0.67757976,1.6664152,9.296969
1597737405885,610717748553312,-0.69912827,2.2434354,8.865999
1597737405902,610717768553312,-1.0678465,2.3799093,8.365596
1597737405921,610717788553312,-1.2258687,1.9226027,8.763046
1597737405943,610717808553312,-0.37590113,1.56825,10.975356
1597737405961,610717828553045,-0.30167863,1.6017698,11.030424
1597737405981,610717848553045,-0.3902668,1.6065584,11.044789
1597737406002,610717868553178,-0.59378016,1.6783867,10.4294615
1597737406020,610717888552478,-0.77574503,1.7310607,10.326508
1597737406040,610717908552444,-0.9433443,1.7262721,10.065532
1597737406063,610717928551944,-0.9888355,1.7454263,10.161303
1597737406081,610717948552410,-0.9337672,1.7693691,10.237919
1597737406101,610717968552143,-0.97446984,1.8292259,10.3743925
1597737406126,610717988552143,-1.359948,2.1380875,8.794171
1597737406144,610718008552176,-1.3024855,2.308081,8.959376
1597737406163,610718028552176,-1.0989721,2.370332,9.153313
1597737406185,610718048552176,-0.7972935,2.0854135,9.038387
1597737406203,610718068552209,-0.7709565,2.2554069,8.758257
1597737406223,610718088552209,-0.9601042,2.291321,8.947405
1597737406245,610718108552242,-1.5179702,1.9896424,9.148524
1597737406263,610718128552242,-0.888276,1.838803,9.780613
1597737406285,610718148552242,-0.16041641,1.9441512,10.68086
1597737406307,610718168552242,-0.29928434,1.6041641,10.111023
1597737406323,610718188552242,-0.8667275,1.8459859,9.711179
1597737406343,610718208552842,-1.3072741,1.9752767,9.668081
1597737406364,610718228552142,-1.0295382,2.0159793,9.395134
1597737406381,610718248551442,0.4166038,2.2865324,9.332883
1597737406404,610718268552308,0.1699935,2.5810282,9.47654
1597737406423,610718288551874,-0.33759275,2.1069617,10.700014
1597737406671,610718308551207,-0.34716985,1.6712039,12.088694
1597737406671,610718328564107,-0.023942748,2.0494993,12.275447
1597737406671,610718348563773,0.3423813,2.3775148,11.78462
1597737406671,610718368563806,0.5698374,1.3431882,13.343293
1597737406671,610718388563806,0.8571504,0.46927786,16.74077
1597737406671,610718408563106,0.5506832,-0.37111259,18.316202
1597737406671,610718428563139,1.2354459,-0.9122187,17.6482
1597737406671,610718448563139,1.4700848,-0.85236186,18.237192
1597737406671,610718468563139,1.2426286,-0.7685622,17.969032
1597737406672,610718488563839,1.4533248,-0.9768641,14.538036
1597737406672,610718508564305,1.489239,-0.23224466,12.191648
1597737406672,610718528564405,2.047105,0.86912173,9.507666
1597737406689,610718548563671,2.1069617,1.7933118,5.7127395
1597737406700,610718568562971,1.6400782,2.3392065,3.0646718
1597737406725,610718588562271,0.9768641,2.6289136,1.4652961
1597737406775,610718608561337,0.76616794,2.8563697,0.5123748
1597737406776,610718628560470,0.05027977,3.083826,0.44533512
1597737406780,610718648559570,-0.94095,3.1987512,0.24421602
1597737406800,610718668558636,-1.3168511,3.1867797,-1.0032011
1597737406819,610718688557769,-0.4166038,3.3424077,-2.545114
1597737406840,610718708556835,-0.23463893,3.4333901,-2.9377751
1597737406859,610718728555968,0.23224466,2.7941186,-2.135693
1597737406880,610718748555068,0.28013015,2.0279508,-0.723071
1597737406902,610718768554168,0.031125572,1.5227587,0.4189981
1597737406921,610718788553301,0.888276,0.44054657,0.42139238
1597737406941,610718808551767,1.611347,-0.75180227,1.5323359
1597737406962,610718828551567,1.4413534,-1.8962656,5.6337285
1597737406996,610718848551400,1.5490957,-3.2514253,9.438231
1597737407005,610718868549633,1.8316202,-4.764607,15.804608
1597737407023,610718888257478,1.3192455,-5.008823,21.52932
1597737407041,610718908257244,0.6608198,-5.6361227,22.985039
1597737407061,610718928243177,0.3615355,-6.1556807,25.862957
1597737407083,610718948242610,1.1540405,-6.150892,31.077686
1597737407101,610718968241676,1.5610672,-5.803722,30.072092
1597737407121,610718988240776,1.637684,-5.358387,26.298714
1597737407143,610719008240609,1.8579572,-3.6369035,22.499
1597737407160,610719028239675,2.7653873,-3.2298768,19.209267
1597737407182,610719048238808,2.4062462,-2.4996228,17.830164
1597737407205,610719068237874,2.2362528,-2.535537,15.340118
1597737407219,610719088237007,2.885101,-2.3655436,11.104647
1597737407243,610719108236107,4.0319586,-1.228263,6.876357
1597737407261,610719128235607,3.1149516,-0.52913475,3.3926873
1597737407281,610719148235407,1.1516461,-0.45251793,0.8284191
1597737407303,610719168235207,-0.67757976,-0.26097596,-2.011191
1597737407322,610719188235007,-1.5730386,1.4437478,-4.5012364
1597737407342,610719208235040,-1.3216397,2.2961094,-7.2714124
1597737407361,610719228235006,-1.951334,2.3416007,-9.153313
1597737407381,610719248235039,-2.9066496,1.4293821,-8.140534
1597737407399,610719268235039,-2.5906053,0.15323359,-5.727105
1597737407419,610719288235005,-0.8475733,-0.14605077,-3.2681851
1597737407441,610719308235038,1.4341706,-0.80208206,-0.7398309
1597737407459,610719328235004,2.5283542,-1.4868447,2.0279508
1597737407480,610719348235004,2.3655436,-2.4158232,4.350397
1597737407504,610719368235004,2.1285102,-4.022382,6.0311785
1597737407521,610719388234970,2.5403256,-5.954561,8.209969
1597737407541,610719408235036,3.9266107,-7.802942,17.281876
1597737407562,610719428235069,4.618556,-8.712766,32.06652
1597737407630,610719448235035,2.8611584,-8.8324795,33.306755
1597737407630,610719468235068,3.476487,-7.091842,30.742489
1597737407630,610719488235034,4.5682764,-4.371946,27.529371
1597737407645,610719508235067,4.189981,-4.1851926,21.378479
1597737407670,610719528235067,3.8715425,-3.407053,18.040861
1597737407682,610719548235067,4.249838,-1.8747171,14.384803
1597737407700,610719568235100,3.7015488,-0.7446195,10.146936
1597737407720,610719588235100,2.9473522,0.11971374,4.6664414
1597737407742,610719608235066,2.3799093,1.7238779,1.0798179
1597737407759,610719628235099,3.0335462,3.1652312,0.6105401
1597737407778,610719648235065,4.2977233,3.972102,2.3392065
1597737407800,610719668235098,4.7957325,4.182798,2.3463893
1597737407819,610719688235064,3.6919718,4.3240604,0.15323359
1597737407839,610719708235064,2.9114382,4.4844766,-2.0279508
1597737407861,610719728235064,1.9178141,4.4222255,-3.258608
1597737407881,610719748235064,2.9425638,3.8475995,-3.4477558
1597737407901,610719768235064,4.0319586,3.301705,-2.5307484
1597737407922,610719788235097,3.301705,1.3264283,-0.58420306
1597737407941,610719808235063,1.6305012,-0.9241901,0.7829279
1597737407961,610719828235129,0.11971374,-3.8380225,2.116539
1597737407982,610719848235095,-0.92658436,-6.1077952,4.6329217
1597737407999,610719868235128,-1.9465454,-6.577073,7.623371
1597737408019,610719888235128,-2.604971,-6.979311,11.411114
1597737408041,610719908235094,-2.152453,-7.7766047,15.356878
1597737408066,610719928235060,-0.105348095,-7.3145094,20.842163
1597737408080,610719948235026,2.2027328,-7.649708,26.308292
1597737408103,610719968235026,1.8483802,-9.330489,26.502228
1597737408120,610719988235059,0.73743665,-9.569917,26.109568
1597737408141,610720008235025,1.1492519,-8.79896,24.273157
1597737408162,610720028235025,2.3032923,-7.59464,20.456684
1597737408186,610720048235025,3.4262073,-6.567496,19.173353
1597737408200,610720068234991,3.9960446,-6.1077952,17.368069
1597737408223,610720088235024,3.3591676,-6.411868,15.356878
1597737408241,610720108234990,2.978478,-5.566689,14.322552
1597737408261,610720128234990,2.7342618,-4.515602,12.150945
1597737408286,610720148235023,1.3791022,-3.6009893,7.2977495
1597737408301,610720168235023,0.14365649,-2.7222905,2.813273
1597737408321,610720188235056,0.15802214,-1.2426286,-1.132492
1597737408342,610720208235056,-0.38068968,0.7685622,-3.2681851
1597737408361,610720228235022,0.7206767,2.7941186,-4.8292522
1597737408381,610720248235055,1.611347,5.140508,-5.454158
1597737408402,610720268235021,1.158829,4.6927786,-7.5252056
1597737408421,610720288235021,-0.5913859,3.0814316,-5.8947043
1597737408441,610720308235021,-0.87630457,1.6975409,-4.5850363
1597737408463,610720328235021,0.45251793,1.4509305,-2.8108785
1597737408481,610720348235054,1.7382435,1.0965779,-0.54828894
1597737408502,610720368235054,2.700742,-0.31125572,1.6424725
1597737408525,610720388235020,3.0096035,-2.9832664,4.450957
1597737408541,610720408235053,3.3783216,-5.542746,8.123775
1597737408561,610720428234986,3.0383348,-7.0104365,13.623424
1597737408661,610720448235019,3.0024207,-6.751855,19.628265
1597737408661,610720468234985,2.6193366,-6.261029,23.34418
1597737408662,610720488234985,1.8962656,-6.019207,22.096762
1597737408662,610720508235018,3.2993107,-6.986494,18.09114
1597737408662,610720528235051,3.5890179,-5.619363,17.387224
1597737408680,610720548235084,3.5267668,-4.070267,17.573977
1597737408699,610720568235117,2.638491,-3.545921,17.049631
1597737408718,610720588235083,2.4541316,-4.539545,15.572363
1597737408738,610720608235116,2.7773588,-6.0838523,15.529266
1597737408760,610720628235082,3.3831103,-6.2490573,18.14142
1597737408778,610720648235082,3.4166303,-5.6241517,19.946703
1597737408799,610720668235082,3.215511,-5.4733124,17.526093
1597737408819,610720688235048,3.0646718,-4.8938975,12.795005
1597737408838,610720708235048,2.4900458,-3.7446458,9.593859
1597737408859,610720728235081,2.4206119,-2.2194927,8.118986
1597737408880,610720748235047,2.3487835,-0.79250497,7.2378926
1597737408899,610720768235047,3.100586,0.15562786,5.6552773
1597737408919,610720788235013,3.7326744,1.9010541,2.9066496
1597737408940,610720808235046,2.569057,2.8108785,0.67757976
1597737408959,610720828235046,0.8332076,2.6767993,-0.16520496
1597737408978,610720848235012,-0.41420954,2.6097596,-1.010384
1597737409001,610720868235045,0.43096948,3.4740927,-3.0287576
1597737409019,610720888235045,0.21787901,4.7502413,-4.494054
1597737409044,610720908235045,-0.67757976,5.1213536,-5.166845
1597737409060,610720928235078,-1.6879637,5.5355635,-5.027977
1597737409079,610720948235044,-0.33759275,5.5547175,-6.3208857
1597737409100,610720968235077,0.17238778,5.253039,-5.31529
1597737409122,610720988235077,0.5027977,2.6145482,-3.083826
1597737409141,610721008235043,0.53392327,-1.1492519,-0.50758624
1597737409161,610721028235076,0.6440599,-5.403878,3.6704233
1597737409183,610721048235042,1.594587,-9.378374,11.025636
1597737409203,610721068235042,2.569057,-9.179649,20.703295
1597737409222,610721088235042,3.9050622,-7.9561753,28.144701
1597737409242,610721108235008,4.616162,-10.237919,28.360186
1597737409260,610721128235074,5.506832,-11.906729,24.737648
