timeMillis,timeNanos,value
1597737405421,610717280554182,1004.2588
1597737405523,610717380554182,1004.2573
1597737405620,610717480554182,1004.27075
1597737405722,610717580554182,1004.2705
1597737405825,610717680554182,1004.2744
1597737405922,610717780554182,1004.27783
1597737406020,610717880550682,1004.2776
1597737406133,610717980550682,1004.27637
1597737406224,610718080550682,1004.2776
1597737406323,610718180550682,1004.27466
1597737406424,610718280549382,1004.2595
1597737406671,610718380549382,1004.2632
1597737406672,610718480549382,1004.2612
1597737406776,610718580547766,1004.2727
1597737406819,610718680545908,1004.27563
1597737406921,610718780544174,1004.24585
1597737407024,610718880257478,1004.23926
1597737407121,610718980255889,1004.2488
1597737407219,610719080254444,1004.2676
1597737407322,610719180253022,1004.28174
1597737407419,610719280251672,1004.2678
1597737407521,610719380250386,1004.2417
1597737407630,610719480249158,1004.23315
1597737407720,610719580247984,1004.2473
1597737407819,610719680246859,1004.2925
1597737407923,610719780245819,1004.2722
1597737408020,610719880244780,1004.2561
1597737408121,610719980243817,1004.2512
1597737408223,610720080242888,1004.2661
1597737408322,610720180241991,1004.2893
1597737408421,610720280241091,1004.2803
1597737408525,610720380240191,1004.26636
1597737408662,610720480239291,1004.25
1597737408718,610720580238391,1004.2549
1597737408819,610720680237491,1004.2844
1597737408919,610720780236591,1004.2844
1597737409019,610720880236391,1004.2925
1597737409122,610720980235491,1004.25903
1597737409222,610721080234591,1004.25903
1597737409321,610721180233724,1004.24634
1597737409422,610721280233290,1004.2776
1597737409522,610721380232423,1004.2776
1597737409642,610721480231523,1004.2683
1597737409721,610721580231356,1004.2383
1597737409819,610721680231322,1004.2383
1597737409919,610721780231288,1004.2532
1597737410022,610721880231254,1004.27515
1597737410121,610721980231254,1004.27515
1597737410221,610722080231220,1004.24194
1597737410322,610722180231220,1004.25024
1597737410420,610722280231286,1004.25024
1597737410521,610722380231286,1004.26196
1597737410637,610722480231319,1004.24805
1597737410720,610722580231352,1004.24805
1597737410819,610722680231385,1004.2405
1597737410921,610722780231351,1004.27026
1597737411022,610722880231351,1004.27026
1597737411119,610722980231317,1004.2456
1597737411221,610723080231283,1004.23706
1597737411321,610723180231249,1004.2407
1597737411420,610723280231249,1004.2749
1597737411523,610723380231249,1004.28613
1597737411680,610723480231249,1004.27344
1597737411719,610723580231249,1004.2605
1597737411820,610723680231282,1004.2578
1597737411921,610723780231315,1004.28467
1597737412022,610723880231348,1004.27637
1597737412121,610723980231348,1004.2588
1597737412220,610724080231381,1004.23364
1597737412321,610724180231347,1004.23804
1597737412421,610724280231313,1004.2776
1597737412519,610724380231279,1004.2732
1597737412653,610724480231279,1004.25806
1597737412721,610724580231245,1004.24585
1597737412819,610724680231245,1004.2532
1597737412920,610724780231278,1004.29956
1597737413023,610724880231278,1004.2888
1597737413121,610724980231311,1004.2693
1597737413221,610725080231344,1004.251
1597737413322,610725180231377,1004.2627
1597737413420,610725280231310,1004.302
1597737413521,610725380231310,1004.2832
1597737413623,610725480231276,1004.2622
1597737413719,610725580231242,1004.25073
1597737413820,610725680231208,1004.26
1597737413921,610725780231208,1004.28
1597737414020,610725880231208,1004.2578
1597737414122,610725980231208,1004.2429
1597737414224,610726080231208,1004.24316
1597737414320,610726180231241,1004.2656
1597737414421,610726280231274,1004.27295
1597737414522,610726380231307,1004.2471
1597737414628,610726480231307,1004.23535
1597737414720,610726580231340,1004.24414
1597737414820,610726680231306,1004.2737
1597737414921,610726780231272,1004.27075
1597737415022,610726880231272,1004.2517
1597737415122,610726980231272,1004.2468
1597737415220,610727080231238,1004.2461
1597737415321,610727180231238,1004.28296
1597737415422,610727280231271,1004.25977
1597737415521,610727380231271,1004.25977
1597737415631,610727480231304,1004.2483
1597737415720,610727580231337,1004.2732
1597737415819,610727680231370,1004.2732
1597737415921,610727780231336,1004.28345
1597737416022,610727880231336,1004.2573
1597737416122,610727980231302,1004.2573
1597737416221,610728080231268,1004.2554
1597737416324,610728180231234,1004.2825
1597737416422,610728280231234,1004.2825
1597737416521,610728380231234,1004.261
1597737416666,610728480231234,1004.26025
1597737416726,610728580231234,1004.26025
1597737416819,610728680231267,1004.2637
1597737416921,610728780231300,1004.2363
1597737417021,610728880231333,1004.2363
1597737417121,610728980231333,1004.2644
1597737417225,610729080231366,1004.2617
1597737417322,610729180264666,1004.2617
1597737417424,610729280297966,1004.23364
1597737417521,610729380331266,1004.2449
1597737417697,610729480364599,1004.2449
1597737417734,610729580397899,1004.2571
1597737417821,610729680431232,1004.2512
1597737417920,610729780464598,1004.24097
1597737418022,610729880497898,1004.2927
1597737418123,610729980531264,1004.2866
1597737418222,610730080564664,1004.2632
1597737418323,610730180598030,1004.24756
1597737418423,610730280631330,1004.24634
1597737418522,610730380664663,1004.2612
1597737418658,610730480697963,1004.2654
1597737418720,610730580731263,1004.2505
1597737418820,610730680764563,1004.23926
1597737418920,610730780797896,1004.2522
1597737419024,610730880831229,1004.26587
1597737419122,610730980864562,1004.2627
1597737419222,610731080897895,1004.25366
1597737419323,610731180931261,1004.2434
1597737419422,610731280964627,1004.26587
1597737419521,610731380997993,1004.2732
1597737419640,610731481031359,1004.25854
1597737419719,610731581064725,1004.2395
1597737419820,610731681098025,1004.2483
1597737419923,610731781131325,1004.27905
