timeMillis,timeNanos,x,y,z
1597739143858,612455727128600,0.33127406,0.23653741,-0.3595449
1597739143879,612455747128600,0.10525391,0.29029354,-0.33694288
1597739143901,612455767128600,0.19932717,0.08076677,-0.23737186
1597739143919,612455787128600,0.38808453,-0.21733546,-0.13474649
1597739143938,612455807128600,0.36975858,-0.25093305,-0.108479284
1597739143961,612455827128600,0.23170301,0.06854947,-0.06999478
1597739143979,612455847128600,0.10281046,0.38192335,-0.0034104607
1597739144000,612455867128600,0.03011749,0.45644888,0.03690665
1597739144022,612455887128600,-0.063955754,0.47477484,0.05034568
1597739144040,612455907128600,-0.17513324,0.4375121,0.054621737
1597739144061,612455927128600,-0.2655413,0.16689877,-0.06632958
1597739144086,612455947128600,-0.30830184,0.0019651535,-0.06999478
1597739144100,612455967128600,-0.37244272,-0.1043254,0.20428373
1597739144120,612455987128600,-0.22339159,-0.12937088,0.14197546
1597739144142,612456007127742,0.1492362,0.061829947,-0.11458793
1597739144159,612456027126408,0.34226963,0.12474907,-0.12802698
1597739144180,612456047125470,0.3728129,-0.12142963,-0.009519113
1597739144200,612456067124528,0.55423987,-0.62356085,-0.021125553
1597739144219,612456087123472,0.6788564,-1.0096277,-0.05227968
1597739144240,612456107123261,0.42901248,-0.7787206,0.11631913
1597739144263,612456127123011,-0.19101574,-0.16174674,0.24460083
1597739144280,612456147122677,-0.7389619,0.25364164,0.057676062
1597739144300,612456167122267,-0.87151957,0.25547424,0.08394327
1597739144322,612456187121788,-0.80737877,0.040449664,0.22627488
1597739144340,612456207121246,-0.83608943,-0.21794634,-0.2630282
1597739144362,612456227120566,-0.7310206,0.10520138,-0.8445719
1597739144382,612456247119835,-0.4219228,1.0282187,-1.1994846
1597739144399,612456267119057,0.012402398,1.6372515,-1.4572698
1597739144419,612456287118235,0.19199678,0.8877198,-2.3735676
1597739144445,612456307117303,0.48643383,0.1504054,-3.577583
1597739144459,612456327115636,1.0643123,0.11069916,-4.2006655
1597739144484,612456347114602,1.2096982,-0.20328557,-4.5598545
1597739144504,612456367112735,1.1070728,-0.37249523,-4.7351727
1597739144518,612456387110801,1.0551494,-0.32118255,-4.729675
1597739144539,612456407109134,1.1712137,-0.7041951,-4.388812
1597739144560,612456427107334,1.5542263,-1.3559883,-3.7657294
1597739144580,612456447105834,1.8028483,-1.5899497,-3.2416072
1597739144600,612456467103900,1.4277772,-1.4097444,-3.0974429
1597739144622,612456487102266,0.4167952,-0.47450975,-2.7828474
1597739144641,612456507100499,-0.8104331,0.49982035,-1.424283
1597739144660,612456527097965,-1.5892862,0.8150268,0.62761337
1597739144680,612456547095398,-1.6442641,0.388032,2.4724262
1597739144701,612456567093464,-1.05539,-0.65899104,3.9165118
1597739144721,612456587091397,-0.28325638,-1.8202459,5.170618
1597739144743,612456607089663,-0.07922739,-1.9717405,6.38624
1597739144762,612456627088129,-0.5465393,-1.1024792,7.5310016
1597739144846,612456647086295,-1.0052991,-0.11043405,8.444856
1597739144846,612456667084428,-0.94115824,0.49615514,9.172397
1597739144846,612456687081894,-0.55448055,0.65375835,9.877945
1597739144846,612456707078794,-0.1757441,0.5083724,10.369692
1597739144863,612456727076294,0.19260766,0.013571593,10.067314
1597739144883,612456746575400,0.29950908,-0.33584332,8.863298
1597739144902,612456766572466,0.12113641,-0.2307745,6.8975344
1597739144925,612456786569966,0.2640789,0.25975028,4.5475354
1597739144945,612456806566766,0.8108033,0.8046421,2.314212
1597739145114,612456826563566,1.0184975,1.0685359,0.5317075
1597739145114,612456846560366,1.0184975,1.0685359,0.5317075
1597739145114,612456866556899,1.0184975,1.0685359,0.5317075
1597739145114,612456886553432,0.6061634,-0.90700233,-5.641697
