timeMillis,timeNanos,x,y,z
1597739143758,612455627128600,-35.16,-48.719997,-39.18
1597739143780,612455647137600,-35.219997,-48.48,-39.719997
1597739143799,612455667137600,-34.5,-48.3,-40.44
1597739143823,612455687137600,-33.239998,-48.18,-41.1
1597739143840,612455707137600,-32.399998,-48.36,-41.579998
1597739143858,612455727137600,-31.32,-48.48,-41.46
1597739143879,612455747137600,-30.779999,-48.78,-41.399998
1597739143900,612455767137600,-30.72,-49.379997,-40.86
1597739143919,612455787137600,-30.96,-49.62,-40.5
1597739143938,612455807137600,-30.539999,-49.98,-40.32
1597739143961,612455827137600,-30.359999,-50.579998,-39.96
1597739143979,612455847137600,-30.24,-51.059998,-40.2
1597739144000,612455867137600,-29.519999,-51.12,-40.14
1597739144022,612455887137600,-29.4,-51.42,-40.2
1597739144040,612455907137600,-29.519999,-51.3,-40.5
1597739144061,612455927137600,-28.8,-50.94,-40.379997
1597739144086,612455947137600,-28.619999,-51.0,-40.8
1597739144100,612455967137600,-28.98,-50.579998,-41.219997
1597739144120,612455987137600,-28.619999,-50.16,-41.1
1597739144142,612456007136968,-29.34,-50.28,-41.1
1597739144159,612456027135968,-29.34,-50.219997,-40.68
1597739144180,612456047135253,-28.98,-50.94,-40.68
1597739144200,612456067134525,-29.039999,-51.84,-40.379997
1597739144219,612456087133698,-28.5,-52.559998,-39.78
1597739144240,612456107133531,-29.64,-53.219997,-38.879997
1597739144263,612456127133331,-30.779999,-53.28,-37.44
1597739144280,612456147133061,-32.1,-53.52,-36.96
1597739144300,612456167132727,-32.579998,-53.28,-36.78
1597739144322,612456187132334,-32.76,-53.219997,-37.26
1597739144340,612456207131885,-32.219997,-52.739998,-38.04
1597739144362,612456227131318,-31.8,-52.379997,-38.7
1597739144382,612456247130384,-31.74,-52.92,-39.239998
1597739144399,612456267129684,-30.3,-53.46,-39.6
1597739144419,612456287128917,-28.68,-54.84,-39.719997
1597739144445,612456307128017,-25.619999,-56.46,-39.6
1597739144459,612456327126350,-22.02,-58.739998,-39.059998
1597739144484,612456347125316,-17.88,-61.62,-37.92
1597739144504,612456367123449,-12.66,-64.799995,-36.18
1597739144518,612456387121515,-7.2599998,-67.26,-34.32
1597739144539,612456407119848,-2.04,-69.24,-32.64
1597739144560,612456427118048,3.12,-70.38,-30.539999
1597739144580,612456447116548,7.2,-71.28,-28.56
1597739144600,612456467114614,10.92,-72.24,-26.76
1597739144622,612456487112980,14.219999,-72.299995,-24.96
1597739144640,612456507111213,17.279999,-71.939995,-24.48
1597739144660,612456527108679,19.08,-70.86,-24.84
1597739144680,612456547106112,19.02,-70.32,-25.5
1597739144701,612456567104178,16.98,-70.08,-27.18
1597739144721,612456587102111,11.88,-70.38,-28.439999
1597739144743,612456607100377,4.62,-70.68,-28.859999
1597739144762,612456627098843,-4.02,-69.84,-29.039999
1597739144846,612456647097009,-13.92,-67.14,-28.92
1597739144846,612456667095142,-23.82,-62.28,-29.099998
1597739144846,612456687092608,-33.059998,-55.14,-29.82
1597739144846,612456707089508,-41.1,-45.6,-31.199999
1597739144863,612456727087008,-47.16,-34.86,-31.5
1597739144883,612456746575400,-51.0,-23.34,-32.16
1597739144902,612456766572466,-52.86,-12.66,-32.88
1597739144925,612456786569966,-53.52,-3.72,-33.0
1597739144945,612456806566766,-53.039997,2.3999999,-34.14
1597739145114,612456826563566,-52.44,5.3399997,-34.68
1597739145114,612456846560366,-51.719997,6.18,-35.16
1597739145114,612456866556899,-51.3,1.38,-35.52
1597739145114,612456886553432,-52.379997,-6.2999997,-34.32
1597739145114,612456906550032,-53.52,-13.679999,-32.16
1597739145114,612456926547332,-54.18,-22.619999,-29.82
1597739145115,612456946543898,-52.86,-33.059998,-26.039999
1597739145115,612456966541231,-49.44,-42.84,-22.74
1597739145117,612456986538564,-44.7,-51.66,-19.859999
1597739145137,612457006535497,-38.64,-59.94,-16.92
1597739145159,612457026532497,-31.32,-67.02,-14.82
1597739145177,612457046529130,-22.98,-71.82,-13.08
1597739145198,612457066526130,-14.16,-74.46,-12.719999
1597739145219,612457086522696,-5.58,-75.78,-12.84
1597739145239,612457106519329,3.0,-75.42,-12.48
1597739145259,612457126516662,11.28,-73.979996,-11.82
1597739145281,612457146513995,18.6,-72.6,-11.82
1597739145300,612457166510695,25.32,-69.96,-11.639999
1597739145319,612457186507461,30.0,-67.14,-11.04
1597739145342,612457206504227,31.32,-65.82,-11.88
1597739145359,612457226500927,31.8,-65.1,-14.04
1597739145380,612457246497693,31.679998,-64.979996,-15.179999
1597739145401,612457266494459,28.92,-66.06,-15.48
1597739145419,612457286491925,23.34,-68.52,-15.78
1597739145440,612457306489325,16.98,-69.78,-15.719999
1597739145461,612457326486091,9.54,-69.96,-17.279999
1597739145479,612457346482857,-0.06,-70.02,-18.84
1597739145499,612457366479990,-9.599999,-67.74,-19.98
1597739145520,612457386476690,-20.279999,-62.76,-20.76
1597739145539,612457406474090,-31.619999,-56.76,-20.88
1597739145560,612457426471556,-41.579998,-49.68,-20.1
1597739145581,612457446468956,-48.84,-40.2,-16.92
1597739145600,612457466466622,-53.699997,-29.939999,-13.139999
1597739145619,612457486464288,-56.879997,-20.1,-10.62
1597739145641,612457506461921,-58.199997,-10.8,-9.179999
1597739145660,612457526459554,-57.78,-2.7,-9.059999
1597739145679,612457546457220,-56.879997,3.72,-10.44
1597739145701,612457566454886,-56.399998,7.98,-11.639999
1597739145720,612457586452486,-55.14,10.559999,-12.84
1597739145740,612457606450152,-54.18,11.04,-14.639999
1597739145761,612457626447818,-54.3,9.719999,-15.599999
1597739145883,612457646445484,-54.239998,7.14,-16.38
1597739145883,612457666443084,-54.66,1.8,-15.599999
1597739145883,612457686440750,-54.6,-5.7,-13.679999
1597739145883,612457706438416,-53.64,-13.92,-12.059999
1597739145883,612457726436016,-52.14,-22.92,-10.26
1597739145883,612457746433582,-49.02,-32.64,-8.34
1597739145897,612457766431082,-44.04,-41.76,-6.6
1597739145921,612457786428582,-37.8,-49.92,-5.58
1597739145942,612457806426015,-31.019999,-56.34,-5.16
1597739145962,612457826423515,-23.34,-60.0,-6.0
1597739145978,612457846421015,-15.0,-62.039997,-6.8399997
1597739145999,612457866418448,-7.62,-63.48,-6.54
1597739146019,612457886415881,-1.56,-64.08,-5.3399997
1597739146038,612457906413381,3.84,-63.66,-3.0
1597739146060,612457926410914,8.16,-62.94,-1.92
1597739146078,612457946408380,9.96,-62.52,-2.7
1597739146098,612457966405913,8.5199995,-62.699997,-3.54
1597739146120,612457986403446,5.94,-61.92,-4.98
1597739146139,612458006400912,1.14,-60.78,-5.7599998
1597739146159,612458026398378,-5.58,-59.82,-5.46
1597739146180,612458046395911,-11.759999,-58.079998,-5.46
1597739146199,612458066393444,-18.779999,-54.78,-7.02
1597739146219,612458086390910,-25.56,-50.579998,-7.9199996
1597739146242,612458106388410,-31.439999,-45.48,-7.74
1597739146259,612458126385910,-37.38,-38.94,-7.56
1597739146282,612458146383410,-42.059998,-32.1,-6.06
1597739146300,612458166380843,-44.7,-24.48,-4.92
1597739146319,612458186378343,-46.379997,-16.38,-4.74
1597739146339,612458206375876,-47.52,-7.74,-4.56
1597739146360,612458226373409,-47.1,0.42,-4.5
1597739146379,612458246370942,-45.42,7.02,-5.1
1597739146400,612458266368542,-43.559998,12.24,-5.94
1597739146423,612458286366142,-42.42,14.88,-6.48
1597739146440,612458306363675,-41.94,15.78,-6.8999996
1597739146460,612458326361275,-41.82,15.839999,-8.4
1597739146480,612458346358875,-41.399998,14.4,-10.08
1597739146499,612458366356408,-41.04,12.0,-9.96
1597739146519,612458386353941,-41.7,8.22,-9.42
1597739146540,612458406351541,-42.059998,3.12,-8.76
1597739146560,612458426621168,-42.6,-2.58,-8.46
1597739146579,612458446618701,-42.12,-8.94,-7.62
1597739146602,612458466616301,-40.5,-16.08,-5.2799997
1597739146619,612458486613901,-38.16,-23.88,-3.4199998
1597739146640,612458506611434,-34.5,-31.199999,-2.34
1597739146661,612458526608934,-30.3,-36.78,-1.4399999
1597739146679,612458546606534,-25.56,-41.04,-0.84
1597739146699,612458566604100,-20.76,-44.46,-1.5
1597739146720,612458586601600,-16.26,-46.86,-1.4399999
1597739146739,612458606599200,-12.0,-48.6,-1.14
1597739146760,612458626596800,-7.62,-49.02,-1.86
1597739146826,612458646594400,-4.68,-49.44,-1.86
1597739146826,612458666591933,-1.3199999,-49.559998,-0.42
1597739146826,612458686589533,2.22,-49.079998,0.71999997
1597739146849,612458706587133,3.6,-48.96,0.84
1597739146865,612458726584666,4.08,-47.7,1.14
1597739146882,612458746582199,3.6599998,-47.28,1.4399999
1597739146898,612458766579799,2.52,-47.94,0.53999996
1597739146918,612458786577399,1.0799999,-47.1,0.29999998
1597739146949,612458806574899,-1.5,-46.079998,0.06
1597739146961,612458826572399,-6.0,-45.12,-0.96
1597739146979,612458846569899,-10.139999,-43.26,-1.62
1597739146998,612458866567332,-14.34,-40.92,-2.82
1597739147019,612458886564765,-19.68,-36.899998,-4.3199997
1597739147038,612458906562265,-24.18,-31.26,-5.64
1597739147060,612458926559765,-28.26,-24.96,-6.72
1597739147079,612458946557198,-31.859999,-18.539999,-7.74
1597739147098,612458966554698,-33.42,-10.98,-8.94
1597739147118,612458986552198,-33.059998,-2.46,-9.96
1597739147139,612459006549698,-31.439999,5.1,-9.84
1597739147158,612459026547164,-29.939999,10.86,-8.34
1597739147179,612459046544697,-29.099998,15.24,-7.3199997
1597739147201,612459066542230,-27.42,17.94,-6.8399997
1597739147220,612459086539696,-25.8,19.619999,-6.48
1597739147239,612459106537229,-25.199999,20.699999,-7.3799996
1597739147261,612459126534762,-24.779999,20.76,-8.16
1597739147280,612459146532262,-24.42,20.46,-9.179999
1597739147302,612459166529728,-24.6,19.199999,-10.2
1597739147321,612459186527261,-25.56,16.92,-11.5199995
1597739147340,612459206524761,-26.88,13.799999,-13.139999
1597739147359,612459226522194,-27.779999,9.84,-14.099999
1597739147381,612459246519660,-28.5,4.98,-14.099999
1597739147405,612459266517226,-29.4,-1.14,-13.38
1597739147419,612459286514859,-28.74,-6.72,-12.179999
