timeMillis,timeNanos,value
1597739910212,613222069907511,1004.301
1597739910311,613222169907511,1004.31006
1597739910419,613222269907511,1004.31616
1597739910512,613222369907511,1004.30176
1597739910613,613222469907511,1004.301
1597739910718,613222569907511,1004.28735
1597739910811,613222669905177,1004.28613
1597739910912,613222769904605,1004.29517
1597739911017,613222869902605,1004.2925
1597739911115,613222969899271,1004.2964
1597739911213,613223069893771,1004.2925
1597739911321,613223169886861,1004.28076
1597739911440,613223269881277,1004.27856
1597739911510,613223369873738,1004.2864
1597739911647,613223469865166,1004.2805
1597739911712,613223569856432,1004.26733
1597739911811,613223669847369,1004.25854
1597739911913,613223770822736,1004.25806
1597739912010,613223870813902,1004.2539
1597739912114,613223970804796,1004.2566
1597739912213,613224070795546,1004.25635
1597739912311,613224170786069,1004.25635
1597739912448,613224270776569,1004.2578
1597739912512,613224370766916,1004.2468
1597739912610,613224470757082,1004.2468
1597739912711,613224570747162,1004.2434
1597739912814,613224670737123,1004.25635
1597739912911,613224770727011,1004.25635
1597739913012,613224870716868,1004.24927
1597739913114,613224970706695,1004.2495
1597739913212,613225070696461,1004.2495
1597739913312,613225170685761,1004.24976
1597739913466,613225270674727,1004.25464
1597739913511,613225370663260,1004.25464
1597739913610,613225470651326,1004.2522
1597739913711,613225570638992,1004.25464
1597739913811,613225670626692,1004.25464
1597739913912,613225770613658,1004.24927
1597739914013,613225870600624,1004.2446
1597739914112,613225970587857,1004.2446
1597739914212,613226070575590,1004.2451
1597739914313,613226170563556,1004.2488
1597739914447,613226270550822,1004.2488
1597739914509,613226370538722,1004.2532
1597739914611,613226470526922,1004.2527
1597739914710,613226570515088,1004.2527
1597739914812,613226670503254,1004.24756
1597739914942,613226770491354,1004.2488
1597739915010,613226870479220,1004.25024
1597739915110,613226970467086,1004.25806
1597739915213,613227070455086,1004.24976
1597739915313,613227170443086,1004.2571
1597739915425,613227270431019,1004.26025
1597739915510,613227370418985,1004.25903
1597739915610,613227470406985,1004.2612
1597739915712,613227570394985,1004.2615
1597739915813,613227670382951,1004.25977
1597739915909,613227770370917,1004.2532
1597739916010,613227870358917,1004.2456
1597739916113,613227970346783,1004.2478
1597739916210,613228070334783,1004.2383
1597739916311,613228170323016,1004.2439
1597739916446,613228270311182,1004.24927
1597739916513,613228370299382,1004.2468
1597739916609,613228470287582,1004.24634
1597739916714,613228570275815,1004.24927
1597739916811,613228670264015,1004.25195
1597739916911,613228770252215,1004.2446
1597739917011,613228870240415,1004.24414
1597739917111,613228970228381,1004.24023
1597739917212,613229070216281,1004.2446
1597739917313,613229170204381,1004.249
1597739917467,613229270192614,1004.2522
1597739917511,613229370180847,1004.2456
1597739917610,613229470169047,1004.25146
1597739917709,613229570157247,1004.2444
1597739917810,613229670145480,1004.24805
1597739917910,613229770133713,1004.24634
1597739918011,613229870121913,1004.2388
1597739918110,613229970110113,1004.23145
1597739918211,613230070098213,1004.24316
1597739918312,613230170086313,1004.24316
1597739918419,613230270074546,1004.24976
1597739918509,613230370062779,1004.2466
1597739918609,613230470050979,1004.25464
1597739918710,613230570039179,1004.2534
1597739918811,613230670027412,1004.24634
1597739918910,613230770015645,1004.24634
1597739919009,613230870003811,1004.2412
1597739919112,613230969992011,1004.2517
1597739919211,613231069980111,1004.2517
1597739919312,613231169967977,1004.2446
1597739919441,613231269955877,1004.24976
1597739919509,613231369944077,1004.24976
1597739919608,613231469932277,1004.25366
1597739919711,613231569920443,1004.24414
1597739919811,613231669908609,1004.24414
1597739919911,613231769896809,1004.2422
1597739920012,613231869885009,1004.2356
1597739920126,613231969873175,1004.2356
1597739920211,613232069861341,1004.2427
1597739920312,613232169849341,1004.24805
1597739920422,613232269837207,1004.24805
1597739920509,613232369825073,1004.2512
1597739920611,613232469813073,1004.25464
1597739920710,613232569801073,1004.25464
1597739920812,613232669789039,1004.25
1597739920913,613232769777005,1004.2505
1597739921011,613232869765005,1004.2505
1597739921111,613232969753005,1004.25757
1597739921212,613233069740971,1004.25635
1597739921311,613233169728937,1004.2561
1597739921460,613233269716803,1004.2495
1597739921511,613233369704669,1004.2434
1597739921608,613233469692769,1004.2456
1597739921709,613233569681002,1004.2429
1597739921811,613233669669202,1004.2439
1597739921911,613233769657402,1004.2422
1597739922010,613233869645635,1004.2363
1597739922113,613233969633868,1004.2407
1597739922211,613234069622068,1004.2351
1597739922311,613234169610268,1004.24097
1597739922479,613234269598468,1004.2451
1597739922508,613234369586368,1004.2427
1597739922609,613234469574268,1004.2429
1597739922712,613234569562401,1004.2473
1597739922811,613234669550634,1004.24365
1597739922912,613234769538834,1004.24927
1597739923012,613234869527034,1004.2439
1597739923111,613234969515234,1004.24854
1597739923211,613235069503467,1004.25146
1597739923311,613235169491667,1004.2517
1597739923462,613235269479867,1004.2551
1597739923509,613235369468067,1004.25073
1597739923609,613235469456167,1004.2483
1597739923709,613235569444267,1004.25
1597739923809,613235669432500,1004.2483
