bssid,frequency,legit,rss,ssid,timestamp,wifiNo
18:31:bf:46:ff:dc,5805,true,-38,KEAI-5G,613223334311,1
18:31:bf:46:ff:d8,2462,true,-41,KEAI,613223334372,1
2c:56:dc:84:dd:88,2462,true,-42,ISILAB_2,613223334379,1
9c:d6:43:c8:11:80,2457,true,-44,,613223334355,1
00:24:6c:7d:f6:90,5240,true,-45,Welcome_KAIST,613223334229,1
00:24:6c:7d:f6:91,5240,true,-45,eduroam,613223334234,1
0a:28:19:ab:62:85,2462,true,-48,DIRECT-YXDESKTOP-TVS6P41msqN,613223334375,1
2c:56:dc:84:dd:8c,5745,true,-52,ISILAB-5G,613223334266,1
9c:30:5b:e7:70:3a,2462,true,-52,HP-Print-3a-LaserJet 500,613223334359,1
48:f8:b3:dc:ef:4c,2427,true,-55,KIXLAB_WIFI,613223334257,1
6e:7e:92:e0:9f:70,2432,true,-57,HCIL guest,613223334305,1
90:9f:33:f5:98:04,2422,true,-58,MLILAB824_1,613223334237,1
60:38:e0:bb:ee:01,2437,true,-59,Lapras2.4G,613223334302,1
00:08:9f:bf:5e:44,2462,true,-59,MoCA,613223334367,1
62:38:e0:bb:ee:01,2437,true,-59,Lapras2.4G-guest,613223334343,1
92:9f:33:f0:98:04,2422,true,-59,mliguest,613223334214,1
72:5d:cc:48:5b:28,2447,true,-61,hcil_vr4t,613223334352,1
00:26:66:69:c8:e8,2462,true,-62,naorobot,613223334363,1
00:24:6c:7d:f6:e0,2412,true,-62,Welcome_KAIST,613223334225,1
10:6f:3f:e7:e1:a0,2462,true,-63,SmartIoT,613223334405,1
00:24:6c:7d:f6:f1,5180,true,-64,eduroam,613223334167,1
8a:36:6c:c9:4e:70,2472,true,-64,MLILAB824_2,613223334409,1
00:24:6c:7d:f6:f0,5180,true,-65,Welcome_KAIST,613223334149,1
00:24:6c:7a:88:f1,5805,true,-66,eduroam,613223334330,1
00:24:6c:7a:8b:31,5220,true,-66,eduroam,613223334210,1
00:24:6c:7a:88:f0,5805,true,-66,Welcome_KAIST,613223334325,1
70:5d:cc:78:5b:28,5745,true,-67,hcil_vr4t5G,613223334271,1
00:24:6c:7d:f6:e1,2412,true,-67,eduroam,613223334183,1
00:24:6c:7a:8b:30,5220,true,-67,Welcome_KAIST,613223334205,1
b0:4e:26:19:9a:f7,2417,true,-68,icl_2.412GHz,613223334189,1
38:d5:47:e3:57:5c,5745,true,-69,NMSL_N1_721_ASUS5G,613223334253,1
00:24:6c:7a:8b:20,2437,true,-69,Welcome_KAIST,613223334347,1
60:38:e0:bb:ee:02,5200,true,-70,Lapras5G,613223334195,1
00:24:6c:7d:f6:10,5805,true,-70,Welcome_KAIST,613223334316,1
62:38:e0:bb:ee:02,5200,true,-71,Lapras5G-guest,613223334202,1
00:24:6c:7d:f6:11,5805,true,-71,eduroam,613223334321,1
10:6f:3f:e7:f2:84,2462,true,-71,DioOpenWrt,613223334397,1
00:24:6c:7d:f2:e0,2462,true,-71,Welcome_KAIST,613223334387,1
00:24:6c:7d:f2:e1,2462,true,-71,eduroam,613223334401,1
88:36:6c:e9:4e:70,5785,true,-72,MLILAB824_25G,613223334298,1
