timeMillis,timeNanos,x,y,z
1597739990913,613302781664726,2.3507943,-3.1849189,0.9477067
1597739990936,613302801662726,2.6415665,-3.3364134,1.1059208
1597739990953,613302821659726,2.9250078,-3.4329302,0.9116657
1597739990974,613302841657059,3.1803496,-2.644303,0.88906366
1597739990996,613302861654559,3.1797388,-1.8269653,0.96481097
1597739991014,613302881651759,2.4112704,0.04228226,0.81392723
1597739991035,613302901649092,1.4858093,2.5260603,0.9232721
1597739991056,613302921646520,0.9555783,2.9835985,1.0362822
1597739991075,613302941644020,-1.2600299,1.0679251,0.9819152
1597739991094,613302961641353,-3.7242603,-1.3181146,0.8481357
1597739991117,613302981638753,-3.552607,-0.8966176,1.2445873
1597739991137,613303001636207,1.0606472,1.9420731,1.0937035
1597739991157,613303021633540,5.033715,3.5718615,0.25498554
1597739991179,613303041630924,3.2823641,2.5749297,-0.13474649
1597739991196,613303061628352,0.22315091,1.0764772,-0.5446371
1597739991216,613303081625818,-1.635712,0.3190042,-0.21538071
1597739991236,613303101623255,-1.966801,-0.42747313,0.19817506
1597739991255,613303121620725,-1.2056628,-1.1177509,0.44435376
1597739991275,613303141618225,-0.2704282,-1.5380261,0.53781617
1597739991297,613303161615751,0.27140927,-1.6424842,0.452295
1597739991316,613303181613201,0.3990801,-1.2387022,0.2012294
1597739991336,613303201610677,0.304396,-0.59485024,0.03507405
1597739991359,613303221608177,0.2164314,0.044114858,-0.0034104607
1597739991376,613303241605611,0.28790262,0.70812535,-0.086488135
1597739991403,613303261602569,0.7332234,1.4845351,-0.14696379
1597739991418,613303281600049,0.97818035,1.8418913,-0.19522215
1597739991437,613303301597549,0.76682097,1.5914365,-0.17078754
1597739991456,613303321594363,0.5970004,1.1662743,-0.09137505
1597739991520,613303341591577,0.40579963,0.51692456,-0.0034104607
1597739991520,613303361589301,0.40579963,0.51692456,-0.0034104607
1597739991545,613303381586134,0.40579963,0.51692456,-0.0034104607
1597739991545,613303401583034,0.5181988,-0.6889235,0.011250305
1597739991553,613303421580000,0.56645715,-0.38471255,-0.045560163
1597739991572,613303441576966,0.47910345,0.018458515,-0.055334006
1597739991595,613303461573866,0.41923866,0.34038448,-0.057166602
1597739991614,613303481570832,0.48582298,0.41979697,-0.05227968
1597739991635,613303501567798,0.49376422,0.474164,0.0051416527
1597739991656,613303521564698,0.33127406,0.3910863,0.044847894
1597739991673,613303541561598,0.23414649,0.14674021,0.07416943
1597739991693,613303561558564,0.24880725,0.04106053,0.0973823
1597739991715,613303581555530,0.23231389,0.09115148,0.18168171
1597739991735,613303601552430,0.22803782,0.16567703,0.25254208
1597739991754,613303621549396,0.37831068,0.34649315,0.32156986
1597739991775,613303641546362,0.68313247,0.66169965,0.39426282
1597739991795,613303661543328,0.7197844,0.895661,0.5439248
1597739991813,613303681540228,0.2988982,0.92314994,0.42175174
1597739991884,613303701537161,-0.19895697,0.7533294,0.16457748
1597739991885,613303721534094,-0.80432445,0.7368361,-0.08832073
1597739991885,613303741530994,-1.4408461,0.30434343,-0.4774419
1597739991900,613303761527894,-1.8544017,-0.0603431,-0.80669826
1597739991914,613303781524860,-2.3461483,-0.09943847,-1.0626508
1597739991934,613303801521826,-2.8385055,-0.28208718,-1.070592
1597739991956,613303821518726,-2.3931851,0.97201914,-0.66009057
1597739991973,613303841515692,-1.712681,3.0068114,-0.58495414
1597739991992,613303861513058,-0.7542335,4.32628,-0.96185803
1597739992158,613303881509958,-0.020584326,3.836977,-1.4432199
1597739992158,613303901506858,0.15167966,0.49371168,-1.7364352
1597739992159,613303921504391,-1.1525176,-1.6559231,-1.2807298
1597739992159,613303941501591,-1.8727278,-1.3651513,-0.85923266
1597739992159,613303961498257,-2.0492678,-1.4427311,-0.58678675
1597739992159,613303981495823,-2.1934319,-2.3975134,-0.73217267
1597739992159,613304001493323,-2.1659431,-2.3694139,-0.8268568
1597739992159,613304021490756,-1.9246513,-1.9393647,-0.7462226
1597739992171,613304041488189,-1.4035833,-1.0102385,-0.6509276
1597739992193,613304061485689,-0.9881949,-1.2185435,-0.45361814
1597739992212,613304081483189,-0.40726203,-1.1177509,-0.24103704
1597739992232,613304101480622,0.30561772,-0.91066754,0.080278076
1597739992253,613304121478122,0.8859397,-0.6675432,0.17679478
1597739992272,613304141475622,1.0264387,-0.85385704,0.09860403
1597739992292,613304161473155,0.630598,-1.0572752,-0.043116704
1597739992313,613304181470621,0.29645473,-1.2551955,-0.16345716
1597739992334,613304201468154,0.08631709,-1.2270957,-0.19583301
1597739992353,613304221217255,0.37586722,-1.0505557,-0.29234973
1597739992373,613304241214721,1.3398126,0.21943319,0.54881173
1597739992393,613304261212187,2.218237,2.3996112,1.9275346
1597739992414,613304281209720,1.6067607,3.2597094,0.7540624
1597739992437,613304301207253,-0.3950447,-0.27597854,-1.0724247
1597739992453,613304321204719,-0.6277844,-1.8074178,-0.16773322
1597739992474,613304341202219,-0.36633405,-0.12631655,0.36249784
1597739992496,613304361199719,0.71428657,1.5541737,0.7528407
1597739992512,613304381197152,1.4406054,1.7710309,0.8530226
1597739992532,613304401194618,1.800405,0.73133826,0.89944834
1597739992553,613304421192251,1.8156767,-0.69869727,0.87562466
1597739992572,613304441189951,1.0759188,-1.5868953,1.0533863
1597739992592,613304461187651,0.45039278,-1.8526217,1.2745197
1597739992614,613304481185484,0.5438552,-1.9418081,1.0130694
1597739992633,613304501183317,1.0191083,-2.0407681,0.51460326
1597739992654,613304521181083,2.330636,-1.6669188,0.33195457
1597739992674,613304541178849,3.6879785,0.028232358,0.32340243
1597739992692,613304561176682,2.716703,0.90910006,0.053400006
1597739992716,613304581174515,1.4589313,2.5578253,-0.035175454
1597739992734,613304601172281,0.8364596,2.618912,0.07905635
1597739992754,613304621170114,0.6709152,0.82968754,0.25315294
1597739992772,613304641167947,0.4076322,-0.9375456,0.38693243
1597739992797,613304661165780,0.39174974,-1.7939787,0.39243022
1597739992812,613304681163546,0.37342376,-1.6803578,0.3820455
1597739992832,613304701161412,0.35937387,-0.8098748,0.5072729
1597739992869,613304721159245,0.13824064,-0.16846624,0.3985389
1597739992882,613304741157011,-0.21850467,0.47844005,0.24948774
1597739992909,613304761154744,-0.9258866,1.1375636,-0.49027005
1597739992918,613304781152544,-1.6338794,2.0440876,-1.0241662
1597739992932,613304801150344,-2.1360106,2.124722,-1.202539
1597739992952,613304821148077,-2.5544534,1.4601004,-1.4584914
1597739992973,613304841145877,-3.054141,-0.53437454,-1.5837189
1597739992992,613304861143677,-2.9832807,-1.5172567,-1.261182
1597739993012,613304881141443,-1.85318,1.0196667,-0.36748615
1597739993032,613304901139209,-0.32113004,4.0892644,-0.7608834
1597739993053,613304921137042,0.4375646,4.860787,-1.7437655
1597739993072,613304941134875,0.49132073,2.3073707,-1.5611168
1597739993093,613304961132641,-0.4109272,-1.4091336,-1.2471321
1597739993113,613304981130474,-1.61311,-2.3242097,-0.8647305
1597739993133,613305001128274,-2.314994,-2.1586652,-0.6552037
1597739993154,613305021125907,-2.6570785,-2.6204793,-0.27463463
1597739993172,613305041123473,-2.3473701,-2.0578725,-0.21110465
1597739993192,613305061121039,-1.7927043,-1.5844519,-0.32533646
1597739993215,613305081118539,-1.3131752,-1.3773686,-0.20866118
1597739993232,613305101115972,-0.7957723,-1.302843,-0.1310813
1597739993252,613305121113472,-0.06884268,-0.9509846,-0.18361571
1597739993273,613305141110972,0.680689,-0.6125653,-0.07976861
1597739993292,613305161108472,1.2762825,-0.54598093,0.050956547
1597739993312,613305181105905,1.2164178,0.036784474,-0.21965675
1597739993335,613305201103405,0.5756202,-0.47939667,-0.37237307
1597739993354,613305221100905,1.1400597,-1.5728455,0.44740808
1597739993372,613305241098338,0.8853288,-0.97480834,0.35516745
1597739993393,613305261095771,0.8486769,1.1717721,0.88784194
1597739993414,613305281093304,1.0472081,2.727646,1.141351
1597739993434,613305301090804,0.24025513,2.4967387,-0.463392
1597739993453,613305321088270,-0.5202721,-0.7054168,-0.58739763
1597739993473,613305341085803,-0.2478262,-1.5050395,0.033852316
1597739993493,613305361083336,0.61105037,0.4814944,0.7473429
1597739993513,613305381080802,1.3886818,1.7808046,0.88417673
1597739993533,613305401078268,1.6385256,1.7960764,0.94526327
1597739993552,613305421075801,1.70511,0.40880138,0.95564795
1597739993573,613305441073334,1.184042,-1.4225726,0.9061679
1597739993591,613305461070800,0.7399429,-1.8617847,1.0924819
1597739993613,613305481068300,0.69596064,-1.4011923,0.95809144
1597739993634,613305501065833,1.1504444,-1.1892221,0.6465502
1597739993653,613305521063399,2.8547583,-1.1855569,0.579355
1597739993672,613305541060965,3.5798554,-0.41464496,0.44252118
1597739993694,613305561058598,2.4155464,0.57373506,0.44068858
1597739993713,613305581056231,1.1993136,1.8809867,0.4968882
1597739993734,613305601053797,0.8633377,2.0868483,0.46756664
1597739993754,613305621051430,1.0013932,0.71362317,0.5695811
1597739993772,613305641049063,0.7930882,-0.8440832,0.6477719
1597739993792,613305661046696,1.0172757,-1.4463964,0.5274314
1597739993813,613305681044262,1.0209409,-0.81231827,0.52987486
1597739993832,613305701041895,0.41618434,0.46255755,0.51704675
1597739993871,613305721039528,-0.28447813,0.5254767,0.34295014
1597739993877,613305741037094,-0.6100693,0.20721588,0.03690665
1597739993892,613305761034660,-1.0370641,0.5853415,-0.52203506
1597739993912,613305781032293,-1.603947,1.5615041,-0.9869035
1597739993934,613305801029926,-2.2471883,2.563934,-1.3454814
1597739993953,613305821027492,-3.2190747,1.3379275,-1.7492633
1597739993975,613305841025125,-3.6814997,-0.7255754,-1.6252577
1597739993993,613305861022758,-3.3168132,-1.4433421,-1.1316786
1597739994015,613305881020291,-1.5746255,2.2108538,-0.17750704
1597739994032,613305901017857,-0.08411431,5.827787,-1.2239192
1597739994053,613305921015490,1.0960774,4.9646344,-1.8708255
1597739994072,613305941013123,0.66175216,2.2542253,-1.732159
1597739994092,613305961010689,-0.3425103,-0.731684,-1.2507973
1597739994114,613305981008322,-1.3663205,-2.8813188,-0.91237795
1597739994134,613306001005955,-2.2801747,-2.8947577,-0.6503168
1597739994152,613306021003521,-2.2813964,-2.1922626,-0.42551833
1597739994173,613306041001087,-1.8605105,-1.5893389,-0.2996801
1597739994192,613306060998720,-1.5752363,-1.9430298,-0.2013308
1597739994212,613306080996353,-1.1659566,-2.1000223,-0.11275534
1597739994235,613306100993886,-0.37549704,-1.4928222,0.015526362
1597739994253,613306120991386,0.5591268,-1.1544027,0.13281249
1597739994273,613306140988919,1.51452,-1.0420035,0.24582255
1597739994294,613306160986419,1.7246578,-0.49039224,0.2678137
1597739994311,613306180983852,-0.7774463,0.30312172,-1.2679015
1597739994332,613306200981352,0.09303661,-0.97847354,-0.55502176
1597739994353,613306220978852,0.6360958,-2.3168795,0.18534689
1597739994372,613306240976285,0.46505356,-1.3492688,0.36921734
1597739994393,613306260973718,0.74666244,0.7032385,1.4046339
1597739994415,613306280971218,0.90793085,2.1790888,0.755895
1597739994432,613306300968718,0.36731508,2.1705368,-0.78959405
1597739994453,613306320966184,0.039891336,-1.280241,-0.49760044
1597739994473,613306340963717,0.295233,-1.1751721,0.10654528
1597739994493,613306360961250,0.5963896,1.077088,0.5127707
1597739994511,613306380958716,1.0398777,2.4252677,0.8078186
1597739994533,613306400956182,1.4809225,2.160763,1.050943
1597739994552,613306420953715,1.455877,0.034951877,0.94037634
1597739994572,613306440951248,1.1034077,-1.665086,0.81148374
1597739994594,613306460948714,1.1944267,-1.1605114,1.0020738
1597739994611,613306480946247,1.3404235,-0.96136934,0.75894934
1597739994634,613306500943747,1.3874601,-0.97480834,0.5640834
1597739994654,613306520941180,1.6336387,-1.2179327,0.67464995
1597739994672,613306540938646,2.218237,-1.7408334,0.66060007
1597739994692,613306560936312,2.8065,-1.4598353,0.6184504
1597739994715,613306580934012,2.9134014,0.83457446,0.54820085
1597739994733,613306600931712,1.7808573,2.8204973,0.41136703
1597739994753,613306620929545,0.41374087,2.0642464,0.46145797
1597739994775,613306640927378,0.64220446,0.5364722,0.6074548
1597739994792,613306660925211,0.5316379,-0.6730409,0.5824093
1597739994812,613306680922977,0.13029939,-0.7176341,0.506662
