bssid,frequency,legit,rss,ssid,timestamp,wifiNo
00:24:6c:7d:f6:90,5240,true,-40,Welcome_KAIST,613303801210,1
00:24:6c:7d:f6:91,5240,true,-41,eduroam,613303801217,1
18:31:bf:46:ff:dc,5805,true,-43,KEAI-5G,613303801356,1
9c:d6:43:c8:11:80,2457,true,-46,,613303801435,1
18:31:bf:46:ff:d8,2462,true,-46,KEAI,613303801468,1
2c:56:dc:84:dd:88,2462,true,-46,ISILAB_2,613303801463,1
00:24:6c:7d:f6:e0,2412,true,-49,Welcome_KAIST,613303801116,1
00:24:6c:7d:f6:e1,2412,true,-51,eduroam,613303801123,1
48:f8:b3:dc:ef:4c,2427,true,-52,KIXLAB_WIFI,613303801282,1
0a:28:19:ab:62:85,2462,true,-53,DIRECT-YXDESKTOP-TVS6P41msqN,613303801472,1
60:38:e0:bb:ee:01,2437,true,-57,Lapras2.4G,613303801299,1
62:38:e0:bb:ee:01,2437,true,-57,Lapras2.4G-guest,613303801345,1
00:26:66:69:c8:e8,2462,true,-57,naorobot,613303801483,1
9c:30:5b:e7:70:3a,2462,true,-58,HP-Print-3a-LaserJet 500,613303801444,1
00:24:6c:7a:8b:20,2437,true,-58,Welcome_KAIST,613303801320,1
00:24:6c:7a:8b:21,2437,true,-58,eduroam,613303801325,1
2c:56:dc:84:dd:8c,5745,true,-59,ISILAB-5G,613303801294,1
00:08:9f:bf:5e:44,2462,true,-59,MoCA,613303801453,1
10:6f:3f:e7:e1:a0,2462,true,-60,SmartIoT,613303801458,1
00:24:6c:7d:f6:f1,5180,true,-61,eduroam,613303801093,1
72:5d:cc:48:5b:28,2447,true,-61,hcil_vr4t,613303801426,1
00:24:6c:7d:f6:f0,5180,true,-62,Welcome_KAIST,613303801066,1
38:d5:47:e3:57:58,2412,true,-64,NMSL_N1_721_ASUS,613303801099,1
00:24:6c:7d:f2:e0,2462,true,-65,Welcome_KAIST,613303801491,1
28:6d:97:58:d4:3e,2412,true,-66,[air purifier] Samsung,613303801129,1
70:5d:cc:78:5b:28,5745,true,-66,hcil_vr4t5G,613303801262,1
6c:70:9f:e0:92:7e,2432,true,-66,HCIL,613303801339,1
60:38:e0:bb:ee:02,5200,true,-67,Lapras5G,613303801172,1
62:38:e0:bb:ee:02,5200,true,-67,Lapras5G-guest,613303801186,1
38:d5:47:e3:57:5c,5745,true,-67,NMSL_N1_721_ASUS5G,613303801251,1
6e:7e:92:e0:9f:70,2432,true,-67,HCIL guest,613303801335,1
00:24:6c:7d:f2:e1,2462,true,-67,eduroam,613303801497,1
b0:c7:45:76:40:62,2422,true,-68,BUFFALO-764062_G,613303801235,1
00:24:6c:7d:f3:e0,2412,true,-69,Welcome_KAIST,613303801140,1
00:24:6c:7d:f3:e1,2412,true,-69,eduroam,613303801152,1
92:9f:33:f0:98:04,2422,true,-69,mliguest,613303801205,1
00:24:6c:7a:8b:30,5220,true,-70,Welcome_KAIST,613303801190,1
00:24:6c:7a:8b:31,5220,true,-70,eduroam,613303801201,1
00:24:6c:7d:f6:10,5805,true,-70,Welcome_KAIST,613303801403,1
9c:ad:97:5c:1d:65,2437,true,-70,HP-Print-65-LaserJet 500,613303801420,1
00:24:6c:7d:f4:21,2412,true,-71,eduroam,613303801119,1
00:24:6c:7d:f7:31,5805,true,-71,eduroam,613303801368,1
00:24:6c:7a:88:f0,5805,true,-71,Welcome_KAIST,613303801398,1
00:24:6c:7d:f6:11,5805,true,-71,eduroam,613303801409,1
00:24:6c:7a:88:f1,5805,true,-71,eduroam,613303801362,1
00:24:6c:7d:f4:20,2412,true,-71,Welcome_KAIST,613303801108,1
70:8b:cd:2f:82:64,5745,true,-71,LIT_5G,613303801240,1
2a:3a:4d:3b:45:25,2437,true,-71,DIRECT-25-HP M477 LaserJet,613303801429,1
78:54:2e:4c:f1:50,2447,true,-71,iDBLab-2.4GHz,613303801448,1
70:5d:cc:1b:ae:a4,5745,true,-73,egocoord5G,613303801272,1
88:36:6c:e9:4e:70,5785,true,-73,MLILAB824_25G,613303801312,1
10:6f:3f:e7:e1:a1,5240,true,-73,SmartIoT-5G,613303801223,1
b0:c7:45:76:44:2a,2462,true,-73,WASHERE1,613303801502,1
6e:7f:92:e0:9f:70,5745,true,-74,HCIL guest,613303801256,1
6c:70:9f:e0:92:7f,5745,true,-74,HCIL,613303801277,1
72:5d:cc:4b:ae:a4,2472,true,-75,egocoord,613303801508,1
90:9f:33:2b:63:da,2422,true,-76,KEON@DEAL,613303801230,1
10:6f:3f:e7:f2:84,2462,true,-76,DioOpenWrt,613303801476,1
00:11:32:a5:95:e5,2432,true,-77,SELab,613303801330,1
00:08:9f:94:77:70,2437,true,-77,ISILAB_6F,613303801393,1
48:f8:b3:dc:ef:4d,5180,true,-78,KIXLAB_WIFI_5GHz,613303801148,1
90:9f:33:f5:98:06,5805,true,-80,MLILAB824_15G,613303801378,1
84:72:07:41:d0:20,2437,true,-80,WINIX SMART Air,613303801350,1
48:f8:b3:dc:ef:4e,5805,true,-81,KIXLAB_WIFI_5GHz,613303801414,1
90:9f:33:2e:a8:52,2432,true,-81,hhr,613303801315,1
00:24:6c:7e:08:10,5180,true,-82,Welcome_KAIST,613303801160,1
b0:4e:26:19:9a:f6,5765,true,-82,icl_5.785GHz,613303801306,1
b0:c7:45:76:40:63,5200,true,-84,BUFFALO-764062_A,613303801179,1
00:24:6c:7e:08:11,5180,true,-84,eduroam,613303801166,1
00:24:6c:7d:fe:e1,2437,true,-84,eduroam,613303801388,1
00:26:66:c2:d3:68,2452,true,-84,WISRL,613303801440,1
b0:c7:45:76:44:2b,5180,true,-85,WASHERE2,613303801134,1
00:24:6c:7d:fe:e0,2437,true,-87,Welcome_KAIST,613303801383,1
00:24:6c:7d:f2:f1,5745,true,-88,eduroam,613303801266,1
b0:4e:26:02:10:56,5180,true,-89,CoCoA_5G,613303801155,1
70:5d:cc:28:58:47,5745,true,-89,ANLAB 621 5G,613303801289,1
28:6d:97:58:d4:3e,2412,true,-57,[air purifier] Samsung,613315293764,2
00:24:6c:7d:f6:e0,2412,true,-67,Welcome_KAIST,613315293767,2
00:24:6c:7d:f6:e1,2412,true,-69,eduroam,613315293770,2
88:36:6c:41:85:5c,2412,true,-80,iptime,613315293758,2
00:24:6c:7d:f4:21,2412,true,-92,eduroam,613315293773,2
28:6d:97:58:d4:3e,2412,true,-67,[air purifier] Samsung,613316555040,3
00:24:6c:7d:f6:e1,2412,true,-70,eduroam,613316555085,3
00:24:6c:7d:f6:e0,2412,true,-72,Welcome_KAIST,613316555073,3
88:36:6c:41:85:5c,2412,true,-73,iptime,613316555098,3
00:24:6c:7d:f3:e1,2412,true,-87,eduroam,613316555109,3
00:24:6c:7d:f5:90,5240,true,-59,Welcome_KAIST,613317575529,4
00:24:6c:7d:f5:91,5240,true,-60,eduroam,613317575541,4
00:24:6c:7d:f6:90,5240,true,-79,Welcome_KAIST,613317575544,4
00:24:6c:7d:f6:91,5240,true,-79,eduroam,613317575548,4
00:24:6c:7d:f5:90,5240,true,-60,Welcome_KAIST,613318836305,5
00:24:6c:7d:f5:91,5240,true,-60,eduroam,613318836318,5
00:24:6c:7d:f6:90,5240,true,-79,Welcome_KAIST,613318836327,5
