timeMillis,timeNanos,x,y,z
1597893034230,766346640804091,0.6943397,3.4046588,10.015251
1597893034247,766346673471024,0.6943397,3.4046588,10.015251
1597893034270,766346706137690,0.6943397,3.4046588,10.015251
1597893034289,766346738804356,0.26337022,3.007209,9.081485
1597893034308,766346771471022,0.2561874,3.0215747,9.021627
1597893034330,766346804137688,0.6105401,2.9593236,9.2419
1597893034354,766346836804354,0.30167863,2.7893302,9.119793
1597893034368,766346869470754,0.31125572,2.6624336,9.186832
1597893034392,766346902137687,0.42618093,2.6767993,9.488511
1597893034407,766346934804353,0.45970076,2.6767993,9.313729
1597893034425,766346967470586,0.4860378,2.638491,9.821315
1597893034447,766347000136986,0.2849187,2.6073654,9.155706
1597893034465,766347032803286,-0.09577099,2.640885,8.578687
1597893034487,766347065469552,-0.18914771,2.7462332,8.473338
1597893034510,766347098136252,-0.21548474,2.885101,8.9498
1597893034528,766347130802885,-0.14126222,2.9832664,9.462174
1597893034553,766347163469451,-0.31843856,3.0455174,8.966559
1597893034570,766347196135984,0.10774237,3.5147953,7.8388557
1597893034588,766347228802517,-1.5897985,3.1341057,8.075889
1597893034609,766347261468917,-1.2785428,2.9736893,8.705584
1597893034631,766347294135250,-1.063058,2.954535,8.861211
1597893034648,766347326801516,-0.36392978,2.9641123,9.37598
1597893034668,766347359467716,-0.339987,2.9641123,9.4095
1597893034692,766347392133782,-0.57223165,3.0263634,9.404712
1597893034708,766347424799782,-0.4860378,3.047912,9.438231
1597893034728,766347457465448,-0.5219519,2.9593236,9.404712
1597893034750,766347490131248,-0.5554718,3.0287576,9.25866
1597893034768,766347522796981,-0.2083019,3.3400133,9.407105
1597893034814,766347555462647,-0.021548472,3.6009893,9.366403
1597893034814,766347588128247,-0.18196489,3.469304,9.191621
1597893034825,766347608126647,0.083799616,3.3256476,9.251478
1597893034844,766347628124780,0.016759925,3.387899,9.153313
1597893034869,766347648123013,-0.23942748,3.641692,9.182044
1597893034886,766347668120846,-0.14605077,3.7709827,9.265843
1597893034907,766347688119312,-0.35914123,3.7350688,9.117398
1597893034929,766347708117712,-0.41420954,3.8236568,9.222747
1597893034951,766347728116045,-0.30167863,3.9313993,9.486116
1597893034966,766347748113578,-0.28970724,3.8523881,9.603436
1597893034988,766347768111478,-0.35435268,3.6129606,9.608225
1597893035101,766347788109578,-0.22266756,3.5938065,9.711179
1597893035101,766347808108044,-0.18675344,3.581835,9.845258
1597893035101,766347828106210,-0.22506183,3.4381785,9.933846
1597893035101,766347848104410,-0.12210801,3.2681851,9.960183
1597893035101,766347868102576,-0.098165266,3.162837,9.972155
1597893035111,766347888099476,-0.09337672,3.215511,10.024829
1597893035125,766347908096376,-0.062251143,3.3208592,10.055954
1597893035146,766347928093976,-0.0670397,3.3902931,10.161303
1597893035169,766347948091542,-0.2466103,3.1341057,10.118205
1597893035186,766347968088975,-0.2657645,2.5858169,10.187639
1597893035204,766347988085775,-0.30886146,2.0806248,9.873989
1597893035244,766348008082841,-0.37350687,2.0902019,9.471751
1597893035420,766348028079574,-0.30886146,2.5546913,9.3280945
1597893035420,766348048076074,-0.05506832,2.997632,9.059936
1597893035420,766348068072674,0.21069619,2.6791935,8.904308
1597893035420,766348088069274,0.41420954,2.0375278,8.626573
1597893035420,766348108065807,0.47885495,1.9920366,8.590658
1597893035420,766348128062407,0.63208854,2.5427198,8.966559
1597893035420,766348148059040,0.5889916,2.7893302,9.0838785
1597893035420,766348168055606,0.5458947,2.5187771,9.11261
1597893035420,766348188052172,0.5506832,2.2961094,9.361614
1597893035424,766348208049205,0.5554718,2.2625897,9.4095
1597893035444,766348228046171,0.69912827,2.3894863,9.387952
1597893035466,766348248043171,0.6344828,2.5546913,9.261055
1597893035485,766348268040504,0.45012367,2.6959534,9.136553
