timeMillis,timeNanos,x,y,z
1597893034106,766345973342750,-7.367035E-4,0.0023805418,-0.02296548
1597893034126,766345993342750,0.012091467,0.0048240027,-0.016856827
1597893034147,766346013342750,0.00781541,0.0023805418,-0.0138024995
1597893034165,766346033342750,-0.0025692992,0.0023805418,-0.021132883
1597893034186,766346053342750,0.0035393531,5.479461E-4,-0.02663067
1597893034207,766346073342750,0.023087041,-0.004949841,-0.0138024995
1597893034231,766346093342750,0.02186531,-0.0031172454,-0.0064721173
1597893034247,766346113343892,0.0010958922,0.0060457336,-0.019300288
1597893034270,766346133343892,-0.007456221,-6.291912E-5,-0.02907413
1597893034289,766346153343892,0.0023176228,-0.0061715716,-0.023576343
1597893034308,766346173343892,0.0096480055,-0.007393302,-0.022354614
1597893034330,766346193343892,0.0010958922,-0.0055607064,-0.02663067
1597893034354,766346213343892,-0.011732277,-0.0018955149,-0.026019806
1597893034369,766346233343892,-0.008677952,-0.0012846496,-0.02663067
1597893034393,766346253344463,0.0017067576,-0.0061715716,-0.027852401
1597893034407,766346273344463,0.0041502183,-0.0092258975,-0.026019806
1597893034425,766346293343650,-0.0013475687,-0.0055607064,-0.027852401
1597893034447,766346313343179,0.0010958922,-0.00250638,-0.030295862
1597893034465,766346333342567,0.010258871,-0.0092258975,-0.029684996
1597893034487,766346353341935,0.02186531,-0.011669359,-0.024187211
1597893034511,766346373341985,0.012702332,-0.01289109,-0.02663067
1597893034528,766346393341937,-0.0013475687,-0.00250638,-0.029684996
1597893034553,766346413341800,-0.006845356,-0.008004167,-0.03335019
1597893034570,766346433341626,-0.001958434,-0.009836763,-0.036404513
1597893034589,766346453341459,0.0023176228,-0.0067824367,-0.03823711
1597893034609,766346473341139,-0.0037910298,-0.0092258975,-0.05106528
1597893034631,766346493340754,-0.008067086,-0.008004167,-0.05656307
1597893034649,766346513340309,-0.0025692992,-0.004949841,-0.055341337
1597893034668,766346533339809,0.00781541,-0.0092258975,-0.055341337
1597893034692,766346553339188,0.005371949,-0.008004167,-0.05350874
1597893034708,766346573338521,0.002928488,-0.008615032,-0.05473047
1597893034729,766346593337787,0.0065936795,-0.0110584935,-0.05473047
1597893034750,766346613336920,0.009037141,-0.01289109,-0.051676143
1597893034768,766346633335986,0.0059828144,-0.017167147,-0.045567494
1597893034814,766346653334986,0.0059828144,-0.023275798,-0.04617836
1597893034814,766346673333919,0.0041502183,-0.022054067,-0.04617836
1597893034825,766346693332319,-0.005623625,-0.01411282,-0.044345763
1597893034845,766346713330452,-0.014175739,-0.0031172454,-0.041291434
1597893034869,766346733328685,-0.001958434,-0.0037281106,-0.040069707
1597893034886,766346753326518,0.0133131975,-0.008615032,-0.038847975
1597893034907,766346773324984,0.010258871,-0.008004167,-0.035793647
1597893034930,766346793323384,-7.367035E-4,-0.008615032,-0.03945884
1597893034951,766346813321717,-0.007456221,-0.015945416,-0.040680572
1597893034966,766346833319250,-0.006234491,-0.017778011,-0.037015382
1597893034989,766346853317150,-0.00501276,-0.0110584935,-0.03335019
1597893035101,766346873315250,-0.007456221,-0.008615032,-0.03335019
1597893035101,766346893313716,-0.006234491,-0.012280224,-0.03335019
1597893035101,766346913311882,-0.004401895,-0.01533455,-0.028463267
1597893035101,766346933310082,-0.0031801646,-0.01655628,-0.025408939
1597893035101,766346953308248,-0.0013475687,-0.0092258975,-0.025408939
1597893035111,766346973305148,-1.2583824E-4,-0.004949841,-0.029684996
1597893035125,766346993302048,-0.011121413,-0.0061715716,-0.03151759
1597893035147,766347013299648,-0.022727853,-0.0092258975,-0.029684996
1597893035169,766347033297214,-0.009899682,-0.009836763,-0.028463267
1597893035186,766347053294647,-0.001958434,-0.004338976,-0.030906728
1597893035204,766347073291447,-0.012954008,-0.0037281106,-0.0419023
1597893035244,766347093288513,-0.014786604,0.0011588114,-0.04862182
1597893035420,766347113285246,-0.014786604,0.0011588114,-0.04862182
1597893035420,766347133281746,-0.014786604,0.0011588114,-0.04862182
1597893035420,766347153278346,-0.023949582,-0.011669359,-0.03457192
1597893035420,766347173274946,-0.02822564,-0.01289109,-0.044345763
1597893035420,766347193271479,-0.007456221,-0.015945416,-0.03945884
1597893035420,766347213268079,0.0065936795,-0.01533455,-0.02296548
1597893035420,766347233264712,0.002928488,-0.0012846496,-0.027241535
1597893035420,766347253261278,-0.0135648735,-0.0037281106,-0.041291434
1597893035420,766347273257844,-0.02578218,-0.0055607064,-0.04312403
1597893035424,766347293254877,-7.367035E-4,-6.291912E-5,-0.03823711
1597893035444,766347313251843,0.02186531,-0.009836763,-0.044345763
1597893035466,766347333248843,0.010258871,-0.008615032,-0.05717393
1597893035485,766347353246176,-0.008067086,-0.009836763,-0.06878037
1597893035506,766347373242842,0.012702332,-0.015945416,-0.06511518
1597893035526,766347393239475,0.01942185,-0.020221472,-0.06328259
1597893035548,766347413232191,-0.0037910298,-0.022054067,-0.06816951
1597893035567,766347433229491,-0.023949582,-0.018388877,-0.07611076
1597893035588,766347453226091,-0.014786604,-0.008615032,-0.07122383
1597893035618,766347473222691,0.00781541,-0.01655628,-0.06389345
1597893035627,766347493219357,0.0096480055,-0.019610608,-0.05350874
1597893035646,766347513216090,-0.008677952,-0.014723686,-0.059006527
1597893035666,766347533212823,-0.0153974695,-0.013501954,-0.076721616
1597893035685,766347553209489,-0.006845356,-0.020221472,-0.06816951
1597893035709,766347573206922,0.00781541,-0.022054067,-0.06450432
1597893035726,766347593204355,0.014534927,-0.022664933,-0.06389345
1597893035748,766347613201021,0.0041502183,-0.022664933,-0.06450432
1597893035770,766347633197687,-0.004401895,-0.013501954,-0.062060855
1597893035790,766347653194420,-0.001958434,-0.01411282,-0.06328259
1597893035807,766347673191853,0.0035393531,-0.017778011,-0.06022826
1597893035828,766347693188953,0.0041502183,-0.025108395,-0.05350874
1597893035847,766347713186386,4.85027E-4,-0.013501954,-0.04678922
1597893035867,766347733184052,0.002928488,-0.013501954,-0.04740009
1597893035888,766347753181685,0.0017067576,-0.0110584935,-0.035793647
1597893035908,766347773179251,-0.00501276,-0.01655628,-0.036404513
1597893035927,766347793176884,-0.0153974695,-0.013501954,-0.043734897
1597893035952,766347813174517,-0.030058235,-0.010447628,-0.05228701
1597893035967,766347833172050,-0.019673526,-0.013501954,-0.05228701
1597893035987,766347853169716,-0.001958434,-0.013501954,-0.06144999
1597893036012,766347873167349,0.0059828144,-0.007393302,-0.072445564
1597893036100,766347893164982,0.01575666,-0.0110584935,-0.050454415
1597893036101,766347913162548,0.042023864,-0.015945416,-0.0064721173
1597893036102,766347933160181,0.034693483,-0.007393302,-9.7433006E-4
1597893036102,766347953157814,-0.0166192,-6.291912E-5,-0.03945884
1597893036109,766347973155347,-0.061212365,-0.01411282,-0.066336915
1597893036126,766347993152913,-0.044108134,-0.01533455,-0.040680572
1597893036144,766348013150546,0.01942185,-0.0037281106,-0.010748174
1597893036166,766348033148179,0.037747808,5.479461E-4,0.004523457
1597893036186,766348053145745,0.008426275,0.009710925,0.006356053
1597893036205,766348073143311,0.0059828144,0.0011588114,0.006356053
1597893036224,766348093140811,0.01942185,0.0042131376,0.010021244
1597893036246,766348113138244,0.010869736,0.0066565988,0.01307557
1597893036264,766348133135677,-0.00501276,0.0029914072,0.008799514
1597893036285,766348153133177,-0.008677952,-0.0061715716,0.003912592
1597893036306,766348173130677,-0.014175739,-0.0092258975,-9.7433006E-4
1597893036325,766348193128110,-0.022116987,-6.7378435E-4,-0.0040286565
1597893036346,766348213125610,-0.012954008,-0.0037281106,-0.010137309
1597893036366,766348233123110,0.0059828144,-0.0018955149,-0.0070829825
1597893036387,766348253120610,0.017589254,0.0066565988,-0.010137309
1597893036405,766348273118076,0.015145793,-6.291912E-5,0.0075777834
1597893036428,766348293115609,0.0017067576,-6.291912E-5,0.01307557
1597893036446,766348313113142,-0.005623625,0.005434868,-0.003417791
1597893036466,766348333110608,-0.008067086,0.009100059,-0.018078556
1597893036487,766348353108074,0.002928488,0.005434868,-0.014413365
1597893036505,766348373105640,0.017589254,0.0042131376,-3.6346485E-4
1597893036525,766348393103173,0.009037141,-6.291912E-5,0.005134322
1597893036546,766348413100639,-0.021506123,-0.0067824367,-0.009526444
1597893036566,766348433098172,-0.02822564,-0.0061715716,-0.021743748
1597893036586,766348453095638,0.0041502183,0.009710925,-0.032739323
1597893036608,766348473093071,0.0133131975,0.008489194,-0.030906728
1597893036626,766348493090504,0.022476176,-0.004949841,-0.021132883
1597893036646,766348513088037,0.04507819,-0.020832337,0.014908166
1597893036668,766348533085670,0.02430877,-0.01411282,0.015519031
1597893036686,766348553083336,-0.027614774,-0.009836763,-0.0021960607
1597893036707,766348573081102,-0.04349727,-0.008615032,-0.025408939
1597893036727,766348593078935,-0.0306691,-0.0012846496,-0.025408939
1597893036746,766348613076701,0.014534927,0.013376116,-0.021743748
1597893036766,766348633074467,0.038358673,0.018263038,-0.010748174
1597893036788,766348653072300,0.016978389,0.0029914072,-0.011969905
1597893036807,766348673070133,-0.005623625,0.008489194,-0.009526444
1597893036827,766348693067899,0.012091467,-0.0018955149,-0.0138024995
1597893036848,766348713065732,0.02186531,-0.008004167,-0.011969905
1597893036867,766348733063565,-0.008067086,-0.013501954,-0.021743748
1597893036886,766348753061398,-0.034945156,-0.0055607064,-0.03335019
1597893036907,766348773059164,-0.023949582,0.0011588114,-0.029684996
1597893036925,766348793056997,0.010869736,0.0042131376,-0.018078556
1597893036945,766348813054830,0.024919638,0.0060457336,-0.024187211
1597893036967,766348833052596,0.0023176228,0.0023805418,-0.030295862
1597893036985,766348853050362,-0.006234491,-0.0110584935,-0.032128457
1597893037179,766348873048162,0.01575666,-0.009836763,-0.027241535
1597893037180,766348893045962,0.022476176,-0.011669359,-0.030906728
1597893037180,766348913043695,-0.0013475687,-0.011669359,-0.021743748
