bssid,frequency,legit,rss,ssid,timestamp,wifiNo
18:31:bf:46:ff:d8,2427,true,-35,KEAI,766347040743,1
18:31:bf:46:ff:dc,5805,true,-41,KEAI-5G,766347040922,1
2c:56:dc:84:dd:88,2462,true,-41,ISILAB_2,766347041004,1
00:24:6c:7d:f6:90,5240,true,-44,Welcome_KAIST,766347040595,1
00:24:6c:7d:f6:91,5240,true,-45,eduroam,766347040758,1
9c:d6:43:c8:11:80,2457,true,-45,,766347041032,1
2c:56:dc:84:dd:8c,5745,true,-48,ISILAB-5G,766347040780,1
00:24:6c:7d:f6:e1,2412,true,-49,eduroam,766347040636,1
00:24:6c:7d:f6:e0,2412,true,-51,Welcome_KAIST,766347040628,1
6e:7e:92:e0:9f:70,2432,true,-52,HCIL guest,766347040866,1
00:08:9f:bf:5e:44,2462,true,-53,MoCA,766347041025,1
28:6d:97:58:d4:3e,2412,true,-56,[air purifier] Samsung,766347040621,1
6c:70:9f:e0:92:7e,2432,true,-56,HCIL,766347040882,1
62:38:e0:bb:ee:01,2437,true,-56,Lapras2.4G-guest,766347040896,1
00:26:66:69:c8:e8,2462,true,-56,naorobot,766347041051,1
9c:30:5b:e7:70:3a,2462,true,-56,HP-Print-3a-LaserJet 500,766347041058,1
60:38:e0:bb:ee:01,2437,true,-57,Lapras2.4G,766347040908,1
c4:e9:84:f8:c7:73,2462,true,-59,irnlp,766347041045,1
9c:d6:43:c8:11:82,5745,true,-60,JoyK,766347040786,1
48:f8:b3:dc:ef:4c,2427,true,-60,KIXLAB_WIFI,766347040859,1
00:24:6c:7d:f6:f0,5180,true,-61,Welcome_KAIST,766347040645,1
92:9f:33:f0:98:04,2422,true,-61,mliguest,766347040749,1
0a:28:19:ab:62:85,5240,true,-61,DIRECT-YXDESKTOP-TVS6P41msqN,766347040765,1
00:24:6c:7d:f6:f1,5180,true,-62,eduroam,766347040651,1
10:6f:3f:e7:e1:a0,2462,true,-62,SmartIoT,766347041017,1
00:24:6c:7a:8b:21,2437,true,-62,eduroam,766347040977,1
70:8b:cd:2f:82:60,2437,true,-63,LIT_2.4G,766347040990,1
00:24:6c:7a:88:f0,5805,true,-64,Welcome_KAIST,766347040931,1
b0:c7:45:76:40:62,2422,true,-65,BUFFALO-764062_G,766347040734,1
38:d5:47:e3:57:5c,5745,true,-65,NMSL_N1_721_ASUS5G,766347040797,1
00:24:6c:7d:f2:e0,2437,true,-65,Welcome_KAIST,766347040902,1
00:24:6c:7d:f2:e1,2437,true,-65,eduroam,766347040972,1
00:24:6c:7a:88:f1,5805,true,-65,eduroam,766347040940,1
b0:c7:45:76:44:2a,2462,true,-66,WASHERE1,766347041038,1
9c:ad:97:5c:1d:65,2437,true,-67,HP-Print-65-LaserJet 500,766347040965,1
70:5d:cc:78:5b:28,5745,true,-68,hcil_vr4t5G,766347040819,1
38:d5:47:e3:57:58,2412,true,-68,NMSL_N1_721_ASUS,766347040672,1
10:6f:3f:e7:f2:84,2462,true,-69,DioOpenWrt,766347041063,1
72:5d:cc:4b:ae:a4,2472,true,-69,egocoord,766347041086,1
90:9f:33:12:29:c2,2447,true,-70,Sungpil_RESL,766347040997,1
70:8b:cd:2f:82:64,5745,true,-71,LIT_5G,766347040843,1
70:5d:cc:28:58:42,2462,true,-71,ANLAB 621,766347041074,1
90:9f:33:bb:c4:e4,2457,true,-72,Caislab2G,766347041011,1
00:24:6c:7d:f6:11,5805,true,-72,eduroam,766347040984,1
00:24:6c:7a:8b:31,5220,true,-72,eduroam,766347040726,1
60:38:e0:bb:ee:02,5200,true,-73,Lapras5G,766347040689,1
62:38:e0:bb:ee:02,5200,true,-73,Lapras5G-guest,766347040705,1
00:24:6c:7a:8b:30,5220,true,-73,Welcome_KAIST,766347040719,1
6c:70:9f:e0:92:7f,5745,true,-74,HCIL,766347040811,1
48:f8:b3:dc:ef:4d,5180,true,-74,KIXLAB_WIFI_5GHz,766347040682,1
6e:7f:92:e0:9f:70,5745,true,-75,HCIL guest,766347040851,1
00:08:9f:94:77:70,2437,true,-75,ISILAB_6F,766347040913,1
70:5d:cc:1b:ae:a4,5745,true,-76,egocoord5G,766347040803,1
48:f8:b3:dc:ef:4e,5805,true,-76,KIXLAB_WIFI_5GHz,766347040948,1
88:36:6c:e9:4e:70,5785,true,-77,MLILAB824_25G,766347040874,1
90:9f:33:f5:98:06,5805,true,-77,MLILAB824_15G,766347040957,1
10:6f:3f:e7:e1:a1,5240,true,-79,SmartIoT-5G,766347040773,1
c4:e9:84:f8:c7:72,5200,true,-80,irnlp,766347040711,1
b0:c7:45:76:40:63,5200,true,-84,BUFFALO-764062_A,766347040697,1
00:24:6c:7d:f6:d0,5785,true,-88,Welcome_KAIST,766347040888,1
b0:c7:45:76:44:2b,5180,true,-89,WASHERE2,766347040665,1
00:24:6c:7d:f2:f1,5745,true,-89,eduroam,766347040833,1
00:24:6c:7d:f2:f0,5745,true,-90,Welcome_KAIST,766347040825,1
00:24:6c:7d:f3:f0,5180,true,-91,Welcome_KAIST,766347040658,1
00:24:6c:7d:f5:80,2462,true,-50,Welcome_KAIST,766362928134,2
00:24:6c:7d:f5:81,2462,true,-53,eduroam,766362928138,2
2c:56:dc:84:dd:88,2462,true,-57,ISILAB_2,766362928147,2
00:26:66:69:c8:e8,2462,true,-60,naorobot,766362928141,2
00:08:9f:1c:1a:e3,2462,true,-63,ISILab8,766362928150,2
00:08:9f:bf:5e:44,2462,true,-70,MoCA,766362928144,2
9c:30:5b:e7:70:3a,2462,true,-76,HP-Print-3a-LaserJet 500,766362928129,2
b0:c7:45:76:44:2a,2462,true,-77,WASHERE1,766362928117,2
00:24:6c:7d:f5:80,2462,true,-51,Welcome_KAIST,766364154885,3
00:24:6c:7d:f5:81,2462,true,-52,eduroam,766364154939,3
00:26:66:69:c8:e8,2462,true,-57,naorobot,766364154925,3
2c:56:dc:84:dd:88,2462,true,-58,ISILAB_2,766364154945,3
9c:30:5b:e7:70:3a,2462,true,-64,HP-Print-3a-LaserJet 500,766364154969,3
00:08:9f:bf:5e:44,2462,true,-73,MoCA,766364154955,3
10:6f:3f:e7:f2:84,2462,true,-81,DioOpenWrt,766364154963,3
00:24:6c:7d:f5:80,2462,true,-49,Welcome_KAIST,766365389396,4
00:24:6c:7d:f5:81,2462,true,-50,eduroam,766365389403,4
00:26:66:69:c8:e8,2462,true,-59,naorobot,766365389370,4
2c:56:dc:84:dd:88,2462,true,-61,ISILAB_2,766365389415,4
00:08:9f:bf:5e:44,2462,true,-72,MoCA,766365389410,4
9c:30:5b:e7:70:3a,2462,true,-76,HP-Print-3a-LaserJet 500,766365389428,4
b0:c7:45:76:44:2a,2462,true,-85,WASHERE1,766365389421,4
00:24:6c:7d:f5:81,2462,true,-45,eduroam,766366738172,5
00:24:6c:7d:f5:80,2462,true,-48,Welcome_KAIST,766366738038,5
5e:ea:1d:bf:dc:44,2437,true,-58,DIRECT-44-HP M477 LaserJet,766366738130,5
00:24:6c:7d:f5:91,5805,true,-60,eduroam,766366738146,5
00:26:66:69:c8:e8,2462,true,-61,naorobot,766366738183,5
88:36:6c:41:85:5c,2412,true,-61,iptime,766366737956,5
00:24:6c:7d:f5:90,5805,true,-61,Welcome_KAIST,766366738137,5
28:6d:97:58:d4:3e,2412,true,-64,[air purifier] Samsung,766366737963,5
90:9f:33:ac:99:10,2417,true,-67,NMSL_N1_706,766366737998,5
00:26:66:18:15:7c,2422,true,-67,DoDo,766366738018,5
00:24:6c:7d:f4:91,5180,true,-71,eduroam,766366737916,5
00:24:6c:7d:f4:90,5180,true,-72,Welcome_KAIST,766366737982,5
26:6a:6f:79:74:a0,2462,true,-72,Lee의 방문자 네트워크,766366738160,5
24:a0:74:79:6f:6a,2462,true,-73,dleehub,766366738166,5
6e:7e:92:e0:9f:70,2432,true,-74,HCIL guest,766366738082,5
00:24:6c:7d:f6:70,5180,true,-75,Welcome_KAIST,766366737941,5
00:24:6c:7d:f6:71,5180,true,-75,eduroam,766366737950,5
00:24:6c:7d:f3:e0,2412,true,-76,Welcome_KAIST,766366737989,5
00:24:6c:7d:f6:e0,2412,true,-76,Welcome_KAIST,766366738005,5
00:08:9f:bf:5e:44,2462,true,-77,MoCA,766366738177,5
00:24:6c:7d:f6:e1,2412,true,-77,eduroam,766366738013,5
38:d5:47:e3:57:58,2412,true,-78,NMSL_N1_721_ASUS,766366737971,5
00:24:6c:7d:f6:91,5240,true,-79,eduroam,766366738058,5
00:24:6c:7d:f6:90,5240,true,-79,Welcome_KAIST,766366738064,5
70:5d:cc:35:a7:30,2432,true,-79,iptime,766366738070,5
90:9f:33:f5:00:50,2432,true,-80,mli,766366738076,5
2c:56:dc:84:dd:8c,5745,true,-80,ISILAB-5G,766366738089,5
70:5d:cc:1b:ae:a4,5745,true,-80,egocoord5G,766366738100,5
62:38:e0:bb:ee:02,5200,true,-82,Lapras5G-guest,766366738031,5
00:24:6c:7d:f5:10,5220,true,-82,Welcome_KAIST,766366738045,5
00:24:6c:7d:f5:11,5220,true,-82,eduroam,766366738052,5
60:38:e0:bb:ee:02,5200,true,-83,Lapras5G,766366738026,5
88:36:6c:41:85:5e,5745,true,-85,iptime5G,766366738117,5
18:31:bf:46:ff:dc,5805,true,-85,KEAI-5G,766366738152,5
70:5d:cc:3f:7e:3e,2447,true,-86,hcil9,766366738123,5
38:d5:47:e3:57:5c,5745,true,-87,NMSL_N1_721_ASUS5G,766366738108,5
38:d5:47:e3:57:58,2412,true,-43,NMSL_N1_721_ASUS,766386801820,6
b0:c7:45:75:c9:1e,2412,true,-50,SmartIoT2,766386801812,6
38:d5:47:e3:57:5c,5745,true,-52,NMSL_N1_721_ASUS5G,766386802151,6
2a:3a:4d:7f:f9:b3,2437,true,-52,DIRECT-b3-HP M477 LaserJet,766386802020,6
00:24:6c:7d:f5:10,5220,true,-53,Welcome_KAIST,766386801963,6
00:24:6c:7d:f5:11,5220,true,-54,eduroam,766386801971,6
00:24:6c:7d:f6:e0,2412,true,-58,Welcome_KAIST,766386801875,6
00:24:6c:7d:f6:e1,2412,true,-58,eduroam,766386801942,6
00:24:6c:7d:f3:e0,2412,true,-59,Welcome_KAIST,766386801892,6
00:24:6c:7d:f3:e1,2412,true,-62,eduroam,766386801899,6
00:24:6c:7a:8b:21,2437,true,-62,eduroam,766386802106,6
72:5d:cc:48:5b:28,2447,true,-63,hcil_vr4t,766386802247,6
00:24:6c:7a:8b:20,2437,true,-64,Welcome_KAIST,766386802098,6
00:24:6c:78:f5:b0,5220,true,-66,Welcome_KAIST,766386801993,6
00:24:6c:78:f5:b1,5220,true,-66,eduroam,766386802004,6
5e:ea:1d:bf:d1:00,2452,true,-66,DIRECT-00-HP M477 LaserJet,766386802261,6
90:9f:33:ac:99:10,2417,true,-68,NMSL_N1_706,766386801956,6
00:22:6b:8a:10:0a,2412,true,-68,WINSLAB_AP1_2.4,766386801866,6
00:24:6c:7d:fe:e0,2462,true,-68,Welcome_KAIST,766386802419,6
00:24:6c:7d:f5:80,2462,true,-69,Welcome_KAIST,766386802014,6
9c:ad:97:5c:1d:65,2437,true,-69,HP-Print-65-LaserJet 500,766386802045,6
84:72:07:41:d0:20,2437,true,-69,WINIX SMART Air,766386802123,6
00:24:6c:7a:26:21,2462,true,-69,eduroam,766386802386,6
88:36:6c:a4:76:a6,2462,true,-69,RTLS Wi-Fi,766386802412,6
00:24:6c:7d:f5:81,2462,true,-70,eduroam,766386802380,6
00:24:6c:7d:f4:20,2412,true,-70,Welcome_KAIST,766386801827,6
00:24:6c:7d:f5:d0,5200,true,-70,Welcome_KAIST,766386801907,6
00:24:6c:7d:f5:d1,5200,true,-70,eduroam,766386801924,6
00:24:6c:7a:8b:31,5220,true,-70,eduroam,766386801978,6
00:24:6c:7a:8b:30,5220,true,-70,Welcome_KAIST,766386801987,6
b0:c7:45:75:c9:1f,5765,true,-70,SmartIoT2-5Ghz,766386802238,6
00:24:6c:7d:f4:21,2412,true,-71,eduroam,766386801858,6
00:24:6c:7d:f2:e0,2437,true,-71,Welcome_KAIST,766386802052,6
90:9f:33:59:19:46,5745,true,-71,NDSL_5G,766386802228,6
72:5d:cc:47:81:44,2452,true,-71,iptime,766386802372,6
28:6d:97:58:d4:3e,2412,true,-72,[air purifier] Samsung,766386801934,6
00:24:6c:7d:f6:f1,5180,true,-72,eduroam,766386801884,6
70:5d:cc:28:58:47,5745,true,-72,ANLAB 621 5G,766386802191,6
30:b5:c2:bd:d1:ca,2462,true,-72,WINSLAB_5GHz,766386802403,6
00:24:6c:7d:f3:f0,5180,true,-73,Welcome_KAIST,766386801610,6
00:24:6c:7d:f3:f1,5180,true,-73,eduroam,766386801790,6
90:9f:33:41:a7:88,2452,true,-73,artlab,766386802255,6
00:24:6c:7d:f8:71,5785,true,-75,eduroam,766386802285,6
86:25:19:9d:92:02,2462,true,-75,DIRECT-b9C145x Series,766386802393,6
b0:4e:26:02:10:56,5180,true,-76,CoCoA_5G,766386801802,6
00:24:6c:7d:f8:70,5785,true,-76,Welcome_KAIST,766386802277,6
2c:56:dc:84:dd:8c,5745,true,-78,ISILAB-5G,766386802161,6
00:24:6c:7d:fe:f1,5240,true,-78,eduroam,766386802067,6
00:24:6c:7d:f4:31,5200,true,-79,eduroam,766386801917,6
70:5d:cc:78:5b:28,5745,true,-79,hcil_vr4t5G,766386802181,6
00:24:6c:7d:fe:f0,5240,true,-81,Welcome_KAIST,766386802089,6
00:24:6c:7d:f7:31,5805,true,-81,eduroam,766386802345,6
00:24:6c:7e:07:f0,5180,true,-82,Welcome_KAIST,766386801837,6
00:24:6c:7e:07:f1,5180,true,-82,eduroam,766386801845,6
00:24:6c:7d:f4:30,5200,true,-82,Welcome_KAIST,766386801948,6
6e:7f:92:e0:9f:70,5745,true,-82,HCIL guest,766386802170,6
6c:70:9f:e0:92:7f,5745,true,-82,HCIL,766386802199,6
00:24:6c:7d:f7:30,5805,true,-82,Welcome_KAIST,766386802337,6
00:24:6c:7d:f0:71,5220,true,-83,eduroam,766386802036,6
88:36:6c:45:40:fe,5785,true,-83,LANADA_AP_5GHz,766386802292,6
00:24:6c:7e:03:d0,5805,true,-83,Welcome_KAIST,766386802353,6
00:24:6c:7e:03:d1,5805,true,-84,eduroam,766386802364,6
00:24:6c:7d:f0:70,5220,true,-85,Welcome_KAIST,766386802029,6
00:24:6c:7d:f2:f1,5745,true,-85,eduroam,766386802209,6
00:24:6c:7d:f5:71,5180,true,-86,eduroam,766386801587,6
00:24:6c:7d:f7:51,5240,true,-86,eduroam,766386802060,6
00:24:6c:7d:f2:90,5240,true,-86,Welcome_KAIST,766386802074,6
00:24:6c:7d:f2:91,5240,true,-86,eduroam,766386802081,6
00:24:6c:7d:ff:11,5240,true,-86,eduroam,766386802144,6
00:24:6c:7d:ff:10,5240,true,-87,Welcome_KAIST,766386802134,6
00:24:6c:7d:f2:f0,5745,true,-87,Welcome_KAIST,766386802219,6
88:36:6c:a4:76:a4,5765,true,-87,WebEng_Testbed_5G,766386802268,6
00:24:6c:7d:f3:10,5240,true,-88,Welcome_KAIST,766386802115,6
00:24:6c:7d:f6:d0,5785,true,-88,Welcome_KAIST,766386802300,6
70:5d:cc:06:5a:94,5785,true,-89,camelab,766386802318,6
00:24:6c:7a:26:31,5785,true,-89,eduroam,766386802327,6
00:24:6c:7d:f6:d1,5785,true,-91,eduroam,766386802310,6
00:24:6c:7d:f6:f0,5180,true,-34,Welcome_KAIST,766398020309,7
