timeMillis,timeNanos,value
1598241146156,1114461970247410,997.949
1598241146256,1114462070256410,997.9475
1598241146355,1114462170256410,997.9475
1598241146456,1114462270256410,997.94727
1598241146559,1114462370256410,997.948
1598241146657,1114462470256410,997.948
1598241146753,1114462570254410,997.9397
1598241146860,1114462670254124,997.9407
1598241146956,1114462770252874,997.9407
1598241147053,1114462870247874,997.9468
1598241147157,1114462970242874,997.9507
1598241147405,1114463070236510,997.9507
1598241147406,1114463170231426,997.9592
1598241147507,1114463270224195,997.9519
1598241147553,1114463370216052,997.9519
1598241147655,1114463470207718,997.9573
1598241147754,1114463570157430,997.9519
1598241147853,1114463670148547,997.9519
1598241147953,1114463770139658,997.959
1598241148054,1114463870130552,997.95605
1598241148152,1114463970121252,997.95605
1598241148252,1114464070111728,997.96094
1598241148353,1114464170102137,997.95825
1598241148452,1114464270092441,997.9646
1598241148552,1114464370082566,997.9629
1598241148654,1114464470072606,997.95703
1598241148755,1114464570062529,997.9497
1598241148854,1114464670052380,997.9441
1598241148955,1114464770042165,997.9429
1598241149052,1114464870031992,997.9407
1598241149154,1114464970021725,997.94116
1598241149253,1114465070010691,997.947
1598241149352,1114465169999557,997.94556
1598241149452,1114465269988057,997.9409
1598241149553,1114465369976090,997.9448
1598241149654,1114465469963723,997.93994
1598241149752,1114465569951289,997.94434
1598241149854,1114465669938155,997.94116
1598241149954,1114465769924888,997.94604
1598241150053,1114465869912554,997.95044
1598241150154,1114465969900087,997.94946
1598241150252,1114466069887820,997.94946
1598241150352,1114466169874853,997.9502
1598241150453,1114466269862586,997.9507
1598241150554,1114466369850552,997.95605
1598241150653,1114466469838485,997.95215
1598241150756,1114466569826418,997.94946
1598241150864,1114466669814351,997.9446
1598241150955,1114466769802217,997.9512
1598241151054,1114466869790050,997.9519
1598241151154,1114466969778050,997.9553
1598241151256,1114467069766050,997.94604
1598241151389,1114467169754016,997.94946
1598241151453,1114467269741982,997.9592
1598241151551,1114467369729982,997.9529
1598241151653,1114467469717982,997.94995
1598241151756,1114467569705948,997.9468
1598241151853,1114467669693914,997.94165
1598241151956,1114467769681914,997.9441
1598241152053,1114467869669747,997.9524
1598241152155,1114467969657647,997.96094
1598241152257,1114468069645880,997.9514
1598241152379,1114468169634113,997.9514
1598241152456,1114468269622313,997.9597
1598241152552,1114468369610513,997.95337
1598241152653,1114468469598746,997.95337
1598241152754,1114468569586979,997.9502
1598241152855,1114468669575179,997.94214
1598241152953,1114468769563379,997.94214
1598241153055,1114468869551379,997.948
1598241153155,1114468969539279,997.95825
1598241153254,1114469069527279,997.95825
1598241153377,1114469169515512,997.949
1598241153454,1114469269503745,997.9507
1598241153552,1114469369491945,997.9507
1598241153653,1114469469480145,997.9573
1598241153756,1114469569468445,997.9597
1598241153855,1114469669456678,997.9597
1598241153955,1114469769444878,997.9546
1598241154056,1114469869433078,997.95703
1598241154155,1114469969421178,997.95703
1598241154253,1114470069409344,997.9629
1598241154367,1114470169397510,997.9585
1598241154453,1114470269385743,997.9585
1598241154553,1114470369373943,997.9685
1598241154653,1114470469362143,997.9595
1598241154752,1114470569350443,997.9585
1598241154854,1114470669338676,997.9602
1598241154954,1114470769326876,997.9629
1598241155053,1114470869315076,997.95825
1598241155152,1114470969303276,997.94775
1598241155255,1114471069291209,997.9397
1598241155366,1114471169279075,997.93726
1598241155452,1114471269267241,997.94336
1598241155554,1114471369255441,997.9404
1598241155653,1114471469243607,997.9404
1598241155754,1114471569231840,997.9431
1598241155855,1114471669220006,997.9407
1598241155956,1114471769208206,997.94995
1598241156054,1114471869196372,997.95215
1598241156160,1114471969184572,997.95703
1598241156254,1114472069172705,997.9546
1598241156351,1114472169160571,997.9529
1598241156453,1114472269148437,997.94727
1598241156552,1114472369136437,997.94946
1598241156654,1114472469124437,997.9436
1598241156756,1114472569112403,997.94214
1598241156855,1114472669100369,997.9424
1598241156953,1114472769088369,997.95166
1598241157054,1114472869076369,997.9407
1598241157153,1114472969064335,997.93604
1598241157253,1114473069052301,997.9385
1598241157374,1114473169040234,997.9409
1598241157454,1114473269061434,997.94946
1598241157552,1114473369082834,997.95435
1598241157655,1114473469104400,997.9529
1598241157754,1114473569125866,997.9512
1598241157854,1114473669147399,997.9426
1598241157954,1114473769168932,997.94824
1598241158054,1114473869190498,997.94604
