timeMillis,timeNanos,x,y,z
1598241343965,1114659789769832,-0.16721031,0.13231647,0.3041278
1598241343986,1114659809767832,-0.10734552,0.21722673,0.29007792
1598241344007,1114659829765332,0.019714454,0.08405811,0.25770205
1598241344025,1114659849762998,0.111955106,-0.20671375,0.15752016
1598241344045,1114659869760748,0.11439857,-0.37531257,0.015188553
1598241344067,1114659889758548,-0.025489574,-0.28062844,-0.036734995
1598241344086,1114659909756048,-0.27838778,-0.09797973,0.050618738
1598241344106,1114659929753619,-0.47081032,-0.14318377,0.05672739
1598241344129,1114659949751244,-0.51967955,-0.2897914,-0.13264084
1598241344148,1114659969748688,-0.4976884,-0.43700996,-0.22732495
1598241344168,1114659989746188,-0.38406748,-0.50848114,-0.19983602
1598241344190,1114660009743733,0.027655702,-0.43029043,-0.37393263
1598241344209,1114660029741316,0.6281362,-0.21587673,-0.6427133
1598241344228,1114660049738777,0.9060799,0.05840177,-0.46128634
1598241344250,1114660069736277,0.67089677,0.07000821,0.05794912
1598241344268,1114660089733810,0.10706818,-0.5781198,0.32428637
1598241344298,1114660109731247,-0.37490448,-0.9342543,0.19111773
1598241344312,1114660129728717,-0.6052007,-0.65447795,0.10498575
1598241344326,1114660149726217,-0.6913327,-0.29651093,0.26197812
1598241344348,1114660169723743,-0.7609713,0.049238794,0.40369886
1598241344369,1114660189721193,-0.7053826,0.20867462,0.42080307
1598241344388,1114660209718669,-0.44454312,-0.01978898,0.30657127
1598241344430,1114660229716214,-0.16354512,-0.377756,0.042066623
1598241344453,1114660249712996,-0.21119261,-0.7882574,-0.28047022
1598241344478,1114660269710496,-0.21119261,-0.7882574,-0.28047022
1598241344478,1114660289706936,-0.21119261,-0.7882574,-0.28047022
1598241344486,1114660309703436,-0.05053505,-0.11874916,5.2778755E-4
1598241344505,1114660329699917,0.34774908,0.15247501,0.103153154
1598241344525,1114660349696452,0.60492337,0.4444686,0.24487388
1598241344547,1114660369693038,0.81811535,0.9038393,0.36826867
1598241344566,1114660389689671,0.9244059,0.87390685,0.43302038
1598241344585,1114660409686237,0.7179334,0.9557628,0.41286182
1598241344607,1114660429682870,0.1015704,0.8342006,0.35299703
1598241344625,1114660449679536,-0.6882784,0.30641305,0.18073303
1598241344645,1114660469676202,-1.0554084,-0.12058174,-0.11370401
1598241344674,1114660489672868,-0.66078943,0.011365147,-0.14424726
1598241344686,1114660509669601,-0.12628233,0.17080098,-0.031237205
1598241344705,1114660529666334,0.19136758,0.32718247,-0.09721065
1598241344727,1114660549663000,0.30071247,0.5141072,-0.30001792
1598241344745,1114660569659733,0.30987546,0.7071407,-0.34461108
1598241344765,1114660589656466,0.17609596,0.97958654,-0.22732495
1598241344957,1114660609653132,-0.09940427,0.6686561,-0.11370401
1598241344957,1114660629649798,-0.3064876,0.19767904,-0.20350121
1598241344957,1114660649646531,-0.21180347,0.001591304,-0.37820867
1598241344957,1114660669643264,0.058809828,-0.007571675,-0.44357127
1598241344957,1114660689639930,0.26589316,0.056569174,-0.35927185
1598241344957,1114660709636663,0.37951407,0.037021488,-0.25725734
1598241344957,1114660729633396,0.47419822,-0.18594432,-0.26825294
1598241344957,1114660749630062,0.502298,-0.53108317,-0.36110443
1598241344957,1114660769626728,0.36240986,-0.74549687,-0.585292
1598241344978,1114660789623461,0.1137877,-0.42234918,-0.62805253
1598241344983,1114660809620194,-0.17392983,-0.0051282137,-0.29879618
1598241345003,1114660829616827,-0.40728036,0.30091527,0.10559661
1598241345025,1114660849614093,-0.48424935,0.36688873,0.230824
1598241345043,1114660869610826,-0.39567393,0.26487425,0.15935275
1598241345063,1114660889608459,-0.22402078,0.18362916,0.1410268
1598241345086,1114660909606025,-0.07008274,0.1738553,0.22899139
1598241345104,1114660929603658,-0.0065527516,0.24288307,0.29068878
1598241345124,1114660949601291,-0.058476295,0.26426336,0.29863003
1598241345144,1114660969598891,-0.023046114,0.2037877,0.3646035
1598241345163,1114660989596457,0.1278376,-0.003295618,0.33283848
1598241345183,1114661009594090,0.18892413,-0.1932747,0.10193142
1598241345204,1114661029591723,-0.0059418865,-0.14990327,-0.04834143
1598241345223,1114661049589223,-0.28938335,-0.026508497,0.05245133
1598241345243,1114661069586723,-0.45676044,0.15736194,0.23265658
1598241345264,1114661089584223,-0.4311041,0.2001225,0.34016886
1598241345284,1114661109581656,-0.19164492,0.085279845,0.28824532
1598241345303,1114661129579089,0.1455527,-0.2708546,0.12025738
1598241345324,1114661149576589,0.34164044,-0.49137697,-0.055671815
1598241345344,1114661169569903,0.25795192,-0.441286,-0.13080825
1598241345363,1114661189567336,-0.01571573,-0.17372702,-0.05994787
1598241345385,1114661209564836,-0.23868155,-0.029562823,0.086048916
1598241345404,1114661229562336,-0.2655596,-0.028341092,0.1410268
1598241345423,1114661249559802,-0.06702841,-0.15051414,0.06466864
1598241345444,1114661269557268,0.2176348,-0.19022039,-0.06972172
1598241345465,1114661289554801,0.37157285,-0.14623809,-0.08193902
1598241345484,1114661309552334,0.30071247,-0.039336666,0.024962397
1598241345505,1114661329549800,0.1296702,0.016862936,0.100709684
1598241345524,1114661349547333,0.03559695,-0.011847732,0.07199902
1598241345544,1114661369544866,0.064307615,0.0028130345,-0.018409034
1598241345566,1114661389542399,0.07713579,0.08589071,-0.08560421
1598241345584,1114661409539899,-0.07496966,0.29969355,-0.017187305
1598241345604,1114661429537432,-0.18187107,0.2740372,0.09948796
1598241345626,1114661449534932,-0.13483445,0.09383196,0.07627508
1598241345644,1114661469532398,-0.010828808,-0.029562823,-8.307768E-5
1598241345664,1114661489529964,0.04048387,-0.042390995,-8.307768E-5
1598241345684,1114661509527664,-0.0022766949,0.006478226,0.026184129
1598241345704,1114661529525397,-0.07863485,0.041297548,0.028627587
1598241345723,1114661549523130,-0.0987934,0.08039292,0.024962397
1598241345744,1114661569520963,-0.13788877,0.048017062,-6.939429E-4
1598241345764,1114661589518829,-0.35780028,0.0058673606,0.0072473055
1598241345783,1114661609516629,-0.6601786,-0.04178013,0.053673066
1598241345805,1114661629514395,-0.70293915,-0.00818254,0.17890044
1598241345824,1114661649512261,-0.28083125,0.007699956,0.2515934
1598241345847,1114661669510127,0.45220706,-0.11691656,0.044510085
1598241345866,1114661689507927,0.9396775,-0.35026708,-0.35743925
1598241345900,1114661709505793,0.7900155,-0.4082993,-0.64088076
1598241345903,1114661729503659,0.20419575,-0.26963288,-0.59201145
1598241345925,1114661749501459,-0.22646423,-0.103477515,-0.37637606
1598241345943,1114661769499259,-0.15560387,0.044962738,-0.31467867
1598241345963,1114661789497125,0.27322355,0.13109474,-0.36660224
1598241345985,1114661809494991,0.6305797,0.04313014,-0.38004127
1598241346004,1114661829492791,0.642797,-0.007571675,-0.37943038
1598241346024,1114661849490624,0.4210529,-0.035671476,-0.3299503
1598241346044,1114661869488457,0.18709154,3.6957348E-4,-0.2071664
1598241346064,1114661889486290,0.08080098,0.060234368,-0.15646459
1598241346085,1114661909484090,-0.020602651,0.16957924,-0.14424726
1598241346105,1114661929481956,-0.057254568,0.15491849,-0.08010642
1598241346123,1114661949479822,0.046592526,0.1512533,0.016410284
1598241346143,1114661969477622,0.17243077,0.020528127,0.11414872
1598241346165,1114661989475422,0.18159375,-0.08026464,0.117813915
1598241346185,1114662009473255,0.051479448,-0.096758,0.1495789
1598241346206,1114662029471121,-0.07741312,-0.025286766,0.29129964
1598241346225,1114662049468921,-0.015104865,0.18851607,0.43057692
1598241346244,1114662069466754,0.12172895,0.121320896,0.51060027
1598241346264,1114662089464487,0.04598166,-0.029562823,0.3988119
1598241346287,1114662109462087,-0.24540105,-0.03383888,0.25281513
1598241346304,1114662129459653,-0.37734798,0.0089216875,0.24609561
1598241346325,1114662149457219,-0.06886101,0.15003155,0.276028
1598241346346,1114662169454719,0.41066822,0.2074529,0.29313225
1598241346366,1114662189452152,0.5529998,-0.019178115,0.276028
1598241346384,1114662209449652,0.21885653,-0.13402078,0.13675073
1598241346406,1114662229447152,-0.25395316,-0.10836444,0.10865093
1598241346424,1114662249444585,-0.45859304,0.07061908,0.23632178
1598241346444,1114662269442018,-0.34069604,0.19767904,0.37682077
1598241346464,1114662289439518,-0.10490205,0.107270986,0.37559906
1598241346484,1114662309437018,0.12050722,-0.08209724,0.28274754
1598241346503,1114662329434484,0.3440839,-0.19755076,0.16485053
1598241346524,1114662349432017,0.4216638,-0.14868155,0.21066543
1598241346543,1114662369429583,0.39173138,-0.090649344,0.30473867
1598241346564,1114662389427116,0.26955834,-0.12730126,0.33222762
1598241346585,1114662409424582,0.086298764,-0.18838778,0.2833584
1598241346604,1114662429422115,-0.06763928,-0.1969399,0.19661552
1598241346624,1114662449419648,-0.1287258,-0.12058174,0.07383162
1598241346645,1114662469417114,-0.05053505,0.016862936,0.040844895
1598241346663,1114662489414580,0.06797281,0.09383196,0.11414872
1598241346684,1114662509412080,0.11134424,0.04068668,0.050007872
1598241346705,1114662529409580,0.08202271,-0.056440894,-0.10209757
1598241346725,1114662549407013,0.029488299,-0.05033224,-0.11798007
1598241346744,1114662569404546,0.004442823,0.021749858,-0.045287106
1598241346765,1114662589402179,0.011773205,0.07122994,-0.028793745
1598241346783,1114662609399845,0.0013884967,-0.11508396,-0.12531045
1598241346804,1114662629397545,-0.09207388,-0.0985906,-0.2456509
1598241346825,1114662649395378,-0.19592097,0.24838085,-0.17845574
1598241346847,1114662669393211,-0.14583004,0.4921161,0.030460184
1598241346865,1114662689390977,0.10645732,0.31679776,0.061614312
1598241346913,1114662709388810,0.39784002,-0.078432046,-0.18822958
1598241346913,1114662729386643,0.3953966,-0.3710365,-0.50587946
1598241346923,1114662749384409,0.03681868,-0.28612623,-0.57918334
1598241346944,1114662769382175,-0.3504699,-0.05705176,-0.35621753
1598241346963,1114662789380008,-0.51845783,-0.10286666,-0.16807102
1598241346984,1114662809377841,-0.37490448,-0.3062848,-0.32506338
1598241347006,1114662829375607,-0.14827348,-0.3850864,-0.5333684
1598241347024,1114662849373440,0.03437522,-0.12180348,-0.56268996
1598241347044,1114662869371273,0.12661588,0.03518889,-0.36476964
1598241347064,1114662889369106,0.16265692,0.11337965,-0.25481388
1598241347085,1114662909366872,0.19808711,0.1317056,-0.27436158
1598241347103,1114662929364672,0.21946739,0.11337965,-0.28718972
1598241347127,1114662949362472,0.22068912,0.094442815,-0.28352457
1598241347144,1114662969360172,0.24268027,0.1054384,-0.26031166
1598241347164,1114662989357905,0.289106,0.08283638,-0.20227948
1598241347184,1114663009355705,0.27566698,0.123153485,-0.091102
1598241347204,1114663029353505,0.1614352,0.13048387,0.034736242
1598241347225,1114663049351271,0.081411846,0.107270986,0.071388155
1598241347246,1114663069349104,0.07102714,0.08344725,0.038401432
1598241347264,1114663089346937,0.09362915,0.19462472,0.059781715
1598241347284,1114663109344703,0.10034867,0.22089192,0.19783726
1598241347306,1114663129342469,-0.020602651,0.121931754,0.2766389
1598241347325,1114663149340302,-0.2551749,0.1194883,0.25281513
1598241347344,1114663169338102,-0.3327548,0.13964686,0.17523524
1598241347366,1114663189335735,-0.073747925,0.09810801,0.11048353
1598241347384,1114663209333335,0.17304163,-0.084540695,0.14408112
1598241347407,1114663229330901,-0.007163617,-0.12119261,0.20028071
1598241347425,1114663249328334,-0.6968305,0.03274543,0.38598377
1598241347444,1114663269325767,-0.98943496,0.03946495,0.55641514
1598241347464,1114663289323267,-0.81839263,-0.13463165,0.511822
1598241347486,1114663309320767,-0.4237737,-0.40524495,0.31756687
1598241347504,1114663329318200,-0.02610044,-0.36981475,0.1514115
1598241347524,1114663349315700,0.23962595,-0.28429365,0.23326744
1598241347545,1114663369313200,0.352636,-0.105920985,0.33222762
1598241347564,1114663389310700,0.31231892,0.12009916,0.37804252
1598241347585,1114663409308133,0.16510038,0.07245167,0.38720548
1598241347608,1114663429305633,0.06675108,-0.0985906,0.20822197
1598241347627,1114663449303166,0.12539414,-0.1969399,0.0072473055
1598241347645,1114663469300632,0.23534988,-0.14012945,0.02068634
1598241347665,1114663489298098,0.1455527,-0.02101071,0.13675073
1598241347684,1114663509295631,-0.11956282,-0.050943106,0.100098826
1598241347703,1114663529293164,-0.24173588,-0.18594432,-0.12897564
1598241347724,1114663549290664,-0.108567245,-0.1389077,-0.30979174
1598241347743,1114663569288197,0.070416264,0.027247645,-0.24626176
1598241347763,1114663589285730,0.045370795,0.18301828,-0.117369205
1598241347784,1114663609283196,-0.12811492,0.09627541,-0.12653218
1598241347804,1114663629280662,-0.3095419,-0.024065036,-0.26458773
1598241347824,1114663649278162,-0.5819878,0.1054384,-0.31651127
1598241347847,1114663669275695,-0.8947508,0.3442867,-0.22671407
1598241347866,1114663689273261,-0.9375114,0.36688873,-0.07583037
1598241347908,1114663709270894,-0.5013536,0.07122994,-0.17906658
1598241347908,1114663729268527,-0.15254955,-0.18227912,-0.39653462
1598241347923,1114663749266160,0.0056645535,-0.40646666,-0.5315358
1598241347943,1114663769263726,0.08263358,-0.36248437,-0.6182787
1598241347968,1114663789261359,0.08935309,-0.13768597,-0.6225547
1598241347984,1114663809258992,0.024601376,0.0455736,-0.54497486
1598241348003,1114663829256558,-0.04625899,0.2074529,-0.49671653
1598241348025,1114663849254191,-0.05053505,0.3760517,-0.46495155
1598241348044,1114663869251824,0.104624726,0.365667,-0.36415875
1598241348064,1114663889249457,0.38195756,0.22883317,-0.31345695
1598241348084,1114663909247023,0.60125816,0.1017732,-0.3476654
1598241348103,1114663929244656,0.5908735,0.07000821,-0.28718972
1598241348123,1114663949242289,0.41799858,0.081003785,-0.15768631
1598241348144,1114663969239855,0.26589316,0.104216665,-0.034902398
1598241348164,1114663989237421,0.22435431,0.11887743,0.13125294
1598241348184,1114664009235087,0.30743197,0.062066965,0.2589238
1598241348205,1114664029232720,0.43571368,-0.06926907,0.31573427
1598241348223,1114664049230253,0.53223044,-0.0985906,0.3499427
1598241348243,1114664069227886,0.5542216,-0.090649344,0.4183596
1598241348265,1114664089225519,0.5413934,0.027858509,0.48616564
1598241348284,1114664109223085,0.31781667,-0.039336666,0.5325914
1598241348303,1114664129220651,-0.032819957,-0.05033224,0.46906143
1598241348325,1114664149218251,-0.23868155,0.2337201,0.39148155
1598241348343,1114664169215884,-0.053589374,0.37666255,0.42507914
1598241348363,1114664189213450,0.01116234,0.14331204,0.46356362
1598241348384,1114664209211083,-0.3095419,-0.21037893,0.26442158
1598241348403,1114664229208716,-0.86604017,-0.14196204,0.13003121
1598241348423,1114664249206349,-1.2319485,-0.03383888,0.2729737
1598241348444,1114664269203882,-1.0743452,0.025415048,0.4941069
1598241348463,1114664289201382,-0.6033681,-0.066825606,0.5130437
1598241348483,1114664309198882,-0.24662279,-0.23175922,0.33650365
1598241348504,1114664329196315,-0.17026463,-0.31728035,0.18439822
1598241348523,1114664349193748,-0.2447902,-0.19877249,0.26442158
1598241348545,1114664369191248,-0.19531012,0.03518889,0.38048595
1598241348565,1114664389188748,0.005053688,0.104216665,0.3994228
1598241348583,1114664409186181,0.2176348,-0.0039064833,0.29618657
1598241348603,1114664429183681,0.29032776,-0.1706727,0.09215758
1598241348625,1114664449181181,0.3019342,-0.25924817,-0.058115277
1598241348644,1114664469178647,0.4125008,-0.32766506,-0.08193902
1598241348666,1114664489176113,0.5957604,-0.2232071,-0.099654116
1598241348684,1114664509173646,0.72465295,-0.12058174,-0.15585372
1598241348705,1114664529171179,0.67578375,0.006478226,-0.27619419
1598241348723,1114664549168645,0.47114387,0.12071003,-0.36782396
1598241348747,1114664569166178,0.25734103,0.15614021,-0.31467867
1598241348765,1114664589163711,0.15654826,0.16957924,-0.25664648
1598241348783,1114664609161144,0.047814254,0.17080098,-0.14607987
1598241348806,1114664629158610,-0.36818495,0.038854085,-0.082549885
1598241348824,1114664649156143,-0.7377584,0.1720227,-0.041621912
1598241348844,1114664669153643,-0.79395807,0.2514352,0.100709684
1598241348866,1114664689151076,-0.56182927,0.22089192,0.08543806
1598241348890,1114664709148609,-0.3694067,0.14514464,-0.13447343
1598241348921,1114664729146242,-0.29121596,-0.014291192,-0.34705454
1598241348924,1114664749143942,-0.24356847,-0.15234675,-0.51443166
1598241348946,1114664769141642,-0.18431455,-0.25619382,-0.6323286
1598241348963,1114664789139475,-0.15010607,-0.20610288,-0.6787544
1598241348985,1114664809137308,-0.2392924,0.030301971,-0.60178536
1598241349003,1114664829135074,-0.32114834,0.24105048,-0.46128634
1598241349024,1114664849132840,-0.20752741,0.30519134,-0.34888715
1598241349046,1114664869130673,0.07896838,0.19218126,-0.2474835
1598241349064,1114664889128506,0.37279457,0.07000821,-0.19983602
1598241349083,1114664909126272,0.4051704,0.08772331,-0.16196238
1598241349104,1114664929124105,0.2139696,0.11093618,-0.041011047
1598241349124,1114664949121938,0.10828992,0.08711244,0.086048916
1598241349144,1114664969119704,0.20053056,0.007699956,0.10193142
1598241349166,1114664989117470,0.26711488,-0.056440894,0.04817528
1598241349184,1114665009115303,0.24756719,-0.032617148,0.03779057
1598241349204,1114665029113136,0.26406056,0.034578025,0.057338256
1598241349224,1114665049110902,0.30437765,0.13231647,0.12392257
1598241349244,1114665069108702,0.20969354,0.17874222,0.20944369
1598241349265,1114665089106535,0.011773205,0.45546418,0.30473867
1598241349285,1114665109104301,-0.0016658296,0.2459374,0.3823186
1598241349304,1114665129102034,0.08690963,0.24288307,0.2497608
1598241349324,1114665149099834,0.22313258,0.23127665,0.24670649
1598241349345,1114665169097667,0.42044204,0.09749715,0.3041278
1598241349364,1114665189095433,0.42655072,-0.24641998,0.26503244
1598241349386,1114665209093266,0.00871888,-0.4693858,0.14835718
1598241349406,1114665229091099,-0.64979386,-0.29467833,0.21371976
1598241349425,1114665249088932,-1.0346389,0.022360722,0.4556224
1598241349443,1114665269086698,-0.88192266,0.2581547,0.6346059
1598241349464,1114665289084531,-0.4237737,0.11215791,0.60956043
1598241349482,1114665309082331,0.020936184,-0.17861393,0.42874432
1598241349504,1114665329079964,0.27627787,-0.36492786,0.2589238
1598241349526,1114665349077530,0.30254507,-0.26169163,0.2833584
1598241349543,1114665369075096,0.20236316,-0.078432046,0.44707027
1598241349565,1114665389072596,0.11867462,0.0046456303,0.50571334
1598241349584,1114665409070029,0.08507703,0.14514464,0.3823186
1598241349603,1114665429067529,0.008108014,0.26853943,0.26197812
1598241349623,1114665449065029,-0.11039984,0.18424,0.230824
1598241349644,1114665469062462,-0.10001513,-0.042390995,0.119646505
1598241349663,1114665489059895,0.061864156,-0.22565058,-0.09721065
1598241349684,1114665509057395,0.1736525,-0.17372702,-0.25847906
1598241349705,1114665529054928,0.15715913,-0.046056185,-0.28841147
1598241349724,1114665549052361,0.10523559,-0.014291192,-0.26275513
1598241349745,1114665569049861,0.12539414,0.07611687,-0.22182716
1598241349765,1114665589047361,0.18831326,0.13292734,-0.13569516
1598241349785,1114665609044827,0.11134424,0.011976013,-0.08438248
1598241349804,1114665629042293,-0.11895196,-0.06377128,-0.14241467
1598241349827,1114665649039826,-0.3083202,-0.047888782,-0.13997123
1598241349843,1114665669037359,-0.28938335,-0.16273144,-0.08988027
1598241349863,1114665689034792,-0.21974473,-0.29651093,-0.2071664
1598241349884,1114665709032292,-0.39200872,-0.30567393,-0.31895474
1598241349904,1114665729029825,-0.553888,-0.3178912,-0.30001792
1598241349925,1114665749027358,-0.38406748,-0.23298095,-0.26092255
1598241349944,1114665769024791,0.0062754187,-0.15234675,-0.25542474
1598241349965,1114665789022291,0.33797526,-0.14929241,-0.29390928
1598241349984,1114665809019824,0.46014827,-0.07354512,-0.3708783
1598241350007,1114665829017390,0.40578127,-0.008793405,-0.42829964
1598241350025,1114665849014956,0.3159841,0.12254263,-0.4337974
1598241350044,1114665869012589,0.2774996,0.25021344,-0.32567427
1598241350066,1114665889010222,0.21274787,0.3693322,-0.19739255
1598241350085,1114665909007788,0.10951164,0.3693322,-0.13874948
1598241350104,1114665929005421,0.07102714,0.2514352,-0.14424726
1598241350126,1114665949003054,0.16326779,0.12009916,-0.18334265
1598241350145,1114665969000620,0.28360826,0.09016676,-0.16440582
1598241350164,1114665988998186,0.2787213,0.1475881,-0.045287106
1598241350186,1114666008995819,0.18831326,0.15491849,0.08360546
1598241350204,1114666028993452,0.15349394,0.099940605,0.17890044
1598241350225,1114666048991018,0.15105048,0.12376435,0.24731736
1598241350244,1114666068988651,0.1015704,0.20684202,0.37376645
1598241350263,1114666088986317,0.03559695,3.6957348E-4,0.41774875
