timeMillis,timeNanos,x,y,z
1598241343888,1114659689790832,-30.779999,-34.14,-50.879997
1598241343888,1114659709779832,-29.939999,-33.6,-51.18
1598241343905,1114659729773332,-29.099998,-33.3,-50.94
1598241343929,1114659749767665,-28.68,-33.3,-50.82
1598241343947,1114659769762915,-28.5,-33.78,-51.0
1598241343965,1114659789758715,-28.199999,-33.48,-51.059998
1598241343986,1114659809754881,-28.26,-33.48,-51.18
1598241344007,1114659829751166,-28.14,-32.88,-51.239998
1598241344025,1114659849747666,-27.96,-32.46,-51.42
1598241344045,1114659869744332,-28.199999,-32.7,-51.0
1598241344067,1114659889741132,-28.32,-32.64,-51.0
1598241344086,1114659909737859,-28.26,-32.7,-51.42
1598241344106,1114659929734692,-28.56,-32.399998,-51.36
1598241344129,1114659949731615,-28.439999,-32.16,-51.36
1598241344148,1114659969728472,-28.619999,-31.98,-51.239998
1598241344168,1114659989725405,-29.46,-31.8,-50.64
1598241344190,1114660009722405,-29.699999,-31.619999,-50.399998
1598241344209,1114660029719463,-30.3,-31.98,-50.34
1598241344228,1114660049716463,-30.539999,-32.64,-49.559998
1598241344250,1114660069713515,-29.88,-33.18,-49.739998
1598241344268,1114660089710615,-30.359999,-34.32,-48.899998
1598241344297,1114660109707662,-30.599998,-34.739998,-48.36
1598241344312,1114660129704752,-31.26,-34.92,-48.36
1598241344326,1114660149701882,-32.46,-35.16,-48.059998
1598241344348,1114660169699048,-33.18,-34.92,-48.42
1598241344369,1114660189696168,-33.3,-34.079998,-48.48
1598241344388,1114660209693321,-33.54,-32.88,-49.14
1598241344430,1114660229690543,-34.02,-32.579998,-48.66
1598241344478,1114660249687150,-34.559998,-31.679998,-48.78
1598241344478,1114660269684356,-35.76,-32.219997,-48.3
1598241344478,1114660289680689,-37.079998,-32.16,-47.28
1598241344486,1114660309677322,-37.38,-32.04,-47.34
1598241344505,1114660329673888,-37.26,-31.98,-47.76
1598241344525,1114660349670521,-37.38,-31.98,-47.34
1598241344547,1114660369667154,-37.32,-32.64,-47.16
1598241344566,1114660389663787,-36.059998,-33.18,-47.46
1598241344585,1114660409660353,-35.34,-33.96,-47.1
1598241344607,1114660429656986,-35.46,-34.5,-46.62
1598241344625,1114660449653652,-35.16,-34.62,-47.219997
1598241344645,1114660469650318,-35.16,-34.14,-47.46
1598241344673,1114660489646984,-36.0,-33.66,-47.879997
1598241344686,1114660509643717,-36.3,-33.239998,-48.6
1598241344705,1114660529640450,-36.0,-32.579998,-48.78
1598241344727,1114660549637116,-36.6,-33.42,-48.899998
1598241344745,1114660569633849,-36.6,-34.44,-48.78
1598241344765,1114660589630582,-35.579998,-35.04,-49.5
1598241344957,1114660609627248,-34.2,-35.219997,-50.28
1598241344957,1114660629623914,-33.18,-35.46,-49.62
1598241344957,1114660649620647,-33.54,-36.0,-49.5
1598241344957,1114660669617380,-33.899998,-36.239998,-49.92
1598241344957,1114660689614046,-33.78,-36.059998,-49.62
1598241344957,1114660709610779,-32.94,-36.84,-49.26
1598241344957,1114660729607512,-32.94,-37.92,-49.079998
1598241344957,1114660749604178,-34.079998,-38.28,-48.239998
1598241344957,1114660769600844,-34.559998,-38.7,-47.399998
1598241344978,1114660789597577,-34.98,-40.02,-46.32
1598241344983,1114660809594310,-35.219997,-41.7,-45.12
1598241345003,1114660829590943,-34.32,-41.64,-45.0
1598241345025,1114660849588209,-34.079998,-41.1,-45.239998
1598241345043,1114660869584942,-34.44,-41.1,-46.379997
