timeMillis,timeNanos,x,y,z
1598246748252,1120063871937255,0.30167863,9.284998,2.9641123
1598246748257,1120063904604055,0.30167863,9.284998,2.9641123
1598246748279,1120063937270521,0.30167863,9.284998,2.9641123
1598246748298,1120064121591807,0.2849187,9.227535,2.7366562
1598246748317,1120064154258473,0.2370332,9.208381,2.762993
1598246748339,1120064186925139,0.1987248,9.172467,2.7462332
1598246748358,1120064219591805,0.13886794,9.126976,2.944958
1598246748380,1120064252257771,0.12929083,9.07909,2.9090438
1598246748399,1120064284924737,0.019154198,8.813326,3.347196
1598246748418,1120064317591403,-0.05027977,8.861211,3.3208592
1598246748439,1120064350258069,0.07901107,9.026416,3.1436827
1598246748460,1120064382924735,0.08858817,9.047964,3.2394538
1598246748478,1120064415591401,0.021548472,8.851634,3.4381785
1598246748498,1120064448258067,0.083799616,8.873182,3.5602865
1598246748521,1120064480924733,0.10055954,8.980925,3.4549387
1598246748539,1120064513591399,0.10774237,9.055147,3.3160706
1598246748558,1120064533591399,0.21069619,9.122187,3.4286015
1598246748581,1120064553591399,0.30886146,9.038387,3.6464806
1598246748601,1120064573591399,0.28731298,9.081485,3.6129606
1598246748618,1120064593591399,0.22745611,9.103033,3.4908526
1598246748640,1120064613591399,0.31365,9.215564,3.5363438
1598246748660,1120064633591399,0.27055305,9.229929,3.6225379
1598246748679,1120064653591399,0.27055305,9.203592,3.624932
1598246748702,1120064673591399,0.35674694,9.136553,3.6919718
1598246748722,1120064693591399,0.28252444,9.086273,3.8188684
1598246748740,1120064713591399,0.25858167,9.035994,3.869148
1598246748763,1120064733591532,0.3232271,9.134158,3.641692
1598246748782,1120064753591532,0.37350687,9.251478,3.3591676
1598246748801,1120064773591532,0.5123748,9.27542,3.2610023
1598246748833,1120064793591532,0.5770202,9.330489,3.232271
1598246748838,1120064813592198,0.52913475,9.325701,3.3855045
1598246748858,1120064833591364,0.4836435,9.294575,3.5387383
1598246748878,1120064853591164,0.4956149,9.289786,3.4740927
1598246748897,1120064873590897,0.50758624,9.282603,3.2346652
1598246748917,1120064893590530,0.5147691,9.268238,2.8467927
1598246748942,1120064913590130,0.50758624,9.29218,2.8874955
1598246748959,1120064933590163,0.45251793,9.304152,3.0790374
1598246748981,1120064953590496,0.43336374,9.268238,3.2490308
1598246749004,1120064973590096,0.6464542,9.067119,2.5235655
1598246749020,1120064993589962,0.52913475,9.124581,2.4541316
1598246749040,1120065013589795,0.51716334,9.1628895,2.3416007
1598246749063,1120065033589561,0.7039168,9.189227,2.4708917
1598246749081,1120065053589261,0.5411061,9.086273,2.7055306
1598246749100,1120065073588894,0.35674694,8.913885,3.0359404
1598246749122,1120065093588394,0.30646718,8.913885,3.15326
1598246749140,1120065113587827,0.37590113,8.947405,3.047912
1598246749160,1120065133587193,0.4285752,8.940222,2.9689007
1598246749182,1120065153586493,0.47885495,9.014444,2.9593236
1598246749198,1120065173584959,0.49082634,9.2490835,2.7486274
1598246749222,1120065193584059,0.37590113,9.167678,2.7558103
1598246749240,1120065213583092,0.42618093,9.342461,2.700742
1598246749262,1120065233582425,0.58420306,9.440625,2.7079248
1598246749279,1120065253580891,0.679974,9.569917,2.7486274
1598246749301,1120065273579657,0.79250497,9.653716,2.6839821
1598246749318,1120065293577657,0.70870537,9.929058,2.4804688
1598246749340,1120065313609557,0.30886146,10.079897,2.5044115
1598246749658,1120065333641257,0.3615355,10.07032,3.3998702
1598246749658,1120065353673023,0.57223165,10.281016,3.2179053
1598246749658,1120065373704689,0.409421,10.975356,2.020768
1598246749658,1120065393736289,0.016759925,11.152532,1.8340145
1598246749658,1120065413766822,-0.4166038,10.788602,2.2937152
1598246749659,1120065433798988,-1.010384,10.1206,3.1939626
1598246749659,1120065453830721,-1.4844503,9.792584,3.9409764
1598246749659,1120065473862254,-1.5514901,9.447808,4.4461684
1598246749659,1120065493893820,-1.1899546,9.316123,4.767001
1598246749659,1120065513925286,-0.54828894,8.834874,4.9872746
1598246749659,1120065533955519,-0.2753416,8.444607,4.6999617
1598246749659,1120065553985819,-0.17478207,8.365596,3.703943
1598246749659,1120065574016185,-0.19393626,8.461368,2.4684973
1598246749659,1120065594046351,-0.21309046,8.526012,1.7933118
1598246749673,1120065614076284,-0.17717634,8.504464,1.7837347
1598246749673,1120065634106184,-0.047885496,8.114198,2.6337023
1598246749676,1120065654136050,-0.117319465,7.877164,3.459727
