timeMillis,timeNanos,x,y,z
1598246852883,1120168706929234,-33.36,-53.16,-28.5
1598246852903,1120168726929234,-33.0,-52.98,-28.8
1598246852926,1120168746929234,-32.46,-52.5,-29.16
1598246852948,1120168766929234,-32.64,-52.26,-29.46
1598246852963,1120168786929234,-32.28,-52.44,-29.4
1598246852985,1120168806929234,-31.98,-52.079998,-29.039999
1598246853004,1120168826929234,-31.92,-51.899998,-28.439999
1598246853024,1120168846929234,-32.04,-51.899998,-27.779999
1598246853045,1120168866929234,-32.579998,-51.66,-27.66
1598246853063,1120168886929234,-32.94,-51.48,-27.539999
1598246853084,1120168906929234,-33.18,-51.36,-28.08
1598246853108,1120168926929234,-32.88,-51.48,-28.74
1598246853125,1120168946929234,-32.34,-51.539997,-29.519999
1598246853144,1120168966929234,-31.199999,-51.96,-31.08
1598246853166,1120168986929876,-30.599998,-52.14,-32.34
1598246853185,1120169006929876,-30.06,-51.84,-32.7
1598246853206,1120169026929876,-29.4,-51.899998,-32.94
1598246853228,1120169046929876,-29.4,-51.78,-33.0
1598246853246,1120169066929876,-28.92,-52.199997,-32.16
1598246853267,1120169086929876,-28.68,-53.16,-32.219997
1598246853286,1120169106929276,-28.74,-53.82,-32.16
1598246853306,1120169126928895,-29.16,-53.76,-31.439999
1598246853324,1120169146928485,-29.58,-53.76,-31.98
1598246853346,1120169166928658,-29.46,-53.1,-31.619999
1598246853364,1120169186928741,-29.76,-52.92,-31.5
1598246853385,1120169206928701,-29.279999,-53.16,-31.8
1598246853408,1120169226928662,-29.4,-52.92,-31.679998
1598246853425,1120169246928587,-30.0,-53.039997,-32.16
1598246853446,1120169266928515,-30.599998,-52.559998,-32.28
1598246853469,1120169286928308,-31.019999,-52.379997,-31.98
1598246853488,1120169306928041,-31.32,-52.68,-31.859999
1598246853506,1120169326927707,-31.26,-52.44,-31.32
1598246853528,1120169346927240,-31.199999,-52.379997,-30.96
1598246853546,1120169366926706,-31.679998,-52.32,-30.66
1598246853567,1120169386926106,-31.8,-52.14,-30.359999
1598246853588,1120169406924739,-31.74,-52.14,-30.42
1598246853606,1120169426924239,-31.74,-52.26,-30.06
1598246853628,1120169446923405,-32.04,-52.62,-29.699999
1598246853648,1120169466922471,-32.1,-52.739998,-28.98
1598246853664,1120169486921104,-32.579998,-53.28,-28.38
1598246853684,1120169506919270,-33.6,-53.64,-28.08
1598246853705,1120169526918070,-34.32,-54.12,-27.66
