timeMillis,timeNanos,x,y,z
1598696411746,353967607141144,0.062336966,-0.1991384,-0.10533516
1598696411767,353967627141144,-0.013410325,-0.1007891,-0.0747919
1598696411785,353967647141144,-0.03723407,-0.08551747,-0.04974642
1598696411805,353967667141144,-0.059836082,-0.0726893,-0.07357017
1598696411826,353967687141144,-0.058003485,-0.039702576,-0.1028917
1598696411848,353967707142944,0.043400142,-0.053141613,-0.0747919
1598696411867,353967727142944,0.20222512,-0.08551747,0.007674911
1598696411888,353967747142944,0.3005744,-0.14171708,0.06876144
1598696411908,353967767142944,0.28347018,-0.13988447,0.07975701
1598696411924,353967787142944,0.2113881,0.01099924,0.08647653
1598696411956,353967807142944,0.20039251,0.13928095,0.1255719
1598696411965,353967827142944,0.21688588,0.07514009,0.13412403
1598696411988,353967847142944,0.14724724,0.009166644,0.10052643
1598696412007,353967867142944,0.0617261,0.04032077,0.10113729
1598696412027,353967887142944,0.045843605,0.04826202,0.12984796
1598696412045,353967907141544,0.074554265,0.018329622,0.13290228
1598696412068,353967927141106,0.090436764,0.0024471262,0.10785681
1598696412086,353967947140635,0.07516514,0.038488176,0.084033065
1598696412104,353967967140190,0.08799331,-0.018933157,0.04615942
1598696412127,353967987140453,0.17229271,-0.14660399,-0.0063749896
1598696412146,353968007140503,0.16312973,-0.15393437,-0.051579017
1598696412170,353968027140455,-0.008523403,0.0018362609,-0.0747919
1598696412190,353968047140364,-0.16551578,0.08613566,-0.06501805
1598696412208,353968067140190,-0.17101356,0.03299039,-0.05646594
1598696412226,353968087140023,-0.10809444,0.029325197,-0.058298536
1598696412248,353968107139783,-0.150855,0.12523104,-0.07906795
1598696412266,353968127139475,-0.22354798,0.107515946,-0.10900035
1598696412287,353968147139030,-0.21866104,-0.022598349,-0.12305026
1598696412310,353968167138530,-0.13252905,-0.0568068,-0.11449814
1598696412328,353968187137978,-0.039677527,0.031768657,-0.08273315
1598696412346,353968207137311,-0.03234715,0.12156585,-0.081511416
1598696412367,353968227136077,-0.060446948,0.1417244,-0.10716776
1598696412386,353968247134843,-0.06472301,0.15455256,-0.11022209
1598696412406,353968267133976,-0.0787729,0.2241912,-0.10533516
1598696412428,353968287132976,-0.09587713,0.2926081,-0.094950445
1598696412446,353968307131309,-0.066555604,0.24434976,-0.08273315
1598696412465,353968327129642,0.039734952,0.12400931,-0.07112671
1598696412486,353968347127742,0.13991685,0.028714333,-0.06929411
1598696412508,353968367125975,0.17107098,0.07391836,-0.07418103
1598696412526,353968387123875,0.071499944,0.07941615,-0.10900035
1598696412548,353968407155741,-0.110537894,-0.047643825,-0.1957432
1598696412567,353968427187474,-0.17590049,-0.14416054,-0.23789291
1598696412588,353968447219140,-0.128253,-0.18753196,-0.20979312
1598696412610,353968467250073,-0.15329847,-0.16737342,-0.13954361
1598696412626,353968487281639,-0.27486065,-0.065358914,-0.04608123
1598696412674,353968507313772,-0.29807353,0.05437067,0.07487009
1598696412674,353968527345372,-0.0946554,0.12645277,0.19093448
1598696412685,353968547376938,0.24559654,0.07941615,0.27401215
1598696412705,353968567408371,0.4288561,-0.063526325,0.27340132
1598696412726,353968587438871,0.30240703,-0.1624865,0.2117039
1598696412745,353968607469171,0.05378485,-0.1007891,0.19459967
1598696412766,353968627500271,-0.10748357,0.043985963,0.22758639
1598696412788,353968647530737,-0.14352463,0.104461625,0.23002987
1598696412956,353968667560937,-0.1545202,0.030546926,0.20681699
1598696412956,353968687591070,-0.1545202,0.030546926,0.20681699
1598696412956,353968707620936,-0.1545202,0.030546926,0.20681699
1598696412956,353968727650769,0.114871375,0.051927213,0.3998504
1598696412956,353968747680702,0.14846896,-0.08063055,0.36747456
1598696412956,353968767710635,0.1423603,-0.17226033,0.2874512
1598696412956,353968787740501,0.08677158,-0.17226033,0.19887573
1598696412956,353968807770467,-0.009745133,-0.0726893,0.143287
1598696412964,353968827800900,-0.054338295,0.031157793,0.12984796
1598696412983,353968847831200,0.01163515,0.083081335,0.09808297
1598696413004,353968867861100,0.11548224,0.024438275,0.0693723
1598696413026,353968887891066,0.16679493,-0.007937583,0.055933267
1598696413045,353968907921332,0.13319732,0.014053566,0.06570711
1598696413063,353968927951765,0.106319256,0.03909904,0.06265278
1598696413094,353968947982365,0.08554985,0.0055014524,0.03210952
1598696413105,353968968012765,0.029961107,-0.03786998,-0.0069858553
1598696413125,353968988043431,-0.0030256154,-0.06658065,-0.048524693
1598696413150,353969008039997,-0.0127994595,-0.076965354,-0.07357017
1598696413165,353969028036630,-0.11664655,-0.14232793,-0.08334401
1598696413186,353969048033263,-0.39642283,-0.18081245,-0.002098933
1598696413206,353969068030496,-0.48744175,-0.0018289305,0.038829036
1598696413225,353969088027029,-0.291354,0.031157793,0.021113947
1598696413247,353969107946446,0.12586695,-0.017100561,-0.076013625
1598696413264,353969127943112,0.59134626,-0.089793526,-0.1749738
1598696413286,353969147939778,0.773995,-0.21502091,-0.27698827
1598696413305,353969167936511,0.57851815,-0.27732918,-0.37411588
1598696413327,353969187933677,0.1796231,-0.2797726,-0.43275893
1598696413346,353969207931043,-0.24676085,-0.28954646,-0.45902613
1598696413365,353969227927609,-0.47522447,-0.13438669,-0.41626558
1598696413386,353969247924775,-0.4868309,0.09835297,-0.34540522
1598696413406,353969267922208,-0.39397937,0.20830871,-0.27026877
1598696413426,353969287919574,-0.27058458,0.117900655,-0.21712351
1598696413447,353969307917207,-0.07144252,-0.035426516,-0.17008688
1598696413466,353969327914873,0.23643357,-0.0427569,-0.15053919
1598696413486,353969347912439,0.4642863,-0.058639396,-0.18230419
1598696413507,353969367910039,0.46734065,-0.09529132,-0.23361687
1598696413526,353969387907672,0.2883571,-0.08185228,-0.28981647
1598696413546,353969407905272,0.097156286,0.08430307,-0.28309697
1598696413567,353969427902838,0.055006586,0.23213246,-0.24033637
1598696413586,353969447900471,-5.8215455E-4,0.2541236,-0.18291503
1598696413606,353969467898071,-0.09099021,0.16554815,-0.07906795
1598696413627,353969487895671,-0.1581854,0.110570274,0.013783564
1598696413767,353969507893237,-0.14413549,0.060479324,0.040661633
1598696413767,353969527890870,-0.20949806,0.054981537,0.010118372
1598696413767,353969547888503,-0.2742498,0.14477873,-0.011261911
1598696413767,353969567886069,-0.21438499,0.037266444,-0.062574595
