bssid,frequency,legit,rss,ssid,timestamp,wifiNo
18:31:bf:46:ff:d8,2432,true,-38,KEAI,353968634421,1
18:31:bf:46:ff:dc,5805,true,-41,KEAI-5G,353968634508,1
00:24:6c:7d:f6:90,5180,true,-43,Welcome_KAIST,353968634212,1
00:24:6c:7d:f6:91,5180,true,-44,eduroam,353968634262,1
2c:56:dc:84:dd:88,2462,true,-44,ISILAB_2,353968634579,1
9c:d6:43:c8:11:80,2457,true,-46,,353968634567,1
2c:56:dc:84:dd:8c,5805,true,-53,ISILAB-5G,353968634540,1
00:08:9f:bf:5e:44,2462,true,-56,MoCA,353968634586,1
00:26:66:69:c8:e8,2462,true,-57,naorobot,353968634624,1
72:5d:cc:48:5b:28,2447,true,-58,hcil_vr4t,353968634591,1
9c:d6:43:c8:11:82,5745,true,-58,JoyK,353968634401,1
48:f8:b3:dc:ef:4c,2427,true,-59,KIXLAB_WIFI,353968634365,1
10:6f:3f:e7:e1:a0,2462,true,-59,SmartIoT,353968634596,1
6e:7e:92:e0:9f:70,2432,true,-60,HCIL guest,353968634478,1
00:24:6c:7a:88:f1,5200,true,-60,eduroam,353968634318,1
28:6d:97:58:d4:3e,2412,true,-61,[air purifier] Samsung,353968634268,1
6c:70:9f:e0:92:7e,2432,true,-61,HCIL,353968634484,1
00:24:6c:7a:88:f0,5200,true,-61,Welcome_KAIST,353968634311,1
90:9f:33:f5:98:04,2422,true,-61,MLILAB824_1,353968634380,1
92:9f:33:f0:98:04,2422,true,-61,mliguest,353968634386,1
00:24:6c:7e:08:00,2462,true,-61,Welcome_KAIST,353968634637,1
60:38:e0:bb:ee:01,2437,true,-62,Lapras2.4G,353968634489,1
62:38:e0:bb:ee:01,2437,true,-62,Lapras2.4G-guest,353968634501,1
9c:30:5b:e7:70:3a,2462,true,-62,HP-Print-3a-LaserJet 500,353968634604,1
00:08:9f:94:77:70,2437,true,-62,ISILAB_6F,353968634494,1
00:24:6c:7e:08:01,2462,true,-63,eduroam,353968634572,1
00:24:6c:7d:f6:f1,5180,true,-67,eduroam,353968634253,1
8a:36:6c:c9:4e:70,2472,true,-67,MLILAB824_2,353968634643,1
70:5d:cc:78:5b:28,5745,true,-68,hcil_vr4t5G,353968634408,1
6e:7f:92:e0:9f:70,5785,true,-68,HCIL guest,353968634456,1
00:24:6c:7a:8b:21,2412,true,-68,eduroam,353968634282,1
00:24:6c:7a:8b:31,5765,true,-68,eduroam,353968634429,1
00:24:6c:7a:8b:30,5765,true,-68,Welcome_KAIST,353968634437,1
00:24:6c:7d:f7:30,5785,true,-68,Welcome_KAIST,353968634444,1
60:38:e0:bb:ee:02,5220,true,-69,Lapras5G,353968634352,1
62:38:e0:bb:ee:02,5220,true,-69,Lapras5G-guest,353968634360,1
00:24:6c:7d:f7:31,5785,true,-69,eduroam,353968634450,1
10:6f:3f:e7:f2:84,2462,true,-70,DioOpenWrt,353968634619,1
70:8b:cd:2f:82:64,5745,true,-70,LIT_5G,353968634392,1
00:24:6c:7a:8b:20,2412,true,-71,Welcome_KAIST,353968634301,1
88:36:6c:e9:4e:70,5785,true,-72,MLILAB824_25G,353968634472,1
00:24:6c:7d:f6:11,5805,true,-73,eduroam,353968634523,1
00:24:6c:7d:f6:10,5805,true,-73,Welcome_KAIST,353968634515,1
90:9f:33:12:29:c2,2447,true,-73,Sungpil_RESL,353968634560,1
00:24:6c:7d:f6:c0,2412,true,-73,Welcome_KAIST,353968634336,1
88:36:6c:b3:ef:2c,2417,true,-73,SPIRAL,353968634343,1
48:f8:b3:dc:ef:4e,5805,true,-73,KIXLAB_WIFI_5GHz,353968634531,1
6c:70:9f:e0:92:7f,5785,true,-74,HCIL,353968634464,1
48:f8:b3:dc:ef:4d,5180,true,-75,KIXLAB_WIFI_5GHz,353968634242,1
00:24:6c:7d:f4:21,2412,true,-76,eduroam,353968634330,1
