timeMillis,timeNanos,x,y,z
1598851797226,509353083872204,-0.003604716,0.05366879,-0.014627169
1598851797242,509353103872204,0.011056051,0.100705415,-0.00790765
1598851797261,509353123872204,0.06786652,0.06527523,-0.028677069
1598851797287,509353143872204,0.107572764,-0.04284792,-0.06349639
1598851797304,509353163872204,0.092911996,-0.09110628,-0.10259177
1598851797321,509353183872204,0.029992873,0.01090822,-0.1477958
1598851797344,509353203872204,-0.10623008,0.17584184,-0.1844477
1598851797362,509353223872204,-0.24000956,0.26502818,-0.16490002
1598851797382,509353243872204,-0.27482888,0.19050261,-0.12580465
1598851797405,509353263872204,-0.23023571,0.05061446,-0.09709398
1598851797423,509353283872204,-0.16976005,-0.023911098,-0.037229184
1598851797443,509353303872204,-0.108673535,-0.02513283,0.028744265
1598851797467,509353323872204,-0.07324336,0.0054104333,0.054400604
1598851797483,509353343872204,-0.102564886,0.02251466,0.042794168
1598851797502,509353363889989,-0.16059707,0.023125526,0.029965993
1598851797523,509353383889122,-0.16670573,0.02129293,0.048902817
1598851797540,509353403888622,-0.109895274,0.023125526,0.085554734
1598851797560,509353423888092,-0.045754418,0.04939273,0.13014789
1598851797582,509353443887592,-0.034758843,0.05977744,0.1686324
1598851797603,509353463887802,-0.06469124,-0.011082928,0.16802154
1598851797624,509353483887802,-0.10561921,-0.08499762,0.13992174
1598851797647,509353503887754,-0.12211257,-0.0801107,0.12281751
1598851797666,509353523887708,-0.0988997,-0.017802447,0.12159578
1598851797690,509353543887621,-0.05186307,0.011519086,0.10876761
1598851797706,509353563887454,-0.013989424,-0.0025308146,0.07455916
1598851797723,509353583887214,0.011666915,-0.019024177,0.048902817
1598851797743,509353603886906,0.05626008,-0.010472063,0.03668551
1598851797764,509353623886461,0.09596632,0.0011343767,0.03729638
1598851797782,509353643885961,0.114903145,0.009075626,0.016526958
1598851797802,509353663885409,0.13567255,0.017016873,-0.028066205
1598851797823,509353683884809,0.14605726,-0.024521964,-0.072659366
1598851797844,509353703884075,0.13872689,-0.029408885,-0.101980895
1598851797861,509353723883275,0.11612487,0.043894943,-0.13069156
1598851797882,509353743881975,0.07764036,0.12758347,-0.14168714
1598851797899,509353763880275,0.053816617,0.09948368,-0.12397204
1598851797920,509353783878575,0.07641863,0.0054104333,-0.14657407
1598851797942,509353803877075,0.10818362,0.012129951,-0.17284127
1598851797961,509353823875875,0.13383996,0.10192714,-0.16551088
1598851797982,509353843874541,0.17049189,0.18378308,-0.16367829
1598851798004,509353863873141,0.19187216,0.23753923,-0.16490002
1598851798022,509353883871241,0.2615108,0.22593279,-0.13680021
1598851798040,509353903868974,0.36780137,0.05794484,-0.1141982
1598851798063,509353923867340,0.24685004,-0.16868615,-0.1600131
1598851798082,509353943865640,-0.13310815,-0.11615175,-0.17650646
1598851798105,509353963855573,-0.4922969,0.36704266,-0.039061777
1598851798183,509353983854106,-0.33102846,0.3016801,0.056844067
1598851798183,509354003851706,-0.053695668,0.096429355,0.2126147
1598851798183,509354023849239,0.27800414,-0.047123976,0.3250139
1598851798183,509354043846739,0.4722593,-0.02513283,0.29385978
1598851798198,509354063843672,0.41117278,0.12819435,0.18940182
1598851798400,509354083840672,0.21264158,0.32672554,0.06906137
1598851798400,509354103837638,0.21264158,0.32672554,0.06906137
1598851798400,509354123834271,0.21264158,0.32672554,0.06906137
1598851798400,509354143830871,-0.36096087,0.17156579,-0.035396587
1598851798400,509354163827471,-0.45931017,0.36948612,-5.7726767E-4
1598851798401,509354183824071,-0.44037336,0.5167047,0.07272656
1598851798401,509354203820604,-0.33041763,0.40430546,0.1900127
1598851798401,509354223817204,-0.111117,0.113533586,0.32928997
1598851798401,509354243813804,0.14605726,-0.09782579,0.3903765
1598851798401,509354263810337,0.2896106,-0.14608416,0.34761593
1598851798419,509354283806870,0.30976915,-0.00314168,0.31340748
1598851798440,509354303803470,0.28777802,0.12391829,0.26942518
1598851798459,509354323800103,0.33053857,0.14652032,0.17413019
1598851798480,509354343797103,0.3916251,-0.01596985,0.098382905
1598851798499,509354363794436,0.37696433,-0.15280366,0.006753115
1598851798521,509354383791702,0.2492935,-0.06117388,-0.06777245
1598851798552,509354403788635,0.07092085,0.11475531,-0.074491955
1598851798561,509354423785235,-0.04392182,0.11597704,-0.09526138
1598851798582,509354443781868,-0.09828883,-0.0941606,-0.1355785
1598851798602,509354463778501,-0.089736715,-0.28841573,-0.084265806
1598851798621,509354483775501,-0.036591437,-0.24198999,-0.05311168
1598851798642,509354503772801,-0.06957816,-0.13386683,-0.07327023
