timeMillis,timeNanos,value
1598851796972,509352815830759,1004.71875
1598851797061,509352915872204,1004.7178
1598851797163,509353015869704,1004.7085
1598851797262,509353115868037,1004.71484
1598851797362,509353215866787,1004.71484
1598851797467,509353315865787,1004.719
1598851797560,509353415863453,1004.7229
1598851797666,509353515862595,1004.7261
1598851797764,509353615860470,1004.7268
1598851797861,509353715857247,1004.7212
1598851797961,509353815853147,1004.72363
1598851798063,509353915848237,1004.7219
1598851798183,509354015840903,1004.7202
1598851798400,509354115832672,1004.72363
1598851798401,509354215824172,1004.7136
1598851798460,509354315815505,1004.7134
1598851798562,509354415806567,1004.72095
1598851798662,509354515797390,1004.71484
1598851798763,509354615834736,1004.7217
1598851798860,509354715825683,1004.7263
1598851798962,509354815816483,1004.72876
1598851799061,509354915807054,1004.72876
1598851799253,509355015797508,1004.7273
1598851799260,509355115787812,1004.7156
1598851799360,509355215778020,1004.7156
1598851799460,509355315768140,1004.7141
1598851799563,509355415758101,1004.7158
1598851799661,509355515748026,1004.7158
1598851799762,509355615737811,1004.7117
1598851799862,509355715727673,1004.6997
1598851799961,509355815717473,1004.6997
1598851800060,509355915706973,1004.7075
1598851800238,509356015696073,1004.7007
1598851800258,509356115684739,1004.7007
1598851800359,509356215673005,1004.6985
1598851800460,509356315660871,1004.7046
1598851800561,509356415648571,1004.7046
1598851800660,509356515635637,1004.7119
1598851800762,509356615622603,1004.7197
1598851800861,509356715609736,1004.7197
1598851800961,509356815597036,1004.7195
1598851801064,509356915584302,1004.7146
1598851801283,509357015572302,1004.7146
1598851801283,509357115560468,1004.7229
1598851801361,509357215548668,1004.7302
1598851801458,509357315536834,1004.7339
1598851801559,509357415524967,1004.72437
1598851801667,509357515513133,1004.7178
1598851801760,509357615501066,1004.7234
1598851801860,509357715488932,1004.7212
1598851801962,509357815476865,1004.7207
1598851802060,509357915464865,1004.72
1598851802220,509358015452865,1004.7278
1598851802263,509358115440831,1004.72656
1598851802359,509358215428831,1004.7346
1598851802460,509358315416831,1004.73145
1598851802560,509358415404831,1004.7229
1598851802660,509358515392797,1004.7258
1598851802759,509358615380797,1004.7251
1598851802862,509358715368663,1004.7322
1598851802961,509358815356529,1004.73096
1598851803061,509358915344695,1004.72534
1598851803203,509359015332928,1004.7278
1598851803266,509359115321128,1004.72485
1598851803364,509359215309328,1004.7258
1598851803460,509359315297594,1004.7273
1598851803561,509359415285827,1004.7251
1598851803661,509359515274027,1004.72217
1598851803760,509359615262227,1004.7251
1598851803860,509359715250293,1004.7263
1598851803961,509359815238193,1004.7263
1598851804062,509359915226093,1004.7239
1598851804214,509360015214326,1004.71826
1598851804258,509360115202559,1004.73
1598851804359,509360215190759,1004.7317
1598851804459,509360315178959,1004.7322
1598851804559,509360415167225,1004.72363
1598851804660,509360515155458,1004.7217
1598851804761,509360615143658,1004.7141
1598851804860,509360715131858,1004.71924
1598851804962,509360815120024,1004.719
1598851805060,509360915108124,1004.7146
1598851805220,509361015096224,1004.7112
1598851805260,509361115084457,1004.71826
1598851805358,509361215072657,1004.71826
1598851805459,509361315060857,1004.7217
1598851805562,509361415049057,1004.72266
1598851805660,509361515037290,1004.72266
1598851805759,509361615025490,1004.72095
1598851805861,509361715013690,1004.72046
1598851805960,509361815001890,1004.72046
1598851806059,509361914989823,1004.7217
1598851806230,509362014977689,1004.71924
1598851806258,509362114965789,1004.71924
1598851806358,509362214953989,1004.7124
1598851806460,509362314942122,1004.7146
1598851806559,509362414930288,1004.7146
1598851806660,509362514918454,1004.7168
1598851806761,509362614906654,1004.7151
1598851806860,509362714894820,1004.7151
1598851806960,509362814882986,1004.7036
1598851807062,509362914871152,1004.7141
1598851807197,509363014859018,1004.7141
1598851807273,509363114846884,1004.71924
1598851807360,509363214834884,1004.7207
1598851807458,509363314822884,1004.7207
1598851807559,509363414810817,1004.72437
1598851807660,509363514798783,1004.7239
1598851807760,509363614786783,1004.72485
1598851807860,509363714774783,1004.7217
1598851807977,509363814762749,1004.7197
1598851808060,509363914750715,1004.70874
1598851808258,509364014738715,1004.7075
1598851808261,509364114726581,1004.71265
1598851808358,509364214714481,1004.70703
1598851808458,509364314702714,1004.7097
1598851808559,509364414690947,1004.7058
1598851808659,509364514679147,1004.7112
1598851808760,509364614667347,1004.7012
1598851808860,509364714655580,1004.70435
1598851808959,509364814643813,1004.7046
1598851809058,509364914632046,1004.7092
1598851809204,509365014620246,1004.71387
1598851809258,509365114608246,1004.7229
1598851809358,509365214596146,1004.719
1598851809459,509365314584079,1004.7197
1598851809559,509365414572312,1004.71216
1598851809659,509365514560545,1004.71265
1598851809761,509365614548745,1004.7112
1598851809859,509365714536945,1004.7075
1598851809959,509365814525178,1004.7114
1598851810061,509365914513411,1004.71533
1598851810177,509366014501611,1004.7212
1598851810257,509366114489811,1004.7202
1598851810360,509366214477911,1004.71387
1598851810457,509366314466011,1004.7112
1598851810558,509366414454177,1004.71313
1598851810661,509366514442410,1004.7207
1598851810760,509366614430610,1004.7136
1598851810860,509366714418810,1004.7102
1598851810959,509366814407076,1004.71265
1598851811057,509366914395309,1004.71387
1598851811224,509367014383509,1004.71606
1598851811258,509367114371709,1004.7168
1598851811359,509367214359909,1004.71216
1598851811458,509367314347775,1004.7117
1598851811564,509367414335641,1004.73
1598851811660,509367514323774,1004.73
1598851811759,509367614311974,1004.7256
1598851811866,509367714300140,1004.7156
1598851811958,509367814288306,1004.7156
1598851812059,509367914276439,1004.7246
1598851812218,509368014264639,1004.72534
1598851812257,509368114252805,1004.72534
1598851812357,509368214240971,1004.7129
1598851812459,509368314229104,1004.7136
1598851812559,509368414216970,1004.7136
1598851812659,509368514204836,1004.71704
1598851812761,509368614192836,1004.71655
1598851812860,509368714180836,1004.71655
1598851812959,509368814168802,1004.72314
1598851813060,509368914156768,1004.72095
1598851813217,509369014144768,1004.72095
1598851813257,509369114132768,1004.7163
1598851813359,509369214120734,1004.71875
1598851813458,509369314108700,1004.71875
1598851813559,509369414096633,1004.7285
1598851813660,509369514084499,1004.72266
1598851813760,509369614072565,1004.72266
1598851813859,509369714060798,1004.7156
1598851813960,509369814048964,1004.7283
1598851814059,509369914037164,1004.73145
1598851814248,509370014025364,1004.73145
1598851814271,509370114013664,1004.7307
1598851814357,509370214001864,1004.72
1598851814457,509370313990064,1004.7246
1598851814560,509370413978264,1004.7283
1598851814659,509370513966230,1004.72217
1598851814763,509370613954196,1004.7202
1598851814861,509370713942296,1004.71826
1598851814959,509370813930529,1004.72095
1598851815058,509370913918762,1004.7168
1598851815242,509371013906962,1004.7146
1598851815257,509371113895228,1004.71655
1598851815357,509371213883461,1004.709
1598851815458,509371313871694,1004.7024
1598851815557,509371413859927,1004.7241
1598851815659,509371513848127,1004.72046
1598851815760,509371613836293,1004.7175
1598851815859,509371713824393,1004.72095
1598851815957,509371813812626,1004.7185
1598851816060,509371913800859,1004.7146
1598851816202,509372013789059,1004.71606
1598851816259,509372113777325,1004.72144
1598851816360,509372213765558,1004.7219
1598851816457,509372313753791,1004.7256
1598851816559,509372413742024,1004.7212
1598851816660,509372513730224,1004.7207
1598851816759,509372613718324,1004.7219
1598851816862,509372713706190,1004.7141
1598851816960,509372813694056,1004.71606
1598851817059,509372913682256,1004.71045
1598851817156,509373013670456,1004.7124
1598851817258,509373113658622,1004.7063
1598851817357,509373213646788,1004.7124
1598851817457,509373313634988,1004.71045
1598851817558,509373413623188,1004.7117
1598851817657,509373513611354,1004.7073
1598851817757,509373613599520,1004.7031
1598851817858,509373713587520,1004.70435
1598851817959,509373813575386,1004.70435
1598851818061,509373913563286,1004.709
1598851818230,509374013551286,1004.7073
1598851818259,509374113539286,1004.7073
1598851818356,509374213527252,1004.7029
1598851818597,509374313515218,1004.7002
1598851818597,509374413503184,1004.7002
1598851818657,509374513491184,1004.699
1598851818768,509374613479150,1004.708
1598851818857,509374713467116,1004.708
1598851818957,509374813454982,1004.71606
1598851819060,509374913442848,1004.7175
1598851819206,509375013430948,1004.7175
1598851819257,509375113419181,1004.7134
1598851819357,509375213407381,1004.71045
1598851819458,509375313395581,1004.71045
1598851819559,509375413383781,1004.7175
1598851819660,509375513372014,1004.71655
1598851819758,509375613360214,1004.71655
1598851819859,509375713348414,1004.70654
1598851819961,509375813336647,1004.7151
1598851820058,509375913324547,1004.7151
1598851820244,509376013312447,1004.70996
1598851820259,509376113300580,1004.709
