timeMillis,timeNanos,value
1580794219673,220070630628826,1021.37573
1580794219765,220070730616826,1021.36865
1580794219863,220070830616326,1021.3877
1580794219965,220070930615992,1021.39185
1580794220068,220071030615742,1021.3904
1580794220166,220071130615542,1021.38574
1580794220266,220071230616875,1021.3894
1580794220368,220071330616589,1021.38574
1580794220466,220071430615339,1021.39136
1580794220566,220071530612672,1021.3967
1580794220670,220071630709072,1021.39453
1580794220767,220071730795435,1021.395
1580794220889,220071830871935,1021.39014
1580794220969,220071930943242,1021.3882
1580794221071,220072031766052,1021.39307
1580794221167,220072131826118,1021.3899
1580794221274,220072232194118,1021.3911
1580794221374,220072332598588,1021.39087
1580794221477,220072433091143,1021.3926
1580794221578,220072533557143,1021.3887
1580794221674,220072633999143,1021.38257
1580794221778,220072734562381,1021.3845
1580794221899,220072835190335,1021.3884
1580794221980,220072935790465,1021.38184
1580794222080,220073036406673,1021.3911
1580794222182,220073136997753,1021.38306
1580794222281,220073237565676,1021.38696
1580794222382,220073338112046,1021.38306
1580794222486,220073438674224,1021.38403
1580794222580,220073539216879,1021.38403
1580794222682,220073639741045,1021.39087
1580794222784,220073746190397,1021.3872
1580794222880,220073846713730,1021.3872
1580794222981,220073947236696,1021.39014
1580794223082,220074047759196,1021.386
1580794223182,220074148281296,1021.386
1580794223285,220074248902629,1021.3872
1580794223391,220074349657262,1021.3999
1580794223488,220074450445028,1021.3999
1580794223590,220074551232994,1021.4016
1580794223695,220074652087760,1021.40063
1580794223798,220074753109193,1021.40063
1580794223919,220074854163926,1021.40356
1580794224000,220074955218659,1021.4133
1580794224098,220075056274092,1021.4133
1580794224199,220075157328858,1021.40576
1580794224303,220075258216924,1021.39087
1580794224401,220075359071657,1021.39087
1580794224501,220075459893023,1021.40063
1580794224602,220075560714323,1021.4048
1580794224700,220075661535823,1021.40967
1580794224818,220075762290589,1021.4065
1580794224917,220075862978722,1021.40454
1580794224999,220075963666855,1021.4031
1580794225100,220076064355021,1021.3992
1580794225203,220076165043187,1021.4053
1580794225302,220076265731253,1021.4016
1580794225402,220076366419386,1021.40405
1580794225504,220076467074119,1021.39233
1580794225602,220076567728585,1021.397
1580794225703,220076668383051,1021.3967
1580794225806,220076769137784,1021.39404
1580794225910,220076869925917,1021.38965
1580794226011,220076970713950,1021.3833
1580794226110,220077071635383,1021.38403
1580794226213,220077172723449,1021.3862
1580794226319,220077273878182,1021.38477
1580794226425,220077375032815,1021.3772
1580794226529,220077476320848,1021.37305
1580794226634,220077577775381,1021.3699
1580794226740,220077679296381,1021.3782
1580794226881,220077780784547,1021.3782
1580794226940,220077882239713,1021.37427
1580794227043,220077983694179,1021.3865
1580794227141,220078085148612,1021.3865
1580794227254,220078186603078,1021.38916
1580794227350,220078288057611,1021.39233
1580794227443,220078389545411,1021.39233
1580794227543,220078490999844,1021.385
1580794227646,220078592454310,1021.3823
1580794227745,220078694008643,1021.3823
1580794227890,220078795663009,1021.3789
1580794227959,220078897351042,1021.3777
1580794228051,220078999039008,1021.3777
1580794228149,220079100693674,1021.3701
1580794228252,220079202348274,1021.3733
1580794228351,220079304002974,1021.3733
1580794228452,220079405657674,1021.3706
1580794228551,220079507312340,1021.3701
1580794228649,220079608967006,1021.3672
