timeMillis,timeNanos,x,y,z
1580794387834,220238810624669,-24.119999,3.4199998,-36.54
1580794387857,220238830622669,-23.519999,3.48,-36.36
1580794387876,220238850619669,-23.22,3.6599998,-36.6
1580794387896,220238870617002,-22.8,4.08,-36.059998
1580794387918,220238890614502,-22.8,4.14,-35.94
1580794387935,220238910611702,-22.14,4.02,-36.059998
1580794387956,220238930609035,-21.9,4.2,-35.52
1580794387977,220238950606463,-21.359999,4.2599998,-35.579998
1580794387995,220238970603963,-20.64,4.62,-35.64
1580794388015,220238990601407,-20.58,5.04,-35.399998
1580794388037,220239010599207,-20.16,5.16,-35.52
1580794388056,220239030597207,-20.16,5.16,-35.52
1580794388075,220239050595290,-20.22,5.2799997,-35.34
1580794388098,220239070593443,-20.039999,5.3399997,-35.34
1580794388115,220239090591585,-20.1,6.06,-35.82
1580794388136,220239110589718,-20.039999,6.2999997,-35.52
1580794388160,220239130587718,-19.68,6.48,-35.76
1580794388178,220239150585718,-19.92,6.6,-35.82
1580794388198,220239170583718,-20.279999,6.42,-35.52
1580794388219,220239190581718,-20.46,6.3599997,-36.0
1580794388238,220239210579618,-20.699999,6.2999997,-36.0
1580794388255,220239230577522,-20.52,6.3599997,-36.239998
1580794388277,220239250575431,-20.58,6.06,-36.54
1580794388295,220239270573257,-20.76,6.2999997,-36.42
1580794388315,220239290571090,-21.06,6.12,-36.239998
1580794388338,220239310568930,-21.24,6.12,-35.94
1580794388355,220239330566776,-21.0,6.6,-35.64
1580794388376,220239350564553,-21.0,6.8999996,-35.94
1580794388398,220239370562338,-21.06,7.2,-35.82
1580794388417,220239390560131,-21.3,6.66,-36.12
1580794388437,220239410557864,-21.6,5.8199997,-36.18
1580794388460,220239430555597,-21.6,5.2799997,-36.42
1580794388478,220239450552697,-21.6,4.98,-36.48
1580794388496,220239470550097,-21.539999,5.46,-36.36
1580794388524,220239490547163,-21.539999,5.94,-36.6
1580794388548,220239510544996,-21.18,6.3599997,-36.36
1580794388614,220239530542396,-20.88,6.6,-36.54
1580794388614,220239550540229,-20.58,6.6,-36.66
1580794388614,220239570571329,-20.58,6.6,-36.84
1580794388618,220239590602462,-20.939999,6.72,-37.5
1580794388640,220239610666462,-20.58,6.6,-37.62
1580794388659,220239630764028,-20.82,6.54,-37.44
1580794388679,220239650861561,-20.88,6.24,-37.44
1580794388701,220239670959061,-20.4,6.3599997,-37.8
1580794388719,220239691056494,-20.46,6.6,-37.8
1580794388740,220239711153927,-20.52,7.2,-37.98
1580794388763,220239731251427,-20.88,7.7999997,-38.16
1580794388782,220239751348927,-21.42,7.5,-38.34
1580794388802,220239771446360,-21.119999,7.44,-39.0
1580794388824,220239791543793,-20.88,7.3199997,-39.18
