timeMillis,timeNanos,x,y,z
1580795479935,7586346328156608,0.69912827,1.6664152,9.490906
1580795479935,7586346348156608,0.69912827,1.6664152,9.490906
1580795479935,7586346368156474,0.69912827,1.6664152,9.490906
1580795479935,7586346388156040,0.69912827,1.6664152,9.490906
1580795479935,7586346389156040,0.7110996,1.8819,9.811738
1580795479965,7586346409155606,0.5602603,1.9537282,9.766247
1580795479989,7586346429155839,0.43575802,1.951334,9.852441
1580795479989,7586346449155839,0.5770202,1.9824595,10.091868
1580795480013,7586346469155839,0.7948992,1.9273912,10.522838
1580795480039,7586346489155839,0.58420306,1.8579572,10.405519
1580795480066,7586346509155839,0.8092649,2.2769554,9.615408
1580795480090,7586346529155839,0.7877164,2.7127132,8.492493
1580795480090,7586346549155839,0.45970076,2.9234095,7.82449
1580795480114,7586346569155839,0.22027329,2.997632,7.781393
1580795480135,7586346589155839,0.14365649,2.8156672,8.818114
1580795480158,7586346609155839,-0.028731298,2.5115943,9.517242
1580795480184,7586346629155839,-0.18435916,2.4589202,9.61062
1580795480211,7586346649155839,-0.15083931,2.6767993,9.081485
1580795480211,7586346669155839,0.03351985,2.5834224,9.368797
1580795480243,7586346689155839,0.12210801,2.0399222,10.525232
1580795480264,7586346709156072,0.3328042,1.7262721,11.272245
1580795480285,7586346729156072,0.28731298,1.6520497,10.8149395
1580795480307,7586346749156072,0.10055954,1.8603516,9.794978
1580795480307,7586346769156072,0.12929083,2.1404817,8.973742
1580795480329,7586346789156072,0.102953814,2.4182177,8.308133
1580795480352,7586346809155872,0.028731298,2.6767993,8.023215
1580795480381,7586346829155872,0.16520496,2.918621,8.032792
1580795480410,7586346849155872,0.11013664,2.978478,8.612206
1580795480410,7586346869155405,0.40223816,3.110163,9.368797
1580795480432,7586346889155571,0.49800915,3.1365,10.048771
1580795480452,7586346909156104,0.49800915,3.047912,9.921875
1580795480474,7586346929156070,0.26097596,2.8180614,10.0200405
1580795480500,7586346949156136,0.24900457,2.5522969,10.324113
1580795480527,7586346969156469,0.32801566,2.4541316,10.321719
1580795480527,7586346989156335,0.57462597,2.5307484,9.684841
1580795480554,7586347009156568,0.888276,2.7845416,9.553157
1580795480578,7586347029156068,0.6392714,2.604971,9.869201
1580795480602,7586347049155734,0.3519584,2.4876516,9.651321
1580795480627,7586347069155267,0.7206767,2.4948344,8.846846
1580795480627,7586347089154733,1.5395187,2.482863,8.89952
1580795480653,7586347109154133,1.6305012,1.5538844,10.395941
1580795480676,7586347129152766,1.0510867,0.54828894,12.452623
1580795480701,7586347149151499,0.6560313,0.014365649,14.023268
1580795480734,7586347169149932,1.010384,0.49082634,13.228369
1580795480734,7586347189148465,1.1827718,1.1779832,10.355239
1580795480763,7586347209148231,1.1516461,1.8842943,7.937021
1580795480785,7586347229147097,1.3743137,2.3655436,6.8715687
1580795480811,7586347249145897,1.5874043,2.5546913,6.7398834
1580795480811,7586347269144630,1.4772675,2.3463893,7.632948
1580795480842,7586347289142530,1.2450229,1.8004947,8.935433
1580795480866,7586347309140830,0.8236305,1.3096683,9.749487
1580795480896,7586347329139296,0.7110996,1.228263,9.469357
1580795480896,7586347349137696,0.61293435,1.3551595,9.103033
1580795480923,7586347369135962,0.72546524,1.5706443,8.74868
1580795480949,7586347389134195,0.84996754,1.8795058,8.614601
1580795480949,7586347409131928,0.87151605,2.142876,8.245882
1580795480971,7586347429129261,1.0965779,2.648068,7.3863378
1580795480999,7586347449126527,1.1971374,2.8827069,7.3767605
1580795481027,7586347469124193,1.1229149,2.832427,7.9609637
1580795481072,7586347489121159,0.9433443,2.6097596,8.995291
1580795481072,7586347509118059,0.5602603,2.300898,9.804555
1580795481072,7586347529115025,0.48843205,2.1069617,10.865219
1580795481093,7586347549112658,0.7996878,2.3032923,11.174081
1580795481115,7586347569110191,1.1803775,2.762993,10.41749
1580795481135,7586347589107691,1.2210802,2.7893302,10.561146
1580795481156,7586347609105191,1.2474172,2.5570855,11.662513
1580795481180,7586347629102691,1.1133378,2.6815877,10.999298
1580795481204,7586347649100124,0.6177229,3.0694604,9.019233
1580795481231,7586347669097624,0.9217958,3.3615618,8.897125
1580795481231,7586347689095124,0.9074302,2.343995,10.824516
1580795481255,7586347709092557,0.54350036,1.1133378,12.620222
1580795481281,7586347729090690,-0.22506183,0.20111908,13.012883
1580795481303,7586347749088223,-0.43336374,0.62251145,10.740717
1580795481324,7586347769086423,-0.27294734,1.5012103,8.171659
1580795481347,7586347789084423,-0.0047885496,2.0925963,6.629747
1580795481347,7586347809081123,0.2753416,2.0518935,7.0439563
1580795481369,7586347829078656,0.4668836,1.6568382,8.360807
1580795481389,7586347849076189,0.8356019,1.2665714,9.431048
1580795481410,7586347869073655,0.8786988,1.0079896,10.33369
1580795481431,7586347889071888,0.2681588,0.6105401,10.76466
1580795481450,7586347909069421,-0.3304099,0.4285752,10.278622
1580795481469,7586347929066887,-0.53871185,0.6440599,9.222747
1580795481494,7586347949097687,-0.44533512,1.0055954,8.358414
1580795481516,7586347969161887,-0.0023942748,1.4437478,7.937021
1580795481538,7586347989259320,0.43575802,1.7933118,7.7239304
1580795481560,7586348009357220,0.8092649,2.1237218,7.5491486
1580795481581,7586348010357220,0.77574503,2.2458298,7.7766047
1580795481602,7586348030455553,0.54828894,2.2003386,8.174054
1580795481625,7586348050553819,0.45491222,2.3583608,8.370385
