# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1529040740358,100834276956070,-35.14862000,-41.51306000,-42.53387500,7.913,21.100,0.00000000
1529040740378,100834297219742,-34.99756000,-41.81366000,-39.98413000,7.933,21.100,0.00000000
1529040740398,100834317208755,-34.69848600,-41.51306000,-40.58380000,7.954,21.100,0.00000000
1529040740418,100834337380875,-33.04748500,-44.06280500,-42.23480200,7.975,21.100,0.00000000
1529040740439,100834357491959,-35.14862000,-41.51306000,-41.33453400,7.997,21.100,0.00000000
1529040740459,100834377642310,-34.69848600,-43.46313500,-39.83459500,8.018,21.100,0.00000000
1529040740479,100834397967017,-34.24835200,-44.81353800,-38.93432600,8.038,21.100,0.00000000
1529040740499,100834417956031,-33.79821800,-44.36340300,-39.23492400,8.059,21.100,0.00000000
1529040740519,100834438128150,-34.54742400,-43.31360000,-39.98413000,8.080,21.100,0.00000000
1529040740540,100834458208716,-34.24835200,-42.86346400,-39.68506000,8.102,21.100,0.00000000
1529040740560,100834478411353,-32.89795000,-44.66247600,-39.53399700,8.123,21.100,0.00000000
1529040740579,100834498613990,-33.34808300,-45.11261000,-37.73498500,8.143,21.100,0.00000000
1529040740600,100834518633521,-33.19854700,-46.16241500,-38.03405800,8.164,21.100,0.00000000
1529040740620,100834538805640,-33.34808300,-45.11261000,-37.73498500,8.185,21.100,0.00000000
1529040740640,100834558947242,-33.79821800,-45.86334200,-36.98425300,8.206,21.100,0.00000000
1529040740660,100834579088843,-34.54742400,-45.11261000,-39.23492400,8.227,21.100,0.00000000
1529040740680,100834599199927,-33.34808300,-44.81353800,-37.73498500,8.248,21.100,0.00000000
1529040740700,100834619372046,-32.89795000,-46.46301300,-38.78479000,8.268,21.100,0.00000000
1529040740720,100834639513648,-32.44781500,-45.71228000,-38.33465600,8.289,21.100,0.00000000
1529040740740,100834659655250,-33.34808300,-45.11261000,-38.18359400,8.310,21.100,0.00000000
1529040740761,100834679796851,-32.14874300,-46.91314700,-37.58392300,8.332,21.100,0.00000000
1529040740781,100834699938453,-33.79821800,-45.86334200,-38.18359400,8.353,21.100,0.00000000
1529040740801,100834720110572,-32.44781500,-45.71228000,-38.03405800,8.374,21.100,0.00000000
1529040740821,100834740221656,-33.19854700,-46.46301300,-39.08386200,8.394,21.100,0.00000000
1529040740841,100834760363257,-32.29828000,-45.86334200,-38.48419000,8.415,21.100,0.00000000
1529040740862,100834780504859,-32.44781500,-46.46301300,-38.78479000,8.437,21.100,0.00000000
1529040740881,100834800676978,-33.19854700,-47.21222000,-39.53399700,8.457,21.100,0.00000000
1529040740901,100834820788062,-31.84814500,-45.11261000,-39.68506000,8.478,21.100,0.00000000
1529040740922,100834840929664,-33.19854700,-47.21222000,-40.28473000,8.500,21.100,0.00000000
1529040740943,100834861101783,-31.84814500,-47.06268300,-40.43426500,8.521,21.100,0.00000000
1529040740962,100834881212867,-32.29828000,-47.06268300,-38.18359400,8.541,21.100,0.00000000
1529040740983,100834901537574,-33.94775400,-46.91314700,-39.53399700,8.563,21.100,0.00000000
1529040741003,100834921496070,-33.04748500,-48.26355000,-38.93432600,8.584,21.100,0.00000000
1529040741024,100834941607154,-33.94775400,-48.71368400,-38.03405800,8.606,21.100,0.00000000
1529040741042,100834961779273,-33.34808300,-46.61255000,-36.68365500,8.624,21.100,0.00000000
1529040741063,100834981920875,-33.94775400,-47.21222000,-37.28485000,8.646,21.100,0.00000000
1529040741082,100835002154029,-33.79821800,-47.81341600,-36.23504600,8.666,21.100,0.00000000
1529040741104,100835022204078,-34.99756000,-47.51281700,-36.98425300,8.689,21.100,0.00000000
1529040741124,100835042345679,-34.54742400,-46.61255000,-36.98425300,8.710,21.100,0.00000000
1529040741144,100835062487281,-34.99756000,-47.06268300,-36.23504600,8.731,21.100,0.00000000
1529040741164,100835082628882,-35.74829000,-47.51281700,-36.68365500,8.751,21.100,0.00000000
1529040741184,100835102678931,-36.49749800,-46.31347700,-37.43438700,8.772,21.100,0.00000000
1529040741205,100835122942603,-37.99743700,-45.86334200,-34.73358000,8.794,21.100,0.00000000
1529040741226,100835143053687,-37.09869400,-48.41308600,-35.78491200,8.816,21.100,0.00000000
1529040741245,100835163225806,-38.74817000,-45.56274400,-33.98437500,8.836,21.100,0.00000000
1529040741266,100835183367408,-39.19830300,-46.61255000,-33.68377700,8.858,21.100,0.00000000
1529040741286,100835203509009,-39.94751000,-47.06268300,-33.68377700,8.878,21.100,0.00000000
1529040741306,100835223650611,-40.69824200,-45.56274400,-35.48431400,8.899,21.100,0.00000000
1529040741326,100835243761695,-39.94751000,-46.31347700,-34.43451000,8.920,21.100,0.00000000
1529040741346,100835263933814,-38.89770500,-45.41320800,-35.03418000,8.941,21.100,0.00000000
1529040741366,100835284075416,-39.94751000,-47.81341600,-34.73358000,8.962,21.100,0.00000000
1529040741442,100835304186500,-40.54870600,-45.41320800,-34.58404500,9.041,21.100,0.00000000
1529040741442,100835324297584,-40.09857000,-44.66247600,-34.28497300,9.041,21.100,0.00000000
1529040741443,100835344469703,-39.94751000,-44.06280500,-35.93445000,9.042,21.100,0.00000000
1529040741444,100835364611304,-41.29791300,-44.96307400,-34.28497300,9.043,21.100,0.00000000
1529040741465,100835384722388,-41.29791300,-45.41320800,-33.53424000,9.065,21.100,0.00000000
1529040741486,100835405047095,-40.99731400,-44.81353800,-35.18371600,9.087,21.100,0.00000000
1529040741505,100835425036109,-41.59851000,-46.46301300,-33.53424000,9.106,21.100,0.00000000
1529040741526,100835445147193,-40.99731400,-44.81353800,-33.23364300,9.128,21.100,0.00000000
1529040741546,100835465319312,-41.29791300,-47.21222000,-33.53424000,9.149,21.100,0.00000000
1529040741566,100835485460914,-41.59851000,-45.71228000,-32.03430000,9.170,21.100,0.00000000
1529040741586,100835505633033,-42.94738800,-46.31347700,-30.68389900,9.191,21.100,0.00000000
1529040741606,100835525744117,-42.19818000,-45.56274400,-31.43463100,9.212,21.100,0.00000000
1529040741627,100835545885718,-44.74792500,-46.46301300,-31.28357000,9.233,21.100,0.00000000
1529040741647,100835566027320,-41.59851000,-46.91314700,-32.33490000,9.254,21.100,0.00000000
1529040741667,100835586168921,-43.84765600,-45.71228000,-29.78363000,9.275,21.100,0.00000000
1529040741687,100835606310523,-43.09845000,-45.41320800,-29.33502200,9.296,21.100,0.00000000
1529040741708,100835626452125,-42.34771700,-45.41320800,-29.03442400,9.318,21.100,0.00000000
1529040741729,100835646593726,-43.54858400,-46.46301300,-29.03442400,9.340,21.100,0.00000000
1529040741749,100835666735328,-45.19806000,-47.51281700,-27.68402100,9.360,21.100,0.00000000
1529040741770,100835686876929,-43.84765600,-46.16241500,-25.58441200,9.382,21.100,0.00000000
1529040741790,100835707018531,-46.24786400,-47.21222000,-26.03454600,9.403,21.100,0.00000000
1529040741811,100835727160132,-44.44732700,-46.31347700,-26.93481400,9.425,21.100,0.00000000
1529040741830,100835747301734,-45.19806000,-47.06268300,-24.98474100,9.445,21.100,0.00000000
1529040741850,100835767443336,-45.04852300,-46.16241500,-24.08447300,9.465,21.100,0.00000000
1529040741871,100835787584937,-45.49865700,-47.21222000,-23.03466800,9.487,21.100,0.00000000
1529040741893,100835807726539,-46.84753400,-45.56274400,-21.98486300,9.510,21.100,0.00000000
1529040741912,100835827898658,-46.84753400,-46.61255000,-21.98486300,9.530,21.100,0.00000000
1529040741931,100835848040259,-44.89746000,-47.51281700,-22.43499800,9.550,21.100,0.00000000
1529040741950,100835868181861,-46.24786400,-47.21222000,-22.28393600,9.570,21.100,0.00000000
1529040741971,100835888292945,-44.89746000,-48.26355000,-21.68426500,9.591,21.100,0.00000000
1529040741991,100835908617652,-45.64819300,-47.81341600,-23.93493700,9.612,21.100,0.00000000
1529040742011,100835928576148,-45.04852300,-47.66235400,-23.03466800,9.633,21.100,0.00000000
1529040742031,100835948717750,-43.84765600,-48.41308600,-22.58453400,9.654,21.100,0.00000000
1529040742052,100835968859351,-45.19806000,-47.06268300,-22.43499800,9.676,21.100,0.00000000
1529040742072,100835989000953,-44.44732700,-48.56262200,-23.18420400,9.697,21.100,0.00000000
1529040742092,100836009234107,-44.89746000,-46.61255000,-22.73407000,9.717,21.100,0.00000000
1529040742112,100836029284156,-45.04852300,-47.96295000,-24.08447300,9.738,21.100,0.00000000
1529040742133,100836049425757,-45.94879000,-47.06268300,-21.98486300,9.760,21.100,0.00000000
1529040742153,100836069567359,-45.04852300,-45.41320800,-22.28393600,9.781,21.100,0.00000000
1529040742172,100836089708961,-45.64819300,-45.11261000,-20.93505900,9.801,21.100,0.00000000
1529040742193,100836109850562,-46.84753400,-47.51281700,-20.93505900,9.823,21.100,0.00000000
1529040742211,100836130022681,-47.89734000,-46.31347700,-21.68426500,9.841,21.100,0.00000000
1529040742234,100836150133765,-46.99859600,-46.16241500,-20.33386200,9.865,21.100,0.00000000
1529040742253,100836170275367,-47.74780300,-46.46301300,-19.28405800,9.885,21.100,0.00000000
1529040742274,100836190416968,-47.14813200,-44.81353800,-20.18432600,9.907,21.100,0.00000000
1529040742294,100836210558570,-47.59826700,-45.11261000,-17.48504600,9.928,21.100,0.00000000
1529040742314,100836230730689,-48.49853500,-44.21234000,-17.78411900,9.948,21.100,0.00000000
1529040742333,100836250872291,-49.09820600,-46.61255000,-16.73431400,9.968,21.100,0.00000000
1529040742353,100836270983375,-50.14801000,-46.31347700,-15.68450900,9.989,21.100,0.00000000
1529040742374,100836291124976,-49.39880400,-45.56274400,-15.23437500,10.011,21.100,0.00000000
1529040742442,100836311266578,-51.49841300,-45.41320800,-14.78424100,10.082,21.100,0.00000000
1529040742443,100836331408179,-48.04840000,-45.41320800,-12.08496100,10.083,21.100,0.00000000
1529040742443,100836351549781,-49.84741200,-46.61255000,-14.18457000,10.083,21.100,0.00000000
1529040742452,100836371660865,-48.64807000,-44.81353800,-11.93389900,10.092,21.100,0.00000000
1529040742473,100836391832984,-49.84741200,-45.86334200,-12.68463100,10.114,21.100,0.00000000
1529040742492,100836412096656,-49.69787600,-46.16241500,-13.28430200,10.134,21.100,0.00000000
1529040742512,100836432085669,-48.34747300,-45.86334200,-12.98370400,10.155,21.100,0.00000000
1529040742532,100836452257789,-49.09820600,-45.56274400,-14.18457000,10.175,21.100,0.00000000
1529040742552,100836472368873,-49.69787600,-45.71228000,-12.08496100,10.196,21.100,0.00000000
1529040742572,100836492540992,-49.69787600,-43.76220700,-12.08496100,10.217,21.100,0.00000000
1529040742593,100836512682593,-50.44861000,-46.16241500,-11.03363000,10.239,21.100,0.00000000
1529040742613,100836532793677,-49.09820600,-45.11261000,-11.18469200,10.260,21.100,0.00000000
1529040742633,100836552874244,-50.14801000,-45.56274400,-11.18469200,10.281,21.100,0.00000000
1529040742653,100836573107398,-49.99847400,-44.21234000,-11.78436300,10.301,21.100,0.00000000
1529040742673,100836593249000,-49.84741200,-43.61267000,-13.43383800,10.322,21.100,0.00000000
1529040742693,100836613360084,-49.39880400,-43.61267000,-13.43383800,10.343,21.100,0.00000000
1529040742713,100836633532203,-50.74768000,-42.71240200,-13.28430200,10.364,21.100,0.00000000
1529040742733,100836653643287,-49.99847400,-42.71240200,-14.33410600,10.385,21.100,0.00000000
1529040742754,100836673815406,-49.84741200,-43.61267000,-12.23449700,10.406,21.100,0.00000000
1529040742774,100836693957007,-49.69787600,-42.26226800,-13.28430200,10.427,21.100,0.00000000
1529040742794,100836714068091,-49.84741200,-42.56286600,-12.68463100,10.448,21.100,0.00000000
1529040742814,100836734209693,-51.49841300,-41.21246300,-12.53356900,10.469,21.100,0.00000000
1529040742834,100836754351294,-51.04828000,-41.36352500,-13.43383800,10.490,21.100,0.00000000
1529040742854,100836774492896,-50.44861000,-41.51306000,-11.78436300,10.511,21.100,0.00000000
1529040742874,100836794634498,-49.99847400,-40.01312300,-12.53356900,10.531,21.100,0.00000000
1529040742894,100836814776099,-49.99847400,-40.46325700,-15.08483900,10.552,21.100,0.00000000
1529040742915,100836834948218,-51.49841300,-40.76233000,-14.33410600,10.574,21.100,0.00000000
1529040742934,100836855089820,-51.79748500,-40.61279300,-14.48364300,10.594,21.100,0.00000000
1529040742955,100836875231421,-51.79748500,-40.91339000,-14.18457000,10.616,21.100,0.00000000
1529040742976,100836895342505,-51.19781500,-40.46325700,-14.78424100,10.638,21.100,0.00000000
1529040742996,100836915728248,-50.44861000,-41.21246300,-16.58477800,10.658,21.100,0.00000000
1529040743017,100836935900367,-49.99847400,-40.01312300,-17.33398400,10.680,21.100,0.00000000
1529040743037,100836956164039,-50.74768000,-40.46325700,-18.83392300,10.701,21.100,0.00000000
1529040743056,100836976458228,-51.79748500,-39.11285400,-18.23425300,10.721,21.100,0.00000000
1529040743077,100836996721900,-49.69787600,-39.71252400,-16.28418000,10.743,21.100,0.00000000
1529040743097,100837017260230,-51.34735000,-38.36364700,-18.23425300,10.763,21.100,0.00000000
1529040743117,100837037310279,-50.59814500,-37.16278000,-18.68438700,10.784,21.100,0.00000000
1529040743137,100837057604468,-51.19781500,-38.21258500,-19.28405800,10.805,21.100,0.00000000
1529040743157,100837077868140,-49.99847400,-37.01324500,-20.33386200,10.826,21.100,0.00000000
1529040743178,100837098162330,-48.49853500,-35.51330600,-20.33386200,10.848,21.100,0.00000000
1529040743199,100837118273414,-52.09808300,-35.66284000,-20.93505900,10.870,21.100,0.00000000
1529040743218,100837137041724,-50.59814500,-36.11297600,-18.98498500,10.889,21.100,0.00000000
1529040743238,100837157213843,-49.84741200,-35.66284000,-18.98498500,10.910,21.100,0.00000000
1529040743258,100837177324927,-49.84741200,-36.86371000,-19.43359400,10.931,21.100,0.00000000
1529040743278,100837197466529,-49.99847400,-35.51330600,-18.08471700,10.952,21.100,0.00000000
1529040743298,100837217638648,-48.34747300,-35.36224400,-17.48504600,10.973,21.100,0.00000000
1529040743319,100837237749732,-48.94867000,-37.01324500,-17.03491200,10.995,21.100,0.00000000
1529040743339,100837257952369,-47.89734000,-36.11297600,-18.68438700,11.015,21.100,0.00000000
1529040743359,100837278124488,-50.14801000,-35.66284000,-20.18432600,11.036,21.100,0.00000000
1529040743381,100837298235572,-48.49853500,-34.31244000,-20.03479000,11.059,21.100,0.00000000
1529040743436,100837318346656,-48.49853500,-35.81237800,-19.58465600,11.116,21.100,0.00000000
1529040743437,100837338427222,-48.49853500,-35.81237800,-20.78399700,11.117,21.100,0.00000000
1529040743438,100837358629859,-47.74780300,-37.01324500,-21.53472900,11.118,21.100,0.00000000
1529040743458,100837378771461,-47.14813200,-36.41357400,-19.43359400,11.139,21.100,0.00000000
1529040743478,100837398943580,-47.89734000,-35.66284000,-19.43359400,11.160,21.100,0.00000000
1529040743499,100837419207252,-47.89734000,-35.66284000,-16.73431400,11.182,21.100,0.00000000
1529040743519,100837439196265,-48.34747300,-35.36224400,-16.43371600,11.203,21.100,0.00000000
1529040743542,100837459337867,-49.09820600,-36.11297600,-16.73431400,11.227,21.100,0.00000000
1529040743560,100837479418433,-46.54846200,-33.26263400,-14.33410600,11.245,21.100,0.00000000
1529040743580,100837499621070,-47.14813200,-33.71277000,-16.43371600,11.266,21.100,0.00000000
1529040743599,100837519823707,-47.29767000,-32.81250000,-15.08483900,11.286,21.100,0.00000000
1529040743620,100837539934791,-47.29767000,-31.61316000,-15.53497300,11.308,21.100,0.00000000
1529040743640,100837560045875,-48.49853500,-31.31256100,-14.78424100,11.329,21.100,0.00000000
1529040743663,100837580187476,-47.59826700,-32.21283000,-15.68450900,11.353,21.100,0.00000000
1529040743683,100837600359595,-47.14813200,-30.71289000,-13.73443600,11.373,21.100,0.00000000
1529040743703,100837620440162,-45.79773000,-29.36248800,-14.78424100,11.394,21.100,0.00000000
1529040743723,100837640642798,-46.54846200,-29.81262200,-15.53497300,11.415,21.100,0.00000000
1529040743744,100837660784400,-46.24786400,-29.81262200,-15.83404500,11.437,21.100,0.00000000
1529040743764,100837680895484,-46.39740000,-29.21295200,-13.73443600,11.458,21.100,0.00000000
1529040743784,100837701037086,-47.74780300,-28.61328100,-14.03503400,11.479,21.100,0.00000000
1529040743804,100837721178687,-46.39740000,-27.71301300,-14.48364300,11.499,21.100,0.00000000
1529040743822,100837741350806,-45.19806000,-29.96368400,-13.43383800,11.518,21.100,0.00000000
1529040743845,100837761431373,-46.39740000,-27.26287800,-14.93377700,11.542,21.100,0.00000000
1529040743865,100837781634009,-46.99859600,-27.56347700,-14.03503400,11.563,21.100,0.00000000
1529040743882,100837801775611,-46.54846200,-26.06353800,-13.58490000,11.581,21.100,0.00000000
1529040743905,100837821886695,-47.29767000,-24.11346400,-14.03503400,11.604,21.100,0.00000000
1529040743925,100837842028296,-48.04840000,-25.61340300,-14.03503400,11.625,21.100,0.00000000
1529040743945,100837862169898,-46.54846200,-24.41253700,-12.08496100,11.646,21.100,0.00000000
1529040743965,100837882342017,-45.79773000,-25.61340300,-13.28430200,11.667,21.100,0.00000000
1529040743985,100837902483619,-47.14813200,-22.76306200,-11.18469200,11.688,21.100,0.00000000
1529040744005,100837922747291,-47.74780300,-23.36273200,-12.53356900,11.709,21.100,0.00000000
1529040744025,100837942736304,-45.19806000,-22.01233000,-12.98370400,11.729,21.100,0.00000000
1529040744045,100837962877906,-45.19806000,-22.76306200,-12.98370400,11.750,21.100,0.00000000
1529040744066,100837983019507,-45.04852300,-22.91259800,-11.78436300,11.772,21.100,0.00000000
1529040744086,100838003191627,-46.54846200,-21.86279300,-13.28430200,11.793,21.100,0.00000000
1529040744106,100838023363746,-45.04852300,-22.61352500,-12.83416750,11.814,21.100,0.00000000
1529040744125,100838043474830,-45.19806000,-21.56372000,-12.68463100,11.833,21.100,0.00000000
1529040744146,100838063555396,-45.79773000,-21.11358600,-12.83416750,11.855,21.100,0.00000000
1529040744166,100838083758033,-43.84765600,-20.36285400,-12.08496100,11.876,21.100,0.00000000
1529040744186,100838103869117,-44.29779000,-19.46258500,-12.53356900,11.897,21.100,0.00000000
1529040744207,100838124010718,-45.64819300,-19.31305000,-11.93389900,11.919,21.100,0.00000000
1529040744226,100838144152320,-44.14825400,-20.06225600,-10.73455800,11.939,21.100,0.00000000
1529040744245,100838164324439,-45.04852300,-18.71337900,-11.33422850,11.958,21.100,0.00000000
1529040744267,100838184466041,-45.94879000,-18.26324500,-12.23449700,11.981,21.100,0.00000000
1529040744287,100838204607642,-44.29779000,-16.91284200,-12.08496100,12.002,21.100,0.00000000
1529040744306,100838224718726,-43.54858400,-17.21344000,-12.53356900,12.022,21.100,0.00000000
1529040744326,100838244860328,-43.69812000,-17.81311000,-12.68463100,12.043,21.100,0.00000000
1529040744346,100838265001929,-41.59851000,-17.66357400,-10.28442400,12.064,21.100,0.00000000
1529040744368,100838285174048,-42.64831500,-17.51251200,-12.68463100,12.086,21.100,0.00000000
1529040744386,100838305315650,-42.79785000,-17.21344000,-14.03503400,12.105,21.100,0.00000000
1529040744435,100838325457252,-43.09845000,-16.91284200,-12.83416750,12.156,21.100,0.00000000
1529040744435,100838345568336,-42.79785000,-16.46270800,-14.03503400,12.156,21.100,0.00000000
1529040744446,100838365709937,-42.64831500,-15.11230500,-12.98370400,12.168,21.100,0.00000000
1529040744466,100838385851539,-40.69824200,-16.31317100,-12.68463100,12.188,21.100,0.00000000
1529040744486,100838406023658,-40.99731400,-14.36309800,-12.68463100,12.209,21.100,0.00000000
1529040744507,100838426287330,-41.59851000,-14.96276900,-13.58490000,12.231,21.100,0.00000000
1529040744526,100838446306861,-42.19818000,-13.76342800,-14.18457000,12.251,21.100,0.00000000
1529040744549,100838466448462,-40.84778000,-14.66369600,-13.28430200,12.275,21.100,0.00000000
1529040744567,100838486559546,-40.84778000,-13.16223100,-12.53356900,12.294,21.100,0.00000000
1529040744587,100838506701148,-40.54870600,-14.21356200,-13.28430200,12.314,21.100,0.00000000
1529040744607,100838526873267,-40.54870600,-13.91296400,-14.78424100,12.335,21.100,0.00000000
1529040744627,100838546984351,-39.94751000,-12.71362300,-15.68450900,12.356,21.100,0.00000000
1529040744647,100838567125953,-42.04864500,-12.86315900,-15.83404500,12.377,21.100,0.00000000
1529040744668,100838587298072,-41.74804700,-12.71362300,-16.43371600,12.399,21.100,0.00000000
1529040744690,100838607439673,-40.09857000,-12.86315900,-14.78424100,12.422,21.100,0.00000000
1529040744710,100838627581275,-40.54870600,-12.86315900,-17.78411900,12.442,21.100,0.00000000
1529040744730,100838647692359,-39.64843800,-12.41302500,-18.08471700,12.463,21.100,0.00000000
1529040744750,100838667833961,-38.74817000,-11.21368400,-20.18432600,12.484,21.100,0.00000000
1529040744769,100838688006080,-39.49737500,-11.96289100,-17.18444800,12.504,21.100,0.00000000
1529040744789,100838708147681,-39.94751000,-10.01281700,-18.68438700,12.525,21.100,0.00000000
1529040744809,100838728289283,-40.09857000,-11.36322000,-17.33398400,12.545,21.100,0.00000000
1529040744831,100838748400367,-40.54870600,-9.86328100,-18.08471700,12.568,21.100,0.00000000
1529040744849,100838768541968,-38.89770500,-9.41314700,-17.33398400,12.587,21.100,0.00000000
1529040744871,100838788683570,-38.14850000,-9.41314700,-16.58477800,12.610,21.100,0.00000000
1529040744890,100838808855689,-38.89770500,-8.66241500,-17.78411900,12.630,21.100,0.00000000
1529040744912,100838828997291,-39.34784000,-9.11254900,-18.08471700,12.653,21.100,0.00000000
1529040744932,100838849138892,-38.59863300,-9.11254900,-17.03491200,12.673,21.100,0.00000000
1529040744952,100838869249976,-38.44757000,-8.51287800,-17.18444800,12.694,21.100,0.00000000
1529040744972,100838889391578,-37.24823000,-9.26361100,-16.73431400,12.715,21.100,0.00000000
