timeMillis,timeNanos,x,y,z
1532327887296,245118374831921,-31.38,-42.12,-42.059998
1532327887316,245118394831921,-31.679998,-42.059998,-42.36
1532327887338,245118414831921,-31.5,-42.48,-42.12
1532327887357,245118434831921,-30.72,-42.0,-41.82
1532327887376,245118454831921,-30.66,-42.3,-42.059998
1532327887398,245118474831921,-30.599998,-42.12,-42.239998
1532327887416,245118494831921,-30.3,-41.7,-42.719997
1532327887436,245118514831921,-30.96,-41.94,-43.14
1532327887460,245118534831921,-31.38,-41.76,-43.62
1532327887476,245118554832032,-31.5,-41.94,-43.079998
1532327887497,245118574832032,-31.98,-41.94,-42.899998
1532327887523,245118594831668,-31.38,-41.94,-42.6
1532327887538,245118614831668,-30.96,-42.18,-42.18
1532327887560,245118634831744,-30.599998,-42.059998,-42.54
1532327887580,245118654831744,-30.48,-42.36,-42.66
1532327887597,245118674831744,-31.08,-42.36,-42.66
1532327887617,245118694831744,-31.26,-42.059998,-42.899998
1532327887640,245118714831744,-31.14,-42.239998,-43.079998
1532327887657,245118734831744,-30.96,-41.879997,-43.14
1532327887678,245118754831744,-30.48,-42.12,-43.5
1532327887698,245118774831744,-30.48,-42.48,-43.02
1532327887717,245118794831744,-30.66,-42.6,-42.899998
1532327887738,245118814831744,-30.9,-42.899998,-42.66
1532327887760,245118834831744,-31.74,-42.48,-42.36
1532327887777,245118854831744,-31.98,-42.18,-42.239998
1532327887799,245118874831744,-32.219997,-42.059998,-42.48
1532327887819,245118894831744,-32.52,-41.94,-42.78
1532327887841,245118914831744,-32.16,-42.3,-43.14
1532327887859,245118934831744,-31.92,-42.6,-43.44
1532327887880,245118954831744,-31.5,-42.84,-43.2
1532327887930,245118974831744,-31.199999,-43.079998,-43.02
1532327887930,245118994831744,-31.32,-43.02,-42.899998
1532327887941,245119014831744,-31.38,-42.66,-42.719997
1532327887957,245119034831744,-31.619999,-42.54,-42.84
1532327887980,245119054831777,-31.619999,-42.12,-42.78
1532327887998,245119074831777,-31.8,-41.94,-43.14
1532327888017,245119094831777,-31.8,-41.82,-43.5
1532327888039,245119114831777,-31.619999,-42.0,-43.02
1532327888059,245119134831810,-31.619999,-42.66,-42.66
1532327888078,245119154831776,-31.32,-42.6,-42.42
1532327888096,245119174831776,-30.84,-43.02,-41.879997
1532327888119,245119194831909,-31.019999,-42.96,-42.42
1532327888137,245119214831909,-31.08,-42.78,-42.84
1532327888158,245119234831875,-31.26,-42.48,-42.84
1532327888179,245119254831875,-31.619999,-42.3,-43.02
1532327888196,245119274831875,-31.859999,-41.94,-42.719997
1532327888328,245119294831875,-31.98,-41.7,-42.719997
1532327888328,245119314831875,-31.92,-42.0,-42.84
1532327888328,245119334831875,-32.34,-41.94,-43.079998
1532327888328,245119354831875,-32.52,-42.239998,-43.2
1532327888329,245119374831875,-32.52,-42.42,-43.02
1532327888329,245119394831875,-32.82,-42.6,-42.78
1532327888336,245119414831875,-32.88,-43.02,-42.6
1532327888362,245119434831875,-33.0,-42.96,-42.54
1532327888378,245119454831875,-33.0,-42.36,-42.42
1532327888397,245119474831875,-33.059998,-42.239998,-42.719997
1532327888419,245119494831875,-32.88,-41.879997,-42.66
1532327888437,245119514831875,-32.64,-41.94,-42.6
1532327888458,245119534831875,-32.76,-42.0,-43.2
1532327888481,245119554831908,-32.579998,-42.3,-42.84
1532327888497,245119574831908,-32.46,-42.48,-42.719997
1532327888517,245119594831908,-32.16,-42.239998,-43.02
1532327888540,245119614831908,-32.399998,-42.899998,-42.719997
1532327888558,245119634831908,-32.579998,-42.84,-42.84
1532327888579,245119654831874,-32.64,-42.6,-43.26
1532327888601,245119674831874,-33.12,-42.66,-43.14
1532327888617,245119694831874,-33.12,-42.239998,-43.14
1532327888643,245119714831874,-33.12,-42.12,-42.78
1532327888663,245119734831840,-33.3,-42.18,-42.6
1532327888680,245119755769406,-32.94,-42.36,-42.36
1532327888697,245119775769406,-33.239998,-42.84,-41.94
1532327888720,245119795769406,-33.18,-43.079998,-42.059998
1532327888737,245119815769406,-33.54,-43.14,-42.0
1532327888760,245119835769406,-34.02,-42.96,-42.3
1532327888781,245119855769406,-33.48,-42.66,-42.239998
1532327888798,245119875769406,-33.899998,-42.3,-42.3
1532327888817,245119895769406,-33.66,-42.36,-42.48
1532327888840,245119915769406,-34.02,-42.54,-42.3
1532327888858,245119935769406,-34.26,-42.54,-42.719997
1532327888879,245119955769406,-34.02,-42.54,-42.719997
1532327888901,245119975769406,-34.26,-42.239998,-42.42
1532327888918,245119995769406,-34.2,-42.66,-42.3
1532327888937,245120015769406,-34.739998,-42.3,-42.059998
1532327888961,245120035769406,-34.559998,-42.36,-42.48
1532327888981,245120055769406,-34.68,-42.78,-42.719997
1532327888997,245120075769406,-34.68,-42.54,-42.899998
1532327889021,245120095769406,-34.32,-42.42,-42.6
1532327889037,245120115769406,-34.98,-42.66,-41.64
1532327889060,245120135769439,-34.92,-42.42,-41.64
1532327889079,245120155769405,-34.32,-41.76,-41.219997
1532327889097,245120175769405,-34.38,-42.12,-41.34
1532327889116,245120195769405,-33.899998,-41.879997,-41.52
1532327889140,245120215769405,-34.079998,-41.7,-41.219997
1532327889160,245120235769405,-34.38,-41.94,-41.46
1532327889178,245120255769405,-34.62,-41.879997,-41.7
1532327889199,245120275769405,-34.92,-42.12,-42.239998
1532327889329,245120295769405,-34.559998,-42.36,-42.059998
1532327889329,245120315769405,-34.559998,-42.78,-42.059998
1532327889329,245120335769405,-34.079998,-43.079998,-42.059998
