# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1532327887296,245118374831921,-31.38000000,-42.12000000,-42.05999800,7.670,21.100,0.00000000
1532327887316,245118394831921,-31.67999800,-42.05999800,-42.36000000,7.670,21.100,0.00000000
1532327887338,245118414831921,-31.50000000,-42.48000000,-42.12000000,7.670,21.100,0.00000000
1532327887357,245118434831921,-30.72000000,-42.00000000,-41.82000000,7.670,21.100,0.00000000
1532327887376,245118454831921,-30.66000000,-42.30000000,-42.05999800,7.670,21.100,0.00000000
1532327887398,245118474831921,-30.59999800,-42.12000000,-42.23999800,7.670,21.100,0.00000000
1532327887416,245118494831921,-30.30000000,-41.70000000,-42.71999700,7.670,21.100,0.00000000
1532327887436,245118514831921,-30.96000000,-41.94000000,-43.14000000,7.670,21.100,0.00000000
1532327887460,245118534831921,-31.38000000,-41.76000000,-43.62000000,7.670,21.100,0.00000000
1532327887476,245118554832032,-31.50000000,-41.94000000,-43.07999800,7.670,21.100,0.00000000
1532327887497,245118574832032,-31.98000000,-41.94000000,-42.89999800,7.670,21.100,0.00000000
1532327887523,245118594831668,-31.38000000,-41.94000000,-42.60000000,7.670,21.100,0.00000000
1532327887538,245118614831668,-30.96000000,-42.18000000,-42.18000000,7.670,21.100,0.00000000
1532327887560,245118634831744,-30.59999800,-42.05999800,-42.54000000,7.670,21.100,0.00000000
1532327887580,245118654831744,-30.48000000,-42.36000000,-42.66000000,7.670,21.100,0.00000000
1532327887597,245118674831744,-31.08000000,-42.36000000,-42.66000000,7.670,21.100,0.00000000
1532327887617,245118694831744,-31.26000000,-42.05999800,-42.89999800,7.670,21.100,0.00000000
1532327887640,245118714831744,-31.14000000,-42.23999800,-43.07999800,7.670,21.100,0.00000000
1532327887657,245118734831744,-30.96000000,-41.87999700,-43.14000000,7.670,21.100,0.00000000
1532327887678,245118754831744,-30.48000000,-42.12000000,-43.50000000,7.670,21.100,0.00000000
1532327887698,245118774831744,-30.48000000,-42.48000000,-43.02000000,7.670,21.100,0.00000000
1532327887717,245118794831744,-30.66000000,-42.60000000,-42.89999800,7.670,21.100,0.00000000
1532327887738,245118814831744,-30.90000000,-42.89999800,-42.66000000,7.670,21.100,0.00000000
1532327887760,245118834831744,-31.74000000,-42.48000000,-42.36000000,7.670,21.100,0.00000000
1532327887777,245118854831744,-31.98000000,-42.18000000,-42.23999800,7.670,21.100,0.00000000
1532327887799,245118874831744,-32.21999700,-42.05999800,-42.48000000,7.670,21.100,0.00000000
1532327887819,245118894831744,-32.52000000,-41.94000000,-42.78000000,7.670,21.100,0.00000000
1532327887841,245118914831744,-32.16000000,-42.30000000,-43.14000000,7.670,21.100,0.00000000
1532327887859,245118934831744,-31.92000000,-42.60000000,-43.44000000,7.670,21.100,0.00000000
1532327887880,245118954831744,-31.50000000,-42.84000000,-43.20000000,7.670,21.100,0.00000000
1532327887930,245118974831744,-31.19999900,-43.07999800,-43.02000000,7.670,21.100,0.00000000
1532327887930,245118994831744,-31.32000000,-43.02000000,-42.89999800,7.670,21.100,0.00000000
1532327887941,245119014831744,-31.38000000,-42.66000000,-42.71999700,7.670,21.100,0.00000000
1532327887957,245119034831744,-31.61999900,-42.54000000,-42.84000000,7.670,21.100,0.00000000
1532327887980,245119054831777,-31.61999900,-42.12000000,-42.78000000,7.670,21.100,0.00000000
1532327887998,245119074831777,-31.80000000,-41.94000000,-43.14000000,7.670,21.100,0.00000000
1532327888017,245119094831777,-31.80000000,-41.82000000,-43.50000000,7.670,21.100,0.00000000
1532327888039,245119114831777,-31.61999900,-42.00000000,-43.02000000,7.670,21.100,0.00000000
1532327888059,245119134831810,-31.61999900,-42.66000000,-42.66000000,7.670,21.100,0.00000000
1532327888078,245119154831776,-31.32000000,-42.60000000,-42.42000000,7.670,21.100,0.00000000
1532327888096,245119174831776,-30.84000000,-43.02000000,-41.87999700,7.670,21.100,0.00000000
1532327888119,245119194831909,-31.01999900,-42.96000000,-42.42000000,7.670,21.100,0.00000000
1532327888137,245119214831909,-31.08000000,-42.78000000,-42.84000000,7.670,21.100,0.00000000
1532327888158,245119234831875,-31.26000000,-42.48000000,-42.84000000,7.670,21.100,0.00000000
1532327888179,245119254831875,-31.61999900,-42.30000000,-43.02000000,7.670,21.100,0.00000000
1532327888196,245119274831875,-31.85999900,-41.94000000,-42.71999700,7.670,21.100,0.00000000
1532327888328,245119294831875,-31.98000000,-41.70000000,-42.71999700,7.670,21.100,0.00000000
1532327888328,245119314831875,-31.92000000,-42.00000000,-42.84000000,7.670,21.100,0.00000000
1532327888328,245119334831875,-32.34000000,-41.94000000,-43.07999800,7.670,21.100,0.00000000
1532327888328,245119354831875,-32.52000000,-42.23999800,-43.20000000,7.670,21.100,0.00000000
1532327888329,245119374831875,-32.52000000,-42.42000000,-43.02000000,7.670,21.100,0.00000000
1532327888329,245119394831875,-32.82000000,-42.60000000,-42.78000000,7.670,21.100,0.00000000
1532327888336,245119414831875,-32.88000000,-43.02000000,-42.60000000,7.670,21.100,0.00000000
1532327888362,245119434831875,-33.00000000,-42.96000000,-42.54000000,7.670,21.100,0.00000000
