timestamp,loc_x,loc_y,mag_x,mag_y,mag_z,roll,pitch,yaw
1579076653974.679688,47.890,8.459,-15.360,-16.800,-42.420,0.007,0.007,0.000
1579076654701.593262,48.642,8.459,-14.716,-15.900,-43.463,0.134,0.139,0.074
1579076655428.506836,49.393,8.459,-17.755,-15.834,-44.396,0.167,0.171,0.048
1579076656155.420410,50.144,8.459,-23.675,-15.962,-40.551,0.216,0.217,0.027
1579076656882.333984,50.896,8.459,-27.029,-10.934,-39.373,0.216,0.227,0.113
1579076657609.247559,51.647,8.459,-28.735,-10.662,-36.701,0.241,0.243,0.039
1579076658336.161133,52.398,8.459,-30.338,-3.663,-35.495,0.187,0.197,0.153
1579076659063.074463,53.149,8.459,-27.779,-5.923,-38.088,0.177,0.180,0.039
1579076659789.988037,53.901,8.459,-27.588,-5.514,-34.562,0.163,0.167,0.114
1579076660516.901611,54.652,8.459,-25.049,0.257,-30.320,0.203,0.213,0.185
1579076661243.815186,55.403,8.459,-23.780,4.958,-33.585,0.203,0.212,0.082
1579076661970.728760,56.155,8.459,-23.154,10.320,-36.670,0.182,0.188,0.102
1579076662697.642334,56.906,8.459,-19.619,13.942,-40.194,0.223,0.240,0.181
1579076663424.555908,57.657,8.459,-14.983,14.762,-42.893,0.195,0.199,0.041
1579076664151.469482,58.409,8.459,-5.514,16.151,-38.635,0.139,0.141,0.049
1579076664878.383057,59.160,8.459,6.631,0.019,-32.715,0.211,0.224,0.149
1579076665605.296631,59.911,8.459,2.489,-19.270,-31.479,0.192,0.195,0.031
1579076666332.210205,60.663,8.459,-8.640,-25.122,-29.298,0.155,0.157,0.030
1579076667059.123779,61.414,8.459,-14.813,-17.950,-26.772,0.141,0.148,0.119
1579076667786.037109,62.165,8.459,-13.217,-9.198,-29.345,0.139,0.141,0.021
1579076668512.950684,62.917,8.459,-18.290,-6.181,-34.684,0.119,0.120,0.020
1579076669239.864258,63.668,8.459,-23.485,-8.482,-37.497,0.176,0.180,0.076
1579076669966.777832,64.419,8.459,-26.130,-9.880,-40.809,0.157,0.157,0.008
1579076670693.691406,65.171,8.459,-31.723,-13.038,-40.089,0.166,0.167,0.046
1579076671420.604980,65.922,8.459,-31.732,-16.888,-39.404,0.141,0.141,0.017
1579076672147.518555,66.673,8.459,-33.360,-16.260,-39.240,0.144,0.145,0.051
1579076690382.991455,47.641,10.946,-14.280,0.780,-39.900,-0.003,-0.003,0.003
1579076690994.514648,48.289,10.946,-12.651,4.099,-40.107,0.072,0.076,0.094
1579076691606.037598,48.937,10.946,-17.999,0.844,-39.694,0.125,0.125,0.017
1579076692217.560791,49.585,10.946,-19.318,-3.991,-39.605,0.150,0.150,0.035
1579076692829.083984,50.232,10.946,-18.780,-7.387,-37.919,0.186,0.185,0.003
1579076693440.606934,50.880,10.946,-21.564,-6.006,-37.793,0.199,0.203,0.100
1579076694052.130127,51.528,10.946,-19.935,-7.319,-39.767,0.165,0.163,-0.033
1579076694663.653320,52.175,10.946,-21.249,-6.332,-40.599,0.157,0.158,0.120
1579076695275.176270,52.823,10.946,-15.257,-7.943,-39.583,0.108,0.108,0.006
1579076695886.699463,53.471,10.946,-15.969,-5.646,-33.957,0.078,0.075,0.079
1579076696498.222656,54.118,10.946,-13.439,-0.018,-30.161,0.101,0.101,0.066
1579076697109.745605,54.766,10.946,-14.854,4.967,-33.324,0.162,0.162,0.011
1579076697721.268799,55.414,10.946,-17.189,8.395,-36.919,0.160,0.159,0.144
1579076698332.791992,56.061,10.946,-17.401,6.748,-38.492,0.089,0.088,-0.050
1579076698944.314941,56.709,10.946,-17.122,12.251,-38.873,0.056,0.051,0.102
1579076699555.838135,57.357,10.946,-13.744,9.741,-43.634,0.082,0.082,0.068
1579076700167.361084,58.004,10.946,-18.225,1.092,-44.380,0.071,0.070,0.027
1579076700778.884277,58.652,10.946,-19.800,-6.878,-41.887,0.170,0.174,0.118
1579076701390.407471,59.300,10.946,-18.749,-12.377,-38.253,0.123,0.121,-0.039
1579076702001.930420,59.948,10.946,-24.542,-10.516,-33.511,0.104,0.104,0.078
1579076702613.453613,60.595,10.946,-23.505,-11.230,-32.587,0.101,0.100,-0.024
1579076703224.976807,61.243,10.946,-28.818,-5.197,-30.670,0.055,0.055,0.015
1579076703836.499756,61.891,10.946,-27.023,-2.422,-32.764,0.053,0.052,0.064
1579076704448.022949,62.538,10.946,-27.044,-4.904,-35.436,0.126,0.125,0.006
1579076705059.546143,63.186,10.946,-26.582,-3.358,-38.667,0.162,0.163,0.105
1579076705671.069092,63.834,10.946,-22.105,-6.761,-44.022,0.104,0.102,-0.042
1579076706282.592285,64.481,10.946,-22.489,-10.033,-44.533,0.137,0.139,0.047
1579076706894.115479,65.129,10.946,-19.358,-14.231,-41.831,0.162,0.162,0.012
1579076707505.638428,65.777,10.946,-23.090,-11.645,-38.333,0.088,0.088,0.043
1579076708117.161621,66.424,10.946,-21.180,-13.260,-37.500,0.085,0.085,-0.051
1579076756082.735107,38.188,13.061,-16.620,7.860,-29.640,0.003,0.003,-0.003
1579076756651.059082,38.874,13.061,-17.465,5.475,-30.505,0.119,0.116,-0.043
1579076757219.383057,39.560,13.061,-25.099,3.463,-31.046,0.176,0.181,0.061
1579076757787.707031,40.247,13.061,-31.437,-5.084,-27.539,0.216,0.211,-0.052
1579076758356.031006,40.933,13.061,-37.334,-0.536,-30.539,0.179,0.182,0.112
1579076758924.354980,41.620,13.061,-40.640,-6.157,-32.677,0.194,0.191,-0.017
1579076759492.678955,42.306,13.061,-40.219,-1.204,-33.776,0.178,0.178,0.097
1579076760061.002930,42.992,13.061,-29.967,-5.533,-37.635,0.171,0.167,-0.065
1579076760629.326904,43.679,13.061,-24.501,1.528,-37.544,0.142,0.143,0.060
1579076761197.650879,44.365,13.061,-25.911,0.500,-38.069,0.137,0.136,-0.023
1579076761765.974854,45.051,13.061,-32.730,2.630,-32.290,0.048,0.047,0.048
1579076762334.298828,45.738,13.061,-31.506,1.556,-30.879,0.163,0.162,0.003
1579076762902.622803,46.424,13.061,-32.872,3.526,-33.120,0.130,0.129,-0.015
1579076763470.946777,47.110,13.061,-33.621,3.612,-35.764,0.130,0.131,0.078
1579076764039.270752,47.797,13.061,-27.771,-10.907,-36.818,0.177,0.172,-0.079
1579076764607.594482,48.483,13.061,-22.614,-9.879,-38.285,0.123,0.122,-0.046
1579076765175.918457,49.169,13.061,-14.706,-14.608,-37.958,0.137,0.130,-0.192
1579076765744.242432,49.856,13.061,-13.932,-10.082,-35.628,0.087,0.086,-0.022
1579076766312.566406,50.542,13.061,-11.748,-8.875,-32.138,0.096,0.095,-0.039
1579076766880.890381,51.228,13.061,-12.840,-12.470,-25.517,0.128,0.129,-0.249
1579076767449.214355,51.915,13.061,-13.533,-10.588,-20.407,0.196,0.185,-0.215
1579076768017.538330,52.601,13.061,-17.783,-3.982,-17.175,0.187,0.184,-0.124
1579076768585.862305,53.287,13.061,-17.577,-0.590,-19.739,0.201,0.194,-0.168
1579076769154.186279,53.974,13.061,-18.041,6.710,-26.049,0.124,0.122,-0.077
1579076769722.510254,54.660,13.061,-17.291,8.582,-30.311,0.098,0.097,-0.040
1579076770290.834229,55.346,13.061,-20.156,10.624,-30.409,0.047,0.051,-0.092
1579076770859.158203,56.033,13.061,-21.574,11.963,-33.417,0.136,0.135,-0.008
1579076771427.482178,56.719,13.061,-27.504,7.239,-35.995,0.174,0.170,-0.069
1579076771995.806152,57.405,13.061,-34.057,4.851,-38.257,0.176,0.177,0.073
1579076772564.130127,58.092,13.061,-36.198,-6.442,-40.000,0.158,0.156,-0.033
1579076773132.454102,58.778,13.061,-39.139,-3.007,-39.018,0.117,0.112,0.107
1579076773700.778076,59.464,13.061,-34.406,-11.292,-41.057,0.126,0.124,-0.072
1579076774269.102051,60.151,13.061,-36.297,-10.622,-39.351,0.158,0.155,-0.004
1579076774837.426025,60.837,13.061,-32.034,-10.282,-39.935,0.097,0.097,-0.034
1579076775405.750000,61.523,13.061,-31.980,-7.975,-38.709,0.088,0.087,-0.015
1579076775974.073975,62.210,13.061,-28.827,-9.896,-37.801,0.120,0.119,0.024
1579076776542.397949,62.896,13.061,-23.634,-15.343,-32.655,0.194,0.190,-0.056
1579076777110.721924,63.582,13.061,-23.622,-9.608,-27.212,0.168,0.166,0.086
1579076777679.045898,64.269,13.061,-21.577,-9.111,-23.227,0.142,0.140,-0.043
1579076778247.369873,64.955,13.061,-25.297,-0.420,-20.786,0.144,0.142,0.088
1579076778815.693848,65.641,13.061,-24.732,-0.647,-24.881,0.161,0.160,-0.012
1579076779384.017822,66.328,13.061,-25.598,2.414,-27.240,0.161,0.161,0.099
1579076779952.341797,67.014,13.061,-27.468,-1.535,-28.491,0.190,0.189,0.035
1579076780520.665527,67.700,13.061,-31.687,-0.299,-29.401,0.154,0.152,0.053
1579076781088.989502,68.387,13.061,-31.549,2.751,-35.477,0.127,0.125,0.108
1579076781657.313477,69.073,13.061,-32.030,-2.741,-39.263,0.157,0.155,0.016
1579076782225.637451,69.760,13.061,-29.487,-3.397,-39.351,0.209,0.212,0.144
1579076782793.961426,70.446,13.061,-28.583,-7.764,-40.557,0.134,0.133,-0.032
1579076783362.285400,71.132,13.061,-30.806,-6.671,-39.319,0.205,0.204,0.125
1579076783930.609375,71.819,13.061,-30.468,-11.908,-40.696,0.139,0.138,-0.006
1579076784498.933350,72.505,13.061,-33.314,-8.613,-38.381,0.096,0.094,0.089
1579076785067.257324,73.191,13.061,-29.781,-12.991,-40.206,0.118,0.118,0.004
1579076785635.581299,73.878,13.061,-32.714,-13.092,-32.433,0.146,0.144,0.048
1579076786203.905273,74.564,13.061,-26.833,-5.467,-30.623,0.095,0.094,0.026
1579076786772.229248,75.250,13.061,-24.464,5.095,-31.283,0.135,0.135,0.041
1579076787340.553223,75.937,13.061,-30.176,14.944,-32.608,0.101,0.099,0.103
1579076787908.877197,76.623,13.061,-41.892,10.773,-33.081,0.129,0.129,0.052
1579076788477.201172,77.309,13.061,-43.540,7.020,-35.591,0.147,0.149,0.172
1579076789045.525146,77.996,13.061,-40.214,-1.468,-41.527,0.111,0.112,0.013
1579076789613.849121,78.682,13.061,-41.928,-1.687,-41.355,0.150,0.153,0.111
1579076790182.173096,79.368,13.061,-35.366,-9.678,-45.678,0.077,0.077,0.002
1579076790750.497070,80.055,13.061,-30.223,-11.134,-46.590,0.035,0.033,0.063
1579076791318.821045,80.741,13.061,-25.178,-14.623,-44.825,0.066,0.066,0.020
1579076791887.145020,81.427,13.061,-25.461,-15.614,-41.484,0.077,0.075,0.054
1579076792455.468994,82.114,13.061,-17.771,-15.747,-39.323,0.093,0.093,0.134
1579076793023.792969,82.800,13.061,-8.739,-13.208,-37.123,0.156,0.157,0.069
1579076793592.116943,83.486,13.061,-7.675,-3.267,-39.166,0.163,0.166,0.168
1579076794160.440918,84.173,13.061,-8.921,-2.733,-45.007,0.135,0.136,0.034
1579076794728.764893,84.859,13.061,-7.534,-3.445,-48.778,0.097,0.095,0.148
1579076795297.088867,85.545,13.061,1.806,1.872,-54.848,0.083,0.083,0.027
1579076795865.412842,86.232,13.061,-5.632,11.643,-58.153,0.076,0.074,0.085
1579076796433.736572,86.918,13.061,-11.131,13.355,-59.002,0.116,0.117,0.025
1579076797002.060547,87.604,13.061,-23.151,11.598,-61.640,0.037,0.035,0.062
1579076797570.384521,88.291,13.061,-24.323,-0.403,-59.839,0.050,0.048,0.070
1579076798138.708496,88.977,13.061,-24.855,-9.941,-52.131,0.113,0.112,0.010
1579076798707.032471,89.663,13.061,-24.820,-10.196,-43.947,0.151,0.157,0.123
1579076799275.356445,90.350,13.061,-28.058,-9.731,-39.907,0.142,0.141,-0.012
1579076799843.680420,91.036,13.061,-33.271,-6.100,-40.585,0.183,0.188,0.114
1579076800412.004395,91.722,13.061,-38.393,-11.551,-42.980,0.114,0.113,-0.030
1579076800980.328369,92.409,13.061,-48.064,-7.081,-37.275,0.105,0.102,0.092
1579076801548.652344,93.095,13.061,-45.519,-10.738,-43.137,0.090,0.090,0.003
1579076802116.976318,93.781,13.061,-46.218,-10.494,-43.064,0.110,0.111,0.050
1579076802685.300293,94.468,13.061,-43.406,-15.424,-48.138,0.139,0.139,0.014
1579076803253.624268,95.154,13.061,-49.686,-20.612,-43.934,0.199,0.202,0.070
1579076803821.948242,95.840,13.061,-49.756,-25.645,-43.045,0.094,0.093,0.012
1579076804390.272217,96.527,13.061,-51.300,-28.320,-40.800,0.122,0.121,-0.040
1579076847259.717041,55.478,13.932,-18.600,11.220,-30.900,0.000,0.000,0.005
1579076847939.856934,55.478,14.595,-16.829,16.376,-30.282,0.024,0.035,0.156
1579076848619.996826,55.478,15.259,-20.384,15.084,-33.232,0.007,0.016,0.109
1579076849300.136719,55.478,15.922,-18.217,13.806,-38.007,0.039,0.062,0.160
1579076849980.276611,55.478,16.585,-12.801,7.237,-39.257,0.014,0.029,0.178
1579076850660.416504,55.478,17.249,-7.673,2.453,-33.530,0.018,0.050,0.299
1579076851340.556396,55.478,17.912,-5.628,-0.840,-26.874,-0.006,0.017,0.227
1579076852020.696289,55.478,18.576,-8.493,-2.733,-19.260,-0.014,0.004,0.263
1579076852700.836182,55.478,19.239,-14.144,-2.425,-16.977,0.023,0.057,0.340
1579076853380.976074,55.478,19.902,-15.325,1.163,-20.049,-0.029,-0.005,0.243
1579076854061.116211,55.478,20.566,-18.977,5.175,-26.734,-0.010,0.005,0.200
1579076854741.256104,55.478,21.229,-22.603,5.551,-34.857,0.049,0.067,0.147
1579076855421.395996,55.478,21.893,-24.831,3.617,-44.562,0.054,0.058,0.039
1579076856101.535889,55.478,22.556,-21.041,8.724,-58.494,0.070,0.081,0.100
1579076856781.675781,55.478,23.220,-12.318,15.585,-63.996,0.030,0.032,0.022
1579076857461.815674,55.478,23.883,-7.897,13.515,-59.387,0.050,0.058,0.082
1579076858141.955566,55.478,24.546,-3.591,9.375,-53.606,0.067,0.093,0.174
1579076858822.095459,55.478,25.210,-7.946,10.032,-47.291,0.056,0.066,0.095
1579076859502.235352,55.478,25.873,-11.040,14.340,-42.840,-0.073,-0.074,0.156
1579076876998.646484,58.463,14.305,-15.360,-31.800,-52.140,-0.001,-0.001,0.002
1579076877619.812744,58.463,14.901,-11.805,-29.100,-51.492,0.012,0.018,0.090
1579076878240.979004,58.463,15.496,7.689,-21.497,-49.367,0.012,0.014,0.023
1579076878862.145264,58.463,16.092,8.142,-8.014,-43.754,0.044,0.060,0.146
1579076879483.311768,58.463,16.688,7.136,0.387,-36.635,-0.009,-0.001,0.118
1579076880104.478027,58.463,17.284,1.200,3.168,-27.743,0.034,0.047,0.169
1579076880725.644287,58.463,17.879,-1.041,9.130,-18.980,0.000,0.013,0.187
1579076881346.810547,58.463,18.475,-8.100,14.130,-13.481,0.034,0.046,0.184
1579076881967.976807,58.463,19.071,-15.990,20.852,-13.816,-0.001,0.016,0.272
1579076882589.143066,58.463,19.667,-21.113,20.969,-16.151,-0.021,-0.014,0.197
1579076883210.309570,58.463,20.263,-25.529,21.298,-25.522,0.010,0.034,0.279
1579076883831.475830,58.463,20.858,-30.167,16.101,-32.241,0.006,0.013,0.133
1579076884452.642090,58.463,21.454,-35.875,6.236,-42.845,0.047,0.050,0.039
1579076885073.808350,58.463,22.050,-34.996,-5.827,-53.228,0.088,0.082,-0.065
1579076885694.974609,58.463,22.646,-35.111,-22.996,-53.640,0.087,0.079,-0.097
1579076886316.140869,58.463,23.241,-27.642,-22.853,-57.420,0.003,0.013,0.148
1579076886937.307373,58.463,23.837,-6.155,-23.016,-56.669,-0.014,-0.011,0.056
1579076887558.473633,58.463,24.433,-0.940,-10.041,-53.861,0.020,0.039,0.178
1579076888179.639893,58.463,25.029,-4.109,-0.627,-54.184,-0.005,0.005,0.194
1579076888800.806152,58.463,25.624,-6.720,4.320,-54.300,-0.009,-0.004,0.135
1579076910188.015869,68.912,13.683,-20.280,1.800,-42.120,0.002,0.002,-0.001
1579076910830.150146,68.912,14.305,-19.833,0.685,-43.454,0.095,0.092,-0.032
1579076911472.284668,68.912,14.927,-23.507,1.025,-43.024,0.068,0.064,-0.041
1579076912114.418945,68.912,15.549,-20.306,-2.670,-40.858,0.081,0.071,-0.120
1579076912756.553223,68.912,16.171,-15.096,-2.074,-34.869,0.132,0.121,-0.087
1579076913398.687500,68.912,16.793,-12.003,-1.062,-27.339,0.114,0.106,-0.064
1579076914040.822021,68.912,17.415,-10.927,-1.767,-22.005,0.102,0.094,-0.079
